날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,11000.0,상승  50,11050.0,11450.0,10300.0,12109.0,전방,000950
2020-03-16,11050.0,상승  50,10600.0,11300.0,10600.0,2047.0,전방,000950
2020-03-17,11200.0,상승  150,11050.0,11200.0,10350.0,1667.0,전방,000950
2020-03-18,10950.0,하락  250,10850.0,11450.0,10750.0,975.0,전방,000950
2020-03-19,10600.0,하락  350,10500.0,10950.0,10050.0,1365.0,전방,000950
2020-03-20,10550.0,하락  50,10600.0,10650.0,10250.0,3002.0,전방,000950
2020-03-23,9750.0,하락  800,10400.0,10400.0,9680.0,3106.0,전방,000950
2020-03-24,9900.0,상승  150,9750.0,10100.0,9580.0,4467.0,전방,000950
2020-03-25,10650.0,상승  750,10000.0,10950.0,10000.0,2324.0,전방,000950
2020-03-26,10800.0,상승  150,10950.0,11300.0,10650.0,1065.0,전방,000950
2020-03-27,11350.0,상승  550,11400.0,11450.0,10950.0,1782.0,전방,000950
2020-03-30,11600.0,상승  250,11600.0,11600.0,11150.0,1246.0,전방,000950
2020-03-31,11550.0,하락  50,11600.0,12000.0,11450.0,1077.0,전방,000950
2020-04-01,11400.0,하락  150,11150.0,11550.0,11050.0,525.0,전방,000950
2020-04-02,11400.0,보합0,11400.0,11550.0,11250.0,275.0,전방,000950
2020-04-03,11500.0,상승  100,11800.0,11800.0,11250.0,1676.0,전방,000950
2020-04-06,11450.0,하락  50,11500.0,12200.0,11350.0,1059.0,전방,000950
2020-04-07,11550.0,상승  100,11400.0,11600.0,11250.0,1541.0,전방,000950
2020-04-08,11400.0,하락  150,11550.0,11950.0,11350.0,1732.0,전방,000950
2020-04-09,11900.0,상승  500,11400.0,11900.0,11400.0,1863.0,전방,000950
2020-04-10,12350.0,상승  450,11750.0,12350.0,11600.0,1816.0,전방,000950
2020-04-13,12200.0,하락  150,12350.0,12600.0,11950.0,1203.0,전방,000950
2020-04-14,11950.0,하락  250,12150.0,12300.0,11900.0,1375.0,전방,000950
2020-04-16,12000.0,상승  50,11950.0,12150.0,11800.0,747.0,전방,000950
2020-04-17,12350.0,상승  350,12000.0,13400.0,12000.0,2428.0,전방,000950
2020-04-20,12100.0,하락  250,12350.0,13000.0,12100.0,2357.0,전방,000950
2020-04-21,12000.0,하락  100,12000.0,12200.0,11450.0,2792.0,전방,000950
2020-04-22,11900.0,하락  100,11650.0,11900.0,11600.0,570.0,전방,000950
2020-04-23,12150.0,상승  250,11900.0,12700.0,11900.0,9061.0,전방,000950
2020-04-24,12100.0,하락  50,12150.0,12300.0,12000.0,1415.0,전방,000950
2020-04-27,12650.0,상승  550,12100.0,12700.0,11850.0,4249.0,전방,000950
2020-04-28,12650.0,보합0,12500.0,12850.0,12450.0,1333.0,전방,000950
2020-04-29,12750.0,상승  100,12500.0,12750.0,12350.0,934.0,전방,000950
2020-05-04,12800.0,상승  50,12750.0,12950.0,12450.0,2171.0,전방,000950
2020-05-06,12850.0,상승  50,12600.0,12850.0,12600.0,476.0,전방,000950
2020-05-07,12800.0,하락  50,12850.0,12900.0,12550.0,546.0,전방,000950
2020-05-08,12900.0,상승  100,12800.0,12950.0,12750.0,2110.0,전방,000950
2020-05-11,13050.0,상승  150,12800.0,13150.0,12750.0,893.0,전방,000950
2020-05-12,12600.0,하락  450,13050.0,13100.0,12600.0,1363.0,전방,000950
2020-05-13,12650.0,상승  50,12600.0,12750.0,12450.0,76.0,전방,000950
2020-05-14,12600.0,하락  50,12200.0,12800.0,12200.0,907.0,전방,000950
2020-05-15,12550.0,하락  50,12600.0,12700.0,12300.0,144.0,전방,000950
2020-05-18,12600.0,상승  50,12550.0,12650.0,12400.0,1159.0,전방,000950
2020-05-19,12600.0,보합0,12750.0,12750.0,12450.0,241.0,전방,000950
2020-05-20,12850.0,상승  250,12600.0,12850.0,12550.0,219.0,전방,000950
2020-05-21,12950.0,상승  100,12950.0,12950.0,12800.0,636.0,전방,000950
2020-05-22,12900.0,하락  50,12950.0,13000.0,12750.0,164.0,전방,000950
2020-05-25,12900.0,보합0,12750.0,12900.0,12550.0,621.0,전방,000950
2020-05-26,13050.0,상승  150,12900.0,13100.0,12750.0,343.0,전방,000950
2020-05-27,13050.0,보합0,13300.0,13300.0,12800.0,666.0,전방,000950
2020-05-28,12850.0,하락  200,12850.0,13200.0,12700.0,968.0,전방,000950
2020-05-29,12400.0,하락  450,12750.0,12800.0,12350.0,2714.0,전방,000950
2020-06-01,12600.0,상승  200,12400.0,12950.0,12400.0,526.0,전방,000950
2020-06-02,12650.0,상승  50,12750.0,12800.0,12600.0,492.0,전방,000950
2020-06-03,12850.0,상승  200,12650.0,13150.0,12650.0,664.0,전방,000950
2020-06-04,12850.0,보합0,13300.0,13300.0,12650.0,366.0,전방,000950
2020-06-05,12600.0,하락  250,12650.0,12850.0,12600.0,612.0,전방,000950
2020-06-08,12700.0,상승  100,12600.0,12900.0,12500.0,700.0,전방,000950
2020-06-09,12900.0,상승  200,12850.0,12950.0,12750.0,427.0,전방,000950
2020-06-10,12900.0,보합0,13000.0,13100.0,12750.0,551.0,전방,000950
2020-06-11,12900.0,보합0,13150.0,13150.0,12700.0,1203.0,전방,000950
2020-06-12,12600.0,하락  300,12900.0,12900.0,12400.0,516.0,전방,000950
2020-06-15,12550.0,하락  50,12600.0,12650.0,12450.0,1735.0,전방,000950
2020-06-16,12700.0,상승  150,12700.0,12750.0,12550.0,571.0,전방,000950
2020-06-17,12850.0,상승  150,12700.0,13000.0,12600.0,2867.0,전방,000950
2020-06-18,16700.0,"상한가  3,850",13550.0,16700.0,13550.0,32835.0,전방,000950
2020-06-19,21700.0,"상한가  5,000",21700.0,21700.0,21700.0,18579.0,전방,000950
2020-06-22,22000.0,상승  300,26350.0,28200.0,21000.0,984597.0,전방,000950
2020-06-23,23700.0,"상승  1,700",25350.0,25350.0,20400.0,75128.0,전방,000950
2020-06-24,23850.0,상승  150,22500.0,27000.0,22350.0,57284.0,전방,000950
2020-06-25,24950.0,"상승  1,100",23400.0,25800.0,23400.0,41336.0,전방,000950
2020-06-26,23400.0,"하락  1,550",24200.0,28000.0,21200.0,139961.0,전방,000950
2020-06-29,20700.0,"하락  2,700",23050.0,23050.0,20700.0,49923.0,전방,000950
2020-06-30,19200.0,"하락  1,500",20600.0,21300.0,18500.0,49938.0,전방,000950
2020-07-01,18700.0,하락  500,19650.0,20850.0,18200.0,19310.0,전방,000950
2020-07-02,18600.0,하락  100,19000.0,19700.0,17800.0,9614.0,전방,000950
2020-07-03,20300.0,"상승  1,700",19150.0,20350.0,18600.0,25140.0,전방,000950
2020-07-06,24500.0,"상승  4,200",20400.0,24600.0,20300.0,106569.0,전방,000950
2020-07-07,22500.0,"하락  2,000",23600.0,24450.0,22000.0,37472.0,전방,000950
2020-07-08,22700.0,상승  200,22150.0,23700.0,21350.0,31180.0,전방,000950
2020-07-09,23350.0,상승  650,23700.0,23700.0,22300.0,24014.0,전방,000950
2020-07-10,22400.0,하락  950,22850.0,23300.0,22200.0,10892.0,전방,000950
2020-07-13,22600.0,상승  200,22300.0,23300.0,21100.0,6719.0,전방,000950
2020-07-14,22000.0,하락  600,22800.0,23200.0,22000.0,4634.0,전방,000950
2020-07-15,21500.0,하락  500,22200.0,22650.0,21400.0,6984.0,전방,000950
2020-07-16,21550.0,상승  50,21700.0,22550.0,21200.0,7918.0,전방,000950
