날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,8340.0,하락  850,8050.0,8900.0,8050.0,54408.0,제이에스코퍼레이션,194370
2020-03-16,8300.0,하락  40,8400.0,8690.0,8300.0,43583.0,제이에스코퍼레이션,194370
2020-03-17,7800.0,하락  500,7340.0,8170.0,7340.0,37519.0,제이에스코퍼레이션,194370
2020-03-18,7200.0,하락  600,7650.0,7830.0,7200.0,37583.0,제이에스코퍼레이션,194370
2020-03-19,5740.0,"하락  1,460",7180.0,7380.0,5580.0,78649.0,제이에스코퍼레이션,194370
2020-03-20,5940.0,상승  200,5410.0,6050.0,5410.0,41933.0,제이에스코퍼레이션,194370
2020-03-23,5170.0,하락  770,5760.0,5760.0,5010.0,51024.0,제이에스코퍼레이션,194370
2020-03-24,5710.0,상승  540,5550.0,5720.0,5220.0,21382.0,제이에스코퍼레이션,194370
2020-03-25,6180.0,상승  470,5720.0,6180.0,5720.0,46851.0,제이에스코퍼레이션,194370
2020-03-26,6200.0,상승  20,6290.0,6310.0,6070.0,64879.0,제이에스코퍼레이션,194370
2020-03-27,6170.0,하락  30,6490.0,6490.0,6090.0,22582.0,제이에스코퍼레이션,194370
2020-03-30,6000.0,하락  170,6090.0,6090.0,5790.0,94335.0,제이에스코퍼레이션,194370
2020-03-31,6750.0,상승  750,6130.0,6880.0,6070.0,52197.0,제이에스코퍼레이션,194370
2020-04-01,6500.0,하락  250,6750.0,6780.0,6410.0,63279.0,제이에스코퍼레이션,194370
2020-04-02,6520.0,상승  20,6450.0,6700.0,6380.0,40784.0,제이에스코퍼레이션,194370
2020-04-03,6450.0,하락  70,6530.0,6650.0,6340.0,65162.0,제이에스코퍼레이션,194370
2020-04-06,6880.0,상승  430,6560.0,6890.0,6450.0,47972.0,제이에스코퍼레이션,194370
2020-04-07,7060.0,상승  180,7300.0,7300.0,6760.0,55100.0,제이에스코퍼레이션,194370
2020-04-08,7070.0,상승  10,7060.0,7330.0,6910.0,67900.0,제이에스코퍼레이션,194370
2020-04-09,7330.0,상승  260,7150.0,7330.0,7060.0,64466.0,제이에스코퍼레이션,194370
2020-04-10,7300.0,하락  30,7370.0,7690.0,7090.0,90175.0,제이에스코퍼레이션,194370
2020-04-13,7110.0,하락  190,7360.0,7380.0,7090.0,42566.0,제이에스코퍼레이션,194370
2020-04-14,7180.0,상승  70,7130.0,7340.0,7100.0,53951.0,제이에스코퍼레이션,194370
2020-04-16,7110.0,하락  70,7180.0,7180.0,6980.0,68469.0,제이에스코퍼레이션,194370
2020-04-17,7320.0,상승  210,7150.0,7560.0,7150.0,61397.0,제이에스코퍼레이션,194370
2020-04-20,7600.0,상승  280,7360.0,8350.0,7360.0,174057.0,제이에스코퍼레이션,194370
2020-04-21,7440.0,하락  160,7600.0,7600.0,7250.0,68743.0,제이에스코퍼레이션,194370
2020-04-22,7220.0,하락  220,7300.0,7300.0,7090.0,56189.0,제이에스코퍼레이션,194370
2020-04-23,7280.0,상승  60,7280.0,7330.0,7180.0,52206.0,제이에스코퍼레이션,194370
2020-04-24,7100.0,하락  180,7280.0,7470.0,7000.0,67221.0,제이에스코퍼레이션,194370
2020-04-27,7300.0,상승  200,7090.0,7340.0,7050.0,69306.0,제이에스코퍼레이션,194370
2020-04-28,7730.0,상승  430,7340.0,7810.0,7250.0,215277.0,제이에스코퍼레이션,194370
2020-04-29,7580.0,하락  150,7730.0,7880.0,7550.0,134915.0,제이에스코퍼레이션,194370
