날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,20050.0,하락  650,20600.0,21950.0,20050.0,71816.0,제일약품,271980
2020-03-17,20000.0,하락  50,18500.0,20200.0,18450.0,44548.0,제일약품,271980
2020-03-18,18250.0,"하락  1,750",19600.0,21400.0,18250.0,110411.0,제일약품,271980
2020-03-19,15650.0,"하락  2,600",18500.0,19800.0,15250.0,142899.0,제일약품,271980
2020-03-20,18100.0,"상승  2,450",15800.0,18100.0,15800.0,88987.0,제일약품,271980
2020-03-23,17800.0,하락  300,16750.0,18150.0,16500.0,43302.0,제일약품,271980
2020-03-24,19050.0,"상승  1,250",18500.0,19250.0,18000.0,36339.0,제일약품,271980
2020-03-25,19650.0,상승  600,20100.0,20100.0,19100.0,35231.0,제일약품,271980
2020-03-26,20400.0,상승  750,19700.0,21400.0,19000.0,67574.0,제일약품,271980
2020-03-27,21200.0,상승  800,21050.0,23000.0,19600.0,137496.0,제일약품,271980
2020-03-30,21500.0,상승  300,20600.0,22550.0,20100.0,65086.0,제일약품,271980
2020-03-31,23000.0,"상승  1,500",22000.0,25900.0,21500.0,134923.0,제일약품,271980
2020-04-01,22750.0,하락  250,23050.0,25350.0,22650.0,119530.0,제일약품,271980
2020-04-02,22800.0,상승  50,23000.0,23350.0,21950.0,38229.0,제일약품,271980
2020-04-03,23600.0,상승  800,23400.0,24800.0,23050.0,74794.0,제일약품,271980
2020-04-06,26150.0,"상승  2,550",23700.0,27750.0,23700.0,166631.0,제일약품,271980
2020-04-07,27700.0,"상승  1,550",26850.0,30900.0,26200.0,291681.0,제일약품,271980
2020-04-08,26800.0,하락  900,28150.0,28150.0,26450.0,81894.0,제일약품,271980
2020-04-09,26700.0,하락  100,26950.0,27350.0,26200.0,39430.0,제일약품,271980
2020-04-10,26200.0,하락  500,27100.0,27200.0,25900.0,27017.0,제일약품,271980
2020-04-13,24800.0,"하락  1,400",26200.0,26400.0,24600.0,40224.0,제일약품,271980
2020-04-14,26150.0,"상승  1,350",24850.0,26750.0,24850.0,99751.0,제일약품,271980
2020-04-16,25650.0,하락  500,26150.0,26400.0,25650.0,26515.0,제일약품,271980
2020-04-17,26550.0,상승  900,25800.0,26700.0,25550.0,46029.0,제일약품,271980
2020-04-20,26600.0,상승  50,26550.0,27000.0,26300.0,25801.0,제일약품,271980
2020-04-21,26000.0,하락  600,26300.0,26800.0,24100.0,39503.0,제일약품,271980
2020-04-22,25950.0,하락  50,25400.0,26000.0,25000.0,19596.0,제일약품,271980
2020-04-23,26400.0,상승  450,26600.0,26750.0,25850.0,46457.0,제일약품,271980
2020-04-24,25750.0,하락  650,26250.0,26800.0,25500.0,33024.0,제일약품,271980
2020-04-27,26200.0,상승  450,25600.0,26300.0,25550.0,14391.0,제일약품,271980
2020-04-28,26450.0,상승  250,26100.0,29100.0,25950.0,217698.0,제일약품,271980
2020-04-29,26350.0,하락  100,27000.0,27000.0,26350.0,30747.0,제일약품,271980
2020-05-04,25650.0,하락  700,25900.0,26350.0,25100.0,26191.0,제일약품,271980
2020-05-06,26600.0,상승  950,27500.0,27650.0,26350.0,88852.0,제일약품,271980
2020-05-07,27000.0,상승  400,26600.0,28200.0,26250.0,43120.0,제일약품,271980
2020-05-08,27500.0,상승  500,27500.0,27700.0,26950.0,24062.0,제일약품,271980
