날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,10300.0,"하락  1,550",10550.0,10900.0,9950.0,49360.0,제일파마홀딩스,002620
2020-03-16,10000.0,하락  300,10500.0,10950.0,9990.0,32275.0,제일파마홀딩스,002620
2020-03-17,9650.0,하락  350,9210.0,9900.0,9110.0,20677.0,제일파마홀딩스,002620
2020-03-18,9300.0,하락  350,9800.0,10000.0,9000.0,17819.0,제일파마홀딩스,002620
2020-03-19,8210.0,"하락  1,090",9310.0,9500.0,8200.0,20491.0,제일파마홀딩스,002620
2020-03-20,8830.0,상승  620,7970.0,8900.0,7970.0,5857.0,제일파마홀딩스,002620
2020-03-23,8340.0,하락  490,8210.0,8750.0,8150.0,7985.0,제일파마홀딩스,002620
2020-03-24,8800.0,상승  460,8340.0,8900.0,8340.0,24584.0,제일파마홀딩스,002620
2020-03-25,8830.0,상승  30,8900.0,9260.0,8720.0,72510.0,제일파마홀딩스,002620
2020-03-26,8840.0,상승  10,9100.0,9180.0,8680.0,155859.0,제일파마홀딩스,002620
2020-03-27,8920.0,상승  80,9370.0,9370.0,8670.0,111137.0,제일파마홀딩스,002620
2020-03-30,8960.0,상승  40,8840.0,9020.0,8660.0,37374.0,제일파마홀딩스,002620
2020-03-31,9650.0,상승  690,9200.0,9700.0,9010.0,147852.0,제일파마홀딩스,002620
2020-04-01,9260.0,하락  390,9630.0,10300.0,9250.0,128879.0,제일파마홀딩스,002620
2020-04-02,9500.0,상승  240,9310.0,9650.0,9000.0,51391.0,제일파마홀딩스,002620
2020-04-03,9960.0,상승  460,9780.0,10200.0,9600.0,46448.0,제일파마홀딩스,002620
2020-04-06,10850.0,상승  890,10450.0,11100.0,10150.0,124364.0,제일파마홀딩스,002620
2020-04-07,14100.0,"상한가  3,250",12000.0,14100.0,11900.0,193072.0,제일파마홀딩스,002620
2020-04-08,14550.0,상승  450,15350.0,16800.0,14300.0,621886.0,제일파마홀딩스,002620
