날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,18550.0,하락  550,16000.0,19200.0,16000.0,234232.0,제주항공,089590
2020-03-16,18800.0,상승  250,19300.0,20000.0,18550.0,179148.0,제주항공,089590
2020-03-17,18950.0,상승  150,18000.0,19400.0,17800.0,103934.0,제주항공,089590
2020-03-18,17250.0,"하락  1,700",19050.0,19450.0,17000.0,185385.0,제주항공,089590
2020-03-19,12500.0,"하락  4,750",16900.0,17250.0,12150.0,452386.0,제주항공,089590
2020-03-20,12650.0,상승  150,12000.0,14200.0,11050.0,1277357.0,제주항공,089590
2020-03-23,12000.0,하락  650,11450.0,13200.0,10950.0,503386.0,제주항공,089590
2020-03-24,12300.0,상승  300,12400.0,12550.0,12000.0,296440.0,제주항공,089590
2020-03-25,14800.0,"상승  2,500",13250.0,15850.0,13100.0,1080306.0,제주항공,089590
2020-03-26,16750.0,"상승  1,950",15500.0,18400.0,15300.0,1158571.0,제주항공,089590
2020-03-27,16900.0,상승  150,18100.0,18700.0,15850.0,503636.0,제주항공,089590
2020-03-30,17000.0,상승  100,16550.0,17100.0,15250.0,258915.0,제주항공,089590
2020-03-31,16850.0,하락  150,17300.0,17700.0,16700.0,331563.0,제주항공,089590
2020-04-01,16750.0,하락  100,17300.0,19050.0,16450.0,802595.0,제주항공,089590
2020-04-02,16400.0,하락  350,16500.0,17000.0,15750.0,244492.0,제주항공,089590
2020-04-03,16450.0,상승  50,16400.0,16550.0,16000.0,149295.0,제주항공,089590
2020-04-06,16750.0,상승  300,16200.0,16900.0,15750.0,393840.0,제주항공,089590
2020-04-07,17600.0,상승  850,17450.0,17950.0,17100.0,385695.0,제주항공,089590
2020-04-08,18150.0,상승  550,17600.0,18300.0,16900.0,276922.0,제주항공,089590
2020-04-09,18900.0,상승  750,18600.0,19200.0,18200.0,312946.0,제주항공,089590
2020-04-10,19650.0,상승  750,19250.0,19800.0,18600.0,385815.0,제주항공,089590
2020-04-13,18500.0,"하락  1,150",19350.0,19350.0,18400.0,378253.0,제주항공,089590
2020-04-14,18650.0,상승  150,18350.0,18750.0,18250.0,186082.0,제주항공,089590
2020-04-16,18850.0,상승  200,18700.0,19100.0,18100.0,192256.0,제주항공,089590
2020-04-17,19600.0,상승  750,19850.0,19900.0,19000.0,357633.0,제주항공,089590
2020-04-20,20150.0,상승  550,19900.0,21800.0,19850.0,782027.0,제주항공,089590
2020-04-21,19800.0,하락  350,20150.0,20400.0,18500.0,425116.0,제주항공,089590
2020-04-22,20100.0,상승  300,20900.0,21750.0,20000.0,416378.0,제주항공,089590
2020-04-23,20400.0,상승  300,20750.0,20850.0,20200.0,234567.0,제주항공,089590
2020-04-24,20050.0,하락  350,20800.0,20850.0,19900.0,190423.0,제주항공,089590
2020-04-27,20150.0,상승  100,20050.0,20300.0,19900.0,186659.0,제주항공,089590
2020-04-28,20200.0,상승  50,20300.0,20600.0,20000.0,257995.0,제주항공,089590
2020-04-29,20450.0,상승  250,20450.0,20500.0,20100.0,189580.0,제주항공,089590
2020-05-04,19850.0,하락  600,20350.0,20350.0,19650.0,219334.0,제주항공,089590
2020-05-06,19250.0,하락  600,19850.0,20000.0,19150.0,234539.0,제주항공,089590
2020-05-07,19200.0,하락  50,19200.0,19350.0,18600.0,159721.0,제주항공,089590
