날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,74300.0,"상승  1,800",72500.0,74400.0,72300.0,873.0,조선선재,120030
2020-03-17,70000.0,"하락  4,300",70100.0,73200.0,70000.0,1394.0,조선선재,120030
2020-03-18,72000.0,"상승  2,000",70100.0,72500.0,70100.0,1301.0,조선선재,120030
2020-03-19,69000.0,"하락  3,000",71900.0,72700.0,67500.0,5897.0,조선선재,120030
2020-03-20,70700.0,"상승  1,700",70300.0,71200.0,66300.0,3131.0,조선선재,120030
2020-03-23,68700.0,"하락  2,000",65000.0,68700.0,65000.0,1966.0,조선선재,120030
2020-03-24,70600.0,"상승  1,900",69000.0,70600.0,68500.0,2892.0,조선선재,120030
2020-03-25,72400.0,"상승  1,800",70400.0,74000.0,70400.0,1652.0,조선선재,120030
2020-03-26,73100.0,상승  700,73000.0,75000.0,70200.0,789.0,조선선재,120030
2020-03-27,72200.0,하락  900,72200.0,76000.0,72000.0,1957.0,조선선재,120030
2020-03-30,73300.0,"상승  1,100",74900.0,74900.0,70300.0,666.0,조선선재,120030
2020-03-31,77300.0,"상승  4,000",77000.0,77700.0,74300.0,1631.0,조선선재,120030
2020-04-01,80800.0,"상승  3,500",77500.0,83000.0,75500.0,4194.0,조선선재,120030
2020-04-02,80300.0,하락  500,80800.0,80900.0,77600.0,1628.0,조선선재,120030
2020-04-03,80000.0,하락  300,82800.0,82800.0,79000.0,1299.0,조선선재,120030
2020-04-06,79800.0,하락  200,80000.0,80100.0,79400.0,1741.0,조선선재,120030
2020-04-07,79500.0,하락  300,80000.0,80400.0,78600.0,816.0,조선선재,120030
2020-04-08,79400.0,하락  100,78800.0,79800.0,77100.0,479.0,조선선재,120030
2020-04-09,80000.0,상승  600,82000.0,82000.0,78900.0,3422.0,조선선재,120030
2020-04-10,79500.0,하락  500,80000.0,80000.0,78800.0,526.0,조선선재,120030
2020-04-13,78600.0,하락  900,80000.0,80000.0,77900.0,559.0,조선선재,120030
2020-04-14,79100.0,상승  500,78600.0,80000.0,78200.0,464.0,조선선재,120030
2020-04-16,79300.0,상승  200,76200.0,79300.0,76000.0,449.0,조선선재,120030
2020-04-17,79100.0,하락  200,78200.0,79800.0,78200.0,711.0,조선선재,120030
2020-04-20,79100.0,보합0,79300.0,79400.0,78600.0,2450.0,조선선재,120030
2020-04-21,79000.0,하락  100,79100.0,79900.0,78000.0,1639.0,조선선재,120030
2020-04-22,79000.0,보합0,79100.0,79100.0,78700.0,762.0,조선선재,120030
2020-04-23,79000.0,보합0,79000.0,79000.0,78200.0,1036.0,조선선재,120030
2020-04-24,78800.0,하락  200,79900.0,79900.0,78400.0,1116.0,조선선재,120030
2020-04-27,79400.0,상승  600,78800.0,79900.0,78700.0,609.0,조선선재,120030
2020-04-28,78300.0,"하락  1,100",78300.0,79500.0,76000.0,1226.0,조선선재,120030
2020-04-29,78900.0,상승  600,78700.0,78900.0,78000.0,853.0,조선선재,120030
2020-05-04,80400.0,"상승  1,500",78800.0,80600.0,78800.0,3451.0,조선선재,120030
2020-05-06,80200.0,하락  200,82000.0,82000.0,79600.0,1072.0,조선선재,120030
2020-05-07,79600.0,하락  600,79300.0,80000.0,78500.0,607.0,조선선재,120030
2020-05-08,79200.0,하락  400,79400.0,79900.0,79200.0,277.0,조선선재,120030
2020-05-11,77600.0,"하락  1,600",79200.0,79200.0,77300.0,1854.0,조선선재,120030
2020-05-12,77000.0,하락  600,77600.0,77600.0,76300.0,1119.0,조선선재,120030
2020-05-13,76600.0,하락  400,77000.0,77200.0,75300.0,698.0,조선선재,120030
2020-05-14,75300.0,"하락  1,300",76600.0,76600.0,75100.0,543.0,조선선재,120030
2020-05-15,75300.0,보합0,75300.0,76000.0,73900.0,1566.0,조선선재,120030
2020-05-18,74400.0,하락  900,75400.0,75400.0,73300.0,1406.0,조선선재,120030
2020-05-19,75900.0,"상승  1,500",75000.0,76000.0,74800.0,450.0,조선선재,120030
2020-05-20,76500.0,상승  600,75900.0,76500.0,75600.0,431.0,조선선재,120030
2020-05-21,76500.0,보합0,76500.0,76900.0,76200.0,756.0,조선선재,120030
2020-05-22,75800.0,하락  700,76900.0,76900.0,75500.0,709.0,조선선재,120030
2020-05-25,75800.0,보합0,75800.0,76200.0,75600.0,466.0,조선선재,120030
2020-05-26,76500.0,상승  700,75800.0,76500.0,75600.0,537.0,조선선재,120030
2020-05-27,77800.0,"상승  1,300",76800.0,77900.0,76500.0,3163.0,조선선재,120030
2020-05-28,77600.0,하락  200,78200.0,79800.0,77200.0,1579.0,조선선재,120030
2020-05-29,77900.0,상승  300,77400.0,78300.0,77400.0,344.0,조선선재,120030
2020-06-01,77700.0,하락  200,77900.0,78900.0,77400.0,300.0,조선선재,120030
2020-06-02,101000.0,"상한가  23,300",83100.0,101000.0,83100.0,130874.0,조선선재,120030
2020-06-03,131000.0,"상한가  30,000",116500.0,131000.0,114000.0,271049.0,조선선재,120030
2020-06-04,121500.0,"하락  9,500",143500.0,151500.0,116500.0,284558.0,조선선재,120030
2020-06-05,123500.0,"상승  2,000",123000.0,125000.0,113500.0,159157.0,조선선재,120030
2020-06-08,119000.0,"하락  4,500",121000.0,126000.0,116000.0,115483.0,조선선재,120030
