날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,128000.0,"하락  1,000",129500.0,129500.0,128000.0,224.0,조흥,002600
2020-03-17,126000.0,"하락  2,000",127000.0,127500.0,123500.0,231.0,조흥,002600
2020-03-18,123500.0,"하락  2,500",126000.0,126500.0,123500.0,502.0,조흥,002600
2020-03-19,116000.0,"하락  7,500",123500.0,123500.0,113000.0,231.0,조흥,002600
2020-03-20,116000.0,보합0,116000.0,119000.0,116000.0,180.0,조흥,002600
2020-03-23,113000.0,"하락  3,000",114000.0,114000.0,112000.0,43.0,조흥,002600
2020-03-24,114000.0,"상승  1,000",112000.0,114000.0,112000.0,150.0,조흥,002600
2020-03-25,121000.0,"상승  7,000",113500.0,123500.0,113000.0,215.0,조흥,002600
2020-03-26,120500.0,하락  500,122500.0,124000.0,119000.0,103.0,조흥,002600
2020-03-27,121000.0,상승  500,120500.0,123000.0,120000.0,62.0,조흥,002600
2020-03-30,124000.0,"상승  3,000",120500.0,124000.0,120500.0,50.0,조흥,002600
2020-03-31,127000.0,"상승  3,000",125000.0,127000.0,125000.0,28.0,조흥,002600
2020-04-01,130000.0,"상승  3,000",127000.0,137000.0,127000.0,281.0,조흥,002600
2020-04-02,135000.0,"상승  5,000",128500.0,137500.0,128500.0,417.0,조흥,002600
2020-04-03,136500.0,"상승  1,500",137000.0,137000.0,133000.0,170.0,조흥,002600
2020-04-06,137500.0,"상승  1,000",137500.0,138000.0,135000.0,253.0,조흥,002600
2020-04-07,139000.0,"상승  1,500",138500.0,140000.0,136500.0,298.0,조흥,002600
2020-04-08,136500.0,"하락  2,500",134500.0,140000.0,134500.0,64.0,조흥,002600
2020-04-09,139500.0,"상승  3,000",138000.0,139500.0,136500.0,352.0,조흥,002600
2020-04-10,138000.0,"하락  1,500",140000.0,140000.0,137500.0,68.0,조흥,002600
2020-04-13,133500.0,"하락  4,500",132000.0,136500.0,131500.0,190.0,조흥,002600
2020-04-14,130500.0,"하락  3,000",135500.0,136000.0,130500.0,578.0,조흥,002600
2020-04-16,129500.0,"하락  1,000",130500.0,134000.0,129500.0,93.0,조흥,002600
2020-04-17,131000.0,"상승  1,500",129500.0,135500.0,129500.0,360.0,조흥,002600
2020-04-20,135500.0,"상승  4,500",131500.0,137500.0,131500.0,211.0,조흥,002600
2020-04-21,135000.0,하락  500,137500.0,137500.0,133500.0,278.0,조흥,002600
2020-04-22,134000.0,"하락  1,000",135000.0,136500.0,134000.0,173.0,조흥,002600
2020-04-23,136000.0,"상승  2,000",136500.0,139000.0,134000.0,421.0,조흥,002600
2020-04-24,138000.0,"상승  2,000",136000.0,138000.0,135500.0,103.0,조흥,002600
2020-04-27,144000.0,"상승  6,000",139000.0,144000.0,139000.0,503.0,조흥,002600
2020-04-28,146000.0,"상승  2,000",144000.0,146500.0,143000.0,320.0,조흥,002600
2020-04-29,148000.0,"상승  2,000",146000.0,148000.0,146000.0,135.0,조흥,002600
2020-05-04,149000.0,"상승  1,000",144000.0,149000.0,144000.0,94.0,조흥,002600
2020-05-06,149000.0,보합0,149000.0,149000.0,145000.0,182.0,조흥,002600
2020-05-07,151000.0,"상승  2,000",145500.0,154500.0,145500.0,141.0,조흥,002600
