날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,25900.0,"하락  2,900",27200.0,27300.0,23700.0,158553.0,종근당바이오,063160
2020-03-16,25250.0,하락  650,26850.0,27300.0,25250.0,105154.0,종근당바이오,063160
2020-03-17,26800.0,"상승  1,550",24050.0,28450.0,23700.0,205899.0,종근당바이오,063160
2020-03-18,24250.0,"하락  2,550",26850.0,27900.0,24200.0,156191.0,종근당바이오,063160
2020-03-19,21800.0,"하락  2,450",24650.0,25050.0,20800.0,129696.0,종근당바이오,063160
2020-03-20,24100.0,"상승  2,300",22550.0,24900.0,22150.0,127175.0,종근당바이오,063160
2020-03-23,23150.0,하락  950,22550.0,23900.0,22500.0,41772.0,종근당바이오,063160
2020-03-24,25200.0,"상승  2,050",24000.0,25350.0,23500.0,77615.0,종근당바이오,063160
2020-03-25,25600.0,상승  400,25850.0,27000.0,25200.0,70142.0,종근당바이오,063160
2020-03-26,25350.0,하락  250,25850.0,26300.0,24800.0,84589.0,종근당바이오,063160
2020-03-27,25500.0,상승  150,26100.0,26950.0,24750.0,122413.0,종근당바이오,063160
2020-03-30,26850.0,"상승  1,350",25150.0,27200.0,24600.0,152410.0,종근당바이오,063160
2020-03-31,29000.0,"상승  2,150",27650.0,29000.0,27450.0,160718.0,종근당바이오,063160
2020-04-01,27700.0,"하락  1,300",29000.0,29600.0,27600.0,140441.0,종근당바이오,063160
2020-04-02,28300.0,상승  600,27750.0,28800.0,27000.0,83470.0,종근당바이오,063160
2020-04-03,27350.0,하락  950,27600.0,28800.0,27000.0,126766.0,종근당바이오,063160
2020-04-06,29300.0,"상승  1,950",27550.0,29300.0,27500.0,156830.0,종근당바이오,063160
2020-04-07,30650.0,"상승  1,350",30900.0,30900.0,29250.0,182832.0,종근당바이오,063160
2020-04-08,29800.0,하락  850,30800.0,30800.0,29800.0,65982.0,종근당바이오,063160
2020-04-09,29450.0,하락  350,30350.0,30350.0,29150.0,60757.0,종근당바이오,063160
2020-04-10,30000.0,상승  550,29800.0,30250.0,28850.0,108972.0,종근당바이오,063160
2020-04-13,30700.0,상승  700,30000.0,30800.0,29650.0,124288.0,종근당바이오,063160
2020-04-14,31350.0,상승  650,32600.0,33600.0,31200.0,318305.0,종근당바이오,063160
2020-04-16,31250.0,하락  100,30700.0,32000.0,30500.0,70575.0,종근당바이오,063160
2020-04-17,30900.0,하락  350,31300.0,31700.0,30600.0,79248.0,종근당바이오,063160
2020-04-20,30950.0,상승  50,31100.0,31400.0,30650.0,71966.0,종근당바이오,063160
2020-04-21,30450.0,하락  500,31000.0,31150.0,29050.0,129078.0,종근당바이오,063160
2020-04-22,30900.0,상승  450,30000.0,31050.0,29500.0,48650.0,종근당바이오,063160
2020-04-23,31100.0,상승  200,31300.0,31300.0,30700.0,54098.0,종근당바이오,063160
2020-04-24,30750.0,하락  350,31300.0,31450.0,30550.0,49330.0,종근당바이오,063160
2020-04-27,31100.0,상승  350,31350.0,31750.0,30950.0,81179.0,종근당바이오,063160
2020-04-28,30800.0,하락  300,31600.0,31600.0,30200.0,46643.0,종근당바이오,063160
2020-04-29,30200.0,하락  600,30800.0,30800.0,30150.0,68177.0,종근당바이오,063160
2020-05-04,31150.0,상승  950,30200.0,31650.0,29900.0,109010.0,종근당바이오,063160
2020-05-06,32250.0,"상승  1,100",31200.0,32450.0,31200.0,163206.0,종근당바이오,063160
2020-05-07,32150.0,하락  100,32400.0,32400.0,31800.0,59321.0,종근당바이오,063160
2020-05-08,32100.0,하락  50,32200.0,32550.0,31750.0,65691.0,종근당바이오,063160
2020-05-11,32700.0,상승  600,32250.0,33000.0,31900.0,137110.0,종근당바이오,063160
2020-05-12,32700.0,보합0,32850.0,33200.0,32300.0,99278.0,종근당바이오,063160
2020-05-13,33200.0,상승  500,32700.0,33450.0,32500.0,97194.0,종근당바이오,063160
2020-05-14,33650.0,상승  450,33200.0,34000.0,32950.0,136381.0,종근당바이오,063160
2020-05-15,33500.0,하락  150,34050.0,34850.0,33500.0,145699.0,종근당바이오,063160
2020-05-18,34300.0,상승  800,33900.0,34500.0,33000.0,120175.0,종근당바이오,063160
2020-05-19,33000.0,"하락  1,300",37150.0,37200.0,32500.0,355623.0,종근당바이오,063160
