날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,2590.0,하락  220,2725.0,2930.0,2590.0,443630.0,진양산업,003780
2020-03-17,2640.0,상승  50,2405.0,2690.0,2400.0,478868.0,진양산업,003780
2020-03-18,2500.0,하락  140,2670.0,2740.0,2500.0,360982.0,진양산업,003780
2020-03-19,2200.0,하락  300,2565.0,2600.0,2150.0,562436.0,진양산업,003780
2020-03-20,2290.0,상승  90,2280.0,2335.0,2150.0,393288.0,진양산업,003780
2020-03-23,2055.0,하락  235,2150.0,2165.0,1980.0,507600.0,진양산업,003780
2020-03-24,2215.0,상승  160,2090.0,2215.0,2080.0,365173.0,진양산업,003780
2020-03-25,2470.0,상승  255,2295.0,2565.0,2270.0,491008.0,진양산업,003780
2020-03-26,2555.0,상승  85,2470.0,2680.0,2385.0,345339.0,진양산업,003780
2020-03-27,2695.0,상승  140,2700.0,2770.0,2500.0,347456.0,진양산업,003780
2020-03-30,3000.0,상승  305,2680.0,3000.0,2540.0,505679.0,진양산업,003780
2020-03-31,2950.0,하락  50,3000.0,3160.0,2875.0,292584.0,진양산업,003780
2020-04-01,2870.0,하락  80,2950.0,3055.0,2850.0,218121.0,진양산업,003780
2020-04-02,2880.0,상승  10,2865.0,2930.0,2700.0,229890.0,진양산업,003780
2020-04-03,3085.0,상승  205,2935.0,3120.0,2875.0,357208.0,진양산업,003780
2020-04-06,3165.0,상승  80,3100.0,3225.0,3090.0,281894.0,진양산업,003780
2020-04-07,3170.0,상승  5,3290.0,3325.0,3070.0,282089.0,진양산업,003780
2020-04-08,3265.0,상승  95,3140.0,3385.0,3110.0,409264.0,진양산업,003780
2020-04-09,3280.0,상승  15,3265.0,3380.0,3150.0,259465.0,진양산업,003780
2020-04-10,3285.0,상승  5,3280.0,3520.0,3180.0,1093913.0,진양산업,003780
2020-04-13,3065.0,하락  220,3300.0,3325.0,3065.0,510356.0,진양산업,003780
2020-04-14,3345.0,상승  280,3005.0,3530.0,3005.0,2104770.0,진양산업,003780
2020-04-16,3000.0,하락  345,2825.0,3010.0,2820.0,1260843.0,진양산업,003780
2020-04-17,2990.0,하락  10,3010.0,3070.0,2985.0,503703.0,진양산업,003780
2020-04-20,2985.0,하락  5,3020.0,3045.0,2970.0,324576.0,진양산업,003780
2020-04-21,2960.0,하락  25,2985.0,3050.0,2805.0,478230.0,진양산업,003780
2020-04-22,2965.0,상승  5,2910.0,2965.0,2850.0,183444.0,진양산업,003780
2020-04-23,3015.0,상승  50,2965.0,3020.0,2945.0,222614.0,진양산업,003780
2020-04-24,2900.0,하락  115,3010.0,3010.0,2895.0,280901.0,진양산업,003780
2020-04-27,2945.0,상승  45,2910.0,2960.0,2910.0,251631.0,진양산업,003780
2020-04-28,3000.0,상승  55,2970.0,3020.0,2910.0,271220.0,진양산업,003780
2020-04-29,3065.0,상승  65,3005.0,3075.0,3000.0,386294.0,진양산업,003780
2020-05-04,3070.0,상승  5,3050.0,3095.0,3000.0,248232.0,진양산업,003780
2020-05-06,3195.0,상승  125,3085.0,3195.0,3085.0,282245.0,진양산업,003780
2020-05-07,3240.0,상승  45,3200.0,3275.0,3160.0,185632.0,진양산업,003780
2020-05-08,3340.0,상승  100,3240.0,3345.0,3240.0,240237.0,진양산업,003780
2020-05-11,3260.0,하락  80,3330.0,3335.0,3205.0,214864.0,진양산업,003780
2020-05-12,3190.0,하락  70,3260.0,3290.0,3135.0,204606.0,진양산업,003780
2020-05-13,3185.0,하락  5,3150.0,3215.0,3125.0,153574.0,진양산업,003780
2020-05-14,3160.0,하락  25,3140.0,3175.0,3115.0,127135.0,진양산업,003780
2020-05-15,3130.0,하락  30,3135.0,3200.0,3110.0,131462.0,진양산업,003780
2020-05-18,3200.0,상승  70,3165.0,3225.0,3095.0,174457.0,진양산업,003780
2020-05-19,3285.0,상승  85,3235.0,3325.0,3185.0,210009.0,진양산업,003780
2020-05-20,3350.0,상승  65,3285.0,3580.0,3235.0,1091386.0,진양산업,003780
2020-05-21,3375.0,상승  25,3395.0,3425.0,3350.0,319673.0,진양산업,003780
2020-05-22,3275.0,하락  100,3375.0,3415.0,3240.0,269588.0,진양산업,003780
2020-05-25,3325.0,상승  50,3280.0,3345.0,3245.0,175804.0,진양산업,003780
2020-05-26,3360.0,상승  35,3345.0,3425.0,3330.0,154202.0,진양산업,003780
2020-05-27,3390.0,상승  30,3360.0,3415.0,3345.0,148445.0,진양산업,003780
2020-05-28,3310.0,하락  80,3395.0,3400.0,3235.0,327570.0,진양산업,003780
2020-05-29,3370.0,상승  60,3275.0,3425.0,3260.0,366339.0,진양산업,003780
2020-06-01,3460.0,상승  90,3370.0,3480.0,3330.0,289292.0,진양산업,003780
2020-06-02,3475.0,상승  15,3465.0,3690.0,3440.0,802782.0,진양산업,003780
2020-06-03,3500.0,상승  25,3485.0,3535.0,3455.0,189913.0,진양산업,003780
2020-06-04,3535.0,상승  35,3500.0,3535.0,3480.0,157940.0,진양산업,003780
2020-06-05,3535.0,보합0,3540.0,3545.0,3480.0,128001.0,진양산업,003780
2020-06-08,3495.0,하락  40,3550.0,3550.0,3480.0,111324.0,진양산업,003780
2020-06-09,3490.0,하락  5,3500.0,3595.0,3450.0,124702.0,진양산업,003780
2020-06-10,3450.0,하락  40,3500.0,3500.0,3435.0,70297.0,진양산업,003780
2020-06-11,3360.0,하락  90,3430.0,3450.0,3330.0,129159.0,진양산업,003780
2020-06-12,3265.0,하락  95,3150.0,3275.0,3120.0,224823.0,진양산업,003780
2020-06-15,3085.0,하락  180,3265.0,3290.0,3055.0,303721.0,진양산업,003780
2020-06-16,3250.0,상승  165,3130.0,3280.0,3130.0,146616.0,진양산업,003780
2020-06-17,3240.0,하락  10,3240.0,3270.0,3145.0,84812.0,진양산업,003780
2020-06-18,3255.0,상승  15,3240.0,3270.0,3200.0,91118.0,진양산업,003780
2020-06-19,3285.0,상승  30,3280.0,3290.0,3205.0,56467.0,진양산업,003780
2020-06-22,3295.0,상승  10,3265.0,3330.0,3255.0,77080.0,진양산업,003780
2020-06-23,3295.0,보합0,3305.0,3600.0,3250.0,530102.0,진양산업,003780
2020-06-24,3335.0,상승  40,3310.0,3360.0,3295.0,97606.0,진양산업,003780
2020-06-25,3330.0,하락  5,3335.0,3335.0,3270.0,61789.0,진양산업,003780
2020-06-26,3365.0,상승  35,3340.0,3380.0,3305.0,101384.0,진양산업,003780
2020-06-29,3245.0,하락  120,3335.0,3335.0,3235.0,83683.0,진양산업,003780
2020-06-30,3240.0,하락  5,3245.0,3300.0,3205.0,80032.0,진양산업,003780
2020-07-01,3205.0,하락  35,3250.0,3290.0,3200.0,103478.0,진양산업,003780
2020-07-02,3310.0,상승  105,3210.0,3440.0,3205.0,425400.0,진양산업,003780
2020-07-03,3410.0,상승  100,3315.0,3430.0,3280.0,275000.0,진양산업,003780
2020-07-06,3505.0,상승  95,3430.0,3540.0,3380.0,396945.0,진양산업,003780
2020-07-07,3385.0,하락  120,3570.0,3570.0,3345.0,514923.0,진양산업,003780
2020-07-08,3390.0,상승  5,3385.0,3420.0,3330.0,123917.0,진양산업,003780
2020-07-09,3325.0,하락  65,3390.0,3415.0,3315.0,113975.0,진양산업,003780
2020-07-10,4320.0,상한가  995,4255.0,4320.0,4040.0,14222530.0,진양산업,003780
2020-07-13,4015.0,하락  305,4230.0,4420.0,3895.0,9942224.0,진양산업,003780
2020-07-14,3950.0,하락  65,3940.0,3980.0,3820.0,1643024.0,진양산업,003780
2020-07-15,3905.0,하락  45,3885.0,4020.0,3885.0,1124790.0,진양산업,003780
2020-07-16,3805.0,하락  100,3905.0,3970.0,3765.0,863558.0,진양산업,003780
2020-07-17,3755.0,하락  50,3805.0,3830.0,3675.0,834413.0,진양산업,003780
2020-07-20,3665.0,하락  90,3700.0,3730.0,3605.0,571806.0,진양산업,003780
2020-07-21,3665.0,보합0,3660.0,3695.0,3625.0,393869.0,진양산업,003780
2020-07-22,3640.0,하락  25,3645.0,3675.0,3595.0,335460.0,진양산업,003780
2020-07-23,3645.0,상승  5,3660.0,3750.0,3610.0,814537.0,진양산업,003780
2020-07-24,3660.0,상승  15,3655.0,3745.0,3610.0,459535.0,진양산업,003780
2020-07-27,3660.0,보합0,3705.0,3720.0,3635.0,294151.0,진양산업,003780
2020-07-28,3665.0,상승  5,3665.0,3730.0,3650.0,330180.0,진양산업,003780
2020-07-29,3720.0,상승  55,3670.0,3745.0,3640.0,286577.0,진양산업,003780
2020-07-30,3635.0,하락  85,3720.0,3755.0,3635.0,307632.0,진양산업,003780
2020-07-31,3550.0,하락  85,3600.0,3640.0,3550.0,303580.0,진양산업,003780
2020-08-03,3550.0,보합0,3560.0,3600.0,3535.0,155910.0,진양산업,003780
2020-08-04,3670.0,상승  120,3555.0,3670.0,3550.0,234042.0,진양산업,003780
2020-08-05,3605.0,하락  65,3670.0,3685.0,3600.0,159981.0,진양산업,003780
2020-08-06,3615.0,상승  10,3605.0,3670.0,3590.0,138884.0,진양산업,003780
2020-08-07,3700.0,상승  85,3645.0,3720.0,3635.0,247567.0,진양산업,003780
