날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,2710.0,하락  670,3100.0,3200.0,2470.0,774117.0,진양화학,051630
2020-03-16,2240.0,하락  470,2635.0,2720.0,2220.0,1030282.0,진양화학,051630
2020-03-17,2300.0,상승  60,2050.0,2340.0,2030.0,515128.0,진양화학,051630
2020-03-18,2160.0,하락  140,2360.0,2500.0,2160.0,289708.0,진양화학,051630
2020-03-19,1950.0,하락  210,2195.0,2280.0,1630.0,321899.0,진양화학,051630
2020-03-20,2000.0,상승  50,1950.0,2040.0,1885.0,217820.0,진양화학,051630
2020-03-23,1860.0,하락  140,1840.0,1865.0,1730.0,140701.0,진양화학,051630
2020-03-24,1955.0,상승  95,1865.0,1980.0,1865.0,170873.0,진양화학,051630
2020-03-25,2180.0,상승  225,2020.0,2325.0,2010.0,584358.0,진양화학,051630
2020-03-26,2320.0,상승  140,2230.0,2540.0,2140.0,580844.0,진양화학,051630
2020-03-27,2430.0,상승  110,2490.0,2535.0,2245.0,292592.0,진양화학,051630
2020-03-30,3100.0,상승  670,2325.0,3100.0,2320.0,469501.0,진양화학,051630
2020-03-31,3015.0,하락  85,3200.0,3330.0,2905.0,388690.0,진양화학,051630
2020-04-01,2960.0,하락  55,3035.0,3160.0,2850.0,231457.0,진양화학,051630
2020-04-02,2850.0,하락  110,2955.0,2960.0,2700.0,244141.0,진양화학,051630
2020-04-03,3020.0,상승  170,2895.0,3050.0,2895.0,254980.0,진양화학,051630
2020-04-06,3200.0,상승  180,3260.0,3275.0,3045.0,361932.0,진양화학,051630
2020-04-07,3210.0,상승  10,3270.0,3270.0,3010.0,391697.0,진양화학,051630
2020-04-08,3140.0,하락  70,3210.0,3245.0,3075.0,187041.0,진양화학,051630
2020-04-09,3130.0,하락  10,3110.0,3215.0,3085.0,267027.0,진양화학,051630
2020-04-10,3015.0,하락  115,3090.0,3250.0,2800.0,351480.0,진양화학,051630
2020-04-13,3040.0,상승  25,3015.0,3095.0,2905.0,224306.0,진양화학,051630
2020-04-14,3695.0,상승  655,3045.0,3900.0,3020.0,4288485.0,진양화학,051630
2020-04-16,2800.0,하락  895,2840.0,2910.0,2750.0,2825206.0,진양화학,051630
2020-04-17,2775.0,하락  25,2790.0,2835.0,2755.0,656675.0,진양화학,051630
2020-04-20,2735.0,하락  40,2765.0,2800.0,2700.0,476034.0,진양화학,051630
2020-04-21,2680.0,하락  55,2710.0,2805.0,2510.0,491462.0,진양화학,051630
2020-04-22,2690.0,상승  10,2630.0,2690.0,2600.0,145980.0,진양화학,051630
2020-04-23,2710.0,상승  20,2740.0,2770.0,2675.0,282435.0,진양화학,051630
2020-04-24,2595.0,하락  115,2690.0,2740.0,2555.0,252728.0,진양화학,051630
2020-04-27,2675.0,상승  80,2590.0,2705.0,2590.0,138811.0,진양화학,051630
2020-04-28,2710.0,상승  35,2680.0,2765.0,2640.0,228358.0,진양화학,051630
2020-04-29,2710.0,보합0,2710.0,2770.0,2690.0,153636.0,진양화학,051630
2020-05-04,2690.0,하락  20,2700.0,2730.0,2650.0,148571.0,진양화학,051630
2020-05-06,2745.0,상승  55,2745.0,2760.0,2680.0,126371.0,진양화학,051630
2020-05-07,2750.0,상승  5,2750.0,2775.0,2710.0,96736.0,진양화학,051630
2020-05-08,2785.0,상승  35,2800.0,2800.0,2740.0,128335.0,진양화학,051630
2020-05-11,2745.0,하락  40,2790.0,2800.0,2710.0,159227.0,진양화학,051630
2020-05-12,2690.0,하락  55,2725.0,2760.0,2650.0,93432.0,진양화학,051630
2020-05-13,2695.0,상승  5,2615.0,2725.0,2615.0,56231.0,진양화학,051630
2020-05-14,2620.0,하락  75,2695.0,2695.0,2620.0,85753.0,진양화학,051630
2020-05-15,2610.0,하락  10,2660.0,2670.0,2580.0,79698.0,진양화학,051630
2020-05-18,2615.0,상승  5,2620.0,2645.0,2580.0,46498.0,진양화학,051630
2020-05-19,2685.0,상승  70,2650.0,2715.0,2630.0,81955.0,진양화학,051630
2020-05-20,2960.0,상승  275,2700.0,3255.0,2690.0,5867919.0,진양화학,051630
2020-05-21,2995.0,상승  35,2980.0,3130.0,2925.0,894112.0,진양화학,051630
2020-05-22,2920.0,하락  75,3010.0,3020.0,2910.0,256297.0,진양화학,051630
2020-05-25,2950.0,상승  30,2950.0,2960.0,2820.0,159300.0,진양화학,051630
2020-05-26,3005.0,상승  55,2930.0,3025.0,2930.0,215520.0,진양화학,051630
2020-05-27,3030.0,상승  25,3005.0,3090.0,2985.0,288739.0,진양화학,051630
2020-05-28,2950.0,하락  80,3080.0,3090.0,2870.0,321399.0,진양화학,051630
2020-05-29,3020.0,상승  70,2930.0,3020.0,2850.0,227217.0,진양화학,051630
2020-06-01,2990.0,하락  30,3010.0,3070.0,2975.0,201720.0,진양화학,051630
2020-06-02,3120.0,상승  130,3010.0,3490.0,2980.0,1937526.0,진양화학,051630
2020-06-03,3105.0,하락  15,3115.0,3150.0,3055.0,306060.0,진양화학,051630
2020-06-04,3255.0,상승  150,3105.0,3285.0,3085.0,522417.0,진양화학,051630
2020-06-05,3390.0,상승  135,3260.0,3390.0,3200.0,397013.0,진양화학,051630
2020-06-08,3340.0,하락  50,3420.0,3550.0,3260.0,335831.0,진양화학,051630
2020-06-09,3290.0,하락  50,3390.0,3390.0,3280.0,160962.0,진양화학,051630
2020-06-10,3220.0,하락  70,3285.0,3340.0,3135.0,129632.0,진양화학,051630
2020-06-11,3160.0,하락  60,3220.0,3255.0,3130.0,124200.0,진양화학,051630
2020-06-12,3070.0,하락  90,3010.0,3070.0,2980.0,165504.0,진양화학,051630
2020-06-15,2775.0,하락  295,3015.0,3065.0,2775.0,178216.0,진양화학,051630
2020-06-16,2945.0,상승  170,2810.0,2960.0,2810.0,76479.0,진양화학,051630
2020-06-17,2885.0,하락  60,2935.0,2950.0,2825.0,56819.0,진양화학,051630
2020-06-18,2925.0,상승  40,2895.0,2985.0,2865.0,67637.0,진양화학,051630
2020-06-19,2965.0,상승  40,2980.0,2990.0,2875.0,69878.0,진양화학,051630
2020-06-22,2960.0,하락  5,2985.0,2985.0,2905.0,74573.0,진양화학,051630
2020-06-23,3040.0,상승  80,2960.0,3255.0,2950.0,582397.0,진양화학,051630
2020-06-24,3075.0,상승  35,3070.0,3080.0,2995.0,112915.0,진양화학,051630
2020-06-25,3040.0,하락  35,3070.0,3075.0,2980.0,78439.0,진양화학,051630
2020-06-26,3040.0,보합0,3035.0,3150.0,2980.0,115268.0,진양화학,051630
2020-06-29,3025.0,하락  15,3040.0,3040.0,2960.0,89764.0,진양화학,051630
2020-06-30,2975.0,하락  50,3010.0,3030.0,2915.0,85252.0,진양화학,051630
2020-07-01,2990.0,상승  15,3005.0,3155.0,2905.0,247051.0,진양화학,051630
2020-07-02,3195.0,상승  205,3000.0,3290.0,3000.0,615332.0,진양화학,051630
2020-07-03,3200.0,상승  5,3190.0,3225.0,3140.0,209613.0,진양화학,051630
2020-07-06,3310.0,상승  110,3345.0,3345.0,3130.0,458332.0,진양화학,051630
2020-07-07,3115.0,하락  195,3320.0,3535.0,3110.0,1390536.0,진양화학,051630
2020-07-08,3160.0,상승  45,3090.0,3195.0,3050.0,216113.0,진양화학,051630
2020-07-09,3065.0,하락  95,3160.0,3195.0,3050.0,228172.0,진양화학,051630
2020-07-10,3980.0,상한가  915,3980.0,3980.0,3980.0,1265093.0,진양화학,051630
2020-07-13,4490.0,상승  510,4305.0,4970.0,4240.0,10990255.0,진양화학,051630
2020-07-14,4530.0,상승  40,4405.0,4590.0,4300.0,2080316.0,진양화학,051630
2020-07-15,4415.0,하락  115,4480.0,4735.0,4385.0,2159636.0,진양화학,051630
2020-07-16,4095.0,하락  320,4425.0,4520.0,4035.0,1103882.0,진양화학,051630
2020-07-17,4240.0,상승  145,4100.0,4240.0,4020.0,517238.0,진양화학,051630
2020-07-20,3885.0,하락  355,4055.0,4115.0,3850.0,847815.0,진양화학,051630
2020-07-21,3825.0,하락  60,3885.0,3960.0,3810.0,269714.0,진양화학,051630
2020-07-22,3795.0,하락  30,3825.0,3885.0,3745.0,313058.0,진양화학,051630
2020-07-23,3690.0,하락  105,3795.0,3835.0,3665.0,345628.0,진양화학,051630
2020-07-24,3685.0,하락  5,3700.0,3760.0,3565.0,295580.0,진양화학,051630
2020-07-27,3625.0,하락  60,3725.0,3785.0,3600.0,245451.0,진양화학,051630
2020-07-28,3610.0,하락  15,3655.0,3720.0,3580.0,203793.0,진양화학,051630
2020-07-29,3690.0,상승  80,3585.0,3720.0,3535.0,172588.0,진양화학,051630
2020-07-30,3665.0,하락  25,3690.0,3715.0,3585.0,112831.0,진양화학,051630
2020-07-31,3575.0,하락  90,3610.0,3650.0,3565.0,112491.0,진양화학,051630
2020-08-03,3600.0,상승  25,3600.0,3640.0,3545.0,102555.0,진양화학,051630
2020-08-04,3675.0,상승  75,3565.0,3710.0,3550.0,130992.0,진양화학,051630
2020-08-05,3700.0,상승  25,3680.0,3745.0,3645.0,120529.0,진양화학,051630
2020-08-06,3690.0,하락  10,3730.0,3740.0,3650.0,96939.0,진양화학,051630
2020-08-07,3670.0,하락  20,3720.0,3730.0,3635.0,102924.0,진양화학,051630
2020-08-10,3695.0,상승  25,3670.0,3710.0,3615.0,88732.0,진양화학,051630
2020-08-11,3665.0,하락  30,3690.0,3735.0,3645.0,84763.0,진양화학,051630
2020-08-12,3545.0,하락  120,3630.0,3665.0,3505.0,122740.0,진양화학,051630
2020-08-13,3725.0,상승  180,3560.0,3740.0,3500.0,264768.0,진양화학,051630
2020-08-14,3850.0,상승  125,3765.0,4140.0,3675.0,1385027.0,진양화학,051630
2020-08-18,3310.0,하락  540,3830.0,3830.0,3295.0,443585.0,진양화학,051630
2020-08-19,3490.0,상승  180,3430.0,3495.0,3310.0,137948.0,진양화학,051630
2020-08-20,3295.0,하락  195,3490.0,3490.0,3235.0,135159.0,진양화학,051630
2020-08-21,3330.0,상승  35,3300.0,3395.0,3210.0,167322.0,진양화학,051630
2020-08-24,3280.0,하락  50,3290.0,3340.0,3110.0,75543.0,진양화학,051630
2020-08-25,3400.0,상승  120,3375.0,3440.0,3315.0,59027.0,진양화학,051630
2020-08-26,3500.0,상승  100,3435.0,3525.0,3320.0,83411.0,진양화학,051630
2020-08-27,3480.0,하락  20,3470.0,3560.0,3370.0,81704.0,진양화학,051630
2020-08-28,3500.0,상승  20,3500.0,3575.0,3425.0,105022.0,진양화학,051630
2020-08-31,3605.0,상승  105,3605.0,3760.0,3500.0,212766.0,진양화학,051630
2020-09-01,3770.0,상승  165,3565.0,3830.0,3565.0,278659.0,진양화학,051630
2020-09-02,3675.0,하락  95,3770.0,3820.0,3615.0,105975.0,진양화학,051630
2020-09-03,3790.0,상승  115,3780.0,3980.0,3685.0,783514.0,진양화학,051630
2020-09-04,3860.0,상승  70,4100.0,4645.0,3825.0,6271411.0,진양화학,051630
2020-09-07,3730.0,하락  130,3855.0,3855.0,3700.0,539957.0,진양화학,051630
2020-09-08,3630.0,하락  100,3740.0,3825.0,3590.0,359197.0,진양화학,051630
2020-09-09,3645.0,상승  15,3535.0,3670.0,3505.0,194535.0,진양화학,051630
2020-09-10,3695.0,상승  50,3645.0,3745.0,3630.0,136829.0,진양화학,051630
2020-09-11,3770.0,상승  75,3790.0,3875.0,3700.0,267423.0,진양화학,051630
2020-09-14,3775.0,상승  5,3750.0,3850.0,3750.0,125646.0,진양화학,051630
2020-09-15,3770.0,하락  5,3785.0,3845.0,3715.0,120377.0,진양화학,051630
2020-09-16,3965.0,상승  195,3770.0,4540.0,3705.0,3741014.0,진양화학,051630
2020-09-17,4315.0,상승  350,3940.0,4445.0,3935.0,2862689.0,진양화학,051630
2020-09-18,4140.0,하락  175,4150.0,4320.0,4130.0,446015.0,진양화학,051630
2020-09-21,4190.0,상승  50,4140.0,4540.0,4100.0,842705.0,진양화학,051630
2020-09-22,4150.0,하락  40,4190.0,4480.0,4135.0,892437.0,진양화학,051630
2020-09-23,4425.0,상승  275,4240.0,4445.0,4055.0,751074.0,진양화학,051630
2020-09-24,4225.0,하락  200,4325.0,4450.0,4115.0,517568.0,진양화학,051630
2020-09-25,4250.0,상승  25,4280.0,4435.0,4125.0,494670.0,진양화학,051630
2020-09-28,4265.0,상승  15,4255.0,4365.0,4155.0,256056.0,진양화학,051630
2020-09-29,4425.0,상승  160,4300.0,4500.0,4265.0,405938.0,진양화학,051630
2020-10-05,4300.0,하락  125,4475.0,4475.0,4265.0,244989.0,진양화학,051630
2020-10-06,4320.0,상승  20,4330.0,4410.0,4270.0,180625.0,진양화학,051630
2020-10-07,4530.0,상승  210,4315.0,4680.0,4300.0,698379.0,진양화학,051630
2020-10-08,4570.0,상승  40,4535.0,4605.0,4380.0,291797.0,진양화학,051630
2020-10-12,4920.0,상승  350,4850.0,5180.0,4700.0,1088636.0,진양화학,051630
2020-10-13,4890.0,하락  30,5010.0,5020.0,4785.0,328796.0,진양화학,051630
2020-10-14,4965.0,상승  75,4860.0,5770.0,4830.0,5101384.0,진양화학,051630
2020-10-15,5280.0,상승  315,4965.0,5320.0,4835.0,1818795.0,진양화학,051630
