날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,1690.0,하락  95,1810.0,1840.0,1690.0,198458.0,진흥기업,002780
2020-03-17,1730.0,상승  40,1540.0,1745.0,1540.0,132574.0,진흥기업,002780
2020-03-18,1610.0,하락  120,1710.0,1760.0,1605.0,86023.0,진흥기업,002780
2020-03-19,1380.0,하락  230,1610.0,1665.0,1330.0,284572.0,진흥기업,002780
2020-03-20,1445.0,상승  65,1475.0,1475.0,1350.0,97067.0,진흥기업,002780
2020-03-23,1385.0,하락  60,1340.0,1435.0,1340.0,68859.0,진흥기업,002780
2020-03-24,1475.0,상승  90,1395.0,1525.0,1390.0,164041.0,진흥기업,002780
2020-03-25,1520.0,상승  45,1520.0,1545.0,1490.0,147388.0,진흥기업,002780
2020-03-26,1560.0,상승  40,1540.0,1585.0,1505.0,205352.0,진흥기업,002780
2020-03-27,1670.0,상승  110,1600.0,2025.0,1550.0,1296757.0,진흥기업,002780
2020-03-30,1765.0,상승  95,1680.0,1820.0,1680.0,290172.0,진흥기업,002780
2020-03-31,1895.0,상승  130,1820.0,1930.0,1795.0,451250.0,진흥기업,002780
2020-04-01,1795.0,하락  100,1895.0,1930.0,1750.0,245444.0,진흥기업,002780
2020-04-02,1855.0,상승  60,1770.0,1900.0,1770.0,171613.0,진흥기업,002780
2020-04-03,1865.0,상승  10,1870.0,1900.0,1825.0,173484.0,진흥기업,002780
2020-04-06,1885.0,상승  20,1875.0,1900.0,1855.0,141592.0,진흥기업,002780
2020-04-07,1905.0,상승  20,1935.0,1935.0,1870.0,146549.0,진흥기업,002780
2020-04-08,1905.0,보합0,1890.0,1945.0,1865.0,100445.0,진흥기업,002780
2020-04-09,1915.0,상승  10,1930.0,1935.0,1880.0,123417.0,진흥기업,002780
2020-04-10,1975.0,상승  60,1930.0,2020.0,1900.0,274923.0,진흥기업,002780
2020-04-13,1945.0,하락  30,1975.0,1985.0,1905.0,96923.0,진흥기업,002780
2020-04-14,1995.0,상승  50,1950.0,2010.0,1930.0,232666.0,진흥기업,002780
2020-04-16,2000.0,상승  5,2020.0,2020.0,1930.0,213303.0,진흥기업,002780
2020-04-17,2105.0,상승  105,2040.0,2295.0,2000.0,1258150.0,진흥기업,002780
2020-04-20,2100.0,하락  5,2130.0,2150.0,2070.0,210915.0,진흥기업,002780
2020-04-21,2070.0,하락  30,2070.0,2140.0,1960.0,273274.0,진흥기업,002780
2020-04-22,2095.0,상승  25,2035.0,2095.0,1995.0,110298.0,진흥기업,002780
2020-04-23,2090.0,하락  5,2100.0,2110.0,2070.0,94502.0,진흥기업,002780
2020-04-24,2090.0,보합0,2090.0,2095.0,2040.0,49345.0,진흥기업,002780
2020-04-27,2080.0,하락  10,2070.0,2095.0,2050.0,77471.0,진흥기업,002780
2020-04-28,2195.0,상승  115,2100.0,2280.0,2045.0,775043.0,진흥기업,002780
2020-04-29,2195.0,보합0,2225.0,2275.0,2170.0,352362.0,진흥기업,002780
2020-05-04,2175.0,하락  20,2170.0,2215.0,2160.0,107525.0,진흥기업,002780
2020-05-06,2200.0,상승  25,2190.0,2220.0,2155.0,127240.0,진흥기업,002780
2020-05-07,2195.0,하락  5,2205.0,2230.0,2160.0,95803.0,진흥기업,002780
2020-05-08,2175.0,하락  20,2230.0,2230.0,2175.0,120274.0,진흥기업,002780
2020-05-11,2130.0,하락  45,2195.0,2195.0,2115.0,84293.0,진흥기업,002780
2020-05-12,2095.0,하락  35,2155.0,2155.0,2045.0,117828.0,진흥기업,002780
2020-05-13,2075.0,하락  20,2060.0,2090.0,2050.0,33613.0,진흥기업,002780
2020-05-14,2080.0,상승  5,2045.0,2085.0,2045.0,51710.0,진흥기업,002780
2020-05-15,2115.0,상승  35,2110.0,2115.0,2045.0,74194.0,진흥기업,002780
2020-05-18,2095.0,하락  20,2115.0,2130.0,2045.0,47687.0,진흥기업,002780
2020-05-19,2075.0,하락  20,2095.0,2115.0,2065.0,104213.0,진흥기업,002780
2020-05-20,2100.0,상승  25,2090.0,2100.0,2060.0,65653.0,진흥기업,002780
2020-05-21,2075.0,하락  25,2100.0,2100.0,2065.0,106491.0,진흥기업,002780
2020-05-22,2070.0,하락  5,2075.0,2085.0,2030.0,78640.0,진흥기업,002780
2020-05-25,2050.0,하락  20,2055.0,2075.0,2035.0,46302.0,진흥기업,002780
2020-05-26,2065.0,상승  15,2060.0,2075.0,2045.0,58800.0,진흥기업,002780
2020-05-27,2070.0,상승  5,2065.0,2075.0,2045.0,36476.0,진흥기업,002780
2020-05-28,2075.0,상승  5,2075.0,2115.0,2030.0,121741.0,진흥기업,002780
2020-05-29,2070.0,하락  5,2075.0,2075.0,2030.0,72649.0,진흥기업,002780
2020-06-01,2055.0,하락  15,2075.0,2075.0,2045.0,43033.0,진흥기업,002780
2020-06-02,2055.0,보합0,2060.0,2085.0,2050.0,94583.0,진흥기업,002780
2020-06-03,2075.0,상승  20,2075.0,2090.0,2050.0,92284.0,진흥기업,002780
2020-06-04,2075.0,보합0,2075.0,2100.0,2060.0,104066.0,진흥기업,002780
2020-06-05,2090.0,상승  15,2075.0,2090.0,2070.0,70597.0,진흥기업,002780
2020-06-08,2085.0,하락  5,2095.0,2100.0,2075.0,47989.0,진흥기업,002780
2020-06-09,2105.0,상승  20,2080.0,2135.0,2080.0,160806.0,진흥기업,002780
2020-06-10,2095.0,하락  10,2105.0,2110.0,2080.0,100137.0,진흥기업,002780
2020-06-11,2040.0,하락  55,2115.0,2115.0,2035.0,73685.0,진흥기업,002780
2020-06-12,2010.0,하락  30,2010.0,2060.0,1900.0,200705.0,진흥기업,002780
2020-06-15,1910.0,하락  100,2010.0,2030.0,1895.0,85273.0,진흥기업,002780
2020-06-16,1960.0,상승  50,1950.0,1990.0,1950.0,72408.0,진흥기업,002780
2020-06-17,1965.0,상승  5,1920.0,1990.0,1920.0,80230.0,진흥기업,002780
2020-06-18,1960.0,하락  5,1950.0,1990.0,1935.0,68331.0,진흥기업,002780
2020-06-19,1950.0,하락  10,1975.0,1985.0,1925.0,44039.0,진흥기업,002780
2020-06-22,1960.0,상승  10,1950.0,1990.0,1925.0,33305.0,진흥기업,002780
2020-06-23,1975.0,상승  15,1990.0,2000.0,1935.0,87528.0,진흥기업,002780
2020-06-24,1975.0,보합0,1990.0,1990.0,1960.0,16756.0,진흥기업,002780
2020-06-25,1980.0,상승  5,1960.0,1995.0,1925.0,53585.0,진흥기업,002780
2020-06-26,1960.0,하락  20,1990.0,1990.0,1930.0,21957.0,진흥기업,002780
2020-06-29,1945.0,하락  15,1960.0,1990.0,1940.0,39089.0,진흥기업,002780
2020-06-30,1970.0,상승  25,1955.0,1975.0,1945.0,35944.0,진흥기업,002780
2020-07-01,1945.0,하락  25,1970.0,1985.0,1855.0,42931.0,진흥기업,002780
2020-07-02,1930.0,하락  15,1935.0,1945.0,1925.0,15331.0,진흥기업,002780
2020-07-03,1950.0,상승  20,1940.0,1950.0,1920.0,24014.0,진흥기업,002780
2020-07-06,1945.0,하락  5,1960.0,1960.0,1930.0,12127.0,진흥기업,002780
2020-07-07,1945.0,보합0,1960.0,1960.0,1915.0,25376.0,진흥기업,002780
2020-07-08,1950.0,상승  5,1940.0,1995.0,1925.0,234080.0,진흥기업,002780
2020-07-09,2330.0,상승  380,2140.0,2465.0,2140.0,8344391.0,진흥기업,002780
2020-07-10,2350.0,상승  20,2520.0,2950.0,2340.0,9422553.0,진흥기업,002780
2020-07-13,2475.0,상승  125,2450.0,2520.0,2335.0,1312347.0,진흥기업,002780
2020-07-14,2475.0,보합0,2450.0,2500.0,2380.0,711751.0,진흥기업,002780
2020-07-15,2540.0,상승  65,2455.0,2600.0,2405.0,1614150.0,진흥기업,002780
2020-07-16,2695.0,상승  155,2940.0,3105.0,2650.0,7614976.0,진흥기업,002780
2020-07-17,2665.0,하락  30,2700.0,2715.0,2585.0,859005.0,진흥기업,002780
2020-07-20,2495.0,하락  170,2635.0,2635.0,2485.0,1047526.0,진흥기업,002780
2020-07-21,2840.0,상승  345,2540.0,3075.0,2510.0,10792517.0,진흥기업,002780
2020-07-22,2700.0,하락  140,2765.0,2800.0,2650.0,1243240.0,진흥기업,002780
2020-07-23,2565.0,하락  135,2675.0,2685.0,2545.0,887626.0,진흥기업,002780
2020-07-24,2520.0,하락  45,2540.0,2610.0,2480.0,522220.0,진흥기업,002780
2020-07-27,2535.0,상승  15,2530.0,2575.0,2520.0,225604.0,진흥기업,002780
2020-07-28,2515.0,하락  20,2540.0,2590.0,2440.0,309909.0,진흥기업,002780
2020-07-29,2500.0,하락  15,2500.0,2540.0,2475.0,189349.0,진흥기업,002780
2020-07-30,2540.0,상승  40,2450.0,2540.0,2440.0,232779.0,진흥기업,002780
2020-07-31,2490.0,하락  50,2510.0,2550.0,2485.0,118841.0,진흥기업,002780
2020-08-03,2585.0,상승  95,2475.0,2595.0,2445.0,334778.0,진흥기업,002780
2020-08-04,2605.0,상승  20,2585.0,2615.0,2545.0,270766.0,진흥기업,002780
2020-08-05,2485.0,하락  120,2590.0,2615.0,2455.0,276705.0,진흥기업,002780
2020-08-06,2380.0,하락  105,2475.0,2505.0,2340.0,391600.0,진흥기업,002780
2020-08-07,2365.0,하락  15,2410.0,2410.0,2330.0,195887.0,진흥기업,002780
2020-08-10,2370.0,상승  5,2400.0,2400.0,2335.0,116169.0,진흥기업,002780
2020-08-11,2395.0,상승  25,2380.0,2485.0,2355.0,395143.0,진흥기업,002780
2020-08-12,2360.0,하락  35,2395.0,2395.0,2295.0,266420.0,진흥기업,002780
2020-08-13,2335.0,하락  25,2360.0,2365.0,2275.0,154894.0,진흥기업,002780
2020-08-14,2275.0,하락  60,2310.0,2355.0,2265.0,113117.0,진흥기업,002780
2020-08-18,2130.0,하락  145,2270.0,2300.0,2100.0,199632.0,진흥기업,002780
2020-08-19,2200.0,상승  70,2115.0,2210.0,2115.0,57955.0,진흥기업,002780
2020-08-20,2060.0,하락  140,2215.0,2215.0,2020.0,280822.0,진흥기업,002780
2020-08-21,2055.0,하락  5,2060.0,2090.0,2000.0,85066.0,진흥기업,002780
2020-08-24,2080.0,상승  25,2045.0,2085.0,2010.0,67164.0,진흥기업,002780
2020-08-25,2125.0,상승  45,2080.0,2125.0,2080.0,46775.0,진흥기업,002780
2020-08-26,2080.0,하락  45,2120.0,2125.0,2055.0,86256.0,진흥기업,002780
2020-08-27,2030.0,하락  50,2080.0,2080.0,2015.0,130765.0,진흥기업,002780
2020-08-28,2055.0,상승  25,2060.0,2060.0,2030.0,60852.0,진흥기업,002780
2020-08-31,2060.0,상승  5,2075.0,2080.0,2035.0,86430.0,진흥기업,002780
2020-09-01,2100.0,상승  40,2060.0,2100.0,2040.0,55669.0,진흥기업,002780
2020-09-02,2135.0,상승  35,2110.0,2145.0,2095.0,124160.0,진흥기업,002780
2020-09-03,2175.0,상승  40,2135.0,2190.0,2120.0,117524.0,진흥기업,002780
2020-09-04,2175.0,보합0,2115.0,2200.0,2050.0,176443.0,진흥기업,002780
2020-09-07,2190.0,상승  15,2180.0,2195.0,2050.0,118502.0,진흥기업,002780
2020-09-08,2200.0,상승  10,2215.0,2220.0,2180.0,140729.0,진흥기업,002780
2020-09-09,2180.0,하락  20,2175.0,2200.0,2150.0,51367.0,진흥기업,002780
2020-09-10,2235.0,상승  55,2170.0,2335.0,2170.0,314172.0,진흥기업,002780
2020-09-11,2225.0,하락  10,2225.0,2275.0,2215.0,125499.0,진흥기업,002780
2020-09-14,2210.0,하락  15,2250.0,2250.0,2200.0,277644.0,진흥기업,002780
2020-09-15,2460.0,상승  250,2560.0,2870.0,2380.0,14846518.0,진흥기업,002780
2020-09-16,2730.0,상승  270,2530.0,2875.0,2380.0,8908218.0,진흥기업,002780
2020-09-17,2575.0,하락  155,2650.0,2910.0,2545.0,7940803.0,진흥기업,002780
2020-09-18,2565.0,하락  10,2550.0,2880.0,2510.0,4337684.0,진흥기업,002780
2020-09-21,2420.0,하락  145,2540.0,2565.0,2400.0,987340.0,진흥기업,002780
2020-09-22,2350.0,하락  70,2390.0,2415.0,2315.0,406602.0,진흥기업,002780
2020-09-23,2375.0,상승  25,2340.0,2420.0,2340.0,334613.0,진흥기업,002780
2020-09-24,2270.0,하락  105,2325.0,2460.0,2270.0,349911.0,진흥기업,002780
2020-09-25,2275.0,상승  5,2300.0,2450.0,2225.0,700648.0,진흥기업,002780
2020-09-28,2235.0,하락  40,2295.0,2340.0,2195.0,466533.0,진흥기업,002780
2020-09-29,2215.0,하락  20,2300.0,2305.0,2195.0,302445.0,진흥기업,002780
2020-10-05,2210.0,하락  5,2210.0,2240.0,2185.0,193073.0,진흥기업,002780
2020-10-06,2270.0,상승  60,2220.0,2270.0,2220.0,244158.0,진흥기업,002780
2020-10-07,2280.0,상승  10,2255.0,2315.0,2250.0,143640.0,진흥기업,002780
2020-10-08,2340.0,상승  60,2300.0,2375.0,2290.0,223685.0,진흥기업,002780
2020-10-12,2340.0,보합0,2380.0,2380.0,2325.0,170825.0,진흥기업,002780
2020-10-13,2420.0,상승  80,2335.0,2445.0,2310.0,486778.0,진흥기업,002780
2020-10-14,2350.0,하락  70,2430.0,2600.0,2320.0,753969.0,진흥기업,002780
2020-10-15,2525.0,상승  175,2310.0,2615.0,2290.0,4313817.0,진흥기업,002780
2020-10-16,2430.0,하락  95,2470.0,2695.0,2410.0,4551781.0,진흥기업,002780
2020-10-19,2350.0,하락  80,2455.0,2475.0,2345.0,400538.0,진흥기업,002780
2020-10-20,2260.0,하락  90,2305.0,2430.0,2225.0,489823.0,진흥기업,002780
2020-10-21,2260.0,보합0,2270.0,2285.0,2225.0,169153.0,진흥기업,002780
2020-10-22,2310.0,상승  50,2245.0,2380.0,2240.0,337302.0,진흥기업,002780
2020-10-23,2380.0,상승  70,2345.0,2575.0,2315.0,1417804.0,진흥기업,002780
2020-10-26,2410.0,상승  30,2380.0,2490.0,2340.0,426016.0,진흥기업,002780
2020-10-27,2320.0,하락  90,2425.0,2475.0,2310.0,376719.0,진흥기업,002780
2020-10-28,2400.0,상승  80,2340.0,2400.0,2320.0,206326.0,진흥기업,002780
2020-10-29,2315.0,하락  85,2370.0,2370.0,2275.0,255617.0,진흥기업,002780
2020-10-30,2240.0,하락  75,2310.0,2320.0,2230.0,262118.0,진흥기업,002780
2020-11-02,2290.0,상승  50,2245.0,2290.0,2240.0,100133.0,진흥기업,002780
2020-11-03,2310.0,상승  20,2300.0,2335.0,2290.0,128121.0,진흥기업,002780
2020-11-04,2290.0,하락  20,2310.0,2320.0,2270.0,107380.0,진흥기업,002780
2020-11-05,2325.0,상승  35,2285.0,2330.0,2275.0,148403.0,진흥기업,002780
2020-11-06,2305.0,하락  20,2330.0,2340.0,2290.0,98192.0,진흥기업,002780
2020-11-09,2355.0,상승  50,2310.0,2445.0,2290.0,295639.0,진흥기업,002780
2020-11-10,2375.0,상승  20,2355.0,2410.0,2340.0,267204.0,진흥기업,002780
2020-11-11,2400.0,상승  25,2375.0,2410.0,2335.0,175603.0,진흥기업,002780
2020-11-12,2365.0,하락  35,2405.0,2410.0,2350.0,171002.0,진흥기업,002780
2020-11-13,2350.0,하락  15,2385.0,2390.0,2335.0,123588.0,진흥기업,002780
2020-11-16,2360.0,상승  10,2380.0,2380.0,2330.0,116290.0,진흥기업,002780
2020-11-17,2360.0,보합0,2370.0,2375.0,2340.0,139454.0,진흥기업,002780
2020-11-18,2430.0,상승  70,2345.0,2440.0,2345.0,305579.0,진흥기업,002780
2020-11-19,2425.0,하락  5,2450.0,2450.0,2400.0,296362.0,진흥기업,002780
2020-11-20,2425.0,보합0,2435.0,2445.0,2370.0,162081.0,진흥기업,002780
2020-11-23,2435.0,상승  10,2415.0,2440.0,2390.0,106115.0,진흥기업,002780
2020-11-24,2430.0,하락  5,2465.0,2470.0,2405.0,193323.0,진흥기업,002780
2020-11-25,2385.0,하락  45,2430.0,2435.0,2365.0,158778.0,진흥기업,002780
2020-11-26,2410.0,상승  25,2390.0,2420.0,2380.0,339709.0,진흥기업,002780
2020-11-27,2600.0,상승  190,2920.0,3030.0,2600.0,7665681.0,진흥기업,002780
2020-11-30,2610.0,상승  10,2600.0,2690.0,2560.0,995953.0,진흥기업,002780
2020-12-01,2510.0,하락  100,2595.0,2610.0,2490.0,510238.0,진흥기업,002780
2020-12-02,2525.0,상승  15,2510.0,2560.0,2460.0,454055.0,진흥기업,002780
2020-12-03,2645.0,상승  120,2495.0,2930.0,2495.0,3816763.0,진흥기업,002780
2020-12-04,2540.0,하락  105,2620.0,2640.0,2530.0,583305.0,진흥기업,002780
2020-12-07,2460.0,하락  80,2535.0,2535.0,2450.0,354122.0,진흥기업,002780
2020-12-08,2490.0,상승  30,2460.0,2530.0,2440.0,207312.0,진흥기업,002780
2020-12-09,2580.0,상승  90,2490.0,2600.0,2475.0,528592.0,진흥기업,002780
2020-12-10,2595.0,상승  15,2580.0,2605.0,2540.0,264780.0,진흥기업,002780
2020-12-11,2620.0,상승  25,2595.0,2645.0,2565.0,659010.0,진흥기업,002780
2020-12-14,2565.0,하락  55,2610.0,2700.0,2430.0,579280.0,진흥기업,002780
2020-12-15,2555.0,하락  10,2540.0,2580.0,2495.0,213076.0,진흥기업,002780
2020-12-16,2550.0,하락  5,2555.0,2575.0,2525.0,138011.0,진흥기업,002780
2020-12-17,2520.0,하락  30,2555.0,2555.0,2505.0,130885.0,진흥기업,002780
2020-12-18,2505.0,하락  15,2520.0,2535.0,2500.0,113441.0,진흥기업,002780
2020-12-21,2500.0,하락  5,2500.0,2530.0,2490.0,138050.0,진흥기업,002780
2020-12-22,2430.0,하락  70,2500.0,2520.0,2425.0,179745.0,진흥기업,002780
2020-12-23,2435.0,상승  5,2425.0,2455.0,2410.0,166218.0,진흥기업,002780
2020-12-24,2485.0,상승  50,2440.0,2515.0,2435.0,173269.0,진흥기업,002780
2020-12-28,2465.0,하락  20,2500.0,2510.0,2465.0,93431.0,진흥기업,002780
2020-12-29,2600.0,상승  135,2495.0,2840.0,2455.0,2502743.0,진흥기업,002780
2020-12-30,2595.0,하락  5,2640.0,2670.0,2580.0,858868.0,진흥기업,002780
2021-01-04,2605.0,상승  10,2610.0,2630.0,2555.0,454645.0,진흥기업,002780
2021-01-05,2785.0,상승  180,2610.0,2820.0,2590.0,1864647.0,진흥기업,002780
2021-01-06,2870.0,상승  85,2765.0,3035.0,2735.0,3190325.0,진흥기업,002780
2021-01-07,2835.0,하락  35,2850.0,2980.0,2830.0,776780.0,진흥기업,002780
2021-01-08,2835.0,보합0,2860.0,2890.0,2780.0,434112.0,진흥기업,002780
2021-01-11,2705.0,하락  130,2835.0,2835.0,2645.0,448547.0,진흥기업,002780
2021-01-12,2835.0,상승  130,2725.0,2835.0,2675.0,402245.0,진흥기업,002780
2021-01-13,2845.0,상승  10,2815.0,2860.0,2790.0,237418.0,진흥기업,002780
2021-01-14,2805.0,하락  40,2845.0,2850.0,2795.0,139292.0,진흥기업,002780
2021-01-15,2815.0,상승  10,2815.0,2840.0,2720.0,251068.0,진흥기업,002780
2021-01-18,2765.0,하락  50,2860.0,2990.0,2745.0,1638622.0,진흥기업,002780
2021-01-19,2940.0,상승  175,2775.0,3280.0,2770.0,8365398.0,진흥기업,002780
2021-01-20,2960.0,상승  20,2940.0,2965.0,2880.0,706781.0,진흥기업,002780
2021-01-21,2950.0,하락  10,2940.0,3030.0,2920.0,605553.0,진흥기업,002780
2021-01-22,3050.0,상승  100,2970.0,3085.0,2925.0,829115.0,진흥기업,002780
2021-01-25,2945.0,하락  105,3085.0,3090.0,2895.0,799368.0,진흥기업,002780
2021-01-26,2800.0,하락  145,2945.0,2945.0,2780.0,613464.0,진흥기업,002780
2021-01-27,2850.0,상승  50,2825.0,2905.0,2755.0,489064.0,진흥기업,002780
2021-01-28,2690.0,하락  160,2780.0,2830.0,2665.0,346251.0,진흥기업,002780
2021-01-29,2610.0,하락  80,2715.0,2720.0,2520.0,422176.0,진흥기업,002780
2021-02-01,2685.0,상승  75,2585.0,2700.0,2580.0,188856.0,진흥기업,002780
2021-02-02,2655.0,하락  30,2675.0,2755.0,2605.0,481438.0,진흥기업,002780
2021-02-03,2845.0,상승  190,2670.0,2855.0,2660.0,626196.0,진흥기업,002780
2021-02-04,2785.0,하락  60,2850.0,2920.0,2760.0,596849.0,진흥기업,002780
2021-02-05,2725.0,하락  60,2800.0,2810.0,2720.0,184430.0,진흥기업,002780
2021-02-08,2735.0,상승  10,2725.0,2765.0,2690.0,147442.0,진흥기업,002780
2021-02-09,2775.0,상승  40,2740.0,2790.0,2670.0,199547.0,진흥기업,002780
2021-02-10,2715.0,하락  60,2750.0,2775.0,2700.0,211426.0,진흥기업,002780
2021-02-15,2725.0,상승  10,2715.0,2730.0,2660.0,216249.0,진흥기업,002780
2021-02-16,2740.0,상승  15,2725.0,2780.0,2685.0,268064.0,진흥기업,002780
2021-02-17,2815.0,상승  75,2760.0,2850.0,2720.0,321069.0,진흥기업,002780
2021-02-18,2770.0,하락  45,2830.0,2855.0,2765.0,223224.0,진흥기업,002780
2021-02-19,2700.0,하락  70,2750.0,2760.0,2650.0,292431.0,진흥기업,002780
2021-02-22,2680.0,하락  20,2700.0,2750.0,2655.0,162366.0,진흥기업,002780
2021-02-23,2650.0,하락  30,2655.0,2680.0,2585.0,188857.0,진흥기업,002780
2021-02-24,2530.0,하락  120,2645.0,2650.0,2530.0,233649.0,진흥기업,002780
2021-02-25,2600.0,상승  70,2535.0,2605.0,2530.0,187024.0,진흥기업,002780
2021-02-26,2560.0,하락  40,2530.0,2560.0,2470.0,179766.0,진흥기업,002780
2021-03-02,2530.0,하락  30,2560.0,2615.0,2520.0,118783.0,진흥기업,002780
2021-03-03,2610.0,상승  80,2570.0,2615.0,2535.0,77441.0,진흥기업,002780
2021-03-04,2705.0,상승  95,2585.0,2820.0,2570.0,763033.0,진흥기업,002780
2021-03-05,2715.0,상승  10,2655.0,2755.0,2650.0,194579.0,진흥기업,002780
2021-03-08,2660.0,하락  55,2720.0,2795.0,2605.0,255613.0,진흥기업,002780
2021-03-09,2565.0,하락  95,2675.0,2675.0,2470.0,379635.0,진흥기업,002780
2021-03-10,2535.0,하락  30,2570.0,2590.0,2530.0,77789.0,진흥기업,002780
2021-03-11,2685.0,상승  150,2535.0,2785.0,2535.0,705719.0,진흥기업,002780
2021-03-12,2690.0,상승  5,2700.0,2775.0,2655.0,147908.0,진흥기업,002780
2021-03-15,2855.0,상승  165,2700.0,2885.0,2700.0,1937037.0,진흥기업,002780
