날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,11500.0,상승  50,11500.0,11950.0,11300.0,145839.0,케이씨,029460
2020-03-17,11400.0,하락  100,10850.0,11800.0,10650.0,158512.0,케이씨,029460
2020-03-18,10900.0,하락  500,11500.0,11700.0,10850.0,99417.0,케이씨,029460
2020-03-19,9640.0,"하락  1,260",11300.0,11350.0,9620.0,154909.0,케이씨,029460
2020-03-20,10400.0,상승  760,9740.0,10700.0,9660.0,104832.0,케이씨,029460
2020-03-23,9420.0,하락  980,9770.0,9790.0,9340.0,69108.0,케이씨,029460
2020-03-24,11000.0,"상승  1,580",9700.0,11450.0,9610.0,142288.0,케이씨,029460
2020-03-25,11600.0,상승  600,12000.0,12150.0,11550.0,113456.0,케이씨,029460
2020-03-26,12100.0,상승  500,11800.0,12600.0,11400.0,99938.0,케이씨,029460
2020-03-27,12200.0,상승  100,12750.0,12800.0,11850.0,71149.0,케이씨,029460
2020-03-30,12300.0,상승  100,11600.0,12450.0,11600.0,35214.0,케이씨,029460
2020-03-31,12700.0,상승  400,12750.0,12750.0,12300.0,47434.0,케이씨,029460
2020-04-01,12500.0,하락  200,12700.0,13050.0,12500.0,29324.0,케이씨,029460
2020-04-02,12800.0,상승  300,12850.0,12850.0,12150.0,41783.0,케이씨,029460
2020-04-03,12800.0,보합0,12750.0,13050.0,12600.0,30705.0,케이씨,029460
2020-04-06,13600.0,상승  800,13050.0,13600.0,12800.0,60901.0,케이씨,029460
2020-04-07,13850.0,상승  250,13900.0,14200.0,13500.0,65912.0,케이씨,029460
2020-04-08,14050.0,상승  200,13900.0,14200.0,13600.0,51510.0,케이씨,029460
2020-04-09,14000.0,하락  50,14350.0,14400.0,13850.0,69896.0,케이씨,029460
2020-04-10,13850.0,하락  150,14000.0,14150.0,13700.0,29721.0,케이씨,029460
2020-04-13,13250.0,하락  600,13800.0,13800.0,13150.0,43838.0,케이씨,029460
2020-04-14,13500.0,상승  250,13300.0,13650.0,13250.0,29468.0,케이씨,029460
2020-04-16,13600.0,상승  100,13500.0,13650.0,13100.0,25768.0,케이씨,029460
2020-04-17,14050.0,상승  450,13900.0,14200.0,13700.0,57406.0,케이씨,029460
2020-04-20,13900.0,하락  150,14100.0,14300.0,13600.0,23908.0,케이씨,029460
2020-04-21,13550.0,하락  350,13800.0,13900.0,13150.0,38252.0,케이씨,029460
2020-04-22,13250.0,하락  300,13150.0,13400.0,12950.0,53998.0,케이씨,029460
2020-04-23,13700.0,상승  450,13400.0,13800.0,13350.0,36691.0,케이씨,029460
2020-04-24,13400.0,하락  300,13650.0,13650.0,13250.0,25971.0,케이씨,029460
2020-04-27,13500.0,상승  100,13500.0,13650.0,13400.0,41676.0,케이씨,029460
2020-04-28,13450.0,하락  50,13550.0,13800.0,13350.0,32157.0,케이씨,029460
2020-04-29,13750.0,상승  300,13450.0,14150.0,13450.0,140927.0,케이씨,029460
2020-05-04,13400.0,하락  350,13350.0,13750.0,13250.0,68723.0,케이씨,029460
2020-05-06,14450.0,"상승  1,050",13550.0,14450.0,13550.0,97850.0,케이씨,029460
2020-05-07,14900.0,상승  450,14350.0,15100.0,14200.0,117978.0,케이씨,029460
2020-05-08,15900.0,"상승  1,000",14900.0,16250.0,14900.0,175864.0,케이씨,029460
2020-05-11,17050.0,"상승  1,150",17000.0,17650.0,16800.0,614986.0,케이씨,029460
2020-05-12,17050.0,보합0,17400.0,17500.0,16900.0,318705.0,케이씨,029460
2020-05-13,17850.0,상승  800,16700.0,17900.0,16600.0,309644.0,케이씨,029460
2020-05-14,18100.0,상승  250,17800.0,18500.0,17450.0,351591.0,케이씨,029460
2020-05-15,18150.0,상승  50,18200.0,18350.0,17500.0,263282.0,케이씨,029460
2020-05-18,18500.0,상승  350,18400.0,18550.0,17550.0,229678.0,케이씨,029460
2020-05-19,19700.0,"상승  1,200",18650.0,19700.0,18400.0,264758.0,케이씨,029460
2020-05-20,20800.0,"상승  1,100",19400.0,21250.0,19250.0,390005.0,케이씨,029460
2020-05-21,19800.0,"하락  1,000",20950.0,21450.0,19800.0,305949.0,케이씨,029460
2020-05-22,20100.0,상승  300,19700.0,20650.0,19700.0,218467.0,케이씨,029460
2020-05-25,20400.0,상승  300,20700.0,20750.0,19800.0,159773.0,케이씨,029460
