날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,18050.0,"하락  1,150",19400.0,19800.0,18050.0,133895.0,케이씨씨글라스,344820
2020-03-17,17300.0,하락  750,16600.0,18200.0,16600.0,174206.0,케이씨씨글라스,344820
2020-03-18,16300.0,"하락  1,000",17600.0,17800.0,16300.0,96629.0,케이씨씨글라스,344820
2020-03-19,12800.0,"하락  3,500",16600.0,16850.0,12400.0,280539.0,케이씨씨글라스,344820
2020-03-20,13250.0,상승  450,13350.0,13700.0,12700.0,219962.0,케이씨씨글라스,344820
2020-03-23,12150.0,"하락  1,100",12500.0,12650.0,12000.0,145541.0,케이씨씨글라스,344820
2020-03-24,13200.0,"상승  1,050",12450.0,13300.0,12250.0,175813.0,케이씨씨글라스,344820
2020-03-25,15850.0,"상승  2,650",13900.0,16100.0,13650.0,294662.0,케이씨씨글라스,344820
2020-03-26,17450.0,"상승  1,600",15850.0,18300.0,15700.0,306051.0,케이씨씨글라스,344820
2020-03-27,18600.0,"상승  1,150",18800.0,18950.0,17750.0,190792.0,케이씨씨글라스,344820
2020-03-30,18600.0,보합0,17800.0,18850.0,17750.0,120372.0,케이씨씨글라스,344820
2020-03-31,18350.0,하락  250,19050.0,19250.0,18050.0,103679.0,케이씨씨글라스,344820
2020-04-01,18200.0,하락  150,18050.0,19450.0,17850.0,153383.0,케이씨씨글라스,344820
2020-04-02,18750.0,상승  550,18100.0,18800.0,17700.0,74375.0,케이씨씨글라스,344820
2020-04-03,18700.0,하락  50,18850.0,19800.0,18500.0,92446.0,케이씨씨글라스,344820
2020-04-06,19450.0,상승  750,18900.0,19500.0,18750.0,113774.0,케이씨씨글라스,344820
2020-04-07,20300.0,상승  850,20000.0,20650.0,19700.0,186412.0,케이씨씨글라스,344820
2020-04-08,20650.0,상승  350,20250.0,21650.0,19600.0,183359.0,케이씨씨글라스,344820
2020-04-09,22350.0,"상승  1,700",21150.0,22700.0,21000.0,218772.0,케이씨씨글라스,344820
2020-04-10,27450.0,"상승  5,100",22600.0,29050.0,22600.0,1745705.0,케이씨씨글라스,344820
2020-04-13,25200.0,"하락  2,250",26100.0,27000.0,25050.0,357488.0,케이씨씨글라스,344820
2020-04-14,25600.0,상승  400,25500.0,26550.0,25200.0,217176.0,케이씨씨글라스,344820
2020-04-16,24450.0,"하락  1,150",25450.0,25450.0,23600.0,190558.0,케이씨씨글라스,344820
2020-04-17,24850.0,상승  400,24700.0,25900.0,24550.0,144294.0,케이씨씨글라스,344820
