날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,1870.0,하락  350,2045.0,2200.0,1815.0,655743.0,케이씨티시,009070
2020-03-16,1770.0,하락  100,1840.0,1970.0,1770.0,394975.0,케이씨티시,009070
2020-03-17,1815.0,상승  45,1660.0,1900.0,1605.0,259709.0,케이씨티시,009070
2020-03-18,1750.0,하락  65,1850.0,1945.0,1750.0,173044.0,케이씨티시,009070
2020-03-19,1565.0,하락  185,1795.0,1820.0,1565.0,350195.0,케이씨티시,009070
2020-03-20,1700.0,상승  135,1555.0,1705.0,1550.0,302297.0,케이씨티시,009070
2020-03-23,1605.0,하락  95,1650.0,1695.0,1580.0,112715.0,케이씨티시,009070
2020-03-24,1695.0,상승  90,1640.0,1715.0,1620.0,110276.0,케이씨티시,009070
2020-03-25,1735.0,상승  40,1740.0,1875.0,1690.0,319244.0,케이씨티시,009070
2020-03-26,1815.0,상승  80,1750.0,1905.0,1695.0,236520.0,케이씨티시,009070
2020-03-27,1855.0,상승  40,1845.0,1950.0,1750.0,217815.0,케이씨티시,009070
2020-03-30,1870.0,상승  15,1765.0,1880.0,1740.0,171454.0,케이씨티시,009070
2020-03-31,1970.0,상승  100,1970.0,2050.0,1875.0,383217.0,케이씨티시,009070
2020-04-01,1890.0,하락  80,1990.0,2065.0,1880.0,319798.0,케이씨티시,009070
2020-04-02,1960.0,상승  70,1900.0,1965.0,1815.0,141485.0,케이씨티시,009070
2020-04-03,1955.0,하락  5,2000.0,2000.0,1915.0,144039.0,케이씨티시,009070
2020-04-06,2000.0,상승  45,1960.0,2020.0,1945.0,184854.0,케이씨티시,009070
2020-04-07,2045.0,상승  45,2105.0,2105.0,2000.0,230335.0,케이씨티시,009070
2020-04-08,2110.0,상승  65,2070.0,2180.0,2010.0,303547.0,케이씨티시,009070
2020-04-09,2140.0,상승  30,2160.0,2220.0,2115.0,233771.0,케이씨티시,009070
2020-04-10,2125.0,하락  15,2140.0,2170.0,2025.0,202566.0,케이씨티시,009070
2020-04-13,2120.0,하락  5,2140.0,2150.0,2095.0,108071.0,케이씨티시,009070
2020-04-14,2215.0,상승  95,2120.0,2275.0,2120.0,271464.0,케이씨티시,009070
2020-04-16,2320.0,상승  105,2230.0,2345.0,2155.0,231821.0,케이씨티시,009070
2020-04-17,2345.0,상승  25,2350.0,2385.0,2290.0,323666.0,케이씨티시,009070
2020-04-20,2335.0,하락  10,2340.0,2420.0,2290.0,845262.0,케이씨티시,009070
