날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,8350.0,하락  380,7890.0,8610.0,7290.0,657859.0,코리아써키트,007810
2020-03-16,7510.0,하락  840,8400.0,8640.0,7510.0,413916.0,코리아써키트,007810
2020-03-17,7370.0,하락  140,6800.0,7620.0,6800.0,363606.0,코리아써키트,007810
2020-03-18,6360.0,"하락  1,010",7390.0,7480.0,6360.0,384234.0,코리아써키트,007810
2020-03-19,5210.0,"하락  1,150",6500.0,6700.0,5020.0,623242.0,코리아써키트,007810
2020-03-20,6230.0,"상승  1,020",5380.0,6230.0,5370.0,516274.0,코리아써키트,007810
2020-03-23,5720.0,하락  510,5770.0,6030.0,5520.0,290753.0,코리아써키트,007810
2020-03-24,6280.0,상승  560,5960.0,6400.0,5820.0,438377.0,코리아써키트,007810
2020-03-25,7090.0,상승  810,6560.0,7140.0,6540.0,701553.0,코리아써키트,007810
2020-03-26,7090.0,보합0,7340.0,7680.0,7030.0,435547.0,코리아써키트,007810
2020-03-27,7110.0,상승  20,7500.0,7580.0,6800.0,370902.0,코리아써키트,007810
2020-03-30,6990.0,하락  120,6800.0,7050.0,6660.0,350099.0,코리아써키트,007810
2020-03-31,7010.0,상승  20,7150.0,7410.0,6790.0,390808.0,코리아써키트,007810
2020-04-01,6810.0,하락  200,7010.0,7350.0,6800.0,434302.0,코리아써키트,007810
2020-04-02,6990.0,상승  180,6830.0,7080.0,6700.0,433468.0,코리아써키트,007810
2020-04-03,7020.0,상승  30,7010.0,7320.0,6940.0,270074.0,코리아써키트,007810
2020-04-06,7490.0,상승  470,7110.0,7520.0,7030.0,445557.0,코리아써키트,007810
2020-04-07,7800.0,상승  310,7750.0,8030.0,7560.0,545734.0,코리아써키트,007810
2020-04-08,8150.0,상승  350,7850.0,8370.0,7680.0,561604.0,코리아써키트,007810
2020-04-09,8100.0,하락  50,8370.0,8380.0,8020.0,271508.0,코리아써키트,007810
2020-04-10,7720.0,하락  380,8120.0,8130.0,7520.0,495466.0,코리아써키트,007810
2020-04-13,7270.0,하락  450,7720.0,7720.0,7260.0,285639.0,코리아써키트,007810
2020-04-14,7320.0,상승  50,7360.0,7570.0,7190.0,275319.0,코리아써키트,007810
2020-04-16,7630.0,상승  310,7310.0,7640.0,7160.0,246586.0,코리아써키트,007810
2020-04-17,8160.0,상승  530,7820.0,8250.0,7820.0,627643.0,코리아써키트,007810
2020-04-20,8070.0,하락  90,8210.0,8290.0,7970.0,440918.0,코리아써키트,007810
2020-04-21,8040.0,하락  30,8010.0,8170.0,7500.0,680557.0,코리아써키트,007810
2020-04-22,8020.0,하락  20,7980.0,8050.0,7700.0,252878.0,코리아써키트,007810
