날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,6400.0,하락  510,6220.0,6700.0,5880.0,903897.0,코스모화학,005420
2020-03-16,6000.0,하락  400,6680.0,6800.0,6000.0,765737.0,코스모화학,005420
2020-03-17,6420.0,상승  420,5600.0,6480.0,5570.0,783426.0,코스모화학,005420
2020-03-18,5930.0,하락  490,6440.0,6590.0,5930.0,519484.0,코스모화학,005420
2020-03-19,4650.0,"하락  1,280",6030.0,6220.0,4560.0,1161406.0,코스모화학,005420
2020-03-20,5260.0,상승  610,4810.0,5290.0,4810.0,850661.0,코스모화학,005420
2020-03-23,4975.0,하락  285,4885.0,5390.0,4740.0,724954.0,코스모화학,005420
2020-03-24,5390.0,상승  415,5260.0,5460.0,5110.0,809339.0,코스모화학,005420
2020-03-25,5660.0,상승  270,5690.0,5820.0,5420.0,909261.0,코스모화학,005420
2020-03-26,5740.0,상승  80,5740.0,5980.0,5500.0,959281.0,코스모화학,005420
2020-03-27,5820.0,상승  80,6050.0,6130.0,5510.0,698788.0,코스모화학,005420
2020-03-30,5980.0,상승  160,5630.0,6000.0,5540.0,509946.0,코스모화학,005420
2020-03-31,6050.0,상승  70,6190.0,6190.0,5890.0,619948.0,코스모화학,005420
2020-04-01,6070.0,상승  20,6010.0,6650.0,5950.0,1119211.0,코스모화학,005420
2020-04-02,6260.0,상승  190,6200.0,6300.0,5900.0,541940.0,코스모화학,005420
2020-04-03,6310.0,상승  50,6490.0,6550.0,6210.0,517358.0,코스모화학,005420
2020-04-06,6600.0,상승  290,6330.0,6600.0,6310.0,478907.0,코스모화학,005420
2020-04-07,7100.0,상승  500,6870.0,7330.0,6740.0,1464761.0,코스모화학,005420
2020-04-08,7590.0,상승  490,7060.0,7750.0,6970.0,1344527.0,코스모화학,005420
2020-04-09,7960.0,상승  370,7720.0,8200.0,7700.0,1056738.0,코스모화학,005420
2020-04-10,7970.0,상승  10,8070.0,8080.0,7400.0,803970.0,코스모화학,005420
2020-04-13,7600.0,하락  370,7870.0,8010.0,7600.0,486515.0,코스모화학,005420
2020-04-14,7790.0,상승  190,7890.0,8080.0,7760.0,712343.0,코스모화학,005420
2020-04-16,8220.0,상승  430,7850.0,8350.0,7760.0,1066760.0,코스모화학,005420
2020-04-17,8230.0,상승  10,8380.0,8510.0,8140.0,1089681.0,코스모화학,005420
2020-04-20,8120.0,하락  110,8320.0,8430.0,8060.0,544948.0,코스모화학,005420
2020-04-21,7860.0,하락  260,8000.0,8190.0,7550.0,681265.0,코스모화학,005420
2020-04-22,7860.0,보합0,7770.0,7880.0,7580.0,406963.0,코스모화학,005420
2020-04-23,7910.0,상승  50,8070.0,8150.0,7820.0,383094.0,코스모화학,005420
2020-04-24,7640.0,하락  270,7850.0,7860.0,7560.0,438854.0,코스모화학,005420
2020-04-27,7720.0,상승  80,7630.0,7860.0,7630.0,259075.0,코스모화학,005420
2020-04-28,7730.0,상승  10,7930.0,7930.0,7630.0,314165.0,코스모화학,005420
2020-04-29,7690.0,하락  40,7730.0,7790.0,7660.0,210453.0,코스모화학,005420
2020-05-04,7560.0,하락  130,7510.0,7640.0,7250.0,196606.0,코스모화학,005420
2020-05-06,7700.0,상승  140,7710.0,7830.0,7640.0,217592.0,코스모화학,005420
2020-05-07,7770.0,상승  70,7660.0,7900.0,7660.0,271325.0,코스모화학,005420
2020-05-08,7930.0,상승  160,7830.0,7970.0,7830.0,317432.0,코스모화학,005420
2020-05-11,7750.0,하락  180,7990.0,8030.0,7680.0,333734.0,코스모화학,005420
2020-05-12,7570.0,하락  180,7670.0,7750.0,7460.0,272896.0,코스모화학,005420
2020-05-13,8680.0,"상승  1,110",7400.0,9710.0,7400.0,13414254.0,코스모화학,005420
2020-05-14,8300.0,하락  380,8550.0,8600.0,8120.0,1683042.0,코스모화학,005420
2020-05-15,8460.0,상승  160,8400.0,8600.0,8320.0,1466266.0,코스모화학,005420
2020-05-18,8780.0,상승  320,8470.0,9050.0,8350.0,3039236.0,코스모화학,005420
2020-05-19,8990.0,상승  210,9000.0,9160.0,8730.0,1748572.0,코스모화학,005420
2020-05-20,8980.0,하락  10,8990.0,9060.0,8850.0,853525.0,코스모화학,005420
2020-05-21,9170.0,상승  190,9080.0,9550.0,9020.0,3363843.0,코스모화학,005420
2020-05-22,9030.0,하락  140,9240.0,9340.0,8780.0,918615.0,코스모화학,005420
2020-05-25,9120.0,상승  90,9070.0,9250.0,9000.0,613074.0,코스모화학,005420
2020-05-26,9190.0,상승  70,9260.0,9490.0,9170.0,1481893.0,코스모화학,005420
2020-05-27,8880.0,하락  310,9190.0,9190.0,8840.0,675078.0,코스모화학,005420
2020-05-28,8570.0,하락  310,8950.0,9000.0,8330.0,605833.0,코스모화학,005420
2020-05-29,8530.0,하락  40,8570.0,8760.0,8490.0,329104.0,코스모화학,005420
2020-06-01,8880.0,상승  350,8600.0,8900.0,8600.0,379898.0,코스모화학,005420
2020-06-02,8830.0,하락  50,8980.0,9030.0,8710.0,367096.0,코스모화학,005420
2020-06-03,8800.0,하락  30,8960.0,8960.0,8750.0,308688.0,코스모화학,005420
2020-06-04,9060.0,상승  260,8850.0,9290.0,8820.0,1529493.0,코스모화학,005420
2020-06-05,8990.0,하락  70,9060.0,9150.0,8890.0,412328.0,코스모화학,005420
2020-06-08,8890.0,하락  100,9030.0,9110.0,8840.0,326071.0,코스모화학,005420
2020-06-09,9220.0,상승  330,9000.0,9280.0,8940.0,1275481.0,코스모화학,005420
2020-06-10,9110.0,하락  110,9210.0,9210.0,9000.0,547640.0,코스모화학,005420
2020-06-11,8980.0,하락  130,9230.0,9250.0,8950.0,516697.0,코스모화학,005420
2020-06-12,8670.0,하락  310,8170.0,8690.0,8150.0,611433.0,코스모화학,005420
2020-06-15,7760.0,하락  910,8650.0,8650.0,7720.0,588184.0,코스모화학,005420
2020-06-16,8160.0,상승  400,8010.0,8260.0,8010.0,327701.0,코스모화학,005420
2020-06-17,8110.0,하락  50,8100.0,8400.0,7940.0,406110.0,코스모화학,005420
2020-06-18,8080.0,하락  30,8210.0,8240.0,8070.0,206719.0,코스모화학,005420
2020-06-19,8220.0,상승  140,8210.0,8220.0,8030.0,240080.0,코스모화학,005420
2020-06-22,8360.0,상승  140,8370.0,8450.0,8230.0,311311.0,코스모화학,005420
2020-06-23,8220.0,하락  140,8390.0,8520.0,8140.0,288092.0,코스모화학,005420
2020-06-24,8290.0,상승  70,8300.0,8370.0,8220.0,223415.0,코스모화학,005420
2020-06-25,8110.0,하락  180,8110.0,8260.0,8110.0,204092.0,코스모화학,005420
2020-06-26,8090.0,하락  20,8130.0,8240.0,8000.0,233103.0,코스모화학,005420
2020-06-29,7840.0,하락  250,7920.0,8050.0,7840.0,214319.0,코스모화학,005420
2020-06-30,7970.0,상승  130,7990.0,8050.0,7840.0,217395.0,코스모화학,005420
2020-07-01,7870.0,하락  100,8120.0,8230.0,7870.0,258393.0,코스모화학,005420
2020-07-02,7890.0,상승  20,7940.0,7970.0,7830.0,122776.0,코스모화학,005420
2020-07-03,8030.0,상승  140,8000.0,8310.0,7990.0,301557.0,코스모화학,005420
2020-07-06,8140.0,상승  110,8050.0,8170.0,8040.0,185831.0,코스모화학,005420
2020-07-07,8060.0,하락  80,8350.0,8350.0,8040.0,231478.0,코스모화학,005420
2020-07-08,8140.0,상승  80,8140.0,8280.0,8080.0,183715.0,코스모화학,005420
2020-07-09,8140.0,보합0,8180.0,8200.0,8080.0,185982.0,코스모화학,005420
2020-07-10,7950.0,하락  190,8170.0,8180.0,7920.0,275975.0,코스모화학,005420
2020-07-13,8000.0,상승  50,8060.0,8060.0,7890.0,181632.0,코스모화학,005420
2020-07-14,8140.0,상승  140,7970.0,8150.0,7910.0,252870.0,코스모화학,005420
2020-07-15,8570.0,상승  430,8210.0,8600.0,8100.0,902437.0,코스모화학,005420
2020-07-16,8740.0,상승  170,8700.0,8980.0,8530.0,1812383.0,코스모화학,005420
2020-07-17,8750.0,상승  10,8820.0,8820.0,8660.0,414860.0,코스모화학,005420
2020-07-20,9000.0,상승  250,8790.0,9020.0,8690.0,819991.0,코스모화학,005420
2020-07-21,8920.0,하락  80,9120.0,9170.0,8830.0,682297.0,코스모화학,005420
2020-07-22,8730.0,하락  190,8950.0,8960.0,8700.0,530763.0,코스모화학,005420
2020-07-23,8700.0,하락  30,8780.0,8850.0,8640.0,379637.0,코스모화학,005420
2020-07-24,8700.0,보합0,8660.0,8840.0,8520.0,336268.0,코스모화학,005420
2020-07-27,8900.0,상승  200,8630.0,8950.0,8610.0,657663.0,코스모화학,005420
2020-07-28,8800.0,하락  100,8980.0,9000.0,8780.0,468259.0,코스모화학,005420
2020-07-29,8780.0,하락  20,8800.0,8910.0,8720.0,249148.0,코스모화학,005420
2020-07-30,8750.0,하락  30,8820.0,8920.0,8730.0,313886.0,코스모화학,005420
2020-07-31,8830.0,상승  80,8790.0,9190.0,8660.0,1751851.0,코스모화학,005420
2020-08-03,9180.0,상승  350,9030.0,9390.0,8930.0,1949225.0,코스모화학,005420
2020-08-04,8970.0,하락  210,9130.0,9230.0,8910.0,831594.0,코스모화학,005420
2020-08-05,9020.0,상승  50,9000.0,9130.0,8920.0,619571.0,코스모화학,005420
2020-08-06,10050.0,"상승  1,030",9020.0,10600.0,9020.0,9481950.0,코스모화학,005420
2020-08-07,10300.0,상승  250,10050.0,10500.0,9900.0,2630681.0,코스모화학,005420
2020-08-10,11400.0,"상승  1,100",11100.0,12050.0,10800.0,7882606.0,코스모화학,005420
2020-08-11,11750.0,상승  350,11750.0,12450.0,11250.0,3466221.0,코스모화학,005420
2020-08-12,12000.0,상승  250,11750.0,12000.0,11000.0,1945606.0,코스모화학,005420
2020-08-13,11300.0,하락  700,12400.0,12400.0,11150.0,1986517.0,코스모화학,005420
