날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,25300.0,"하락  3,350",25800.0,26650.0,23500.0,464927.0,콘텐트리중앙,036420
2020-03-16,26000.0,상승  700,25850.0,27350.0,25150.0,299187.0,콘텐트리중앙,036420
2020-03-17,25600.0,하락  400,24100.0,26100.0,24100.0,134993.0,콘텐트리중앙,036420
2020-03-18,25500.0,하락  100,25600.0,27350.0,25050.0,186169.0,콘텐트리중앙,036420
2020-03-19,22200.0,"하락  3,300",26450.0,26550.0,22100.0,212934.0,콘텐트리중앙,036420
2020-03-20,23550.0,"상승  1,350",22200.0,23800.0,22050.0,196624.0,콘텐트리중앙,036420
2020-03-23,20350.0,"하락  3,200",22100.0,22450.0,20200.0,253690.0,콘텐트리중앙,036420
2020-03-24,22250.0,"상승  1,900",21100.0,22700.0,20500.0,234156.0,콘텐트리중앙,036420
2020-03-25,24950.0,"상승  2,700",23200.0,25300.0,23200.0,201281.0,콘텐트리중앙,036420
2020-03-26,26050.0,"상승  1,100",25100.0,26850.0,24750.0,173599.0,콘텐트리중앙,036420
2020-03-27,25100.0,하락  950,26700.0,27450.0,24150.0,161411.0,콘텐트리중앙,036420
2020-03-30,26000.0,상승  900,24350.0,26000.0,23950.0,121072.0,콘텐트리중앙,036420
2020-03-31,26200.0,상승  200,26200.0,26650.0,26050.0,116165.0,콘텐트리중앙,036420
2020-04-01,25950.0,하락  250,26100.0,27900.0,25850.0,201125.0,콘텐트리중앙,036420
2020-04-02,28300.0,"상승  2,350",26100.0,29200.0,25600.0,297291.0,콘텐트리중앙,036420
2020-04-03,29850.0,"상승  1,550",28800.0,30000.0,28000.0,158373.0,콘텐트리중앙,036420
2020-04-06,30600.0,상승  750,30250.0,31250.0,30150.0,177005.0,콘텐트리중앙,036420
2020-04-07,30100.0,하락  500,31150.0,31250.0,29700.0,175988.0,콘텐트리중앙,036420
2020-04-08,29300.0,하락  800,30000.0,30000.0,29150.0,190177.0,콘텐트리중앙,036420
2020-04-09,30100.0,상승  800,30250.0,30400.0,29100.0,178846.0,콘텐트리중앙,036420
2020-04-10,33200.0,"상승  3,100",30350.0,33650.0,29300.0,384724.0,콘텐트리중앙,036420
2020-04-13,34550.0,"상승  1,350",33800.0,35850.0,32250.0,854400.0,콘텐트리중앙,036420
2020-04-14,34500.0,하락  50,35000.0,35700.0,34100.0,262350.0,콘텐트리중앙,036420
2020-04-16,35450.0,상승  950,35000.0,35500.0,34300.0,201291.0,콘텐트리중앙,036420
2020-04-17,35100.0,하락  350,36000.0,36150.0,34400.0,201384.0,콘텐트리중앙,036420
2020-04-20,34200.0,하락  900,35200.0,35700.0,34100.0,164228.0,콘텐트리중앙,036420
2020-04-21,33400.0,하락  800,34450.0,34450.0,32000.0,171548.0,콘텐트리중앙,036420
2020-04-22,34600.0,"상승  1,200",32900.0,34800.0,32200.0,183141.0,콘텐트리중앙,036420
2020-04-23,34750.0,상승  150,35250.0,35750.0,34750.0,257897.0,콘텐트리중앙,036420
2020-04-24,33750.0,"하락  1,000",34850.0,35000.0,33500.0,102180.0,콘텐트리중앙,036420
2020-04-27,35000.0,"상승  1,250",34000.0,35350.0,34000.0,160889.0,콘텐트리중앙,036420
2020-04-28,35450.0,상승  450,35200.0,36400.0,34700.0,350867.0,콘텐트리중앙,036420
2020-04-29,35050.0,하락  400,35750.0,35850.0,34800.0,109284.0,콘텐트리중앙,036420
2020-05-04,33400.0,"하락  1,650",34250.0,34600.0,33300.0,132929.0,콘텐트리중앙,036420
2020-05-06,35250.0,"상승  1,850",33850.0,35400.0,33850.0,170134.0,콘텐트리중앙,036420
2020-05-07,34700.0,하락  550,35250.0,35250.0,34500.0,78157.0,콘텐트리중앙,036420
2020-05-08,34200.0,하락  500,34750.0,35100.0,34050.0,164273.0,콘텐트리중앙,036420
2020-05-11,32900.0,"하락  1,300",33650.0,33650.0,32850.0,285383.0,콘텐트리중앙,036420
2020-05-12,31850.0,"하락  1,050",33000.0,33250.0,31600.0,244976.0,콘텐트리중앙,036420
2020-05-13,31950.0,상승  100,31450.0,32700.0,30700.0,161934.0,콘텐트리중앙,036420
2020-05-14,30400.0,"하락  1,550",31500.0,32350.0,30400.0,184011.0,콘텐트리중앙,036420
2020-05-15,30500.0,상승  100,30850.0,31050.0,30200.0,92949.0,콘텐트리중앙,036420
2020-05-18,30400.0,하락  100,30600.0,30800.0,30000.0,86073.0,콘텐트리중앙,036420
2020-05-19,32150.0,"상승  1,750",31050.0,32650.0,31050.0,268272.0,콘텐트리중앙,036420
2020-05-20,32200.0,상승  50,32100.0,32550.0,31700.0,114904.0,콘텐트리중앙,036420
2020-05-21,32050.0,하락  150,32700.0,32750.0,31700.0,145430.0,콘텐트리중앙,036420
2020-05-22,30850.0,"하락  1,200",32050.0,32100.0,30700.0,119294.0,콘텐트리중앙,036420
2020-05-25,30950.0,상승  100,30900.0,31250.0,30700.0,68050.0,콘텐트리중앙,036420
2020-05-26,31500.0,상승  550,30900.0,31650.0,30850.0,93791.0,콘텐트리중앙,036420
2020-05-27,31500.0,보합0,31800.0,31850.0,31250.0,79872.0,콘텐트리중앙,036420
2020-05-28,30800.0,하락  700,31750.0,31800.0,30250.0,112454.0,콘텐트리중앙,036420
2020-05-29,29800.0,"하락  1,000",30550.0,30550.0,29800.0,163467.0,콘텐트리중앙,036420
