날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,84600.0,"하락  4,400",83000.0,86300.0,79200.0,15555.0,쿠쿠홀딩스,192400
2020-03-16,83400.0,"하락  1,200",84600.0,85400.0,80400.0,7000.0,쿠쿠홀딩스,192400
2020-03-17,80500.0,"하락  2,900",77800.0,83000.0,76800.0,10695.0,쿠쿠홀딩스,192400
2020-03-18,74100.0,"하락  6,400",79400.0,80400.0,74100.0,11565.0,쿠쿠홀딩스,192400
2020-03-19,67800.0,"하락  6,300",73300.0,74700.0,58900.0,31735.0,쿠쿠홀딩스,192400
2020-03-20,70900.0,"상승  3,100",66500.0,74000.0,65300.0,15146.0,쿠쿠홀딩스,192400
2020-03-23,65800.0,"하락  5,100",65300.0,69800.0,64900.0,9987.0,쿠쿠홀딩스,192400
2020-03-24,71000.0,"상승  5,200",66500.0,71000.0,66500.0,8025.0,쿠쿠홀딩스,192400
2020-03-25,77600.0,"상승  6,600",75000.0,77600.0,71300.0,10701.0,쿠쿠홀딩스,192400
2020-03-26,77800.0,상승  200,77200.0,79500.0,75200.0,9833.0,쿠쿠홀딩스,192400
2020-03-27,78200.0,상승  400,81600.0,81600.0,74600.0,10948.0,쿠쿠홀딩스,192400
2020-03-30,76100.0,"하락  2,100",75000.0,78000.0,74000.0,7164.0,쿠쿠홀딩스,192400
2020-03-31,74600.0,"하락  1,500",78500.0,78500.0,73600.0,17243.0,쿠쿠홀딩스,192400
2020-04-01,74000.0,하락  600,74600.0,76100.0,72700.0,10521.0,쿠쿠홀딩스,192400
2020-04-02,76000.0,"상승  2,000",73100.0,76600.0,73100.0,8107.0,쿠쿠홀딩스,192400
2020-04-03,77000.0,"상승  1,000",75500.0,77700.0,75100.0,6519.0,쿠쿠홀딩스,192400
2020-04-06,81500.0,"상승  4,500",77800.0,81500.0,77600.0,6062.0,쿠쿠홀딩스,192400
2020-04-07,85500.0,"상승  4,000",81600.0,85500.0,80600.0,12023.0,쿠쿠홀딩스,192400
2020-04-08,86000.0,상승  500,85000.0,89600.0,83100.0,9529.0,쿠쿠홀딩스,192400
2020-04-09,86400.0,상승  400,87100.0,88300.0,85000.0,6947.0,쿠쿠홀딩스,192400
2020-04-10,86200.0,하락  200,86200.0,87200.0,84200.0,6517.0,쿠쿠홀딩스,192400
2020-04-13,84000.0,"하락  2,200",86200.0,86800.0,84000.0,5336.0,쿠쿠홀딩스,192400
2020-04-14,87500.0,"상승  3,500",84200.0,89200.0,83500.0,5497.0,쿠쿠홀딩스,192400
2020-04-16,88200.0,상승  700,85400.0,88900.0,84200.0,8193.0,쿠쿠홀딩스,192400
2020-04-17,88300.0,상승  100,86800.0,90900.0,86800.0,6725.0,쿠쿠홀딩스,192400
2020-04-20,86900.0,"하락  1,400",88000.0,88800.0,86500.0,6638.0,쿠쿠홀딩스,192400
2020-04-21,84600.0,"하락  2,300",86900.0,87900.0,83500.0,7239.0,쿠쿠홀딩스,192400
2020-04-22,82800.0,"하락  1,800",84100.0,84900.0,81200.0,8159.0,쿠쿠홀딩스,192400
2020-04-23,84600.0,"상승  1,800",82600.0,85000.0,82000.0,5568.0,쿠쿠홀딩스,192400
2020-04-24,84300.0,하락  300,84600.0,85700.0,82300.0,6014.0,쿠쿠홀딩스,192400
2020-04-27,87000.0,"상승  2,700",83400.0,87500.0,83400.0,4978.0,쿠쿠홀딩스,192400
2020-04-28,88100.0,"상승  1,100",86200.0,89000.0,86100.0,9796.0,쿠쿠홀딩스,192400
2020-04-29,89600.0,"상승  1,500",88100.0,91000.0,87600.0,4145.0,쿠쿠홀딩스,192400
2020-05-04,85800.0,"하락  3,800",87300.0,87500.0,85800.0,9748.0,쿠쿠홀딩스,192400
2020-05-06,87300.0,"상승  1,500",86900.0,87600.0,86100.0,4311.0,쿠쿠홀딩스,192400
2020-05-07,87700.0,상승  400,87100.0,88800.0,86500.0,4973.0,쿠쿠홀딩스,192400
2020-05-08,89000.0,"상승  1,300",88700.0,89400.0,87700.0,5513.0,쿠쿠홀딩스,192400
2020-05-11,91600.0,"상승  2,600",89000.0,92500.0,88400.0,8021.0,쿠쿠홀딩스,192400
2020-05-12,88800.0,"하락  2,800",93700.0,93700.0,88300.0,6033.0,쿠쿠홀딩스,192400
2020-05-13,88500.0,하락  300,88100.0,88700.0,87100.0,3531.0,쿠쿠홀딩스,192400
2020-05-14,85300.0,"하락  3,200",88000.0,88500.0,84700.0,5393.0,쿠쿠홀딩스,192400
2020-05-15,88500.0,"상승  3,200",87600.0,88800.0,85700.0,4606.0,쿠쿠홀딩스,192400
2020-05-18,88800.0,상승  300,89600.0,89600.0,86600.0,2767.0,쿠쿠홀딩스,192400
2020-05-19,90700.0,"상승  1,900",89000.0,91700.0,89000.0,6262.0,쿠쿠홀딩스,192400
2020-05-20,89900.0,하락  800,90700.0,91200.0,89700.0,2466.0,쿠쿠홀딩스,192400
2020-05-21,88800.0,"하락  1,100",89500.0,90300.0,88600.0,6302.0,쿠쿠홀딩스,192400
2020-05-22,88400.0,하락  400,90200.0,90200.0,88300.0,4252.0,쿠쿠홀딩스,192400
2020-05-25,87700.0,하락  700,88400.0,89900.0,87300.0,3741.0,쿠쿠홀딩스,192400
2020-05-26,89000.0,"상승  1,300",87700.0,89400.0,87700.0,4674.0,쿠쿠홀딩스,192400
2020-05-27,89400.0,상승  400,88200.0,90500.0,87600.0,4746.0,쿠쿠홀딩스,192400
2020-05-28,87700.0,"하락  1,700",89000.0,90300.0,87100.0,5158.0,쿠쿠홀딩스,192400
2020-05-29,86500.0,"하락  1,200",87800.0,88400.0,86000.0,5631.0,쿠쿠홀딩스,192400
2020-06-01,88600.0,"상승  2,100",85800.0,88700.0,85600.0,3850.0,쿠쿠홀딩스,192400
2020-06-02,88000.0,하락  600,87600.0,88900.0,87600.0,4118.0,쿠쿠홀딩스,192400
2020-06-03,88900.0,상승  900,88100.0,93100.0,88100.0,12225.0,쿠쿠홀딩스,192400
2020-06-04,88800.0,하락  100,89000.0,89600.0,88500.0,5599.0,쿠쿠홀딩스,192400
2020-06-05,89200.0,상승  400,88900.0,89700.0,87800.0,5442.0,쿠쿠홀딩스,192400
2020-06-08,89300.0,상승  100,90000.0,90500.0,89200.0,6159.0,쿠쿠홀딩스,192400
2020-06-09,89300.0,보합0,89300.0,90000.0,88600.0,4241.0,쿠쿠홀딩스,192400
2020-06-10,89900.0,상승  600,89900.0,89900.0,88300.0,6083.0,쿠쿠홀딩스,192400
