날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,33850.0,"상승  1,400",30450.0,35500.0,27200.0,182605.0,쿠쿠홈시스,284740
2020-03-16,30050.0,"하락  3,800",33550.0,34550.0,30050.0,93874.0,쿠쿠홈시스,284740
2020-03-17,28800.0,"하락  1,250",29550.0,30650.0,27850.0,48216.0,쿠쿠홈시스,284740
2020-03-18,29000.0,상승  200,30150.0,30650.0,28500.0,53200.0,쿠쿠홈시스,284740
2020-03-19,27150.0,"하락  1,850",28650.0,29450.0,24000.0,133067.0,쿠쿠홈시스,284740
2020-03-20,29000.0,"상승  1,850",27400.0,29000.0,26550.0,50444.0,쿠쿠홈시스,284740
2020-03-23,28000.0,"하락  1,000",28650.0,29550.0,27000.0,55941.0,쿠쿠홈시스,284740
2020-03-24,29500.0,"상승  1,500",28450.0,30000.0,28450.0,26517.0,쿠쿠홈시스,284740
2020-03-25,30300.0,상승  800,31250.0,31250.0,29400.0,57137.0,쿠쿠홈시스,284740
2020-03-26,30900.0,상승  600,30550.0,31450.0,29850.0,60065.0,쿠쿠홈시스,284740
2020-03-27,30800.0,하락  100,31550.0,32150.0,30000.0,57903.0,쿠쿠홈시스,284740
2020-03-30,31800.0,"상승  1,000",30750.0,31800.0,29750.0,23186.0,쿠쿠홈시스,284740
2020-03-31,32050.0,상승  250,32000.0,32850.0,31500.0,32474.0,쿠쿠홈시스,284740
2020-04-01,32600.0,상승  550,31650.0,34300.0,31650.0,93353.0,쿠쿠홈시스,284740
2020-04-02,35250.0,"상승  2,650",32600.0,35400.0,32350.0,61985.0,쿠쿠홈시스,284740
2020-04-03,34200.0,"하락  1,050",35900.0,35950.0,33550.0,42498.0,쿠쿠홈시스,284740
2020-04-06,35550.0,"상승  1,350",34200.0,35600.0,34100.0,60655.0,쿠쿠홈시스,284740
2020-04-07,36450.0,상승  900,36150.0,37400.0,35100.0,39432.0,쿠쿠홈시스,284740
2020-04-08,36950.0,상승  500,36000.0,37700.0,35900.0,43371.0,쿠쿠홈시스,284740
2020-04-09,37450.0,상승  500,37900.0,37900.0,36600.0,22702.0,쿠쿠홈시스,284740
2020-04-10,36300.0,"하락  1,150",37150.0,37700.0,35850.0,32913.0,쿠쿠홈시스,284740
2020-04-13,34650.0,"하락  1,650",36150.0,36300.0,34350.0,50990.0,쿠쿠홈시스,284740
2020-04-14,35300.0,상승  650,34700.0,35400.0,34700.0,21287.0,쿠쿠홈시스,284740
