날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,2895.0,하락  310,2800.0,3100.0,2790.0,1655781.0,태림포장,011280
2020-03-16,2835.0,하락  60,2920.0,3245.0,2835.0,1625463.0,태림포장,011280
2020-03-17,2850.0,상승  15,2660.0,3015.0,2645.0,1064376.0,태림포장,011280
2020-03-18,2725.0,하락  125,2865.0,3020.0,2710.0,1005649.0,태림포장,011280
2020-03-19,2150.0,하락  575,2775.0,2835.0,2115.0,1644657.0,태림포장,011280
2020-03-20,2280.0,상승  130,2150.0,2320.0,2150.0,1186179.0,태림포장,011280
2020-03-23,2135.0,하락  145,2100.0,2260.0,2080.0,793445.0,태림포장,011280
2020-03-24,2300.0,상승  165,2250.0,2300.0,2190.0,758734.0,태림포장,011280
2020-03-25,2455.0,상승  155,2400.0,2480.0,2385.0,1052898.0,태림포장,011280
2020-03-26,2555.0,상승  100,2490.0,2735.0,2385.0,1170563.0,태림포장,011280
2020-03-27,2655.0,상승  100,2700.0,2805.0,2525.0,1240835.0,태림포장,011280
2020-03-30,2835.0,상승  180,2535.0,2840.0,2520.0,1199515.0,태림포장,011280
2020-03-31,3170.0,상승  335,3195.0,3500.0,3080.0,3903089.0,태림포장,011280
2020-04-01,3200.0,상승  30,3195.0,3375.0,3155.0,1714244.0,태림포장,011280
2020-04-02,3230.0,상승  30,3250.0,3300.0,3065.0,1114669.0,태림포장,011280
2020-04-03,3355.0,상승  125,3300.0,3455.0,3265.0,1371843.0,태림포장,011280
2020-04-06,3505.0,상승  150,3440.0,3595.0,3400.0,1553468.0,태림포장,011280
2020-04-07,3580.0,상승  75,3650.0,3660.0,3510.0,1124344.0,태림포장,011280
2020-04-08,3700.0,상승  120,3620.0,3890.0,3550.0,2834872.0,태림포장,011280
2020-04-09,3715.0,상승  15,3790.0,3820.0,3670.0,796307.0,태림포장,011280
2020-04-10,3590.0,하락  125,3760.0,3765.0,3455.0,746187.0,태림포장,011280
2020-04-13,3550.0,하락  40,3640.0,3745.0,3515.0,690215.0,태림포장,011280
2020-04-14,3635.0,상승  85,3600.0,3680.0,3595.0,528776.0,태림포장,011280
2020-04-16,3795.0,상승  160,3630.0,3800.0,3615.0,972714.0,태림포장,011280
2020-04-17,3810.0,상승  15,3855.0,3860.0,3745.0,772169.0,태림포장,011280
2020-04-20,3790.0,하락  20,3840.0,3920.0,3770.0,712292.0,태림포장,011280
2020-04-21,3675.0,하락  115,3790.0,3790.0,3420.0,1033103.0,태림포장,011280
2020-04-22,3695.0,상승  20,3600.0,3700.0,3560.0,442066.0,태림포장,011280
2020-04-23,3760.0,상승  65,3750.0,3795.0,3670.0,659863.0,태림포장,011280
2020-04-24,3600.0,하락  160,3755.0,3785.0,3600.0,449048.0,태림포장,011280
2020-04-27,3730.0,상승  130,3605.0,3740.0,3605.0,354692.0,태림포장,011280
2020-04-28,3660.0,하락  70,3740.0,3740.0,3605.0,555098.0,태림포장,011280
2020-04-29,3925.0,상승  265,3720.0,4280.0,3660.0,4735076.0,태림포장,011280
2020-05-04,4040.0,상승  115,3900.0,4065.0,3820.0,1558861.0,태림포장,011280
2020-05-06,4040.0,보합0,4130.0,4145.0,4010.0,720101.0,태림포장,011280
2020-05-07,4010.0,하락  30,4005.0,4075.0,4005.0,574181.0,태림포장,011280
2020-05-08,4035.0,상승  25,4040.0,4065.0,4000.0,499676.0,태림포장,011280
2020-05-11,4035.0,보합0,4090.0,4090.0,3980.0,514160.0,태림포장,011280
2020-05-12,3995.0,하락  40,4100.0,4100.0,3980.0,448144.0,태림포장,011280
2020-05-13,3950.0,하락  45,3995.0,4000.0,3930.0,352656.0,태림포장,011280
2020-05-14,4075.0,상승  125,3945.0,4140.0,3925.0,1096377.0,태림포장,011280
2020-05-15,4005.0,하락  70,4085.0,4125.0,3970.0,706981.0,태림포장,011280
2020-05-18,3740.0,하락  265,3785.0,3795.0,3660.0,1147230.0,태림포장,011280
2020-05-19,3675.0,하락  65,3800.0,3800.0,3640.0,836659.0,태림포장,011280
2020-05-20,3705.0,상승  30,3710.0,3725.0,3670.0,461321.0,태림포장,011280
2020-05-21,3685.0,하락  20,3750.0,3750.0,3675.0,443570.0,태림포장,011280
2020-05-22,3665.0,하락  20,3685.0,3715.0,3650.0,383540.0,태림포장,011280
2020-05-25,3660.0,하락  5,3680.0,3705.0,3640.0,408144.0,태림포장,011280
2020-05-26,3695.0,상승  35,3660.0,3715.0,3635.0,478775.0,태림포장,011280
2020-05-27,3730.0,상승  35,3715.0,3785.0,3700.0,664866.0,태림포장,011280
2020-05-28,3675.0,하락  55,3750.0,3775.0,3600.0,503506.0,태림포장,011280
2020-05-29,3630.0,하락  45,3675.0,3705.0,3605.0,352150.0,태림포장,011280
2020-06-01,3660.0,상승  30,3635.0,3685.0,3635.0,232301.0,태림포장,011280
2020-06-02,3670.0,상승  10,3680.0,3680.0,3630.0,278685.0,태림포장,011280
2020-06-03,3665.0,하락  5,3725.0,3725.0,3655.0,328510.0,태림포장,011280
2020-06-04,3680.0,상승  15,3675.0,3705.0,3660.0,266256.0,태림포장,011280
2020-06-05,3790.0,상승  110,3680.0,3825.0,3665.0,735886.0,태림포장,011280
2020-06-08,3785.0,하락  5,3845.0,3845.0,3750.0,416680.0,태림포장,011280
2020-06-09,3775.0,하락  10,3800.0,3800.0,3755.0,329751.0,태림포장,011280
2020-06-10,3770.0,하락  5,3790.0,3815.0,3740.0,293750.0,태림포장,011280
2020-06-11,3820.0,상승  50,3770.0,3820.0,3740.0,665165.0,태림포장,011280
2020-06-12,3680.0,하락  140,3700.0,3740.0,3570.0,445605.0,태림포장,011280
2020-06-15,3495.0,하락  185,3620.0,3750.0,3490.0,504265.0,태림포장,011280
2020-06-16,3660.0,상승  165,3560.0,3680.0,3500.0,281979.0,태림포장,011280
2020-06-17,3620.0,하락  40,3590.0,3690.0,3550.0,330788.0,태림포장,011280
2020-06-18,3585.0,하락  35,3620.0,3650.0,3565.0,263608.0,태림포장,011280
2020-06-19,3545.0,하락  40,3620.0,3625.0,3525.0,188428.0,태림포장,011280
2020-06-22,3535.0,하락  10,3580.0,3595.0,3525.0,208553.0,태림포장,011280
2020-06-23,3465.0,하락  70,3540.0,3560.0,3460.0,324110.0,태림포장,011280
2020-06-24,3455.0,하락  10,3500.0,3515.0,3450.0,179852.0,태림포장,011280
2020-06-25,3360.0,하락  95,3455.0,3460.0,3330.0,307311.0,태림포장,011280
2020-06-26,3385.0,상승  25,3365.0,3425.0,3365.0,216016.0,태림포장,011280
2020-06-29,3330.0,하락  55,3375.0,3375.0,3305.0,164843.0,태림포장,011280
2020-06-30,3350.0,상승  20,3345.0,3385.0,3335.0,211319.0,태림포장,011280
2020-07-01,3430.0,상승  80,3365.0,3515.0,3365.0,320916.0,태림포장,011280
2020-07-02,3380.0,하락  50,3425.0,3455.0,3360.0,230575.0,태림포장,011280
2020-07-03,3395.0,상승  15,3400.0,3425.0,3365.0,126030.0,태림포장,011280
2020-07-06,3410.0,상승  15,3400.0,3440.0,3375.0,105301.0,태림포장,011280
2020-07-07,3385.0,하락  25,3410.0,3440.0,3385.0,159733.0,태림포장,011280
2020-07-08,3380.0,하락  5,3390.0,3405.0,3350.0,139519.0,태림포장,011280
2020-07-09,3425.0,상승  45,3380.0,3435.0,3375.0,293796.0,태림포장,011280
2020-07-10,3395.0,하락  30,3420.0,3450.0,3365.0,193532.0,태림포장,011280
2020-07-13,3430.0,상승  35,3415.0,3445.0,3395.0,213646.0,태림포장,011280
