날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,11250.0,상승  50,10550.0,11300.0,9900.0,46965.0,텔코웨어,078000
2020-03-16,10900.0,하락  350,11350.0,11500.0,10750.0,21538.0,텔코웨어,078000
2020-03-17,11300.0,상승  400,10400.0,11500.0,10400.0,29159.0,텔코웨어,078000
2020-03-18,11050.0,하락  250,11450.0,11550.0,11050.0,27132.0,텔코웨어,078000
2020-03-19,10450.0,하락  600,11050.0,11250.0,10000.0,42858.0,텔코웨어,078000
2020-03-20,11000.0,상승  550,10100.0,11000.0,10100.0,45242.0,텔코웨어,078000
2020-03-23,10550.0,하락  450,10300.0,10700.0,10200.0,39548.0,텔코웨어,078000
2020-03-24,11100.0,상승  550,10550.0,11350.0,10550.0,23726.0,텔코웨어,078000
2020-03-25,11600.0,상승  500,11900.0,11900.0,11300.0,15811.0,텔코웨어,078000
2020-03-26,11700.0,상승  100,11400.0,11850.0,11400.0,14854.0,텔코웨어,078000
2020-03-27,11600.0,하락  100,11950.0,12250.0,11250.0,25051.0,텔코웨어,078000
2020-03-30,11800.0,상승  200,11350.0,11800.0,11200.0,19591.0,텔코웨어,078000
2020-03-31,11650.0,하락  150,12050.0,12050.0,11550.0,31567.0,텔코웨어,078000
2020-04-01,11700.0,상승  50,11800.0,12800.0,11700.0,104502.0,텔코웨어,078000
2020-04-02,12700.0,"상승  1,000",11950.0,12750.0,11750.0,66734.0,텔코웨어,078000
2020-04-03,12900.0,상승  200,12850.0,13050.0,12450.0,41348.0,텔코웨어,078000
2020-04-06,13400.0,상승  500,12800.0,13500.0,12700.0,56162.0,텔코웨어,078000
2020-04-07,13250.0,하락  150,13400.0,13550.0,13000.0,47706.0,텔코웨어,078000
2020-04-08,13300.0,상승  50,13250.0,13650.0,13000.0,74389.0,텔코웨어,078000
2020-04-09,14550.0,"상승  1,250",13500.0,14650.0,13500.0,129361.0,텔코웨어,078000
2020-04-10,14600.0,상승  50,14500.0,14900.0,14050.0,52548.0,텔코웨어,078000
2020-04-13,13400.0,"하락  1,200",14600.0,14600.0,13400.0,55234.0,텔코웨어,078000
2020-04-14,13900.0,상승  500,13400.0,14150.0,13400.0,56543.0,텔코웨어,078000
2020-04-16,14600.0,상승  700,13900.0,14800.0,13650.0,68689.0,텔코웨어,078000
