날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,3325.0,하락  260,3330.0,3495.0,3100.0,239803.0,팜스코,036580
2020-03-16,3300.0,하락  25,3355.0,3445.0,3210.0,121048.0,팜스코,036580
2020-03-17,3250.0,하락  50,3070.0,3280.0,3070.0,127655.0,팜스코,036580
2020-03-18,3000.0,하락  250,3210.0,3400.0,3000.0,117220.0,팜스코,036580
2020-03-19,2645.0,하락  355,3000.0,3175.0,2450.0,362576.0,팜스코,036580
2020-03-20,2740.0,상승  95,2565.0,2760.0,2565.0,241192.0,팜스코,036580
2020-03-23,2565.0,하락  175,2600.0,2630.0,2540.0,168492.0,팜스코,036580
2020-03-24,2615.0,상승  50,2595.0,2700.0,2570.0,207571.0,팜스코,036580
2020-03-25,2765.0,상승  150,2655.0,2820.0,2655.0,243091.0,팜스코,036580
2020-03-26,2900.0,상승  135,2770.0,2950.0,2765.0,163169.0,팜스코,036580
2020-03-27,2950.0,상승  50,2990.0,3015.0,2860.0,168297.0,팜스코,036580
2020-03-30,3045.0,상승  95,2920.0,3050.0,2810.0,156729.0,팜스코,036580
2020-03-31,3180.0,상승  135,3160.0,3475.0,3090.0,200759.0,팜스코,036580
2020-04-01,3220.0,상승  40,3180.0,3450.0,3165.0,237242.0,팜스코,036580
2020-04-02,3370.0,상승  150,3295.0,3370.0,3170.0,121217.0,팜스코,036580
2020-04-03,3360.0,하락  10,3370.0,3465.0,3315.0,145489.0,팜스코,036580
2020-04-06,3500.0,상승  140,3360.0,3550.0,3340.0,191120.0,팜스코,036580
2020-04-07,3590.0,상승  90,3570.0,3625.0,3450.0,175894.0,팜스코,036580
2020-04-08,3670.0,상승  80,3580.0,3780.0,3555.0,173170.0,팜스코,036580
2020-04-09,3870.0,상승  200,3680.0,3915.0,3615.0,252273.0,팜스코,036580
2020-04-10,3910.0,상승  40,3900.0,3960.0,3825.0,224272.0,팜스코,036580
2020-04-13,4020.0,상승  110,4000.0,4140.0,3915.0,290050.0,팜스코,036580
2020-04-14,4035.0,상승  15,4100.0,4125.0,3955.0,157240.0,팜스코,036580
2020-04-16,4070.0,상승  35,3990.0,4080.0,3930.0,87768.0,팜스코,036580
2020-04-17,4075.0,상승  5,4025.0,4130.0,4015.0,124126.0,팜스코,036580
2020-04-20,4070.0,하락  5,4075.0,4100.0,4035.0,94544.0,팜스코,036580
2020-04-21,4015.0,하락  55,4070.0,4075.0,3670.0,128862.0,팜스코,036580
2020-04-22,4015.0,보합0,3890.0,4030.0,3855.0,80924.0,팜스코,036580
2020-04-23,4590.0,상승  575,4085.0,4740.0,3995.0,1070525.0,팜스코,036580
2020-04-24,4480.0,하락  110,4760.0,4760.0,4480.0,713398.0,팜스코,036580
2020-04-27,4455.0,하락  25,4480.0,4680.0,4455.0,270766.0,팜스코,036580
2020-04-28,4450.0,하락  5,4500.0,4580.0,4410.0,133987.0,팜스코,036580
2020-04-29,4490.0,상승  40,4580.0,4630.0,4430.0,165222.0,팜스코,036580
2020-05-04,4670.0,상승  180,4425.0,4720.0,4390.0,431760.0,팜스코,036580
2020-05-06,5120.0,상승  450,4700.0,5370.0,4665.0,1073905.0,팜스코,036580
2020-05-07,5180.0,상승  60,5120.0,5300.0,5010.0,448775.0,팜스코,036580
2020-05-08,5090.0,하락  90,5170.0,5310.0,5010.0,208343.0,팜스코,036580
2020-05-11,5040.0,하락  50,5100.0,5150.0,4985.0,151538.0,팜스코,036580
2020-05-12,5460.0,상승  420,5150.0,5480.0,5000.0,602502.0,팜스코,036580
2020-05-13,6100.0,상승  640,5450.0,6350.0,5380.0,2322971.0,팜스코,036580
2020-05-14,6030.0,하락  70,5930.0,6190.0,5810.0,696109.0,팜스코,036580
2020-05-15,6000.0,하락  30,6050.0,6200.0,5890.0,456658.0,팜스코,036580
2020-05-18,6180.0,상승  180,6030.0,6180.0,5920.0,311216.0,팜스코,036580
2020-05-19,6180.0,보합0,6180.0,6220.0,5900.0,385931.0,팜스코,036580
2020-05-20,6630.0,상승  450,6200.0,7180.0,6120.0,1676766.0,팜스코,036580
2020-05-21,7200.0,상승  570,6560.0,7300.0,6480.0,1054278.0,팜스코,036580
2020-05-22,7620.0,상승  420,7280.0,7760.0,7110.0,730831.0,팜스코,036580
2020-05-25,7400.0,하락  220,7710.0,8080.0,7150.0,835911.0,팜스코,036580
2020-05-26,7660.0,상승  260,7400.0,7790.0,7320.0,446415.0,팜스코,036580
2020-05-27,7630.0,하락  30,7770.0,7880.0,7390.0,290980.0,팜스코,036580
2020-05-28,7420.0,하락  210,7720.0,7840.0,7250.0,628331.0,팜스코,036580
2020-05-29,7650.0,상승  230,7250.0,7730.0,7160.0,504855.0,팜스코,036580
2020-06-01,7610.0,하락  40,7890.0,7890.0,7380.0,353364.0,팜스코,036580
2020-06-02,7460.0,하락  150,7700.0,7780.0,7450.0,394381.0,팜스코,036580
2020-06-03,7180.0,하락  280,7510.0,7560.0,7100.0,345977.0,팜스코,036580
2020-06-04,7090.0,하락  90,7110.0,7200.0,6770.0,536573.0,팜스코,036580
2020-06-05,6970.0,하락  120,7160.0,7160.0,6870.0,170609.0,팜스코,036580
2020-06-08,6850.0,하락  120,6990.0,6990.0,6610.0,436812.0,팜스코,036580
2020-06-09,6750.0,하락  100,6830.0,6890.0,6400.0,649017.0,팜스코,036580
2020-06-10,6680.0,하락  70,6790.0,6790.0,6500.0,238681.0,팜스코,036580
2020-06-11,6580.0,하락  100,6750.0,6750.0,6520.0,184928.0,팜스코,036580
2020-06-12,6420.0,하락  160,6150.0,6520.0,6090.0,235491.0,팜스코,036580
2020-06-15,6020.0,하락  400,6400.0,6490.0,5850.0,377014.0,팜스코,036580
2020-06-16,6200.0,상승  180,6060.0,6330.0,6060.0,341479.0,팜스코,036580
2020-06-17,6190.0,하락  10,6090.0,6260.0,6000.0,385366.0,팜스코,036580
2020-06-18,6380.0,상승  190,6220.0,6430.0,6160.0,283535.0,팜스코,036580
2020-06-19,6100.0,하락  280,6290.0,6340.0,6090.0,339866.0,팜스코,036580
2020-06-22,6060.0,하락  40,6100.0,6230.0,5870.0,359039.0,팜스코,036580
2020-06-23,6140.0,상승  80,6040.0,6170.0,5900.0,222651.0,팜스코,036580
2020-06-24,6120.0,하락  20,6200.0,6230.0,6010.0,163029.0,팜스코,036580
2020-06-25,6000.0,하락  120,5990.0,6100.0,5890.0,176386.0,팜스코,036580
2020-06-26,5990.0,하락  10,6130.0,6130.0,5870.0,181119.0,팜스코,036580
