날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,3145.0,하락  55,3300.0,3340.0,3115.0,1313264.0,팬오션,028670
2020-03-17,3015.0,하락  130,2900.0,3100.0,2800.0,1895019.0,팬오션,028670
2020-03-18,2855.0,하락  160,3050.0,3090.0,2855.0,1639843.0,팬오션,028670
2020-03-19,2085.0,하락  770,2890.0,2940.0,2055.0,4853706.0,팬오션,028670
2020-03-20,2680.0,상승  595,2210.0,2680.0,2170.0,5822590.0,팬오션,028670
2020-03-23,2470.0,하락  210,2300.0,2570.0,2240.0,3154139.0,팬오션,028670
2020-03-24,2600.0,상승  130,2600.0,2620.0,2420.0,2494947.0,팬오션,028670
2020-03-25,2745.0,상승  145,2680.0,2745.0,2625.0,2614664.0,팬오션,028670
2020-03-26,2730.0,하락  15,2770.0,2825.0,2660.0,2361870.0,팬오션,028670
2020-03-27,2830.0,상승  100,2900.0,2920.0,2730.0,2515866.0,팬오션,028670
2020-03-30,2910.0,상승  80,2750.0,2930.0,2710.0,1487534.0,팬오션,028670
2020-03-31,2955.0,상승  45,2950.0,3030.0,2905.0,1595884.0,팬오션,028670
2020-04-01,2790.0,하락  165,2950.0,2990.0,2755.0,2148438.0,팬오션,028670
2020-04-02,2830.0,상승  40,2790.0,2870.0,2745.0,1424538.0,팬오션,028670
2020-04-03,2960.0,상승  130,2820.0,2975.0,2820.0,1730221.0,팬오션,028670
2020-04-06,3195.0,상승  235,3015.0,3255.0,3000.0,2338816.0,팬오션,028670
2020-04-07,3200.0,상승  5,3260.0,3260.0,3075.0,1880580.0,팬오션,028670
2020-04-08,3120.0,하락  80,3180.0,3205.0,3115.0,1302916.0,팬오션,028670
2020-04-09,3135.0,상승  15,3190.0,3190.0,3085.0,1253373.0,팬오션,028670
2020-04-10,3115.0,하락  20,3195.0,3195.0,3035.0,1500446.0,팬오션,028670
2020-04-13,3060.0,하락  55,3075.0,3125.0,3040.0,1152999.0,팬오션,028670
2020-04-14,3185.0,상승  125,3075.0,3210.0,3075.0,1422268.0,팬오션,028670
2020-04-16,3130.0,하락  55,3120.0,3205.0,3110.0,1355065.0,팬오션,028670
2020-04-17,3260.0,상승  130,3130.0,3325.0,3130.0,2417820.0,팬오션,028670
2020-04-20,3300.0,상승  40,3260.0,3420.0,3260.0,1978754.0,팬오션,028670
2020-04-21,3270.0,하락  30,3290.0,3345.0,3120.0,1778414.0,팬오션,028670
2020-04-22,3205.0,하락  65,3265.0,3265.0,3140.0,1412027.0,팬오션,028670
2020-04-23,3430.0,상승  225,3205.0,3480.0,3205.0,2883022.0,팬오션,028670
2020-04-24,3370.0,하락  60,3990.0,4090.0,3360.0,16972346.0,팬오션,028670
2020-04-27,3485.0,상승  115,3385.0,3495.0,3380.0,2417806.0,팬오션,028670
2020-04-28,3400.0,하락  85,3475.0,3480.0,3385.0,1948310.0,팬오션,028670
2020-04-29,3445.0,상승  45,3400.0,3480.0,3395.0,1563557.0,팬오션,028670
