날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,26700.0,하락  550,26950.0,27000.0,25000.0,2389.0,퍼시스,016800
2020-03-16,26350.0,하락  350,25850.0,26700.0,25850.0,782.0,퍼시스,016800
2020-03-17,26300.0,하락  50,25600.0,26600.0,25150.0,543.0,퍼시스,016800
2020-03-18,26000.0,하락  300,26300.0,26700.0,25650.0,1075.0,퍼시스,016800
2020-03-19,24750.0,"하락  1,250",26000.0,26600.0,24100.0,3852.0,퍼시스,016800
2020-03-20,25850.0,"상승  1,100",24750.0,25900.0,24750.0,1866.0,퍼시스,016800
2020-03-23,25400.0,하락  450,25800.0,25800.0,24550.0,2766.0,퍼시스,016800
2020-03-24,25800.0,상승  400,25150.0,26750.0,25050.0,1504.0,퍼시스,016800
2020-03-25,26650.0,상승  850,25300.0,27750.0,25300.0,907.0,퍼시스,016800
2020-03-26,26000.0,하락  650,26000.0,26400.0,25300.0,2057.0,퍼시스,016800
2020-03-27,26450.0,상승  450,25800.0,27650.0,25800.0,558.0,퍼시스,016800
2020-03-30,26700.0,상승  250,25850.0,26750.0,25550.0,352.0,퍼시스,016800
2020-03-31,27500.0,상승  800,26050.0,27500.0,25900.0,859.0,퍼시스,016800
2020-04-01,27550.0,상승  50,26650.0,28100.0,26650.0,659.0,퍼시스,016800
2020-04-02,27450.0,하락  100,27550.0,27550.0,26450.0,403.0,퍼시스,016800
2020-04-03,27500.0,상승  50,26950.0,27500.0,26950.0,359.0,퍼시스,016800
2020-04-06,28200.0,상승  700,26750.0,28650.0,26750.0,1028.0,퍼시스,016800
2020-04-07,28350.0,상승  150,28200.0,28600.0,27950.0,418.0,퍼시스,016800
2020-04-08,28300.0,하락  50,27950.0,28350.0,27800.0,213.0,퍼시스,016800
2020-04-09,28000.0,하락  300,28050.0,28300.0,27750.0,932.0,퍼시스,016800
2020-04-10,28300.0,상승  300,27950.0,28300.0,27500.0,335.0,퍼시스,016800
2020-04-13,28300.0,보합0,28300.0,28450.0,27650.0,7665.0,퍼시스,016800
2020-04-14,28300.0,보합0,28300.0,28500.0,28300.0,3713.0,퍼시스,016800
