날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,41350.0,"하락  2,850",40000.0,42050.0,37500.0,337899.0,하나투어,039130
2020-03-16,39100.0,"하락  2,250",41350.0,42100.0,39100.0,191436.0,하나투어,039130
2020-03-17,38850.0,하락  250,37100.0,39750.0,36550.0,197623.0,하나투어,039130
2020-03-18,36350.0,"하락  2,500",38350.0,39500.0,36350.0,140579.0,하나투어,039130
2020-03-19,27800.0,"하락  8,550",36100.0,37000.0,26600.0,387074.0,하나투어,039130
2020-03-20,29200.0,"상승  1,400",27800.0,30300.0,27000.0,184452.0,하나투어,039130
2020-03-23,28200.0,"하락  1,000",28000.0,29500.0,26950.0,154014.0,하나투어,039130
2020-03-24,29600.0,"상승  1,400",28650.0,29650.0,28500.0,214822.0,하나투어,039130
2020-03-25,32100.0,"상승  2,500",31100.0,33400.0,30950.0,267156.0,하나투어,039130
2020-03-26,36400.0,"상승  4,300",33500.0,40000.0,32250.0,475486.0,하나투어,039130
2020-03-27,36800.0,상승  400,38950.0,39000.0,35000.0,254739.0,하나투어,039130
2020-03-30,36550.0,하락  250,34250.0,36750.0,34000.0,133274.0,하나투어,039130
2020-03-31,37100.0,상승  550,37500.0,38050.0,36550.0,101737.0,하나투어,039130
2020-04-01,37100.0,보합0,37000.0,38850.0,36000.0,184012.0,하나투어,039130
2020-04-02,36900.0,하락  200,36950.0,37300.0,34100.0,185771.0,하나투어,039130
2020-04-03,37450.0,상승  550,36550.0,37950.0,35900.0,89315.0,하나투어,039130
2020-04-06,38850.0,"상승  1,400",37300.0,38900.0,36300.0,198852.0,하나투어,039130
2020-04-07,40150.0,"상승  1,300",40200.0,40400.0,39000.0,205954.0,하나투어,039130
2020-04-08,41200.0,"상승  1,050",40600.0,42150.0,39850.0,214675.0,하나투어,039130
2020-04-09,42950.0,"상승  1,750",41650.0,42950.0,41200.0,120359.0,하나투어,039130
2020-04-10,42150.0,하락  800,42700.0,42700.0,41550.0,138780.0,하나투어,039130
2020-04-13,40150.0,"하락  2,000",41700.0,41750.0,39800.0,223747.0,하나투어,039130
2020-04-14,40300.0,상승  150,40200.0,41050.0,39950.0,100507.0,하나투어,039130
2020-04-16,39950.0,하락  350,39950.0,40150.0,39400.0,98660.0,하나투어,039130
2020-04-17,40800.0,상승  850,41500.0,42000.0,40300.0,198609.0,하나투어,039130
2020-04-20,41750.0,상승  950,41000.0,42650.0,40950.0,200003.0,하나투어,039130
2020-04-21,41000.0,하락  750,41750.0,41750.0,39450.0,182702.0,하나투어,039130
2020-04-22,40750.0,하락  250,39850.0,40850.0,39800.0,69216.0,하나투어,039130
2020-04-23,40950.0,상승  200,41000.0,41200.0,40550.0,85286.0,하나투어,039130
2020-04-24,40350.0,하락  600,40750.0,40750.0,40200.0,67124.0,하나투어,039130
2020-04-27,40800.0,상승  450,40350.0,40950.0,40250.0,76955.0,하나투어,039130
2020-04-28,42700.0,"상승  1,900",41500.0,44650.0,41500.0,601316.0,하나투어,039130
2020-04-29,42400.0,하락  300,42700.0,42900.0,41250.0,165477.0,하나투어,039130
2020-05-04,41200.0,"하락  1,200",42200.0,42200.0,41100.0,102225.0,하나투어,039130
2020-05-06,41350.0,상승  150,41350.0,41950.0,41150.0,80580.0,하나투어,039130
2020-05-07,41450.0,상승  100,41150.0,41450.0,40400.0,96663.0,하나투어,039130
2020-05-08,41550.0,상승  100,41800.0,41950.0,41200.0,113098.0,하나투어,039130
2020-05-11,40450.0,"하락  1,100",41450.0,41450.0,40100.0,146427.0,하나투어,039130
2020-05-12,39700.0,하락  750,40200.0,40300.0,39500.0,84878.0,하나투어,039130
2020-05-13,38800.0,하락  900,39200.0,39200.0,38500.0,123511.0,하나투어,039130
2020-05-14,37250.0,"하락  1,550",38000.0,38100.0,35500.0,205750.0,하나투어,039130
2020-05-15,36700.0,하락  550,37450.0,37550.0,36350.0,100124.0,하나투어,039130
2020-05-18,39000.0,"상승  2,300",37300.0,39150.0,36900.0,278157.0,하나투어,039130
2020-05-19,41750.0,"상승  2,750",44050.0,44800.0,41700.0,609857.0,하나투어,039130
2020-05-20,41500.0,하락  250,41000.0,42000.0,40300.0,155783.0,하나투어,039130
