날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,12900.0,하락  800,13700.0,14300.0,12700.0,13759.0,하이스틸,071090
2020-03-17,12850.0,하락  50,11800.0,13100.0,11800.0,14364.0,하이스틸,071090
2020-03-18,12300.0,하락  550,12650.0,13600.0,12300.0,14585.0,하이스틸,071090
2020-03-19,10150.0,"하락  2,150",12150.0,12600.0,10150.0,35667.0,하이스틸,071090
2020-03-20,11150.0,"상승  1,000",11000.0,11150.0,10050.0,29221.0,하이스틸,071090
2020-03-23,10350.0,하락  800,10500.0,10950.0,10100.0,18401.0,하이스틸,071090
2020-03-24,11350.0,"상승  1,000",10800.0,11500.0,10450.0,6872.0,하이스틸,071090
2020-03-25,12100.0,상승  750,11700.0,12650.0,11700.0,21019.0,하이스틸,071090
2020-03-26,12300.0,상승  200,12400.0,12800.0,12100.0,10793.0,하이스틸,071090
2020-03-27,12800.0,상승  500,13650.0,13650.0,12550.0,12964.0,하이스틸,071090
2020-03-30,13200.0,상승  400,12500.0,13200.0,12500.0,3602.0,하이스틸,071090
2020-03-31,14400.0,"상승  1,200",13550.0,15200.0,13250.0,45120.0,하이스틸,071090
2020-04-01,13950.0,하락  450,14400.0,14750.0,13850.0,9296.0,하이스틸,071090
2020-04-02,14300.0,상승  350,13650.0,14400.0,13650.0,5462.0,하이스틸,071090
2020-04-03,14300.0,보합0,14300.0,14700.0,14150.0,2932.0,하이스틸,071090
2020-04-06,14500.0,상승  200,14300.0,14600.0,14300.0,4312.0,하이스틸,071090
2020-04-07,15400.0,상승  900,14550.0,15500.0,14450.0,16521.0,하이스틸,071090
2020-04-08,15250.0,하락  150,15200.0,15650.0,15200.0,4806.0,하이스틸,071090
2020-04-09,15500.0,상승  250,15250.0,15600.0,15250.0,2770.0,하이스틸,071090
2020-04-10,15350.0,하락  150,15700.0,15700.0,14900.0,8237.0,하이스틸,071090
2020-04-13,15050.0,하락  300,15350.0,15350.0,14950.0,5316.0,하이스틸,071090
2020-04-14,15500.0,상승  450,15050.0,15650.0,15000.0,5298.0,하이스틸,071090
2020-04-16,16500.0,"상승  1,000",15500.0,16850.0,15200.0,16517.0,하이스틸,071090
2020-04-17,16800.0,상승  300,16350.0,16800.0,16200.0,8328.0,하이스틸,071090
2020-04-20,17450.0,상승  650,16800.0,18200.0,16800.0,47215.0,하이스틸,071090
2020-04-21,16400.0,"하락  1,050",17900.0,18400.0,15050.0,59223.0,하이스틸,071090
2020-04-22,16850.0,상승  450,16000.0,16850.0,15750.0,8712.0,하이스틸,071090
2020-04-23,17150.0,상승  300,16800.0,17500.0,16400.0,12015.0,하이스틸,071090
2020-04-24,16500.0,하락  650,17100.0,17300.0,16500.0,11590.0,하이스틸,071090
