날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,9780.0,"하락  1,070",10000.0,10650.0,9410.0,145278.0,하이트진로홀딩스,000140
2020-03-16,9890.0,상승  110,9880.0,10200.0,9510.0,50322.0,하이트진로홀딩스,000140
2020-03-17,9790.0,하락  100,9680.0,9980.0,9210.0,37072.0,하이트진로홀딩스,000140
2020-03-18,9310.0,하락  480,9620.0,10350.0,9310.0,40184.0,하이트진로홀딩스,000140
2020-03-19,8730.0,하락  580,9210.0,9310.0,8290.0,86856.0,하이트진로홀딩스,000140
2020-03-20,9210.0,상승  480,8560.0,9210.0,8440.0,52415.0,하이트진로홀딩스,000140
2020-03-23,8100.0,"하락  1,110",8460.0,8580.0,8100.0,27049.0,하이트진로홀딩스,000140
2020-03-24,8300.0,상승  200,8200.0,8560.0,8200.0,34899.0,하이트진로홀딩스,000140
2020-03-25,9020.0,상승  720,8680.0,9100.0,8400.0,108481.0,하이트진로홀딩스,000140
2020-03-26,9200.0,상승  180,9020.0,9680.0,8790.0,48749.0,하이트진로홀딩스,000140
2020-03-27,9450.0,상승  250,9360.0,9690.0,9280.0,69933.0,하이트진로홀딩스,000140
2020-03-30,9700.0,상승  250,9400.0,9700.0,9200.0,27112.0,하이트진로홀딩스,000140
2020-03-31,10050.0,상승  350,9790.0,10200.0,9790.0,48490.0,하이트진로홀딩스,000140
2020-04-01,10200.0,상승  150,10050.0,10700.0,10050.0,29296.0,하이트진로홀딩스,000140
2020-04-02,10300.0,상승  100,10200.0,10300.0,9800.0,14213.0,하이트진로홀딩스,000140
2020-04-03,10950.0,상승  650,10500.0,10950.0,10400.0,28501.0,하이트진로홀딩스,000140
2020-04-06,11750.0,상승  800,11000.0,12300.0,11000.0,64875.0,하이트진로홀딩스,000140
2020-04-07,12050.0,상승  300,12050.0,12500.0,11650.0,45732.0,하이트진로홀딩스,000140
2020-04-08,12200.0,상승  150,12300.0,12550.0,11800.0,35578.0,하이트진로홀딩스,000140
2020-04-09,12250.0,상승  50,12700.0,12700.0,11900.0,22423.0,하이트진로홀딩스,000140
2020-04-10,12300.0,상승  50,12300.0,12400.0,11850.0,19535.0,하이트진로홀딩스,000140
2020-04-13,12200.0,하락  100,12450.0,12450.0,11800.0,23936.0,하이트진로홀딩스,000140
2020-04-14,12200.0,보합0,12150.0,12400.0,12100.0,49997.0,하이트진로홀딩스,000140
2020-04-16,12050.0,하락  150,12000.0,12200.0,11750.0,22496.0,하이트진로홀딩스,000140
2020-04-17,12050.0,보합0,12100.0,12350.0,12050.0,36087.0,하이트진로홀딩스,000140
2020-04-20,11950.0,하락  100,12150.0,12300.0,11850.0,15077.0,하이트진로홀딩스,000140
2020-04-21,11750.0,하락  200,11950.0,12100.0,11450.0,24427.0,하이트진로홀딩스,000140
2020-04-22,11750.0,보합0,11750.0,12050.0,11250.0,15146.0,하이트진로홀딩스,000140
2020-04-23,12300.0,상승  550,11750.0,12350.0,11600.0,41400.0,하이트진로홀딩스,000140
2020-04-24,12500.0,상승  200,12300.0,12650.0,12100.0,39186.0,하이트진로홀딩스,000140
2020-04-27,12800.0,상승  300,12500.0,13000.0,12450.0,117992.0,하이트진로홀딩스,000140
2020-04-28,13300.0,상승  500,12700.0,13450.0,12500.0,51152.0,하이트진로홀딩스,000140
2020-04-29,13550.0,상승  250,13450.0,13700.0,13250.0,24302.0,하이트진로홀딩스,000140
2020-05-04,13950.0,상승  400,13550.0,14700.0,13450.0,77911.0,하이트진로홀딩스,000140
2020-05-06,14550.0,상승  600,14050.0,14650.0,14050.0,49973.0,하이트진로홀딩스,000140
2020-05-07,14600.0,상승  50,14600.0,14850.0,14400.0,56032.0,하이트진로홀딩스,000140
2020-05-08,14250.0,하락  350,14700.0,14750.0,14000.0,76110.0,하이트진로홀딩스,000140
2020-05-11,14650.0,상승  400,14550.0,14800.0,13700.0,64315.0,하이트진로홀딩스,000140
2020-05-12,14950.0,상승  300,14800.0,15200.0,14600.0,98749.0,하이트진로홀딩스,000140
2020-05-13,14850.0,하락  100,14900.0,14950.0,14550.0,51682.0,하이트진로홀딩스,000140
2020-05-14,15200.0,상승  350,14850.0,15300.0,14500.0,90463.0,하이트진로홀딩스,000140
2020-05-15,15350.0,상승  150,15350.0,15650.0,15150.0,106467.0,하이트진로홀딩스,000140
2020-05-18,16250.0,상승  900,15600.0,17700.0,15600.0,200828.0,하이트진로홀딩스,000140
2020-05-19,16250.0,보합0,16500.0,16800.0,16150.0,53123.0,하이트진로홀딩스,000140
2020-05-20,16500.0,상승  250,16950.0,17450.0,16400.0,75512.0,하이트진로홀딩스,000140
2020-05-21,16350.0,하락  150,16900.0,16900.0,16200.0,37411.0,하이트진로홀딩스,000140
2020-05-22,16250.0,하락  100,16400.0,16550.0,16050.0,55328.0,하이트진로홀딩스,000140
2020-05-25,16500.0,상승  250,16250.0,16500.0,16150.0,33163.0,하이트진로홀딩스,000140
2020-05-26,16350.0,하락  150,16600.0,16600.0,16250.0,28420.0,하이트진로홀딩스,000140
2020-05-27,16350.0,보합0,16350.0,16500.0,16100.0,30225.0,하이트진로홀딩스,000140
2020-05-28,16000.0,하락  350,16350.0,16350.0,15850.0,49750.0,하이트진로홀딩스,000140
2020-05-29,16300.0,상승  300,15950.0,16450.0,15950.0,48488.0,하이트진로홀딩스,000140
2020-06-01,17100.0,상승  800,16250.0,17800.0,16250.0,266441.0,하이트진로홀딩스,000140
2020-06-02,17300.0,상승  200,17100.0,17600.0,16900.0,60311.0,하이트진로홀딩스,000140
2020-06-03,16850.0,하락  450,17300.0,17350.0,16750.0,52467.0,하이트진로홀딩스,000140
2020-06-04,17300.0,상승  450,17200.0,19200.0,16900.0,478758.0,하이트진로홀딩스,000140
2020-06-05,17150.0,하락  150,17300.0,17500.0,17000.0,60743.0,하이트진로홀딩스,000140
2020-06-08,16850.0,하락  300,17250.0,17300.0,16800.0,36209.0,하이트진로홀딩스,000140
2020-06-09,17900.0,"상승  1,050",17100.0,18000.0,16950.0,134752.0,하이트진로홀딩스,000140
2020-06-10,18200.0,상승  300,17850.0,18900.0,17500.0,107497.0,하이트진로홀딩스,000140
2020-06-11,18600.0,상승  400,18200.0,19050.0,18100.0,106960.0,하이트진로홀딩스,000140
2020-06-12,19350.0,상승  750,17900.0,19600.0,17500.0,141325.0,하이트진로홀딩스,000140
2020-06-15,20250.0,상승  900,19950.0,21400.0,19200.0,400468.0,하이트진로홀딩스,000140
2020-06-16,21700.0,"상승  1,450",21200.0,21800.0,21100.0,193490.0,하이트진로홀딩스,000140
2020-06-17,23150.0,"상승  1,450",21700.0,23450.0,21700.0,207854.0,하이트진로홀딩스,000140
2020-06-18,23350.0,상승  200,24000.0,24500.0,23000.0,138452.0,하이트진로홀딩스,000140
2020-06-19,23400.0,상승  50,23350.0,23850.0,23050.0,75107.0,하이트진로홀딩스,000140
2020-06-22,23500.0,상승  100,24200.0,24200.0,22950.0,103740.0,하이트진로홀딩스,000140
2020-06-23,24250.0,상승  750,23800.0,24250.0,23200.0,113870.0,하이트진로홀딩스,000140
2020-06-24,23450.0,하락  800,24400.0,24800.0,23100.0,88914.0,하이트진로홀딩스,000140
2020-06-25,22800.0,하락  650,22750.0,23450.0,22500.0,73765.0,하이트진로홀딩스,000140
2020-06-26,22700.0,하락  100,22850.0,23050.0,22200.0,48453.0,하이트진로홀딩스,000140
2020-06-29,22000.0,하락  700,22200.0,22700.0,22000.0,60096.0,하이트진로홀딩스,000140
2020-06-30,21700.0,하락  300,22200.0,22650.0,21700.0,66196.0,하이트진로홀딩스,000140
2020-07-01,21350.0,하락  350,22150.0,22150.0,21150.0,59197.0,하이트진로홀딩스,000140
2020-07-02,21750.0,상승  400,21350.0,22150.0,21350.0,41711.0,하이트진로홀딩스,000140
2020-07-03,21850.0,상승  100,21900.0,22350.0,21500.0,36407.0,하이트진로홀딩스,000140
2020-07-06,21850.0,보합0,21900.0,22150.0,21600.0,36406.0,하이트진로홀딩스,000140
2020-07-07,22350.0,상승  500,21850.0,22350.0,21450.0,47077.0,하이트진로홀딩스,000140
2020-07-08,22300.0,하락  50,22350.0,22500.0,22050.0,25021.0,하이트진로홀딩스,000140
2020-07-09,21900.0,하락  400,22500.0,22500.0,21700.0,30849.0,하이트진로홀딩스,000140
2020-07-10,23100.0,"상승  1,200",22300.0,23350.0,21800.0,64795.0,하이트진로홀딩스,000140
2020-07-13,22700.0,하락  400,23100.0,23450.0,22250.0,45802.0,하이트진로홀딩스,000140
2020-07-14,21850.0,하락  850,22500.0,22700.0,21700.0,40460.0,하이트진로홀딩스,000140
2020-07-15,21600.0,하락  250,22250.0,22400.0,21450.0,32057.0,하이트진로홀딩스,000140
2020-07-16,21100.0,하락  500,21800.0,21800.0,21000.0,36394.0,하이트진로홀딩스,000140
2020-07-17,21350.0,상승  250,21200.0,21500.0,20950.0,17406.0,하이트진로홀딩스,000140
2020-07-20,20450.0,하락  900,21000.0,21000.0,19600.0,80202.0,하이트진로홀딩스,000140
2020-07-21,20850.0,상승  400,20500.0,21400.0,20500.0,36881.0,하이트진로홀딩스,000140
2020-07-22,20750.0,하락  100,20850.0,21050.0,20450.0,16771.0,하이트진로홀딩스,000140
2020-07-23,20500.0,하락  250,20750.0,21000.0,20400.0,38976.0,하이트진로홀딩스,000140
2020-07-24,20150.0,하락  350,20400.0,20850.0,20050.0,20209.0,하이트진로홀딩스,000140
2020-07-27,20850.0,상승  700,20100.0,21300.0,20100.0,47299.0,하이트진로홀딩스,000140
2020-07-28,20800.0,하락  50,21400.0,21400.0,20550.0,19410.0,하이트진로홀딩스,000140
2020-07-29,21650.0,상승  850,20600.0,21700.0,20550.0,26511.0,하이트진로홀딩스,000140
2020-07-30,21450.0,하락  200,21700.0,22000.0,20950.0,41124.0,하이트진로홀딩스,000140
2020-07-31,21350.0,하락  100,21450.0,21500.0,21000.0,22794.0,하이트진로홀딩스,000140
2020-08-03,22300.0,상승  950,21350.0,22450.0,21350.0,55220.0,하이트진로홀딩스,000140
2020-08-04,22200.0,하락  100,22850.0,22850.0,21950.0,19970.0,하이트진로홀딩스,000140
2020-08-05,22650.0,상승  450,22200.0,22900.0,22100.0,57490.0,하이트진로홀딩스,000140
2020-08-06,22050.0,하락  600,22900.0,22900.0,21950.0,30199.0,하이트진로홀딩스,000140
2020-08-07,21700.0,하락  350,22300.0,22300.0,21600.0,24011.0,하이트진로홀딩스,000140
2020-08-10,21500.0,하락  200,21700.0,22050.0,21450.0,21076.0,하이트진로홀딩스,000140
2020-08-11,21800.0,상승  300,21600.0,21900.0,21350.0,30208.0,하이트진로홀딩스,000140
2020-08-12,21800.0,보합0,22000.0,22250.0,21500.0,20301.0,하이트진로홀딩스,000140
2020-08-13,21500.0,하락  300,22150.0,22200.0,21400.0,37338.0,하이트진로홀딩스,000140
2020-08-14,20800.0,하락  700,21850.0,21900.0,20050.0,71332.0,하이트진로홀딩스,000140
2020-08-18,19550.0,"하락  1,250",21000.0,21000.0,19000.0,94334.0,하이트진로홀딩스,000140
2020-08-19,19900.0,상승  350,19500.0,20250.0,19500.0,24300.0,하이트진로홀딩스,000140
2020-08-20,19250.0,하락  650,19950.0,20500.0,19000.0,39891.0,하이트진로홀딩스,000140
2020-08-21,19100.0,하락  150,19150.0,19450.0,18450.0,36917.0,하이트진로홀딩스,000140
2020-08-24,19200.0,상승  100,19100.0,19350.0,18450.0,17952.0,하이트진로홀딩스,000140
2020-08-25,19000.0,하락  200,19300.0,19350.0,18650.0,33435.0,하이트진로홀딩스,000140
2020-08-26,18500.0,하락  500,19200.0,19200.0,18000.0,73533.0,하이트진로홀딩스,000140
2020-08-27,17800.0,하락  700,18700.0,18700.0,17750.0,66256.0,하이트진로홀딩스,000140
2020-08-28,17850.0,상승  50,17950.0,18150.0,17700.0,41084.0,하이트진로홀딩스,000140
2020-08-31,17900.0,상승  50,17700.0,18150.0,17600.0,36642.0,하이트진로홀딩스,000140
2020-09-01,17700.0,하락  200,17950.0,17950.0,17300.0,64604.0,하이트진로홀딩스,000140
2020-09-02,17800.0,상승  100,17750.0,18000.0,17500.0,38433.0,하이트진로홀딩스,000140
2020-09-03,17650.0,하락  150,17900.0,17950.0,17500.0,28253.0,하이트진로홀딩스,000140
