날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,1700.0,하락  20,1700.0,1710.0,1690.0,282802.0,한국ANKOR유전,152550
2020-03-16,1695.0,하락  5,1730.0,1730.0,1695.0,3072.0,한국ANKOR유전,152550
2020-03-17,1680.0,하락  15,1695.0,1710.0,1675.0,9207.0,한국ANKOR유전,152550
2020-03-18,1660.0,하락  20,1680.0,1685.0,1655.0,63336.0,한국ANKOR유전,152550
2020-03-19,1560.0,하락  100,1650.0,1655.0,1550.0,239718.0,한국ANKOR유전,152550
2020-03-20,1600.0,상승  40,1695.0,1695.0,1590.0,43252.0,한국ANKOR유전,152550
2020-03-23,1640.0,상승  40,1560.0,1650.0,1545.0,71570.0,한국ANKOR유전,152550
2020-03-24,1640.0,보합0,1640.0,1640.0,1620.0,16064.0,한국ANKOR유전,152550
2020-03-25,1690.0,상승  50,1700.0,1700.0,1630.0,20247.0,한국ANKOR유전,152550
2020-03-26,1690.0,보합0,1655.0,1700.0,1655.0,18191.0,한국ANKOR유전,152550
2020-03-27,1700.0,상승  10,1710.0,1710.0,1670.0,3355.0,한국ANKOR유전,152550
2020-03-30,1705.0,상승  5,1675.0,1715.0,1675.0,17261.0,한국ANKOR유전,152550
2020-03-31,1700.0,하락  5,1720.0,1720.0,1700.0,6651.0,한국ANKOR유전,152550
2020-04-01,1700.0,보합0,1700.0,1715.0,1700.0,19710.0,한국ANKOR유전,152550
2020-04-02,1705.0,상승  5,1660.0,1705.0,1660.0,23046.0,한국ANKOR유전,152550
2020-04-03,1710.0,상승  5,1705.0,1710.0,1700.0,9880.0,한국ANKOR유전,152550
2020-04-06,1710.0,보합0,1710.0,1710.0,1700.0,12842.0,한국ANKOR유전,152550
2020-04-07,1720.0,상승  10,1720.0,1720.0,1710.0,186041.0,한국ANKOR유전,152550
2020-04-08,1725.0,상승  5,1710.0,1725.0,1710.0,1450.0,한국ANKOR유전,152550
2020-04-09,1730.0,상승  5,1705.0,1740.0,1705.0,95621.0,한국ANKOR유전,152550
2020-04-10,1725.0,하락  5,1730.0,1730.0,1705.0,72755.0,한국ANKOR유전,152550
2020-04-13,1710.0,하락  15,1725.0,1725.0,1710.0,51676.0,한국ANKOR유전,152550
2020-04-14,1725.0,상승  15,1710.0,1725.0,1710.0,64156.0,한국ANKOR유전,152550
2020-04-16,1730.0,상승  5,1725.0,1730.0,1710.0,10514.0,한국ANKOR유전,152550
2020-04-17,1730.0,보합0,1725.0,1730.0,1715.0,7075.0,한국ANKOR유전,152550
2020-04-20,1720.0,하락  10,1730.0,1730.0,1720.0,4201.0,한국ANKOR유전,152550
2020-04-21,1720.0,보합0,1720.0,1725.0,1715.0,1009.0,한국ANKOR유전,152550
