날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,21750.0,"하락  2,100",21500.0,22400.0,21250.0,775512.0,한국가스공사,036460
2020-03-16,21100.0,하락  650,22150.0,22600.0,21000.0,482654.0,한국가스공사,036460
2020-03-17,19850.0,"하락  1,250",20000.0,20600.0,19500.0,579279.0,한국가스공사,036460
2020-03-18,18150.0,"하락  1,700",19900.0,20100.0,18150.0,455853.0,한국가스공사,036460
2020-03-19,16600.0,"하락  1,550",18150.0,18500.0,16450.0,664690.0,한국가스공사,036460
2020-03-20,19350.0,"상승  2,750",17050.0,19350.0,17050.0,603641.0,한국가스공사,036460
2020-03-23,18300.0,"하락  1,050",17700.0,19200.0,17550.0,447626.0,한국가스공사,036460
2020-03-24,19350.0,"상승  1,050",18650.0,19400.0,18350.0,426787.0,한국가스공사,036460
2020-03-25,20550.0,"상승  1,200",20550.0,20600.0,20000.0,577543.0,한국가스공사,036460
2020-03-26,20550.0,보합0,20550.0,21200.0,19900.0,453931.0,한국가스공사,036460
2020-03-27,21100.0,상승  550,21300.0,21600.0,20550.0,327019.0,한국가스공사,036460
2020-03-30,21350.0,상승  250,20100.0,21400.0,20000.0,279090.0,한국가스공사,036460
2020-03-31,21500.0,상승  150,21750.0,21950.0,21250.0,340490.0,한국가스공사,036460
2020-04-01,21100.0,하락  400,21150.0,22050.0,21000.0,321272.0,한국가스공사,036460
2020-04-02,21750.0,상승  650,21100.0,21750.0,20600.0,292016.0,한국가스공사,036460
2020-04-03,22100.0,상승  350,22500.0,22750.0,21800.0,344545.0,한국가스공사,036460
2020-04-06,23350.0,"상승  1,250",22200.0,23500.0,22150.0,397145.0,한국가스공사,036460
2020-04-07,24100.0,상승  750,24150.0,24800.0,23350.0,627508.0,한국가스공사,036460
2020-04-08,24100.0,보합0,23850.0,24300.0,23450.0,408856.0,한국가스공사,036460
2020-04-09,24450.0,상승  350,24650.0,24700.0,24250.0,322138.0,한국가스공사,036460
2020-04-10,25350.0,상승  900,24600.0,25350.0,24450.0,529235.0,한국가스공사,036460
2020-04-13,26800.0,"상승  1,450",27100.0,27750.0,26650.0,811153.0,한국가스공사,036460
2020-04-14,26950.0,상승  150,26900.0,27150.0,26500.0,425433.0,한국가스공사,036460
2020-04-16,26600.0,하락  350,26400.0,26950.0,25750.0,437257.0,한국가스공사,036460
2020-04-17,26900.0,상승  300,26800.0,27100.0,26750.0,295196.0,한국가스공사,036460
2020-04-20,27400.0,상승  500,26950.0,27650.0,26900.0,414722.0,한국가스공사,036460
2020-04-21,26700.0,하락  700,27300.0,27300.0,25500.0,483961.0,한국가스공사,036460
2020-04-22,25900.0,하락  800,25800.0,26150.0,25550.0,498541.0,한국가스공사,036460
2020-04-23,26750.0,상승  850,26250.0,26750.0,26100.0,278019.0,한국가스공사,036460
2020-04-24,26250.0,하락  500,26650.0,26650.0,26100.0,278853.0,한국가스공사,036460
2020-04-27,26950.0,상승  700,26250.0,27000.0,26200.0,328373.0,한국가스공사,036460
2020-04-28,26750.0,하락  200,27050.0,27050.0,26600.0,279823.0,한국가스공사,036460
2020-04-29,26950.0,상승  200,26850.0,27050.0,26750.0,303201.0,한국가스공사,036460
2020-05-04,26600.0,하락  350,26750.0,26800.0,26350.0,288385.0,한국가스공사,036460
2020-05-06,26700.0,상승  100,26950.0,26950.0,26550.0,175876.0,한국가스공사,036460
2020-05-07,27100.0,상승  400,26550.0,27500.0,26450.0,351928.0,한국가스공사,036460
2020-05-08,27400.0,상승  300,27250.0,27450.0,27200.0,253162.0,한국가스공사,036460
2020-05-11,27500.0,상승  100,27400.0,27600.0,27300.0,221361.0,한국가스공사,036460
2020-05-12,26900.0,하락  600,27450.0,27500.0,26700.0,274775.0,한국가스공사,036460
2020-05-13,27150.0,상승  250,26550.0,27250.0,26400.0,217335.0,한국가스공사,036460
2020-05-14,27100.0,하락  50,27450.0,27600.0,26700.0,395536.0,한국가스공사,036460
2020-05-15,26950.0,하락  150,27100.0,27250.0,26850.0,200736.0,한국가스공사,036460
2020-05-18,27000.0,상승  50,27150.0,27200.0,26650.0,163121.0,한국가스공사,036460
2020-05-19,27500.0,상승  500,27500.0,27800.0,27400.0,306206.0,한국가스공사,036460
2020-05-20,27700.0,상승  200,27550.0,27750.0,27450.0,144808.0,한국가스공사,036460
2020-05-21,27900.0,상승  200,27750.0,27950.0,27600.0,213908.0,한국가스공사,036460
2020-05-22,27700.0,하락  200,28000.0,28000.0,27600.0,197272.0,한국가스공사,036460
2020-05-25,27900.0,상승  200,27850.0,27950.0,27600.0,139790.0,한국가스공사,036460
