날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,29200.0,"하락  2,050",30000.0,30300.0,26650.0,14559.0,한국공항,005430
2020-03-16,27700.0,"하락  1,500",29200.0,29700.0,27000.0,6564.0,한국공항,005430
2020-03-17,25750.0,"하락  1,950",25150.0,29000.0,25150.0,8132.0,한국공항,005430
2020-03-18,25950.0,상승  200,25800.0,27350.0,25800.0,10700.0,한국공항,005430
2020-03-19,23000.0,"하락  2,950",25900.0,25950.0,22050.0,12517.0,한국공항,005430
2020-03-20,23000.0,보합0,22050.0,23350.0,20050.0,63102.0,한국공항,005430
2020-03-23,20750.0,"하락  2,250",21200.0,21900.0,20300.0,12381.0,한국공항,005430
2020-03-24,21600.0,상승  850,21050.0,21800.0,20900.0,5693.0,한국공항,005430
2020-03-25,24300.0,"상승  2,700",22100.0,27000.0,22100.0,45574.0,한국공항,005430
2020-03-26,25000.0,상승  700,26000.0,26500.0,24500.0,30941.0,한국공항,005430
2020-03-27,24850.0,하락  150,25700.0,26400.0,23650.0,40316.0,한국공항,005430
2020-03-30,24800.0,하락  50,24650.0,24800.0,23000.0,18438.0,한국공항,005430
2020-03-31,25600.0,상승  800,25200.0,26250.0,25100.0,8234.0,한국공항,005430
2020-04-01,25150.0,하락  450,25550.0,26400.0,25100.0,16406.0,한국공항,005430
2020-04-02,25200.0,상승  50,25100.0,25600.0,24100.0,10006.0,한국공항,005430
2020-04-03,25000.0,하락  200,25050.0,25500.0,25000.0,6813.0,한국공항,005430
2020-04-06,26200.0,"상승  1,200",25200.0,26650.0,24750.0,26083.0,한국공항,005430
2020-04-07,26800.0,상승  600,27400.0,28100.0,26250.0,28994.0,한국공항,005430
2020-04-08,27900.0,"상승  1,100",26800.0,28250.0,26500.0,16194.0,한국공항,005430
2020-04-09,31050.0,"상승  3,150",28500.0,34000.0,28500.0,100170.0,한국공항,005430
2020-04-10,31250.0,상승  200,31600.0,32250.0,29900.0,28261.0,한국공항,005430
2020-04-13,30300.0,하락  950,31000.0,31550.0,29900.0,21930.0,한국공항,005430
2020-04-14,30900.0,상승  600,30400.0,31500.0,30250.0,14884.0,한국공항,005430
2020-04-16,30850.0,하락  50,30100.0,30900.0,29700.0,8509.0,한국공항,005430
2020-04-17,34000.0,"상승  3,150",31150.0,35800.0,31050.0,120428.0,한국공항,005430
2020-04-20,41250.0,"상승  7,250",36800.0,43500.0,34550.0,355092.0,한국공항,005430
2020-04-21,44350.0,"상승  3,100",43700.0,47500.0,39350.0,362817.0,한국공항,005430
2020-04-22,43400.0,하락  950,43550.0,44800.0,42500.0,92434.0,한국공항,005430
2020-04-23,45200.0,"상승  1,800",44500.0,48000.0,44250.0,122043.0,한국공항,005430
2020-04-24,42750.0,"하락  2,450",44500.0,46200.0,42500.0,53585.0,한국공항,005430
2020-04-27,42900.0,상승  150,44650.0,45200.0,42100.0,82623.0,한국공항,005430
2020-04-28,41800.0,"하락  1,100",42900.0,42900.0,41350.0,47384.0,한국공항,005430
2020-04-29,41300.0,하락  500,41550.0,42750.0,40600.0,42218.0,한국공항,005430
2020-05-04,40600.0,하락  700,39500.0,42400.0,39500.0,50949.0,한국공항,005430
2020-05-06,40650.0,상승  50,41100.0,41800.0,40500.0,26891.0,한국공항,005430
2020-05-07,47300.0,"상승  6,650",40800.0,51500.0,40650.0,623123.0,한국공항,005430
2020-05-08,51500.0,"상승  4,200",49000.0,54000.0,49000.0,147417.0,한국공항,005430
2020-05-11,51000.0,하락  500,52000.0,53500.0,50500.0,68273.0,한국공항,005430
2020-05-12,50500.0,하락  500,51900.0,51900.0,49350.0,65824.0,한국공항,005430
2020-05-13,47800.0,"하락  2,700",48350.0,50900.0,45200.0,109592.0,한국공항,005430
2020-05-14,45350.0,"하락  2,450",46800.0,47650.0,43550.0,125413.0,한국공항,005430
2020-05-15,44800.0,하락  550,44550.0,45400.0,43200.0,59632.0,한국공항,005430
2020-05-18,43500.0,"하락  1,300",45700.0,45700.0,43050.0,54575.0,한국공항,005430
2020-05-19,43300.0,하락  200,44500.0,45900.0,42950.0,86441.0,한국공항,005430
2020-05-20,43850.0,상승  550,43500.0,44200.0,43150.0,36205.0,한국공항,005430
2020-05-21,45200.0,"상승  1,350",44050.0,46400.0,43550.0,68521.0,한국공항,005430
2020-05-22,44000.0,"하락  1,200",45350.0,46150.0,44000.0,48194.0,한국공항,005430
2020-05-25,45700.0,"상승  1,700",44800.0,48200.0,44200.0,83302.0,한국공항,005430
2020-05-26,44700.0,"하락  1,000",45700.0,45750.0,44200.0,45494.0,한국공항,005430
2020-05-27,43750.0,하락  950,45350.0,45450.0,43750.0,44929.0,한국공항,005430
2020-05-28,41900.0,"하락  1,850",45000.0,45900.0,40550.0,75005.0,한국공항,005430
2020-05-29,41600.0,하락  300,41900.0,42500.0,40850.0,36127.0,한국공항,005430
2020-06-01,41400.0,하락  200,41600.0,42300.0,41050.0,28256.0,한국공항,005430
2020-06-02,40900.0,하락  500,41500.0,41750.0,40500.0,32686.0,한국공항,005430
2020-06-03,40200.0,하락  700,41300.0,41300.0,40100.0,45558.0,한국공항,005430
2020-06-04,40200.0,보합0,40600.0,41200.0,40050.0,33948.0,한국공항,005430
2020-06-05,40550.0,상승  350,40200.0,42000.0,40150.0,46358.0,한국공항,005430
2020-06-08,40600.0,상승  50,41000.0,41000.0,40100.0,20454.0,한국공항,005430
2020-06-09,40300.0,하락  300,40300.0,40600.0,40050.0,20349.0,한국공항,005430
2020-06-10,39950.0,하락  350,40150.0,40750.0,39800.0,25390.0,한국공항,005430
2020-06-11,38450.0,"하락  1,500",40000.0,40000.0,38300.0,38222.0,한국공항,005430
2020-06-12,37200.0,"하락  1,250",35300.0,37350.0,35200.0,41872.0,한국공항,005430
2020-06-15,34300.0,"하락  2,900",37250.0,37250.0,34250.0,25642.0,한국공항,005430
2020-06-16,35550.0,"상승  1,250",34400.0,36150.0,34400.0,21233.0,한국공항,005430
2020-06-17,34800.0,하락  750,34600.0,35600.0,34300.0,17357.0,한국공항,005430
2020-06-18,35350.0,상승  550,34400.0,35700.0,34400.0,17581.0,한국공항,005430
2020-06-19,35950.0,상승  600,35300.0,36350.0,35100.0,17725.0,한국공항,005430
2020-06-22,35200.0,하락  750,35950.0,36050.0,34950.0,9155.0,한국공항,005430
2020-06-23,34550.0,하락  650,35200.0,35300.0,33950.0,15981.0,한국공항,005430
2020-06-24,34700.0,상승  150,34800.0,35000.0,33950.0,15300.0,한국공항,005430
2020-06-25,34150.0,하락  550,34700.0,35150.0,34050.0,10858.0,한국공항,005430
