날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,2380.0,하락  345,2300.0,2550.0,2205.0,631162.0,한국내화,010040
2020-03-16,2325.0,하락  55,2350.0,2495.0,2325.0,435034.0,한국내화,010040
2020-03-17,2300.0,하락  25,2020.0,2400.0,2020.0,370475.0,한국내화,010040
2020-03-18,2180.0,하락  120,2310.0,2375.0,2175.0,260350.0,한국내화,010040
2020-03-19,1805.0,하락  375,2245.0,2265.0,1775.0,453941.0,한국내화,010040
2020-03-20,1980.0,상승  175,1800.0,1980.0,1800.0,472183.0,한국내화,010040
2020-03-23,1845.0,하락  135,1860.0,1910.0,1785.0,236841.0,한국내화,010040
2020-03-24,1995.0,상승  150,1885.0,2020.0,1875.0,248471.0,한국내화,010040
2020-03-25,2175.0,상승  180,2065.0,2195.0,2065.0,375675.0,한국내화,010040
2020-03-26,2220.0,상승  45,2210.0,2335.0,2035.0,335653.0,한국내화,010040
2020-03-27,2230.0,상승  10,2335.0,2350.0,2145.0,188553.0,한국내화,010040
2020-03-30,2245.0,상승  15,2180.0,2270.0,2100.0,178499.0,한국내화,010040
2020-03-31,2580.0,상승  335,2285.0,2720.0,2255.0,1056164.0,한국내화,010040
2020-04-01,2485.0,하락  95,2520.0,2620.0,2460.0,300739.0,한국내화,010040
2020-04-02,2565.0,상승  80,2470.0,2565.0,2400.0,155831.0,한국내화,010040
2020-04-03,2700.0,상승  135,2605.0,3000.0,2565.0,720041.0,한국내화,010040
2020-04-06,2775.0,상승  75,2715.0,2805.0,2675.0,221935.0,한국내화,010040
2020-04-07,2865.0,상승  90,2835.0,2895.0,2750.0,268426.0,한국내화,010040
2020-04-08,2885.0,상승  20,2860.0,2915.0,2805.0,315509.0,한국내화,010040
2020-04-09,2885.0,보합0,2930.0,2960.0,2875.0,224548.0,한국내화,010040
2020-04-10,2945.0,상승  60,2900.0,2950.0,2795.0,333441.0,한국내화,010040
2020-04-13,3000.0,상승  55,2970.0,3045.0,2895.0,273758.0,한국내화,010040
2020-04-14,3205.0,상승  205,3000.0,3380.0,3000.0,688107.0,한국내화,010040
2020-04-16,3440.0,상승  235,3230.0,3645.0,3160.0,1963460.0,한국내화,010040
2020-04-17,3380.0,하락  60,3440.0,3460.0,3345.0,479108.0,한국내화,010040
2020-04-20,3535.0,상승  155,3385.0,3750.0,3380.0,1357021.0,한국내화,010040
2020-04-21,3405.0,하락  130,3535.0,3790.0,3125.0,1348220.0,한국내화,010040
2020-04-22,3450.0,상승  45,3400.0,3475.0,3205.0,353557.0,한국내화,010040
2020-04-23,3485.0,상승  35,3510.0,3570.0,3410.0,318662.0,한국내화,010040
2020-04-24,3375.0,하락  110,3480.0,3535.0,3335.0,331884.0,한국내화,010040
2020-04-27,3530.0,상승  155,3445.0,3900.0,3395.0,1859274.0,한국내화,010040
2020-04-28,3540.0,상승  10,3595.0,3690.0,3495.0,726788.0,한국내화,010040
2020-04-29,3545.0,상승  5,3540.0,3665.0,3510.0,359370.0,한국내화,010040
2020-05-04,3695.0,상승  150,3600.0,3880.0,3590.0,1244561.0,한국내화,010040
2020-05-06,3725.0,상승  30,3715.0,3800.0,3695.0,420595.0,한국내화,010040
2020-05-07,3715.0,하락  10,3725.0,3850.0,3700.0,273018.0,한국내화,010040
2020-05-08,3735.0,상승  20,3720.0,3765.0,3675.0,213755.0,한국내화,010040
2020-05-11,3590.0,하락  145,3720.0,3720.0,3555.0,275890.0,한국내화,010040
2020-05-12,3605.0,상승  15,3560.0,3810.0,3545.0,421124.0,한국내화,010040
2020-05-13,3550.0,하락  55,3560.0,3595.0,3505.0,138215.0,한국내화,010040
2020-05-14,3445.0,하락  105,3545.0,3580.0,3445.0,110862.0,한국내화,010040
2020-05-15,3370.0,하락  75,3450.0,3480.0,3345.0,148289.0,한국내화,010040
2020-05-18,3365.0,하락  5,3360.0,3435.0,3335.0,94389.0,한국내화,010040
2020-05-19,3435.0,상승  70,3395.0,3500.0,3390.0,88504.0,한국내화,010040
2020-05-20,3455.0,상승  20,3440.0,3455.0,3400.0,78322.0,한국내화,010040
2020-05-21,3435.0,하락  20,3485.0,3485.0,3430.0,75170.0,한국내화,010040
2020-05-22,3470.0,상승  35,3455.0,3550.0,3390.0,239322.0,한국내화,010040
2020-05-25,3660.0,상승  190,3525.0,3690.0,3450.0,852753.0,한국내화,010040
2020-05-26,3700.0,상승  40,3730.0,3770.0,3640.0,421103.0,한국내화,010040
2020-05-27,4115.0,상승  415,3700.0,4550.0,3645.0,13240318.0,한국내화,010040
2020-05-28,4020.0,하락  95,4170.0,4580.0,3985.0,5673139.0,한국내화,010040
2020-05-29,4415.0,상승  395,4185.0,4645.0,4050.0,5816560.0,한국내화,010040
2020-06-01,4125.0,하락  290,4275.0,4315.0,4060.0,1479061.0,한국내화,010040
2020-06-02,4205.0,상승  80,4185.0,4330.0,4110.0,1552842.0,한국내화,010040
2020-06-03,4100.0,하락  105,4230.0,4310.0,4080.0,837761.0,한국내화,010040
2020-06-04,4080.0,하락  20,4115.0,4230.0,4010.0,711969.0,한국내화,010040
2020-06-05,4010.0,하락  70,4080.0,4160.0,3965.0,390872.0,한국내화,010040
2020-06-08,3945.0,하락  65,3985.0,3990.0,3905.0,305168.0,한국내화,010040
2020-06-09,3895.0,하락  50,3900.0,3970.0,3865.0,350092.0,한국내화,010040
2020-06-10,3720.0,하락  175,3920.0,3920.0,3695.0,510462.0,한국내화,010040
2020-06-11,3595.0,하락  125,3720.0,3765.0,3575.0,372010.0,한국내화,010040
2020-06-12,3535.0,하락  60,3465.0,3535.0,3375.0,277750.0,한국내화,010040
2020-06-15,3100.0,하락  435,3490.0,3510.0,3080.0,468797.0,한국내화,010040
2020-06-16,3310.0,상승  210,3145.0,3330.0,3125.0,308713.0,한국내화,010040
2020-06-17,3315.0,상승  5,3225.0,3370.0,3125.0,378644.0,한국내화,010040
2020-06-18,3315.0,보합0,3295.0,3410.0,3240.0,248982.0,한국내화,010040
2020-06-19,3430.0,상승  115,3315.0,3470.0,3300.0,220580.0,한국내화,010040
2020-06-22,3425.0,하락  5,3460.0,3515.0,3375.0,85781.0,한국내화,010040
2020-06-23,3490.0,상승  65,3400.0,3800.0,3360.0,1230570.0,한국내화,010040
2020-06-24,3560.0,상승  70,3540.0,3635.0,3490.0,407480.0,한국내화,010040
2020-06-25,3460.0,하락  100,3510.0,3640.0,3410.0,228064.0,한국내화,010040
2020-06-26,3460.0,보합0,3550.0,3550.0,3420.0,180384.0,한국내화,010040
2020-06-29,3450.0,하락  10,3420.0,3515.0,3385.0,188891.0,한국내화,010040
2020-06-30,3415.0,하락  35,3540.0,3575.0,3400.0,194907.0,한국내화,010040
2020-07-01,3275.0,하락  140,3400.0,3455.0,3260.0,292380.0,한국내화,010040
2020-07-02,3395.0,상승  120,3280.0,3475.0,3275.0,208455.0,한국내화,010040
2020-07-03,3435.0,상승  40,3400.0,3435.0,3315.0,167261.0,한국내화,010040
2020-07-06,3500.0,상승  65,3435.0,3520.0,3430.0,174851.0,한국내화,010040
2020-07-07,3405.0,하락  95,3520.0,3610.0,3380.0,187783.0,한국내화,010040
2020-07-08,3455.0,상승  50,3400.0,3490.0,3365.0,83536.0,한국내화,010040
2020-07-09,3430.0,하락  25,3455.0,3495.0,3415.0,98887.0,한국내화,010040
2020-07-10,3305.0,하락  125,3450.0,3455.0,3255.0,321857.0,한국내화,010040
2020-07-13,3335.0,상승  30,3335.0,3355.0,3275.0,95758.0,한국내화,010040
2020-07-14,3385.0,상승  50,3325.0,3425.0,3325.0,100322.0,한국내화,010040
2020-07-15,3465.0,상승  80,3405.0,3490.0,3385.0,118825.0,한국내화,010040
2020-07-16,3450.0,하락  15,3465.0,3485.0,3430.0,74964.0,한국내화,010040
2020-07-17,3405.0,하락  45,3470.0,3485.0,3400.0,91509.0,한국내화,010040
2020-07-20,3360.0,하락  45,3400.0,3425.0,3335.0,89474.0,한국내화,010040
2020-07-21,3380.0,상승  20,3370.0,3445.0,3370.0,70018.0,한국내화,010040
2020-07-22,3395.0,상승  15,3400.0,3430.0,3365.0,85313.0,한국내화,010040
2020-07-23,3570.0,상승  175,3530.0,3880.0,3400.0,1841814.0,한국내화,010040
2020-07-24,3650.0,상승  80,3565.0,3790.0,3460.0,1069621.0,한국내화,010040
2020-07-27,3565.0,하락  85,3780.0,3820.0,3565.0,739139.0,한국내화,010040
2020-07-28,3440.0,하락  125,3540.0,3595.0,3435.0,340001.0,한국내화,010040
2020-07-29,3490.0,상승  50,3410.0,3535.0,3405.0,163073.0,한국내화,010040
2020-07-30,3440.0,하락  50,3480.0,3525.0,3420.0,116883.0,한국내화,010040
2020-07-31,3405.0,하락  35,3460.0,3475.0,3380.0,104681.0,한국내화,010040
2020-08-03,3360.0,하락  45,3405.0,3435.0,3320.0,100267.0,한국내화,010040
2020-08-04,3400.0,상승  40,3360.0,3420.0,3360.0,71912.0,한국내화,010040
2020-08-05,3370.0,하락  30,3380.0,3440.0,3370.0,108644.0,한국내화,010040
2020-08-06,3450.0,상승  80,3390.0,3485.0,3360.0,187632.0,한국내화,010040
2020-08-07,3385.0,하락  65,3455.0,3495.0,3385.0,127127.0,한국내화,010040
2020-08-10,3400.0,상승  15,3385.0,3455.0,3380.0,89553.0,한국내화,010040
2020-08-11,3530.0,상승  130,3430.0,3530.0,3420.0,307190.0,한국내화,010040
2020-08-12,3425.0,하락  105,3555.0,3555.0,3370.0,172849.0,한국내화,010040
2020-08-13,3425.0,보합0,3435.0,3510.0,3415.0,143897.0,한국내화,010040
2020-08-14,3595.0,상승  170,3500.0,3790.0,3360.0,886244.0,한국내화,010040
2020-08-18,3255.0,하락  340,3555.0,3570.0,3235.0,391005.0,한국내화,010040
2020-08-19,3250.0,하락  5,3260.0,3325.0,3200.0,254502.0,한국내화,010040
2020-08-20,3075.0,하락  175,3210.0,3250.0,3050.0,339002.0,한국내화,010040
2020-08-21,3090.0,상승  15,3055.0,3155.0,3050.0,170582.0,한국내화,010040
2020-08-24,3105.0,상승  15,3090.0,3140.0,3035.0,61173.0,한국내화,010040
2020-08-25,3145.0,상승  40,3125.0,3185.0,3110.0,61618.0,한국내화,010040
2020-08-26,3260.0,상승  115,3165.0,3430.0,3160.0,733295.0,한국내화,010040
2020-08-27,3230.0,하락  30,3310.0,3400.0,3180.0,238489.0,한국내화,010040
2020-08-28,3235.0,상승  5,3215.0,3300.0,3200.0,147975.0,한국내화,010040
2020-08-31,3235.0,보합0,3270.0,3270.0,3200.0,86373.0,한국내화,010040
2020-09-01,3225.0,하락  10,3205.0,3295.0,3190.0,92937.0,한국내화,010040
2020-09-02,3240.0,상승  15,3270.0,3270.0,3200.0,111534.0,한국내화,010040
2020-09-03,3245.0,상승  5,3240.0,3260.0,3220.0,78333.0,한국내화,010040
2020-09-04,3185.0,하락  60,3100.0,3190.0,3060.0,109784.0,한국내화,010040
2020-09-07,3260.0,상승  75,3210.0,3330.0,3190.0,131382.0,한국내화,010040
2020-09-08,3235.0,하락  25,3280.0,3305.0,3235.0,88037.0,한국내화,010040
2020-09-09,3250.0,상승  15,3230.0,3320.0,3150.0,149334.0,한국내화,010040
2020-09-10,3290.0,상승  40,3240.0,3305.0,3240.0,52153.0,한국내화,010040
2020-09-11,3320.0,상승  30,3290.0,3400.0,3265.0,187136.0,한국내화,010040
2020-09-14,3400.0,상승  80,3345.0,3430.0,3325.0,189431.0,한국내화,010040
2020-09-15,3370.0,하락  30,3435.0,3435.0,3330.0,85267.0,한국내화,010040
2020-09-16,3355.0,하락  15,3370.0,3450.0,3355.0,139780.0,한국내화,010040
2020-09-17,3295.0,하락  60,3390.0,3400.0,3295.0,81346.0,한국내화,010040
2020-09-18,3315.0,상승  20,3310.0,3330.0,3270.0,81164.0,한국내화,010040
2020-09-21,3320.0,상승  5,3290.0,3380.0,3260.0,203416.0,한국내화,010040
2020-09-22,3185.0,하락  135,3475.0,3800.0,3170.0,1149035.0,한국내화,010040
2020-09-23,3180.0,하락  5,3200.0,3260.0,3100.0,154194.0,한국내화,010040
2020-09-24,3110.0,하락  70,3140.0,3245.0,3085.0,169041.0,한국내화,010040
2020-09-25,3140.0,상승  30,3110.0,3175.0,3060.0,77823.0,한국내화,010040
2020-09-28,3200.0,상승  60,3140.0,3205.0,3125.0,42260.0,한국내화,010040
2020-09-29,3270.0,상승  70,3210.0,3290.0,3205.0,70267.0,한국내화,010040
2020-10-05,3310.0,상승  40,3270.0,3340.0,3220.0,95042.0,한국내화,010040
2020-10-06,3340.0,상승  30,3310.0,3370.0,3290.0,108193.0,한국내화,010040
2020-10-07,3340.0,보합0,3310.0,3345.0,3285.0,46775.0,한국내화,010040
2020-10-08,3350.0,상승  10,3320.0,3405.0,3320.0,124710.0,한국내화,010040
2020-10-12,3365.0,상승  15,3405.0,3425.0,3335.0,66902.0,한국내화,010040
2020-10-13,3400.0,상승  35,3400.0,3410.0,3330.0,97865.0,한국내화,010040
2020-10-14,3415.0,상승  15,3400.0,3550.0,3355.0,182025.0,한국내화,010040
2020-10-15,3385.0,하락  30,3415.0,3430.0,3330.0,124285.0,한국내화,010040
2020-10-16,3315.0,하락  70,3385.0,3385.0,3240.0,99311.0,한국내화,010040
2020-10-19,3245.0,하락  70,3340.0,3345.0,3245.0,52292.0,한국내화,010040
2020-10-20,3190.0,하락  55,3205.0,3275.0,3160.0,71301.0,한국내화,010040
2020-10-21,3260.0,상승  70,3205.0,3275.0,3200.0,33384.0,한국내화,010040
2020-10-22,3260.0,보합0,3260.0,3285.0,3215.0,43241.0,한국내화,010040
2020-10-23,3310.0,상승  50,3260.0,3320.0,3250.0,55298.0,한국내화,010040
2020-10-26,3200.0,하락  110,3330.0,3330.0,3170.0,67885.0,한국내화,010040
2020-10-27,3170.0,하락  30,3125.0,3240.0,3125.0,72431.0,한국내화,010040
2020-10-28,3230.0,상승  60,3190.0,3230.0,3170.0,49834.0,한국내화,010040
2020-10-29,3175.0,하락  55,3150.0,3190.0,3130.0,66832.0,한국내화,010040
2020-10-30,3140.0,하락  35,3150.0,3200.0,3130.0,51640.0,한국내화,010040
2020-11-02,3130.0,하락  10,3110.0,3180.0,3105.0,30348.0,한국내화,010040
2020-11-03,3160.0,상승  30,3150.0,3200.0,3135.0,47285.0,한국내화,010040
2020-11-04,3260.0,상승  100,3190.0,3345.0,3155.0,163784.0,한국내화,010040
2020-11-05,3230.0,하락  30,3215.0,3260.0,3170.0,72198.0,한국내화,010040
2020-11-06,3190.0,하락  40,3265.0,3265.0,3175.0,32737.0,한국내화,010040
2020-11-09,3285.0,상승  95,3225.0,3290.0,3170.0,80310.0,한국내화,010040
2020-11-10,3285.0,보합0,3280.0,3285.0,3200.0,41006.0,한국내화,010040
2020-11-11,3305.0,상승  20,3285.0,3360.0,3260.0,91603.0,한국내화,010040
2020-11-12,3300.0,하락  5,3325.0,3325.0,3285.0,29161.0,한국내화,010040
2020-11-13,3325.0,상승  25,3280.0,3380.0,3280.0,99615.0,한국내화,010040
2020-11-16,3290.0,하락  35,3360.0,3360.0,3285.0,73192.0,한국내화,010040
2020-11-17,3300.0,상승  10,3315.0,3330.0,3240.0,77620.0,한국내화,010040
2020-11-18,3295.0,하락  5,3270.0,3320.0,3220.0,57246.0,한국내화,010040
