날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,26150.0,"하락  2,150",25500.0,26300.0,23700.0,71934.0,한국단자공업,025540
2020-03-16,25050.0,"하락  1,100",26150.0,26800.0,24600.0,47131.0,한국단자공업,025540
2020-03-17,24300.0,하락  750,22600.0,29800.0,22600.0,58040.0,한국단자공업,025540
2020-03-18,22500.0,"하락  1,800",24300.0,24550.0,22350.0,68550.0,한국단자공업,025540
2020-03-19,21350.0,"하락  1,150",22950.0,23200.0,19650.0,73661.0,한국단자공업,025540
2020-03-20,24550.0,"상승  3,200",21750.0,24550.0,20900.0,55667.0,한국단자공업,025540
2020-03-23,20950.0,"하락  3,600",23500.0,23650.0,20950.0,51270.0,한국단자공업,025540
2020-03-24,21850.0,상승  900,21100.0,22400.0,20850.0,62497.0,한국단자공업,025540
2020-03-25,23100.0,"상승  1,250",22000.0,24400.0,21900.0,105387.0,한국단자공업,025540
2020-03-26,23150.0,상승  50,23150.0,23900.0,22650.0,76632.0,한국단자공업,025540
2020-03-27,24000.0,상승  850,24400.0,24600.0,22800.0,63046.0,한국단자공업,025540
2020-03-30,23950.0,하락  50,23100.0,24200.0,22900.0,44452.0,한국단자공업,025540
2020-03-31,24350.0,상승  400,25000.0,25000.0,24050.0,57755.0,한국단자공업,025540
2020-04-01,25050.0,상승  700,24100.0,26300.0,24100.0,71324.0,한국단자공업,025540
2020-04-02,26450.0,"상승  1,400",24600.0,26750.0,24400.0,56443.0,한국단자공업,025540
2020-04-03,26650.0,상승  200,26050.0,26650.0,25750.0,47470.0,한국단자공업,025540
2020-04-06,28200.0,"상승  1,550",27300.0,28450.0,26700.0,46495.0,한국단자공업,025540
2020-04-07,29950.0,"상승  1,750",29500.0,29950.0,28650.0,58902.0,한국단자공업,025540
2020-04-08,30000.0,상승  50,29950.0,31300.0,29100.0,62475.0,한국단자공업,025540
2020-04-09,30650.0,상승  650,30300.0,30850.0,30000.0,37502.0,한국단자공업,025540
2020-04-10,30050.0,하락  600,30650.0,30650.0,29550.0,49670.0,한국단자공업,025540
2020-04-13,28800.0,"하락  1,250",29350.0,29600.0,28800.0,44171.0,한국단자공업,025540
2020-04-14,29000.0,상승  200,28550.0,29800.0,28550.0,39148.0,한국단자공업,025540
2020-04-16,29200.0,상승  200,29000.0,29200.0,27900.0,34343.0,한국단자공업,025540
2020-04-17,29400.0,상승  200,29250.0,29950.0,29250.0,37333.0,한국단자공업,025540
2020-04-20,29450.0,상승  50,29400.0,29900.0,29350.0,25849.0,한국단자공업,025540
2020-04-21,28850.0,하락  600,29850.0,29850.0,28200.0,36966.0,한국단자공업,025540
2020-04-22,29100.0,상승  250,27650.0,29350.0,27200.0,59385.0,한국단자공업,025540
2020-04-23,29450.0,상승  350,28650.0,29500.0,28650.0,33047.0,한국단자공업,025540
2020-04-24,28400.0,"하락  1,050",28950.0,29100.0,28200.0,33397.0,한국단자공업,025540
2020-04-27,28800.0,상승  400,28200.0,29000.0,28200.0,35884.0,한국단자공업,025540
2020-04-28,28550.0,하락  250,28900.0,29600.0,28300.0,35796.0,한국단자공업,025540
2020-04-29,28550.0,보합0,28750.0,28750.0,28450.0,38296.0,한국단자공업,025540
2020-05-04,29450.0,상승  900,28250.0,30150.0,27700.0,63770.0,한국단자공업,025540
2020-05-06,30000.0,상승  550,30000.0,30200.0,29450.0,43672.0,한국단자공업,025540
2020-05-07,29950.0,하락  50,30000.0,30250.0,29700.0,31339.0,한국단자공업,025540
2020-05-08,30250.0,상승  300,30900.0,30900.0,30000.0,58221.0,한국단자공업,025540
2020-05-11,32550.0,"상승  2,300",30250.0,33400.0,30100.0,104965.0,한국단자공업,025540
2020-05-12,31500.0,"하락  1,050",32800.0,33500.0,31250.0,68055.0,한국단자공업,025540
2020-05-13,31300.0,하락  200,30850.0,31300.0,30450.0,33777.0,한국단자공업,025540
2020-05-14,30400.0,하락  900,31050.0,31300.0,30350.0,31674.0,한국단자공업,025540
2020-05-15,30550.0,상승  150,30450.0,30950.0,30400.0,24685.0,한국단자공업,025540
2020-05-18,38650.0,"상승  8,100",32850.0,39650.0,31800.0,618883.0,한국단자공업,025540
2020-05-19,38600.0,하락  50,38650.0,39450.0,37200.0,155189.0,한국단자공업,025540
2020-05-20,38000.0,하락  600,38400.0,40150.0,37750.0,147951.0,한국단자공업,025540
2020-05-21,37900.0,하락  100,38550.0,38800.0,37650.0,66678.0,한국단자공업,025540
2020-05-22,36300.0,"하락  1,600",38200.0,38200.0,35700.0,82344.0,한국단자공업,025540
2020-05-25,36400.0,상승  100,37400.0,37400.0,36050.0,35390.0,한국단자공업,025540
2020-05-26,37500.0,"상승  1,100",36300.0,38650.0,36250.0,75104.0,한국단자공업,025540
2020-05-27,37350.0,하락  150,37600.0,37800.0,37000.0,34528.0,한국단자공업,025540
2020-05-28,36150.0,"하락  1,200",37300.0,37400.0,35600.0,81975.0,한국단자공업,025540
2020-05-29,35250.0,하락  900,36000.0,36200.0,35200.0,54029.0,한국단자공업,025540
2020-06-01,36200.0,상승  950,35150.0,36300.0,35050.0,43574.0,한국단자공업,025540
2020-06-02,37000.0,상승  800,35800.0,37550.0,35550.0,54296.0,한국단자공업,025540
2020-06-03,38900.0,"상승  1,900",37050.0,40700.0,37050.0,230485.0,한국단자공업,025540
2020-06-04,39150.0,상승  250,38950.0,40300.0,38700.0,84288.0,한국단자공업,025540
2020-06-05,39400.0,상승  250,38700.0,39700.0,38700.0,51638.0,한국단자공업,025540
2020-06-08,39000.0,하락  400,39500.0,40250.0,38850.0,48771.0,한국단자공업,025540
2020-06-09,37900.0,"하락  1,100",39650.0,39650.0,37800.0,78603.0,한국단자공업,025540
2020-06-10,38900.0,"상승  1,000",38300.0,39100.0,37800.0,73072.0,한국단자공업,025540
2020-06-11,37300.0,"하락  1,600",38950.0,39800.0,35800.0,307479.0,한국단자공업,025540
2020-06-12,37150.0,하락  150,36700.0,38000.0,35600.0,88189.0,한국단자공업,025540
2020-06-15,35300.0,"하락  1,850",37150.0,37150.0,35150.0,59597.0,한국단자공업,025540
2020-06-16,35950.0,상승  650,36650.0,36650.0,35600.0,43020.0,한국단자공업,025540
2020-06-17,35950.0,보합0,35650.0,36200.0,35200.0,29397.0,한국단자공업,025540
2020-06-18,34800.0,"하락  1,150",35500.0,35700.0,34500.0,64777.0,한국단자공업,025540
2020-06-19,34800.0,보합0,35100.0,35350.0,34500.0,32116.0,한국단자공업,025540
2020-06-22,34750.0,하락  50,35300.0,35300.0,34450.0,27013.0,한국단자공업,025540
2020-06-23,34450.0,하락  300,34850.0,36450.0,34400.0,48323.0,한국단자공업,025540
2020-06-24,34750.0,상승  300,34450.0,34900.0,34250.0,32707.0,한국단자공업,025540
2020-06-25,33950.0,하락  800,34550.0,34550.0,33300.0,38935.0,한국단자공업,025540
2020-06-26,33100.0,하락  850,34000.0,34250.0,33100.0,41901.0,한국단자공업,025540
2020-06-29,31550.0,"하락  1,550",32950.0,33000.0,31200.0,48458.0,한국단자공업,025540
2020-06-30,31900.0,상승  350,31800.0,32400.0,31400.0,48282.0,한국단자공업,025540
2020-07-01,32450.0,상승  550,31900.0,33200.0,31750.0,43302.0,한국단자공업,025540
2020-07-02,33500.0,"상승  1,050",32600.0,34000.0,32400.0,40540.0,한국단자공업,025540
2020-07-03,33700.0,상승  200,34000.0,34250.0,33600.0,12336.0,한국단자공업,025540
2020-07-06,33750.0,상승  50,34000.0,34200.0,33400.0,21117.0,한국단자공업,025540
2020-07-07,35550.0,"상승  1,800",34050.0,36800.0,33850.0,95701.0,한국단자공업,025540
2020-07-08,35050.0,하락  500,35550.0,37100.0,34750.0,94641.0,한국단자공업,025540
2020-07-09,35550.0,상승  500,35400.0,36500.0,35000.0,35358.0,한국단자공업,025540
2020-07-10,34900.0,하락  650,35100.0,35500.0,34200.0,38256.0,한국단자공업,025540
2020-07-13,36450.0,"상승  1,550",34900.0,37400.0,34900.0,99234.0,한국단자공업,025540
2020-07-14,36150.0,하락  300,36050.0,36350.0,35450.0,32907.0,한국단자공업,025540
2020-07-15,36600.0,상승  450,36400.0,36850.0,36150.0,35018.0,한국단자공업,025540
2020-07-16,35950.0,하락  650,36650.0,36850.0,35850.0,28510.0,한국단자공업,025540
2020-07-17,35850.0,하락  100,35950.0,36350.0,35650.0,19305.0,한국단자공업,025540
2020-07-20,38350.0,"상승  2,500",36800.0,39350.0,36200.0,163127.0,한국단자공업,025540
2020-07-21,38500.0,상승  150,38350.0,39450.0,38000.0,75058.0,한국단자공업,025540
2020-07-22,38600.0,상승  100,38850.0,38850.0,37500.0,38283.0,한국단자공업,025540
2020-07-23,38700.0,상승  100,38600.0,39000.0,37800.0,48219.0,한국단자공업,025540
2020-07-24,37300.0,"하락  1,400",38250.0,38400.0,37000.0,53927.0,한국단자공업,025540
2020-07-27,37750.0,상승  450,37300.0,37900.0,37250.0,32692.0,한국단자공업,025540
2020-07-28,38000.0,상승  250,38200.0,40300.0,37650.0,126667.0,한국단자공업,025540
2020-07-29,39000.0,"상승  1,000",38450.0,39650.0,37800.0,70710.0,한국단자공업,025540
2020-07-30,39000.0,보합0,39800.0,39900.0,38550.0,62816.0,한국단자공업,025540
2020-07-31,38900.0,하락  100,39000.0,39400.0,38700.0,28358.0,한국단자공업,025540
2020-08-03,39450.0,상승  550,39700.0,40500.0,38800.0,48060.0,한국단자공업,025540
