날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,1705.0,하락  85,1620.0,1740.0,1500.0,1990641.0,한국토지신탁,034830
2020-03-16,1675.0,하락  30,1685.0,1700.0,1635.0,1092160.0,한국토지신탁,034830
2020-03-17,1675.0,보합0,1525.0,1675.0,1525.0,1052973.0,한국토지신탁,034830
2020-03-18,1635.0,하락  40,1670.0,1720.0,1635.0,1131029.0,한국토지신탁,034830
2020-03-19,1535.0,하락  100,1650.0,1655.0,1535.0,1209700.0,한국토지신탁,034830
2020-03-20,1560.0,상승  25,1535.0,1585.0,1535.0,748109.0,한국토지신탁,034830
2020-03-23,1460.0,하락  100,1520.0,1520.0,1435.0,993166.0,한국토지신탁,034830
2020-03-24,1545.0,상승  85,1475.0,1550.0,1475.0,1283763.0,한국토지신탁,034830
2020-03-25,1540.0,하락  5,1595.0,1600.0,1535.0,2479099.0,한국토지신탁,034830
2020-03-26,1600.0,상승  60,1545.0,1630.0,1535.0,1526334.0,한국토지신탁,034830
2020-03-27,1585.0,하락  15,1650.0,1655.0,1565.0,1449020.0,한국토지신탁,034830
2020-03-30,1640.0,상승  55,1560.0,1640.0,1540.0,799677.0,한국토지신탁,034830
2020-03-31,1645.0,상승  5,1680.0,1680.0,1625.0,1018400.0,한국토지신탁,034830
2020-04-01,1615.0,하락  30,1640.0,1680.0,1615.0,924907.0,한국토지신탁,034830
2020-04-02,1630.0,상승  15,1610.0,1635.0,1590.0,515063.0,한국토지신탁,034830
2020-04-03,1630.0,보합0,1640.0,1645.0,1615.0,266035.0,한국토지신탁,034830
2020-04-06,1685.0,상승  55,1630.0,1695.0,1625.0,808582.0,한국토지신탁,034830
2020-04-07,1735.0,상승  50,1710.0,1735.0,1680.0,884967.0,한국토지신탁,034830
2020-04-08,1740.0,상승  5,1740.0,1760.0,1695.0,698023.0,한국토지신탁,034830
2020-04-09,1780.0,상승  40,1760.0,1785.0,1740.0,513077.0,한국토지신탁,034830
2020-04-10,1770.0,하락  10,1790.0,1790.0,1740.0,521477.0,한국토지신탁,034830
2020-04-13,1745.0,하락  25,1770.0,1770.0,1720.0,376177.0,한국토지신탁,034830
2020-04-14,1750.0,상승  5,1745.0,1765.0,1735.0,454333.0,한국토지신탁,034830
2020-04-16,1720.0,하락  30,1735.0,1745.0,1705.0,479791.0,한국토지신탁,034830
2020-04-17,1745.0,상승  25,1730.0,1760.0,1725.0,829059.0,한국토지신탁,034830
2020-04-20,1780.0,상승  35,1765.0,1795.0,1745.0,709990.0,한국토지신탁,034830
2020-04-21,1755.0,하락  25,1770.0,1775.0,1700.0,757696.0,한국토지신탁,034830
2020-04-22,1710.0,하락  45,1730.0,1745.0,1695.0,694059.0,한국토지신탁,034830
2020-04-23,1760.0,상승  50,1720.0,1770.0,1710.0,524599.0,한국토지신탁,034830
2020-04-24,1745.0,하락  15,1755.0,1760.0,1725.0,322139.0,한국토지신탁,034830
2020-04-27,1740.0,하락  5,1745.0,1760.0,1735.0,634912.0,한국토지신탁,034830
2020-04-28,1790.0,상승  50,1745.0,1810.0,1735.0,1038414.0,한국토지신탁,034830
2020-04-29,1880.0,상승  90,1800.0,1890.0,1785.0,1179910.0,한국토지신탁,034830
2020-05-04,1835.0,하락  45,1880.0,1885.0,1830.0,700725.0,한국토지신탁,034830
2020-05-06,1830.0,하락  5,1845.0,1855.0,1815.0,458935.0,한국토지신탁,034830
2020-05-07,1830.0,보합0,1830.0,1835.0,1810.0,225125.0,한국토지신탁,034830
2020-05-08,1835.0,상승  5,1845.0,1845.0,1830.0,256009.0,한국토지신탁,034830
2020-05-11,1830.0,하락  5,1840.0,1845.0,1820.0,447692.0,한국토지신탁,034830
2020-05-12,1805.0,하락  25,1845.0,1845.0,1800.0,358214.0,한국토지신탁,034830
2020-05-13,1795.0,하락  10,1795.0,1800.0,1775.0,360943.0,한국토지신탁,034830
2020-05-14,1815.0,상승  20,1815.0,1820.0,1795.0,386356.0,한국토지신탁,034830
2020-05-15,1850.0,상승  35,1815.0,1850.0,1805.0,266095.0,한국토지신탁,034830
2020-05-18,1835.0,하락  15,1855.0,1855.0,1820.0,422987.0,한국토지신탁,034830
2020-05-19,1845.0,상승  10,1855.0,1880.0,1840.0,423567.0,한국토지신탁,034830
2020-05-20,1860.0,상승  15,1840.0,1870.0,1840.0,374501.0,한국토지신탁,034830
2020-05-21,1890.0,상승  30,1870.0,1890.0,1845.0,490044.0,한국토지신탁,034830
2020-05-22,1855.0,하락  35,1895.0,1900.0,1840.0,634247.0,한국토지신탁,034830
2020-05-25,1860.0,상승  5,1860.0,1870.0,1845.0,195588.0,한국토지신탁,034830
2020-05-26,1870.0,상승  10,1860.0,1875.0,1855.0,315864.0,한국토지신탁,034830
2020-05-27,1885.0,상승  15,1875.0,1905.0,1870.0,570324.0,한국토지신탁,034830
2020-05-28,1855.0,하락  30,1895.0,1895.0,1845.0,398471.0,한국토지신탁,034830
2020-05-29,1855.0,보합0,1845.0,1865.0,1830.0,288837.0,한국토지신탁,034830
2020-06-01,1885.0,상승  30,1855.0,1885.0,1850.0,349321.0,한국토지신탁,034830
2020-06-02,1885.0,보합0,1885.0,1895.0,1875.0,453552.0,한국토지신탁,034830
2020-06-03,1910.0,상승  25,1890.0,1920.0,1890.0,758255.0,한국토지신탁,034830
2020-06-04,1905.0,하락  5,1915.0,1935.0,1890.0,439070.0,한국토지신탁,034830
2020-06-05,1905.0,보합0,1900.0,1915.0,1890.0,372782.0,한국토지신탁,034830
2020-06-08,1905.0,보합0,1910.0,1920.0,1895.0,406316.0,한국토지신탁,034830
2020-06-09,1880.0,하락  25,1910.0,1915.0,1870.0,519792.0,한국토지신탁,034830
2020-06-10,1885.0,상승  5,1880.0,1890.0,1870.0,336972.0,한국토지신탁,034830
2020-06-11,1860.0,하락  25,1880.0,1880.0,1855.0,500890.0,한국토지신탁,034830
2020-06-12,1800.0,하락  60,1790.0,1810.0,1770.0,768071.0,한국토지신탁,034830
2020-06-15,1710.0,하락  90,1795.0,1795.0,1710.0,593828.0,한국토지신탁,034830
2020-06-16,1790.0,상승  80,1720.0,1790.0,1720.0,687802.0,한국토지신탁,034830
2020-06-17,1775.0,하락  15,1780.0,1795.0,1740.0,368017.0,한국토지신탁,034830
2020-06-18,1805.0,상승  30,1775.0,1820.0,1765.0,281118.0,한국토지신탁,034830
2020-06-19,1795.0,하락  10,1800.0,1825.0,1775.0,309719.0,한국토지신탁,034830
2020-06-22,1770.0,하락  25,1795.0,1795.0,1765.0,298022.0,한국토지신탁,034830
2020-06-23,1780.0,상승  10,1780.0,1785.0,1755.0,225920.0,한국토지신탁,034830
2020-06-24,1770.0,하락  10,1785.0,1790.0,1755.0,551170.0,한국토지신탁,034830
2020-06-25,1735.0,하락  35,1750.0,1760.0,1730.0,301196.0,한국토지신탁,034830
2020-06-26,1720.0,하락  15,1745.0,1750.0,1720.0,648467.0,한국토지신탁,034830
2020-06-29,1700.0,하락  20,1710.0,1710.0,1680.0,313281.0,한국토지신탁,034830
2020-06-30,1700.0,보합0,1725.0,1725.0,1685.0,484374.0,한국토지신탁,034830
2020-07-01,1705.0,상승  5,1705.0,1710.0,1695.0,241243.0,한국토지신탁,034830
2020-07-02,1750.0,상승  45,1705.0,1765.0,1705.0,243957.0,한국토지신탁,034830
2020-07-03,1745.0,하락  5,1750.0,1760.0,1720.0,163527.0,한국토지신탁,034830
2020-07-06,1765.0,상승  20,1755.0,1775.0,1730.0,301879.0,한국토지신탁,034830
2020-07-07,1750.0,하락  15,1765.0,1765.0,1745.0,249618.0,한국토지신탁,034830
2020-07-08,1755.0,상승  5,1755.0,1765.0,1735.0,206585.0,한국토지신탁,034830
2020-07-09,1755.0,보합0,1755.0,1760.0,1735.0,196605.0,한국토지신탁,034830
2020-07-10,1725.0,하락  30,1750.0,1750.0,1720.0,247836.0,한국토지신탁,034830
2020-07-13,1725.0,보합0,1720.0,1740.0,1715.0,224498.0,한국토지신탁,034830
2020-07-14,1735.0,상승  10,1720.0,1740.0,1720.0,133046.0,한국토지신탁,034830
2020-07-15,1750.0,상승  15,1740.0,1755.0,1730.0,348162.0,한국토지신탁,034830
2020-07-16,1750.0,보합0,1740.0,1775.0,1740.0,317197.0,한국토지신탁,034830
2020-07-17,1760.0,상승  10,1745.0,1770.0,1740.0,181516.0,한국토지신탁,034830
2020-07-20,1770.0,상승  10,1760.0,1775.0,1745.0,232899.0,한국토지신탁,034830
2020-07-21,1775.0,상승  5,1770.0,1780.0,1760.0,347840.0,한국토지신탁,034830
2020-07-22,1775.0,보합0,1775.0,1800.0,1760.0,373075.0,한국토지신탁,034830
2020-07-23,1755.0,하락  20,1775.0,1780.0,1735.0,596247.0,한국토지신탁,034830
2020-07-24,1745.0,하락  10,1750.0,1755.0,1730.0,296136.0,한국토지신탁,034830
2020-07-27,1735.0,하락  10,1745.0,1755.0,1730.0,454196.0,한국토지신탁,034830
2020-07-28,1720.0,하락  15,1740.0,1745.0,1720.0,416972.0,한국토지신탁,034830
2020-07-29,1720.0,보합0,1720.0,1745.0,1715.0,409893.0,한국토지신탁,034830
2020-07-30,1720.0,보합0,1730.0,1735.0,1705.0,479132.0,한국토지신탁,034830
2020-07-31,1715.0,하락  5,1720.0,1730.0,1710.0,256784.0,한국토지신탁,034830
2020-08-03,1745.0,상승  30,1720.0,1760.0,1720.0,719208.0,한국토지신탁,034830
2020-08-04,1775.0,상승  30,1755.0,1780.0,1740.0,726059.0,한국토지신탁,034830
