날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,240500.0,"하락  19,000",231000.0,246500.0,224000.0,97335.0,한미약품,128940
2020-03-16,241000.0,상승  500,245000.0,252000.0,240500.0,52595.0,한미약품,128940
2020-03-17,239500.0,"하락  1,500",229000.0,243000.0,229000.0,53917.0,한미약품,128940
2020-03-18,235500.0,"하락  4,000",245000.0,248000.0,235500.0,54574.0,한미약품,128940
2020-03-19,218000.0,"하락  17,500",239500.0,241500.0,213500.0,82505.0,한미약품,128940
2020-03-20,227000.0,"상승  9,000",219500.0,228000.0,214000.0,73900.0,한미약품,128940
2020-03-23,215500.0,"하락  11,500",216000.0,222500.0,213500.0,51487.0,한미약품,128940
2020-03-24,229500.0,"상승  14,000",223000.0,229500.0,219000.0,62513.0,한미약품,128940
2020-03-25,241000.0,"상승  11,500",241000.0,241000.0,235000.0,65397.0,한미약품,128940
2020-03-26,243500.0,"상승  2,500",245500.0,249000.0,237000.0,64190.0,한미약품,128940
2020-03-27,247500.0,"상승  4,000",251000.0,263000.0,240000.0,82328.0,한미약품,128940
2020-03-30,248000.0,상승  500,245500.0,250000.0,240000.0,41786.0,한미약품,128940
2020-03-31,261500.0,"상승  13,500",253000.0,263000.0,250000.0,75733.0,한미약품,128940
2020-04-01,245500.0,"하락  16,000",263000.0,264000.0,245500.0,61523.0,한미약품,128940
2020-04-02,246000.0,상승  500,243500.0,247500.0,234500.0,52180.0,한미약품,128940
2020-04-03,249000.0,"상승  3,000",245000.0,254000.0,245000.0,42953.0,한미약품,128940
2020-04-06,258000.0,"상승  9,000",253500.0,260500.0,253500.0,42740.0,한미약품,128940
2020-04-07,262500.0,"상승  4,500",267000.0,267000.0,258000.0,59290.0,한미약품,128940
2020-04-08,263500.0,"상승  1,000",261500.0,267500.0,259000.0,44532.0,한미약품,128940
2020-04-09,261000.0,"하락  2,500",265000.0,265500.0,258000.0,58177.0,한미약품,128940
2020-04-10,260000.0,"하락  1,000",262000.0,262000.0,256500.0,36648.0,한미약품,128940
2020-04-13,258500.0,"하락  1,500",259500.0,263500.0,257500.0,35945.0,한미약품,128940
2020-04-14,260500.0,"상승  2,000",259000.0,263000.0,256000.0,45457.0,한미약품,128940
2020-04-16,259000.0,"하락  1,500",257000.0,262000.0,256500.0,36353.0,한미약품,128940
