날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,20700.0,상승  500,20100.0,20800.0,19200.0,119803.0,한섬,020000
2020-03-17,19700.0,"하락  1,000",19100.0,20200.0,19100.0,118398.0,한섬,020000
2020-03-18,18350.0,"하락  1,350",19650.0,19800.0,18350.0,120856.0,한섬,020000
2020-03-19,16750.0,"하락  1,600",18500.0,19050.0,15900.0,189642.0,한섬,020000
2020-03-20,21650.0,"상승  4,900",17050.0,21650.0,16250.0,107286.0,한섬,020000
2020-03-23,17000.0,"하락  4,650",18600.0,18600.0,17000.0,159146.0,한섬,020000
2020-03-24,17400.0,상승  400,17750.0,17750.0,16700.0,144534.0,한섬,020000
2020-03-25,18250.0,상승  850,18250.0,18700.0,17200.0,258935.0,한섬,020000
2020-03-26,18850.0,상승  600,18300.0,20450.0,18000.0,189303.0,한섬,020000
2020-03-27,18950.0,상승  100,19800.0,20000.0,18450.0,161809.0,한섬,020000
2020-03-30,18950.0,보합0,18600.0,19150.0,18150.0,96604.0,한섬,020000
2020-03-31,19450.0,상승  500,19150.0,19800.0,18950.0,134022.0,한섬,020000
2020-04-01,20000.0,상승  550,19200.0,21250.0,19150.0,156849.0,한섬,020000
2020-04-02,20100.0,상승  100,20000.0,20450.0,19350.0,97644.0,한섬,020000
2020-04-03,20350.0,상승  250,20100.0,20550.0,19750.0,90122.0,한섬,020000
2020-04-06,20900.0,상승  550,20650.0,21150.0,20350.0,96892.0,한섬,020000
2020-04-07,21400.0,상승  500,21400.0,21650.0,20750.0,135804.0,한섬,020000
2020-04-08,21300.0,하락  100,21450.0,22050.0,20850.0,126023.0,한섬,020000
2020-04-09,22400.0,"상승  1,100",21700.0,22550.0,21150.0,123540.0,한섬,020000
2020-04-10,22700.0,상승  300,22200.0,23400.0,22100.0,147373.0,한섬,020000
2020-04-13,21700.0,"하락  1,000",22650.0,22750.0,21650.0,77198.0,한섬,020000
2020-04-14,22450.0,상승  750,21900.0,22700.0,21750.0,64286.0,한섬,020000
2020-04-16,21750.0,하락  700,22050.0,22100.0,21350.0,101968.0,한섬,020000
2020-04-17,22650.0,상승  900,22050.0,22900.0,22050.0,97790.0,한섬,020000
2020-04-20,23500.0,상승  850,22700.0,24100.0,22700.0,131911.0,한섬,020000
2020-04-21,22600.0,하락  900,23250.0,23500.0,22050.0,165105.0,한섬,020000
2020-04-22,22400.0,하락  200,22100.0,22500.0,21700.0,89892.0,한섬,020000
2020-04-23,23450.0,"상승  1,050",22500.0,23700.0,22400.0,84046.0,한섬,020000
2020-04-24,22650.0,하락  800,23100.0,23200.0,22400.0,88439.0,한섬,020000
2020-04-27,24650.0,"상승  2,000",22550.0,25350.0,22500.0,195696.0,한섬,020000
2020-04-28,24500.0,하락  150,24800.0,25100.0,24150.0,91654.0,한섬,020000
