날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,1165.0,하락  60,1150.0,1215.0,1050.0,1057208.0,한솔로지스틱스,009180
2020-03-16,1075.0,하락  90,1200.0,1220.0,1075.0,760593.0,한솔로지스틱스,009180
2020-03-17,1080.0,상승  5,992.0,1125.0,992.0,783615.0,한솔로지스틱스,009180
2020-03-18,1025.0,하락  55,1090.0,1145.0,1010.0,936137.0,한솔로지스틱스,009180
2020-03-19,871.0,하락  154,1035.0,1060.0,860.0,1240168.0,한솔로지스틱스,009180
2020-03-20,912.0,상승  41,871.0,930.0,862.0,1285015.0,한솔로지스틱스,009180
2020-03-23,840.0,하락  72,864.0,870.0,838.0,629187.0,한솔로지스틱스,009180
2020-03-24,904.0,상승  64,860.0,915.0,847.0,416679.0,한솔로지스틱스,009180
2020-03-25,949.0,상승  45,932.0,955.0,918.0,841862.0,한솔로지스틱스,009180
2020-03-26,1020.0,상승  71,959.0,1070.0,938.0,993149.0,한솔로지스틱스,009180
2020-03-27,1015.0,하락  5,1065.0,1080.0,970.0,701761.0,한솔로지스틱스,009180
2020-03-30,1055.0,상승  40,976.0,1090.0,972.0,639860.0,한솔로지스틱스,009180
2020-03-31,1115.0,상승  60,1085.0,1140.0,1075.0,1226899.0,한솔로지스틱스,009180
2020-04-01,1105.0,하락  10,1115.0,1195.0,1075.0,1251877.0,한솔로지스틱스,009180
2020-04-02,1145.0,상승  40,1110.0,1150.0,1100.0,474293.0,한솔로지스틱스,009180
2020-04-03,1155.0,상승  10,1155.0,1165.0,1120.0,552496.0,한솔로지스틱스,009180
2020-04-06,1200.0,상승  45,1160.0,1205.0,1150.0,723863.0,한솔로지스틱스,009180
2020-04-07,1225.0,상승  25,1230.0,1235.0,1190.0,597217.0,한솔로지스틱스,009180
2020-04-08,1260.0,상승  35,1225.0,1270.0,1205.0,580218.0,한솔로지스틱스,009180
2020-04-09,1285.0,상승  25,1270.0,1330.0,1260.0,498667.0,한솔로지스틱스,009180
2020-04-10,1280.0,하락  5,1295.0,1310.0,1170.0,720825.0,한솔로지스틱스,009180
2020-04-13,1225.0,하락  55,1265.0,1270.0,1220.0,355180.0,한솔로지스틱스,009180
2020-04-14,1285.0,상승  60,1235.0,1295.0,1225.0,464543.0,한솔로지스틱스,009180
2020-04-16,1350.0,상승  65,1280.0,1350.0,1250.0,476764.0,한솔로지스틱스,009180
2020-04-17,1350.0,보합0,1355.0,1365.0,1320.0,666890.0,한솔로지스틱스,009180
2020-04-20,1355.0,상승  5,1350.0,1385.0,1330.0,694624.0,한솔로지스틱스,009180
2020-04-21,1330.0,하락  25,1355.0,1370.0,1265.0,505535.0,한솔로지스틱스,009180
2020-04-22,1310.0,하락  20,1300.0,1315.0,1260.0,531179.0,한솔로지스틱스,009180
2020-04-23,1345.0,상승  35,1320.0,1350.0,1315.0,269436.0,한솔로지스틱스,009180
2020-04-24,1325.0,하락  20,1345.0,1365.0,1305.0,296293.0,한솔로지스틱스,009180
2020-04-27,1360.0,상승  35,1325.0,1375.0,1325.0,382251.0,한솔로지스틱스,009180
2020-04-28,1370.0,상승  10,1370.0,1380.0,1335.0,328461.0,한솔로지스틱스,009180
2020-04-29,1470.0,상승  100,1370.0,1485.0,1370.0,1699274.0,한솔로지스틱스,009180
2020-05-04,1435.0,하락  35,1445.0,1460.0,1405.0,610891.0,한솔로지스틱스,009180
2020-05-06,1450.0,상승  15,1435.0,1460.0,1420.0,328935.0,한솔로지스틱스,009180
