날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,5020.0,하락  370,5500.0,5720.0,5020.0,688543.0,한솔테크닉스,004710
2020-03-17,4900.0,하락  120,4610.0,5050.0,4610.0,705262.0,한솔테크닉스,004710
2020-03-18,4400.0,하락  500,4910.0,5040.0,4400.0,596551.0,한솔테크닉스,004710
2020-03-19,3695.0,하락  705,4455.0,4600.0,3600.0,1126339.0,한솔테크닉스,004710
2020-03-20,4390.0,상승  695,3740.0,4390.0,3735.0,776204.0,한솔테크닉스,004710
2020-03-23,3890.0,하락  500,3905.0,4070.0,3795.0,571291.0,한솔테크닉스,004710
2020-03-24,4210.0,상승  320,4080.0,4280.0,3955.0,487117.0,한솔테크닉스,004710
2020-03-25,4450.0,상승  240,4430.0,4500.0,4300.0,624026.0,한솔테크닉스,004710
2020-03-26,4590.0,상승  140,4530.0,4755.0,4370.0,756838.0,한솔테크닉스,004710
2020-03-27,4665.0,상승  75,4770.0,4965.0,4540.0,737940.0,한솔테크닉스,004710
2020-03-30,4980.0,상승  315,4425.0,4980.0,4410.0,423886.0,한솔테크닉스,004710
2020-03-31,5060.0,상승  80,5090.0,5200.0,4930.0,561364.0,한솔테크닉스,004710
2020-04-01,4990.0,하락  70,5000.0,5270.0,4940.0,545995.0,한솔테크닉스,004710
2020-04-02,5070.0,상승  80,4955.0,5070.0,4890.0,372361.0,한솔테크닉스,004710
2020-04-03,5100.0,상승  30,5130.0,5180.0,4970.0,269370.0,한솔테크닉스,004710
2020-04-06,5340.0,상승  240,5120.0,5340.0,5070.0,498861.0,한솔테크닉스,004710
2020-04-07,5470.0,상승  130,5510.0,5610.0,5300.0,657507.0,한솔테크닉스,004710
2020-04-08,5550.0,상승  80,5470.0,5710.0,5410.0,510951.0,한솔테크닉스,004710
2020-04-09,5620.0,상승  70,5730.0,5740.0,5510.0,442240.0,한솔테크닉스,004710
2020-04-10,5500.0,하락  120,5640.0,5660.0,5350.0,341074.0,한솔테크닉스,004710
2020-04-13,5170.0,하락  330,5500.0,5500.0,5170.0,392569.0,한솔테크닉스,004710
2020-04-14,5230.0,상승  60,5210.0,5320.0,5200.0,393369.0,한솔테크닉스,004710
2020-04-16,5390.0,상승  160,5260.0,5450.0,5080.0,382183.0,한솔테크닉스,004710
2020-04-17,5610.0,상승  220,5500.0,5710.0,5470.0,775698.0,한솔테크닉스,004710
