날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,671.0,하락  29,695.0,731.0,670.0,1607817.0,한솔홈데코,025750
2020-03-17,667.0,하락  4,600.0,698.0,600.0,1550147.0,한솔홈데코,025750
2020-03-18,640.0,하락  27,667.0,685.0,636.0,985836.0,한솔홈데코,025750
2020-03-19,537.0,하락  103,640.0,660.0,530.0,2575895.0,한솔홈데코,025750
2020-03-20,579.0,상승  42,520.0,581.0,520.0,1733324.0,한솔홈데코,025750
2020-03-23,540.0,하락  39,552.0,558.0,520.0,970100.0,한솔홈데코,025750
2020-03-24,568.0,상승  28,544.0,568.0,544.0,968077.0,한솔홈데코,025750
2020-03-25,588.0,상승  20,589.0,609.0,573.0,1548146.0,한솔홈데코,025750
2020-03-26,604.0,상승  16,599.0,626.0,580.0,1182389.0,한솔홈데코,025750
2020-03-27,615.0,상승  11,630.0,635.0,593.0,930608.0,한솔홈데코,025750
2020-03-30,637.0,상승  22,596.0,638.0,584.0,930517.0,한솔홈데코,025750
2020-03-31,683.0,상승  46,655.0,706.0,644.0,1649111.0,한솔홈데코,025750
2020-04-01,680.0,하락  3,683.0,712.0,663.0,1379412.0,한솔홈데코,025750
2020-04-02,699.0,상승  19,679.0,701.0,650.0,831779.0,한솔홈데코,025750
2020-04-03,710.0,상승  11,707.0,724.0,695.0,584908.0,한솔홈데코,025750
2020-04-06,740.0,상승  30,710.0,742.0,710.0,597881.0,한솔홈데코,025750
2020-04-07,782.0,상승  42,756.0,784.0,751.0,1160060.0,한솔홈데코,025750
2020-04-08,820.0,상승  38,790.0,828.0,770.0,1158032.0,한솔홈데코,025750
2020-04-09,869.0,상승  49,832.0,869.0,832.0,1034318.0,한솔홈데코,025750
2020-04-10,867.0,하락  2,870.0,880.0,835.0,804765.0,한솔홈데코,025750
2020-04-13,822.0,하락  45,867.0,890.0,819.0,901839.0,한솔홈데코,025750
2020-04-14,850.0,상승  28,824.0,860.0,824.0,611848.0,한솔홈데코,025750
2020-04-16,865.0,상승  15,860.0,868.0,825.0,517650.0,한솔홈데코,025750
2020-04-17,900.0,상승  35,871.0,916.0,865.0,1002001.0,한솔홈데코,025750
2020-04-20,902.0,상승  2,907.0,919.0,894.0,619066.0,한솔홈데코,025750
2020-04-21,875.0,하락  27,902.0,904.0,838.0,1126359.0,한솔홈데코,025750
2020-04-22,875.0,보합0,870.0,875.0,847.0,532831.0,한솔홈데코,025750
2020-04-23,889.0,상승  14,879.0,893.0,875.0,336507.0,한솔홈데코,025750
2020-04-24,873.0,하락  16,888.0,888.0,856.0,400804.0,한솔홈데코,025750
2020-04-27,878.0,상승  5,873.0,887.0,869.0,289708.0,한솔홈데코,025750
2020-04-28,879.0,상승  1,881.0,885.0,865.0,254156.0,한솔홈데코,025750
2020-04-29,895.0,상승  16,880.0,898.0,877.0,502317.0,한솔홈데코,025750
2020-05-04,885.0,하락  10,894.0,899.0,883.0,252503.0,한솔홈데코,025750
2020-05-06,899.0,상승  14,889.0,899.0,887.0,297968.0,한솔홈데코,025750
2020-05-07,910.0,상승  11,901.0,916.0,895.0,380515.0,한솔홈데코,025750
2020-05-08,926.0,상승  16,922.0,932.0,912.0,591977.0,한솔홈데코,025750
2020-05-11,913.0,하락  13,930.0,931.0,905.0,395615.0,한솔홈데코,025750
2020-05-12,896.0,하락  17,912.0,913.0,889.0,394689.0,한솔홈데코,025750
2020-05-13,885.0,하락  11,889.0,895.0,878.0,400978.0,한솔홈데코,025750
2020-05-14,878.0,하락  7,888.0,892.0,876.0,264308.0,한솔홈데코,025750
2020-05-15,881.0,상승  3,886.0,888.0,870.0,187376.0,한솔홈데코,025750
2020-05-18,901.0,상승  20,882.0,913.0,872.0,551825.0,한솔홈데코,025750
2020-05-19,946.0,상승  45,918.0,949.0,905.0,1501574.0,한솔홈데코,025750
2020-05-20,959.0,상승  13,938.0,964.0,938.0,520096.0,한솔홈데코,025750
2020-05-21,962.0,상승  3,1010.0,1090.0,961.0,4105321.0,한솔홈데코,025750
2020-05-22,943.0,하락  19,965.0,971.0,936.0,627236.0,한솔홈데코,025750
2020-05-25,982.0,상승  39,946.0,987.0,942.0,953489.0,한솔홈데코,025750
2020-05-26,1000.0,상승  18,987.0,1005.0,976.0,949186.0,한솔홈데코,025750
2020-05-27,1070.0,상승  70,1010.0,1070.0,1000.0,2359845.0,한솔홈데코,025750
2020-05-28,1020.0,하락  50,1070.0,1080.0,997.0,2514480.0,한솔홈데코,025750
2020-05-29,1010.0,하락  10,1010.0,1085.0,975.0,5162836.0,한솔홈데코,025750
2020-06-01,1055.0,상승  45,1040.0,1085.0,1020.0,4133579.0,한솔홈데코,025750
2020-06-02,1055.0,보합0,1040.0,1060.0,1035.0,949937.0,한솔홈데코,025750
2020-06-03,1090.0,상승  35,1065.0,1120.0,1045.0,4118131.0,한솔홈데코,025750
2020-06-04,1040.0,하락  50,1095.0,1100.0,1010.0,1905399.0,한솔홈데코,025750
2020-06-05,1055.0,상승  15,1040.0,1060.0,1030.0,961008.0,한솔홈데코,025750
2020-06-08,1090.0,상승  35,1070.0,1110.0,1050.0,2778267.0,한솔홈데코,025750
2020-06-09,1175.0,상승  85,1160.0,1200.0,1090.0,10128429.0,한솔홈데코,025750
2020-06-10,1160.0,하락  15,1170.0,1205.0,1150.0,3063029.0,한솔홈데코,025750
2020-06-11,1125.0,하락  35,1165.0,1175.0,1105.0,2452069.0,한솔홈데코,025750
2020-06-12,1080.0,하락  45,1045.0,1085.0,1025.0,1931581.0,한솔홈데코,025750
2020-06-15,999.0,하락  81,1075.0,1105.0,995.0,3138761.0,한솔홈데코,025750
2020-06-16,1040.0,상승  41,1025.0,1055.0,1020.0,1309803.0,한솔홈데코,025750
2020-06-17,1040.0,보합0,1030.0,1070.0,1000.0,978240.0,한솔홈데코,025750
2020-06-18,1015.0,하락  25,1050.0,1050.0,999.0,1880276.0,한솔홈데코,025750
2020-06-19,1020.0,상승  5,1020.0,1030.0,996.0,1263878.0,한솔홈데코,025750
2020-06-22,1010.0,하락  10,1025.0,1050.0,1000.0,1215015.0,한솔홈데코,025750
2020-06-23,1005.0,하락  5,1010.0,1020.0,993.0,1093294.0,한솔홈데코,025750
2020-06-24,997.0,하락  8,1015.0,1015.0,997.0,579818.0,한솔홈데코,025750
2020-06-25,984.0,하락  13,990.0,1005.0,983.0,718727.0,한솔홈데코,025750
2020-06-26,1005.0,상승  21,991.0,1015.0,983.0,538450.0,한솔홈데코,025750
2020-06-29,978.0,하락  27,993.0,1000.0,978.0,450405.0,한솔홈데코,025750
2020-06-30,981.0,상승  3,986.0,991.0,977.0,315731.0,한솔홈데코,025750
2020-07-01,963.0,하락  18,983.0,986.0,963.0,440003.0,한솔홈데코,025750
2020-07-02,967.0,상승  4,971.0,973.0,958.0,180792.0,한솔홈데코,025750
2020-07-03,985.0,상승  18,967.0,989.0,967.0,396879.0,한솔홈데코,025750
2020-07-06,997.0,상승  12,992.0,1010.0,985.0,587459.0,한솔홈데코,025750
2020-07-07,1000.0,상승  3,1005.0,1015.0,993.0,569795.0,한솔홈데코,025750
2020-07-08,998.0,하락  2,998.0,1005.0,992.0,279477.0,한솔홈데코,025750
2020-07-09,1035.0,상승  37,1000.0,1095.0,999.0,9391158.0,한솔홈데코,025750
2020-07-10,1015.0,하락  20,1040.0,1045.0,998.0,1525528.0,한솔홈데코,025750
2020-07-13,1050.0,상승  35,1020.0,1060.0,1005.0,2030142.0,한솔홈데코,025750
2020-07-14,1050.0,보합0,1050.0,1110.0,1030.0,3321701.0,한솔홈데코,025750
2020-07-15,1090.0,상승  40,1060.0,1095.0,1045.0,2494687.0,한솔홈데코,025750
2020-07-16,1060.0,하락  30,1085.0,1090.0,1050.0,899490.0,한솔홈데코,025750
2020-07-17,1050.0,하락  10,1055.0,1070.0,1045.0,733208.0,한솔홈데코,025750
2020-07-20,1040.0,하락  10,1055.0,1055.0,1030.0,583176.0,한솔홈데코,025750
2020-07-21,1045.0,상승  5,1040.0,1060.0,1030.0,602283.0,한솔홈데코,025750
2020-07-22,1250.0,상승  205,1070.0,1250.0,1050.0,6377219.0,한솔홈데코,025750
2020-07-23,1095.0,하락  155,1170.0,1185.0,1080.0,5371701.0,한솔홈데코,025750
2020-07-24,1070.0,하락  25,1085.0,1105.0,1040.0,3325946.0,한솔홈데코,025750
2020-07-27,1100.0,상승  30,1060.0,1160.0,1050.0,4102809.0,한솔홈데코,025750
2020-07-28,1085.0,하락  15,1100.0,1125.0,1080.0,1246074.0,한솔홈데코,025750
2020-07-29,1090.0,상승  5,1080.0,1130.0,1070.0,1956552.0,한솔홈데코,025750
2020-07-30,1110.0,상승  20,1100.0,1115.0,1085.0,934573.0,한솔홈데코,025750
2020-07-31,1120.0,상승  10,1235.0,1235.0,1120.0,7519136.0,한솔홈데코,025750
2020-08-03,1130.0,상승  10,1120.0,1145.0,1120.0,1176662.0,한솔홈데코,025750
2020-08-04,1120.0,하락  10,1140.0,1155.0,1115.0,1042532.0,한솔홈데코,025750
2020-08-05,1135.0,상승  15,1120.0,1155.0,1115.0,1255903.0,한솔홈데코,025750
2020-08-06,1125.0,하락  10,1140.0,1145.0,1120.0,884434.0,한솔홈데코,025750
2020-08-07,1130.0,상승  5,1130.0,1140.0,1115.0,759602.0,한솔홈데코,025750
2020-08-10,1155.0,상승  25,1135.0,1170.0,1120.0,2272636.0,한솔홈데코,025750
2020-08-11,1245.0,상승  90,1165.0,1250.0,1160.0,9840786.0,한솔홈데코,025750
2020-08-12,1180.0,하락  65,1230.0,1230.0,1170.0,4692651.0,한솔홈데코,025750
2020-08-13,1180.0,보합0,1190.0,1225.0,1175.0,2348978.0,한솔홈데코,025750
2020-08-14,1170.0,하락  10,1185.0,1210.0,1155.0,1684639.0,한솔홈데코,025750
2020-08-18,1090.0,하락  80,1160.0,1170.0,1085.0,1793813.0,한솔홈데코,025750
2020-08-19,1135.0,상승  45,1085.0,1160.0,1085.0,3070338.0,한솔홈데코,025750
2020-08-20,1055.0,하락  80,1135.0,1140.0,1050.0,1948157.0,한솔홈데코,025750
2020-08-21,1075.0,상승  20,1060.0,1085.0,1040.0,1428442.0,한솔홈데코,025750
2020-08-24,1080.0,상승  5,1070.0,1095.0,1050.0,793939.0,한솔홈데코,025750
2020-08-25,1120.0,상승  40,1085.0,1130.0,1085.0,1436127.0,한솔홈데코,025750
2020-08-26,1095.0,하락  25,1125.0,1125.0,1085.0,821891.0,한솔홈데코,025750
2020-08-27,1060.0,하락  35,1100.0,1100.0,1055.0,1038607.0,한솔홈데코,025750
2020-08-28,1080.0,상승  20,1065.0,1105.0,1065.0,1065218.0,한솔홈데코,025750
2020-08-31,1090.0,상승  10,1090.0,1115.0,1085.0,1120319.0,한솔홈데코,025750
2020-09-01,1100.0,상승  10,1090.0,1115.0,1085.0,644220.0,한솔홈데코,025750
2020-09-02,1125.0,상승  25,1110.0,1130.0,1105.0,1250394.0,한솔홈데코,025750
2020-09-03,1110.0,하락  15,1130.0,1145.0,1105.0,1193358.0,한솔홈데코,025750
2020-09-04,1110.0,보합0,1070.0,1110.0,1065.0,1042658.0,한솔홈데코,025750
2020-09-07,1200.0,상승  90,1130.0,1225.0,1120.0,9367312.0,한솔홈데코,025750
2020-09-08,1200.0,보합0,1270.0,1365.0,1190.0,26993646.0,한솔홈데코,025750
2020-09-09,1560.0,상한가  360,1185.0,1560.0,1155.0,69426650.0,한솔홈데코,025750
2020-09-10,1535.0,하락  25,1685.0,1850.0,1495.0,125025557.0,한솔홈데코,025750
2020-09-11,1575.0,상승  40,1520.0,1670.0,1505.0,35095031.0,한솔홈데코,025750
2020-09-14,1620.0,상승  45,1575.0,1715.0,1535.0,32737036.0,한솔홈데코,025750
2020-09-15,1560.0,하락  60,1625.0,1665.0,1560.0,8125173.0,한솔홈데코,025750
2020-09-16,1535.0,하락  25,1560.0,1595.0,1495.0,5911800.0,한솔홈데코,025750
2020-09-17,1470.0,하락  65,1520.0,1555.0,1465.0,4568274.0,한솔홈데코,025750
2020-09-18,1485.0,상승  15,1475.0,1565.0,1465.0,6074420.0,한솔홈데코,025750
2020-09-21,1465.0,하락  20,1470.0,1550.0,1410.0,4603886.0,한솔홈데코,025750
2020-09-22,1385.0,하락  80,1445.0,1460.0,1360.0,3148998.0,한솔홈데코,025750
