날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,11950.0,하락  600,11350.0,12100.0,10700.0,69330.0,한신공영,004960
2020-03-16,11350.0,하락  600,11950.0,12000.0,11100.0,16849.0,한신공영,004960
2020-03-17,11000.0,하락  350,11200.0,11500.0,10650.0,44012.0,한신공영,004960
2020-03-18,9990.0,"하락  1,010",11000.0,11250.0,9990.0,66830.0,한신공영,004960
2020-03-19,9800.0,하락  190,9980.0,10300.0,7890.0,188688.0,한신공영,004960
2020-03-20,10200.0,상승  400,9820.0,10950.0,9820.0,151257.0,한신공영,004960
2020-03-23,10150.0,하락  50,10000.0,10150.0,9200.0,31598.0,한신공영,004960
2020-03-24,9750.0,하락  400,10100.0,10200.0,9650.0,121731.0,한신공영,004960
2020-03-25,9700.0,하락  50,9820.0,10050.0,9450.0,73869.0,한신공영,004960
2020-03-26,9600.0,하락  100,9790.0,9880.0,9530.0,60360.0,한신공영,004960
2020-03-27,9920.0,상승  320,9850.0,10150.0,9660.0,135736.0,한신공영,004960
2020-03-30,10050.0,상승  130,9510.0,10200.0,9450.0,65230.0,한신공영,004960
2020-03-31,10850.0,상승  800,10050.0,11100.0,10050.0,43550.0,한신공영,004960
2020-04-01,10700.0,하락  150,10850.0,11150.0,10450.0,71780.0,한신공영,004960
2020-04-02,11200.0,상승  500,11000.0,11300.0,10350.0,41864.0,한신공영,004960
2020-04-03,11150.0,하락  50,11250.0,11350.0,10750.0,27337.0,한신공영,004960
2020-04-06,12350.0,"상승  1,200",11200.0,13700.0,11050.0,188648.0,한신공영,004960
2020-04-07,12050.0,하락  300,12500.0,12550.0,11900.0,57569.0,한신공영,004960
2020-04-08,12250.0,상승  200,12150.0,12550.0,11750.0,32013.0,한신공영,004960
2020-04-09,12400.0,상승  150,12500.0,12600.0,12050.0,48982.0,한신공영,004960
2020-04-10,12400.0,보합0,12400.0,12400.0,11700.0,31220.0,한신공영,004960
2020-04-13,11950.0,하락  450,12400.0,12550.0,11950.0,32955.0,한신공영,004960
2020-04-14,12300.0,상승  350,11950.0,12500.0,11900.0,59071.0,한신공영,004960
2020-04-16,12150.0,하락  150,12000.0,12200.0,11700.0,14642.0,한신공영,004960
2020-04-17,12300.0,상승  150,12200.0,12750.0,12200.0,80022.0,한신공영,004960
2020-04-20,12500.0,상승  200,12300.0,12800.0,12250.0,64320.0,한신공영,004960
2020-04-21,12250.0,하락  250,12500.0,12700.0,11800.0,49804.0,한신공영,004960
2020-04-22,13200.0,상승  950,11950.0,13200.0,11950.0,64977.0,한신공영,004960
2020-04-23,13050.0,하락  150,13050.0,13600.0,12850.0,46623.0,한신공영,004960
2020-04-24,12500.0,하락  550,13050.0,13100.0,12250.0,40354.0,한신공영,004960
2020-04-27,12700.0,상승  200,12700.0,12800.0,12450.0,16216.0,한신공영,004960
2020-04-28,12950.0,상승  250,12950.0,13100.0,12700.0,20549.0,한신공영,004960
2020-04-29,13200.0,상승  250,12950.0,13300.0,12950.0,19885.0,한신공영,004960
2020-05-04,13000.0,하락  200,13200.0,13400.0,12700.0,41752.0,한신공영,004960
2020-05-06,13150.0,상승  150,13050.0,13400.0,13000.0,17415.0,한신공영,004960
2020-05-07,13200.0,상승  50,13200.0,13400.0,13050.0,28828.0,한신공영,004960
2020-05-08,13250.0,상승  50,13200.0,13300.0,13100.0,15899.0,한신공영,004960
2020-05-11,13050.0,하락  200,13150.0,13400.0,13000.0,13759.0,한신공영,004960
