날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,3760.0,하락  290,4090.0,4240.0,3760.0,606586.0,한익스프레스,014130
2020-03-17,3835.0,상승  75,3400.0,3950.0,3400.0,588478.0,한익스프레스,014130
2020-03-18,3740.0,하락  95,3905.0,4295.0,3650.0,938069.0,한익스프레스,014130
2020-03-19,3015.0,하락  725,3910.0,3980.0,3000.0,639174.0,한익스프레스,014130
2020-03-20,3225.0,상승  210,3040.0,3300.0,3040.0,464148.0,한익스프레스,014130
2020-03-23,2980.0,하락  245,3100.0,3195.0,2950.0,461989.0,한익스프레스,014130
2020-03-24,3245.0,상승  265,3050.0,3245.0,3015.0,492769.0,한익스프레스,014130
2020-03-25,3380.0,상승  135,3400.0,3460.0,3265.0,643032.0,한익스프레스,014130
2020-03-26,3435.0,상승  55,3465.0,3670.0,3385.0,706566.0,한익스프레스,014130
2020-03-27,3610.0,상승  175,3620.0,3850.0,3405.0,1233068.0,한익스프레스,014130
2020-03-30,3790.0,상승  180,3490.0,3800.0,3470.0,876400.0,한익스프레스,014130
2020-03-31,3930.0,상승  140,3960.0,4100.0,3780.0,860592.0,한익스프레스,014130
2020-04-01,4015.0,상승  85,3880.0,4265.0,3820.0,1355530.0,한익스프레스,014130
2020-04-02,4150.0,상승  135,4020.0,4250.0,3910.0,664276.0,한익스프레스,014130
2020-04-03,4180.0,상승  30,4200.0,4300.0,4100.0,470782.0,한익스프레스,014130
2020-04-06,4330.0,상승  150,4210.0,4350.0,4170.0,457127.0,한익스프레스,014130
2020-04-07,4375.0,상승  45,4355.0,4420.0,4250.0,368079.0,한익스프레스,014130
2020-04-08,4490.0,상승  115,4375.0,4590.0,4260.0,435312.0,한익스프레스,014130
2020-04-09,4680.0,상승  190,4500.0,4750.0,4490.0,472462.0,한익스프레스,014130
2020-04-10,4490.0,하락  190,4775.0,4775.0,4300.0,433113.0,한익스프레스,014130
2020-04-13,4545.0,상승  55,4485.0,4770.0,4370.0,788191.0,한익스프레스,014130
2020-04-14,4510.0,하락  35,4590.0,4770.0,4495.0,723694.0,한익스프레스,014130
2020-04-16,4625.0,상승  115,4495.0,4670.0,4480.0,305710.0,한익스프레스,014130
2020-04-17,4675.0,상승  50,4625.0,4740.0,4540.0,410900.0,한익스프레스,014130
2020-04-20,4820.0,상승  145,4730.0,4935.0,4725.0,538265.0,한익스프레스,014130
2020-04-21,4705.0,하락  115,4960.0,4995.0,4125.0,571686.0,한익스프레스,014130
2020-04-22,4795.0,상승  90,4600.0,4800.0,4580.0,134973.0,한익스프레스,014130
2020-04-23,4845.0,상승  50,4810.0,4885.0,4750.0,180081.0,한익스프레스,014130
2020-04-24,4705.0,하락  140,4845.0,4945.0,4670.0,289595.0,한익스프레스,014130
2020-04-27,4810.0,상승  105,4715.0,4860.0,4710.0,146416.0,한익스프레스,014130
2020-04-28,4810.0,보합0,4810.0,4870.0,4710.0,141195.0,한익스프레스,014130
2020-04-29,4855.0,상승  45,4820.0,4995.0,4795.0,464564.0,한익스프레스,014130
2020-05-04,4560.0,하락  295,4465.0,4600.0,4450.0,770880.0,한익스프레스,014130
2020-05-06,4500.0,하락  60,4605.0,4605.0,4475.0,338712.0,한익스프레스,014130
2020-05-07,4640.0,상승  140,4500.0,4700.0,4455.0,279633.0,한익스프레스,014130
2020-05-08,4970.0,상승  330,4730.0,5360.0,4655.0,3234818.0,한익스프레스,014130
2020-05-11,4840.0,하락  130,4950.0,4950.0,4810.0,397725.0,한익스프레스,014130
2020-05-12,4700.0,하락  140,4795.0,4880.0,4620.0,302641.0,한익스프레스,014130
2020-05-13,4800.0,상승  100,4650.0,4830.0,4630.0,188403.0,한익스프레스,014130
2020-05-14,4755.0,하락  45,4730.0,4850.0,4690.0,167559.0,한익스프레스,014130
2020-05-15,4700.0,하락  55,4810.0,4810.0,4600.0,130410.0,한익스프레스,014130
2020-05-18,4670.0,하락  30,4660.0,4835.0,4570.0,221963.0,한익스프레스,014130
2020-05-19,4750.0,상승  80,4720.0,4800.0,4630.0,137550.0,한익스프레스,014130
2020-05-20,4810.0,상승  60,4750.0,4820.0,4690.0,183102.0,한익스프레스,014130
2020-05-21,4850.0,상승  40,4900.0,4940.0,4815.0,259281.0,한익스프레스,014130
2020-05-22,4740.0,하락  110,4850.0,4915.0,4685.0,105272.0,한익스프레스,014130
2020-05-25,4770.0,상승  30,4745.0,4830.0,4650.0,85259.0,한익스프레스,014130
2020-05-26,5000.0,상승  230,4780.0,5000.0,4770.0,477144.0,한익스프레스,014130
2020-05-27,4900.0,하락  100,5010.0,5010.0,4865.0,319260.0,한익스프레스,014130
2020-05-28,4805.0,하락  95,4900.0,4990.0,4730.0,194350.0,한익스프레스,014130
2020-05-29,4700.0,하락  105,4800.0,4800.0,4675.0,131660.0,한익스프레스,014130
