날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,69400.0,"하락  2,900",68100.0,72000.0,63100.0,5657.0,한일시멘트,300720
2020-03-16,69500.0,상승  100,69200.0,70500.0,67200.0,2351.0,한일시멘트,300720
2020-03-17,67800.0,"하락  1,700",63500.0,69200.0,63500.0,1943.0,한일시멘트,300720
2020-03-18,68600.0,상승  800,67900.0,71000.0,67900.0,4982.0,한일시멘트,300720
2020-03-19,60000.0,"하락  8,600",68500.0,68500.0,58300.0,6081.0,한일시멘트,300720
2020-03-20,57200.0,"하락  2,800",59900.0,60100.0,57200.0,11475.0,한일시멘트,300720
2020-03-23,51800.0,"하락  5,400",54300.0,54300.0,51000.0,6508.0,한일시멘트,300720
2020-03-24,53100.0,"상승  1,300",52000.0,53800.0,50600.0,5999.0,한일시멘트,300720
2020-03-25,58500.0,"상승  5,400",55700.0,60500.0,54400.0,15447.0,한일시멘트,300720
2020-03-26,60000.0,"상승  1,500",58700.0,63200.0,57700.0,6931.0,한일시멘트,300720
2020-03-27,60000.0,보합0,61500.0,64100.0,59500.0,7607.0,한일시멘트,300720
2020-03-30,58400.0,"하락  1,600",59700.0,59700.0,58200.0,6426.0,한일시멘트,300720
2020-03-31,61400.0,"상승  3,000",59300.0,64900.0,59200.0,12544.0,한일시멘트,300720
2020-04-01,61800.0,상승  400,61300.0,64400.0,61100.0,11720.0,한일시멘트,300720
2020-04-02,64500.0,"상승  2,700",62000.0,64700.0,62000.0,5808.0,한일시멘트,300720
2020-04-03,66000.0,"상승  1,500",68000.0,69300.0,64700.0,7279.0,한일시멘트,300720
2020-04-06,67000.0,"상승  1,000",67000.0,67100.0,65200.0,6623.0,한일시멘트,300720
2020-04-07,67500.0,상승  500,67300.0,68600.0,67300.0,7620.0,한일시멘트,300720
2020-04-08,71500.0,"상승  4,000",67800.0,72000.0,67000.0,6742.0,한일시멘트,300720
2020-04-09,75700.0,"상승  4,200",72000.0,92800.0,72000.0,15234.0,한일시멘트,300720
2020-04-10,76100.0,상승  400,75700.0,78400.0,74500.0,14381.0,한일시멘트,300720
2020-04-13,76300.0,상승  200,76200.0,76800.0,75000.0,5230.0,한일시멘트,300720
2020-04-14,76800.0,상승  500,76300.0,78900.0,76200.0,5202.0,한일시멘트,300720
2020-04-16,80400.0,"상승  3,600",77500.0,80900.0,76000.0,13739.0,한일시멘트,300720
2020-04-17,82100.0,"상승  1,700",84900.0,87000.0,81500.0,15743.0,한일시멘트,300720
2020-04-20,85500.0,"상승  3,400",83900.0,88100.0,82500.0,20487.0,한일시멘트,300720
2020-04-21,83700.0,"하락  1,800",86200.0,89000.0,79200.0,24041.0,한일시멘트,300720
2020-04-22,89900.0,"상승  6,200",81500.0,103000.0,78000.0,112118.0,한일시멘트,300720
2020-04-23,86100.0,"하락  3,800",87900.0,88500.0,85300.0,22961.0,한일시멘트,300720
2020-04-24,83200.0,"하락  2,900",84300.0,85500.0,82000.0,9723.0,한일시멘트,300720
2020-04-27,82800.0,하락  400,83200.0,84000.0,82000.0,10253.0,한일시멘트,300720
2020-04-28,84800.0,"상승  2,000",83200.0,85400.0,81100.0,12840.0,한일시멘트,300720
2020-04-29,85900.0,"상승  1,100",84800.0,86900.0,83300.0,13764.0,한일시멘트,300720
2020-05-04,85400.0,하락  500,86400.0,87900.0,85200.0,8380.0,한일시멘트,300720
2020-05-06,86500.0,"상승  1,100",85600.0,86900.0,84700.0,9424.0,한일시멘트,300720
2020-05-07,87200.0,상승  700,88900.0,88900.0,86500.0,8459.0,한일시멘트,300720
2020-05-08,87500.0,상승  300,87200.0,87900.0,86800.0,6108.0,한일시멘트,300720
2020-05-11,87600.0,상승  100,87500.0,88600.0,86100.0,6337.0,한일시멘트,300720
2020-05-12,85000.0,"하락  2,600",86600.0,88000.0,84900.0,7760.0,한일시멘트,300720
2020-05-13,84500.0,하락  500,84900.0,84900.0,83200.0,4386.0,한일시멘트,300720
2020-05-14,83700.0,하락  800,84400.0,84800.0,83200.0,4193.0,한일시멘트,300720
2020-05-15,88400.0,"상승  4,700",85300.0,90000.0,85300.0,21160.0,한일시멘트,300720
2020-05-18,86400.0,"하락  2,000",88400.0,88500.0,86400.0,3646.0,한일시멘트,300720
2020-05-19,85100.0,"하락  1,300",87200.0,87400.0,85000.0,9674.0,한일시멘트,300720
2020-05-20,85500.0,상승  400,85700.0,86000.0,84500.0,4923.0,한일시멘트,300720
2020-05-21,84600.0,하락  900,85500.0,85900.0,84600.0,3933.0,한일시멘트,300720
2020-05-22,83400.0,"하락  1,200",84500.0,84600.0,83300.0,4671.0,한일시멘트,300720
2020-05-25,83300.0,하락  100,84100.0,84100.0,82500.0,5652.0,한일시멘트,300720
2020-05-26,84100.0,상승  800,83300.0,84300.0,83300.0,4962.0,한일시멘트,300720
2020-05-27,84300.0,상승  200,84100.0,84600.0,83700.0,3995.0,한일시멘트,300720
2020-05-28,83100.0,"하락  1,200",84300.0,85300.0,82600.0,5487.0,한일시멘트,300720
2020-05-29,81000.0,"하락  2,100",83800.0,83800.0,81000.0,6427.0,한일시멘트,300720
2020-06-01,83200.0,"상승  2,200",82500.0,83700.0,81800.0,5213.0,한일시멘트,300720
2020-06-02,84200.0,"상승  1,000",83700.0,84200.0,83000.0,4173.0,한일시멘트,300720
2020-06-03,85400.0,"상승  1,200",84300.0,86200.0,84300.0,11269.0,한일시멘트,300720
2020-06-04,85200.0,하락  200,85900.0,86200.0,84900.0,4978.0,한일시멘트,300720
2020-06-05,86200.0,"상승  1,000",85200.0,86400.0,84900.0,3347.0,한일시멘트,300720
2020-06-08,86600.0,상승  400,86200.0,86700.0,85100.0,6205.0,한일시멘트,300720
2020-06-09,85300.0,"하락  1,300",86900.0,87500.0,84900.0,5406.0,한일시멘트,300720
2020-06-10,85900.0,상승  600,86200.0,86500.0,85200.0,2655.0,한일시멘트,300720
2020-06-11,84000.0,"하락  1,900",85500.0,85700.0,83000.0,5165.0,한일시멘트,300720
2020-06-12,81900.0,"하락  2,100",81500.0,83200.0,79800.0,9280.0,한일시멘트,300720
2020-06-15,80500.0,"하락  1,400",81500.0,82100.0,80500.0,8504.0,한일시멘트,300720
2020-06-16,83100.0,"상승  2,600",81100.0,83300.0,81100.0,3812.0,한일시멘트,300720
2020-06-17,82000.0,"하락  1,100",83000.0,83000.0,81300.0,2951.0,한일시멘트,300720
2020-06-18,81300.0,하락  700,82700.0,82700.0,81000.0,2788.0,한일시멘트,300720
2020-06-19,80700.0,하락  600,82500.0,83500.0,80700.0,6026.0,한일시멘트,300720
2020-06-22,81600.0,상승  900,80800.0,83200.0,80300.0,4578.0,한일시멘트,300720
2020-06-23,81100.0,하락  500,81600.0,83100.0,80800.0,4149.0,한일시멘트,300720
2020-06-24,82100.0,"상승  1,000",81500.0,82100.0,81200.0,2352.0,한일시멘트,300720
2020-06-25,81900.0,하락  200,82100.0,82100.0,80900.0,1413.0,한일시멘트,300720
2020-06-26,81800.0,하락  100,81900.0,82900.0,80800.0,2557.0,한일시멘트,300720
2020-06-29,81200.0,하락  600,81400.0,81700.0,80800.0,1762.0,한일시멘트,300720
2020-06-30,81600.0,상승  400,81800.0,82000.0,81500.0,1495.0,한일시멘트,300720
2020-07-01,81200.0,하락  400,81700.0,82500.0,81000.0,1185.0,한일시멘트,300720
2020-07-02,81100.0,하락  100,82400.0,82400.0,81000.0,1938.0,한일시멘트,300720
2020-07-03,81200.0,상승  100,81600.0,81700.0,81000.0,2035.0,한일시멘트,300720
2020-07-06,81800.0,상승  600,81600.0,82800.0,81000.0,1718.0,한일시멘트,300720
2020-07-07,81300.0,하락  500,81500.0,82300.0,81300.0,1556.0,한일시멘트,300720
2020-07-08,81300.0,보합0,81500.0,81800.0,80900.0,1854.0,한일시멘트,300720
2020-07-09,80800.0,하락  500,82000.0,82300.0,80800.0,2886.0,한일시멘트,300720
2020-07-10,80600.0,하락  200,80700.0,81000.0,80000.0,1478.0,한일시멘트,300720
2020-07-13,80700.0,상승  100,81300.0,81300.0,80300.0,1651.0,한일시멘트,300720
2020-07-14,80500.0,하락  200,80800.0,81800.0,80300.0,3614.0,한일시멘트,300720
2020-07-15,80400.0,하락  100,81000.0,81100.0,80300.0,1905.0,한일시멘트,300720
2020-07-16,78600.0,"하락  1,800",78000.0,79100.0,76700.0,7641.0,한일시멘트,300720
2020-07-17,80600.0,"상승  2,000",79100.0,80600.0,78800.0,3037.0,한일시멘트,300720
2020-07-20,80600.0,보합0,80900.0,81600.0,80200.0,2601.0,한일시멘트,300720
2020-07-21,81600.0,"상승  1,000",81000.0,81700.0,80300.0,3074.0,한일시멘트,300720
2020-07-22,82100.0,상승  500,81700.0,83700.0,81700.0,6882.0,한일시멘트,300720
2020-07-23,82800.0,상승  700,82100.0,82800.0,81100.0,3374.0,한일시멘트,300720
2020-07-24,83000.0,상승  200,83100.0,83300.0,81700.0,4325.0,한일시멘트,300720
2020-07-27,85300.0,"상승  2,300",83300.0,85400.0,82800.0,6390.0,한일시멘트,300720
2020-07-28,83700.0,"하락  1,600",85300.0,85900.0,83700.0,2865.0,한일시멘트,300720
2020-07-29,84500.0,상승  800,83700.0,85300.0,82700.0,2804.0,한일시멘트,300720
2020-07-30,84700.0,상승  200,84500.0,85600.0,83300.0,4350.0,한일시멘트,300720
2020-07-31,84900.0,상승  200,85000.0,86000.0,84300.0,3902.0,한일시멘트,300720
2020-08-03,85000.0,상승  100,85500.0,85500.0,83900.0,2719.0,한일시멘트,300720
2020-08-04,87400.0,"상승  2,400",86400.0,89200.0,85000.0,11627.0,한일시멘트,300720
2020-08-05,88700.0,"상승  1,300",88100.0,88800.0,85600.0,6677.0,한일시멘트,300720
2020-08-06,88800.0,상승  100,88100.0,89200.0,88100.0,6426.0,한일시멘트,300720
2020-08-07,88700.0,하락  100,88800.0,89500.0,87500.0,5185.0,한일시멘트,300720
2020-08-10,90300.0,"상승  1,600",89900.0,93000.0,89900.0,7754.0,한일시멘트,300720
2020-08-11,89500.0,하락  800,90300.0,91000.0,89200.0,4432.0,한일시멘트,300720
2020-08-12,89700.0,상승  200,89500.0,90300.0,89400.0,3151.0,한일시멘트,300720
2020-08-13,90200.0,상승  500,91000.0,91000.0,88800.0,3726.0,한일시멘트,300720
2020-08-14,90000.0,하락  200,90200.0,90700.0,88400.0,5099.0,한일시멘트,300720
2020-08-18,84100.0,"하락  5,900",89900.0,89900.0,83600.0,5577.0,한일시멘트,300720
2020-08-19,82200.0,"하락  1,900",85000.0,85000.0,82000.0,7194.0,한일시멘트,300720
2020-08-20,78200.0,"하락  4,000",82400.0,82400.0,78100.0,7149.0,한일시멘트,300720
2020-08-21,79000.0,상승  800,80200.0,80300.0,77800.0,3337.0,한일시멘트,300720
2020-08-24,79200.0,상승  200,78900.0,79800.0,78500.0,2878.0,한일시멘트,300720
2020-08-25,79600.0,상승  400,79400.0,80500.0,79000.0,2387.0,한일시멘트,300720
2020-08-26,79200.0,하락  400,79800.0,79800.0,78800.0,2890.0,한일시멘트,300720
2020-08-27,79200.0,보합0,79600.0,79700.0,78800.0,3170.0,한일시멘트,300720
2020-08-28,79300.0,상승  100,79500.0,80900.0,78800.0,3463.0,한일시멘트,300720
2020-08-31,79000.0,하락  300,79700.0,80600.0,79000.0,4919.0,한일시멘트,300720
2020-09-01,79200.0,상승  200,79500.0,79600.0,79100.0,6154.0,한일시멘트,300720
2020-09-02,80000.0,상승  800,79600.0,80000.0,79100.0,2947.0,한일시멘트,300720
2020-09-03,80500.0,상승  500,80000.0,81700.0,79800.0,2832.0,한일시멘트,300720
2020-09-04,79600.0,하락  900,78900.0,80200.0,78600.0,3404.0,한일시멘트,300720
2020-09-07,79700.0,상승  100,80100.0,80300.0,79300.0,6081.0,한일시멘트,300720
2020-09-08,80000.0,상승  300,79800.0,80400.0,79700.0,4268.0,한일시멘트,300720
2020-09-09,79900.0,하락  100,79800.0,80000.0,79100.0,5427.0,한일시멘트,300720
2020-09-10,80100.0,상승  200,80100.0,80400.0,79000.0,7987.0,한일시멘트,300720
2020-09-11,80000.0,하락  100,80100.0,80200.0,79200.0,2673.0,한일시멘트,300720
2020-09-14,81300.0,"상승  1,300",80300.0,81500.0,79900.0,5148.0,한일시멘트,300720
2020-09-15,81300.0,보합0,82000.0,82300.0,80200.0,5694.0,한일시멘트,300720
2020-09-16,80900.0,하락  400,81200.0,81900.0,80500.0,2406.0,한일시멘트,300720
2020-09-17,81400.0,상승  500,80900.0,82200.0,79000.0,6787.0,한일시멘트,300720
2020-09-18,80200.0,"하락  1,200",81900.0,82000.0,80000.0,4148.0,한일시멘트,300720
2020-09-21,80400.0,상승  200,80000.0,82000.0,79800.0,1954.0,한일시멘트,300720
