날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,21700.0,"하락  1,450",20100.0,22950.0,20100.0,69822.0,한일현대시멘트,006390
2020-03-16,21000.0,하락  700,21900.0,22400.0,20600.0,32474.0,한일현대시멘트,006390
2020-03-17,21400.0,상승  400,18550.0,21450.0,18550.0,24533.0,한일현대시멘트,006390
2020-03-18,20300.0,"하락  1,100",21400.0,21900.0,20300.0,23603.0,한일현대시멘트,006390
2020-03-19,17000.0,"하락  3,300",20300.0,20950.0,16650.0,54695.0,한일현대시멘트,006390
2020-03-20,17700.0,상승  700,17000.0,17850.0,16450.0,48880.0,한일현대시멘트,006390
2020-03-23,16250.0,"하락  1,450",16900.0,17300.0,15800.0,37245.0,한일현대시멘트,006390
2020-03-24,17600.0,"상승  1,350",16350.0,17800.0,16250.0,36707.0,한일현대시멘트,006390
2020-03-25,19700.0,"상승  2,100",18500.0,19800.0,17800.0,48579.0,한일현대시멘트,006390
2020-03-26,19700.0,보합0,19700.0,20600.0,19150.0,44709.0,한일현대시멘트,006390
2020-03-27,19900.0,상승  200,21500.0,21500.0,19300.0,40657.0,한일현대시멘트,006390
2020-03-30,20000.0,상승  100,19050.0,20300.0,18700.0,22470.0,한일현대시멘트,006390
2020-03-31,23000.0,"상승  3,000",20050.0,25000.0,20050.0,128537.0,한일현대시멘트,006390
2020-04-01,21750.0,"하락  1,250",22400.0,23150.0,21400.0,56134.0,한일현대시멘트,006390
2020-04-02,22500.0,상승  750,21300.0,22750.0,20750.0,28569.0,한일현대시멘트,006390
2020-04-03,22400.0,하락  100,22750.0,22850.0,21950.0,19721.0,한일현대시멘트,006390
2020-04-06,23200.0,상승  800,22750.0,23400.0,22600.0,19259.0,한일현대시멘트,006390
2020-04-07,23800.0,상승  600,23600.0,24200.0,23300.0,36377.0,한일현대시멘트,006390
2020-04-08,23650.0,하락  150,24200.0,24200.0,23150.0,25407.0,한일현대시멘트,006390
2020-04-09,24200.0,상승  550,24000.0,24250.0,23700.0,28761.0,한일현대시멘트,006390
2020-04-10,24000.0,하락  200,24200.0,24500.0,23250.0,26070.0,한일현대시멘트,006390
2020-04-13,23650.0,하락  350,24000.0,24200.0,23250.0,20523.0,한일현대시멘트,006390
2020-04-14,25550.0,"상승  1,900",23450.0,25650.0,23450.0,64691.0,한일현대시멘트,006390
2020-04-16,31350.0,"상승  5,800",26950.0,31700.0,25600.0,314567.0,한일현대시멘트,006390
2020-04-17,30000.0,"하락  1,350",29800.0,31550.0,29550.0,132940.0,한일현대시멘트,006390
2020-04-20,32200.0,"상승  2,200",30150.0,33850.0,30150.0,265723.0,한일현대시멘트,006390
2020-04-21,31400.0,하락  800,32300.0,34950.0,28300.0,307081.0,한일현대시멘트,006390
2020-04-22,36550.0,"상승  5,150",30500.0,39650.0,29200.0,956556.0,한일현대시멘트,006390
2020-04-23,34300.0,"하락  2,250",34600.0,35900.0,33650.0,302067.0,한일현대시멘트,006390
2020-04-24,32300.0,"하락  2,000",34100.0,34600.0,32050.0,129417.0,한일현대시멘트,006390
2020-04-27,31950.0,하락  350,32500.0,33850.0,31450.0,116679.0,한일현대시멘트,006390
2020-04-28,31750.0,하락  200,32250.0,32400.0,31150.0,105937.0,한일현대시멘트,006390
2020-04-29,31650.0,하락  100,31800.0,32300.0,31500.0,48642.0,한일현대시멘트,006390
2020-05-04,31500.0,하락  150,32800.0,32850.0,31500.0,65878.0,한일현대시멘트,006390
2020-05-06,32300.0,상승  800,32050.0,32600.0,31400.0,63564.0,한일현대시멘트,006390
2020-05-07,32300.0,보합0,33400.0,33900.0,32300.0,99112.0,한일현대시멘트,006390
2020-05-08,32600.0,상승  300,32400.0,33100.0,32200.0,54913.0,한일현대시멘트,006390
2020-05-11,31200.0,"하락  1,400",32300.0,32400.0,30500.0,60355.0,한일현대시멘트,006390
2020-05-12,30400.0,하락  800,30900.0,31350.0,30050.0,46909.0,한일현대시멘트,006390
2020-05-13,30650.0,상승  250,29500.0,30650.0,29500.0,25466.0,한일현대시멘트,006390
