날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,29800.0,하락  750,28000.0,30100.0,27600.0,315150.0,한전KPS,051600
2020-03-16,29550.0,하락  250,30250.0,30750.0,29000.0,189085.0,한전KPS,051600
2020-03-17,28850.0,하락  700,27900.0,29450.0,27750.0,216978.0,한전KPS,051600
2020-03-18,28350.0,하락  500,28850.0,29700.0,28150.0,197674.0,한전KPS,051600
2020-03-19,26500.0,"하락  1,850",28800.0,28950.0,26300.0,291425.0,한전KPS,051600
2020-03-20,26900.0,상승  400,26500.0,27400.0,25600.0,361447.0,한전KPS,051600
2020-03-23,24750.0,"하락  2,150",25100.0,25750.0,24500.0,275575.0,한전KPS,051600
2020-03-24,25850.0,"상승  1,100",24900.0,25850.0,24750.0,228585.0,한전KPS,051600
2020-03-25,27350.0,"상승  1,500",26950.0,27400.0,25950.0,219641.0,한전KPS,051600
2020-03-26,28700.0,"상승  1,350",27300.0,29400.0,26400.0,264029.0,한전KPS,051600
2020-03-27,30000.0,"상승  1,300",29550.0,30800.0,29150.0,222623.0,한전KPS,051600
2020-03-30,29500.0,하락  500,28400.0,29850.0,28400.0,150176.0,한전KPS,051600
2020-03-31,29050.0,하락  450,29800.0,30300.0,29050.0,160011.0,한전KPS,051600
2020-04-01,28400.0,하락  650,28850.0,29650.0,28150.0,204740.0,한전KPS,051600
2020-04-02,29850.0,"상승  1,450",28400.0,30150.0,28200.0,173681.0,한전KPS,051600
2020-04-03,30050.0,상승  200,29500.0,30100.0,29350.0,121639.0,한전KPS,051600
2020-04-06,31300.0,"상승  1,250",30250.0,31500.0,30050.0,139011.0,한전KPS,051600
2020-04-07,32950.0,"상승  1,650",31800.0,33100.0,31500.0,202659.0,한전KPS,051600
2020-04-08,32150.0,하락  800,32950.0,32950.0,32050.0,157473.0,한전KPS,051600
2020-04-09,32100.0,하락  50,32450.0,32600.0,31700.0,149294.0,한전KPS,051600
2020-04-10,32300.0,상승  200,31900.0,32400.0,31450.0,98515.0,한전KPS,051600
2020-04-13,32000.0,하락  300,32000.0,32750.0,31650.0,116135.0,한전KPS,051600
2020-04-14,32700.0,상승  700,31950.0,32750.0,31850.0,101926.0,한전KPS,051600
2020-04-16,31200.0,"하락  1,500",31700.0,32000.0,30950.0,248249.0,한전KPS,051600
2020-04-17,31800.0,상승  600,31300.0,32300.0,31300.0,176850.0,한전KPS,051600
2020-04-20,31950.0,상승  150,31600.0,32650.0,31250.0,140341.0,한전KPS,051600
2020-04-21,31650.0,하락  300,31500.0,32250.0,30800.0,124665.0,한전KPS,051600
2020-04-22,31950.0,상승  300,31050.0,31950.0,31050.0,127120.0,한전KPS,051600
2020-04-23,32300.0,상승  350,31950.0,32350.0,31600.0,99257.0,한전KPS,051600
2020-04-24,32000.0,하락  300,32100.0,32150.0,31300.0,147244.0,한전KPS,051600
2020-04-27,32200.0,상승  200,31800.0,32250.0,31650.0,100787.0,한전KPS,051600
2020-04-28,32000.0,하락  200,32050.0,32300.0,31600.0,107610.0,한전KPS,051600
2020-04-29,32450.0,상승  450,32000.0,32500.0,32000.0,112919.0,한전KPS,051600
2020-05-04,31700.0,하락  750,31700.0,32050.0,31500.0,116997.0,한전KPS,051600
2020-05-06,32550.0,상승  850,32200.0,32700.0,31750.0,100490.0,한전KPS,051600
2020-05-07,32450.0,하락  100,32300.0,32600.0,32250.0,77757.0,한전KPS,051600
2020-05-08,32450.0,보합0,32800.0,33350.0,32450.0,142043.0,한전KPS,051600
2020-05-11,31300.0,"하락  1,150",32350.0,32350.0,31300.0,217067.0,한전KPS,051600
2020-05-12,30200.0,"하락  1,100",31300.0,31450.0,30200.0,267481.0,한전KPS,051600
2020-05-13,30650.0,상승  450,29850.0,30750.0,29700.0,151223.0,한전KPS,051600
2020-05-14,31200.0,상승  550,30900.0,31600.0,30700.0,173902.0,한전KPS,051600
2020-05-15,31050.0,하락  150,31300.0,31400.0,30900.0,79764.0,한전KPS,051600
2020-05-18,31100.0,상승  50,31050.0,31450.0,30800.0,72632.0,한전KPS,051600
2020-05-19,31750.0,상승  650,31400.0,32350.0,31400.0,126655.0,한전KPS,051600
2020-05-20,31900.0,상승  150,32000.0,32000.0,31550.0,77140.0,한전KPS,051600
2020-05-21,31550.0,하락  350,32000.0,32100.0,31500.0,81271.0,한전KPS,051600
2020-05-22,31050.0,하락  500,31850.0,31850.0,30900.0,96632.0,한전KPS,051600
2020-05-25,31050.0,보합0,31250.0,31300.0,30850.0,51176.0,한전KPS,051600
2020-05-26,31700.0,상승  650,31200.0,31700.0,31150.0,98156.0,한전KPS,051600
2020-05-27,31800.0,상승  100,31600.0,32200.0,31600.0,172506.0,한전KPS,051600
2020-05-28,31050.0,하락  750,31800.0,31950.0,30850.0,221677.0,한전KPS,051600
2020-05-29,30850.0,하락  200,31050.0,31400.0,30800.0,162881.0,한전KPS,051600
2020-06-01,31650.0,상승  800,30900.0,31650.0,30800.0,99641.0,한전KPS,051600
2020-06-02,32200.0,상승  550,31550.0,32400.0,31550.0,167091.0,한전KPS,051600
2020-06-03,32650.0,상승  450,32400.0,33250.0,32300.0,275913.0,한전KPS,051600
2020-06-04,32000.0,하락  650,33350.0,33600.0,32000.0,188939.0,한전KPS,051600
2020-06-05,32700.0,상승  700,32400.0,32700.0,31800.0,92596.0,한전KPS,051600
2020-06-08,32250.0,하락  450,33100.0,33100.0,32100.0,149966.0,한전KPS,051600
2020-06-09,32050.0,하락  200,32300.0,32550.0,31800.0,122785.0,한전KPS,051600
2020-06-10,32000.0,하락  50,32350.0,32350.0,31850.0,107959.0,한전KPS,051600
2020-06-11,31650.0,하락  350,32400.0,32400.0,31350.0,206040.0,한전KPS,051600
2020-06-12,30800.0,하락  850,30650.0,31000.0,30600.0,165772.0,한전KPS,051600
2020-06-15,29300.0,"하락  1,500",30650.0,30650.0,29300.0,262705.0,한전KPS,051600
2020-06-16,30550.0,"상승  1,250",29500.0,30600.0,29500.0,226565.0,한전KPS,051600
2020-06-17,29950.0,하락  600,30500.0,30650.0,29800.0,129170.0,한전KPS,051600
2020-06-18,30150.0,상승  200,30000.0,30500.0,29800.0,111920.0,한전KPS,051600
2020-06-19,30800.0,상승  650,30250.0,30800.0,29850.0,126826.0,한전KPS,051600
2020-06-22,29950.0,하락  850,30000.0,30250.0,29900.0,111492.0,한전KPS,051600
2020-06-23,29800.0,하락  150,30000.0,30300.0,29650.0,102776.0,한전KPS,051600
2020-06-24,29850.0,상승  50,29800.0,30050.0,29700.0,75124.0,한전KPS,051600
2020-06-25,29300.0,하락  550,29500.0,29700.0,29250.0,97042.0,한전KPS,051600
2020-06-26,29600.0,상승  300,29400.0,29850.0,29400.0,74187.0,한전KPS,051600
2020-06-29,29000.0,하락  600,29150.0,29400.0,29000.0,86295.0,한전KPS,051600
2020-06-30,29050.0,상승  50,29150.0,29500.0,29050.0,96373.0,한전KPS,051600
2020-07-01,29300.0,상승  250,29250.0,29550.0,29100.0,93834.0,한전KPS,051600
2020-07-02,29600.0,상승  300,29400.0,29950.0,29400.0,64749.0,한전KPS,051600
2020-07-03,29900.0,상승  300,29750.0,29950.0,29600.0,40297.0,한전KPS,051600
2020-07-06,30350.0,상승  450,29950.0,30450.0,29650.0,93443.0,한전KPS,051600
2020-07-07,30300.0,하락  50,30500.0,30500.0,30050.0,84486.0,한전KPS,051600
2020-07-08,29850.0,하락  450,30000.0,30200.0,29750.0,99887.0,한전KPS,051600
2020-07-09,29650.0,하락  200,29850.0,30050.0,29650.0,71538.0,한전KPS,051600
2020-07-10,29050.0,하락  600,29600.0,29650.0,29050.0,142769.0,한전KPS,051600
2020-07-13,29500.0,상승  450,29400.0,29750.0,29100.0,143406.0,한전KPS,051600
2020-07-14,29900.0,상승  400,29500.0,29950.0,29350.0,100842.0,한전KPS,051600
2020-07-15,29800.0,하락  100,30100.0,30300.0,29650.0,107463.0,한전KPS,051600
2020-07-16,29900.0,상승  100,29850.0,30100.0,29600.0,78599.0,한전KPS,051600
2020-07-17,29700.0,하락  200,29950.0,30100.0,29600.0,96577.0,한전KPS,051600
2020-07-20,29900.0,상승  200,29650.0,30100.0,29650.0,69307.0,한전KPS,051600
2020-07-21,30050.0,상승  150,29900.0,30300.0,29850.0,139663.0,한전KPS,051600
2020-07-22,30050.0,보합0,30150.0,30200.0,29950.0,107092.0,한전KPS,051600
2020-07-23,29400.0,하락  650,30000.0,30000.0,29350.0,227908.0,한전KPS,051600
2020-07-24,29700.0,상승  300,29600.0,29950.0,29500.0,172921.0,한전KPS,051600
2020-07-27,29950.0,상승  250,29800.0,30050.0,29700.0,189792.0,한전KPS,051600
2020-07-28,29700.0,하락  250,29850.0,30100.0,29600.0,186226.0,한전KPS,051600
2020-07-29,29550.0,하락  150,29550.0,29750.0,29450.0,177023.0,한전KPS,051600
2020-07-30,29350.0,하락  200,29550.0,29650.0,29300.0,144116.0,한전KPS,051600
