날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,14900.0,"하락  1,350",15300.0,15600.0,13850.0,373874.0,한전기술,052690
2020-03-16,14300.0,하락  600,14900.0,15350.0,14250.0,161160.0,한전기술,052690
2020-03-17,14150.0,하락  150,13050.0,14250.0,13000.0,184921.0,한전기술,052690
2020-03-18,13500.0,하락  650,14100.0,14300.0,13500.0,119831.0,한전기술,052690
2020-03-19,12950.0,하락  550,13400.0,13950.0,12800.0,215863.0,한전기술,052690
2020-03-20,14000.0,"상승  1,050",13000.0,14000.0,12800.0,149530.0,한전기술,052690
2020-03-23,13100.0,하락  900,13050.0,13450.0,12850.0,108968.0,한전기술,052690
2020-03-24,13850.0,상승  750,13300.0,13850.0,12900.0,116364.0,한전기술,052690
2020-03-25,14450.0,상승  600,14600.0,14650.0,13950.0,179738.0,한전기술,052690
2020-03-26,14650.0,상승  200,14400.0,15250.0,14050.0,258468.0,한전기술,052690
2020-03-27,14650.0,보합0,15300.0,15300.0,14100.0,203434.0,한전기술,052690
2020-03-30,14800.0,상승  150,14000.0,14950.0,14000.0,102669.0,한전기술,052690
2020-03-31,15050.0,상승  250,15200.0,15350.0,14750.0,143028.0,한전기술,052690
2020-04-01,15150.0,상승  100,14800.0,15650.0,14750.0,146410.0,한전기술,052690
2020-04-02,15000.0,하락  150,15150.0,15400.0,14500.0,230424.0,한전기술,052690
2020-04-03,15100.0,상승  100,15000.0,15150.0,14750.0,114576.0,한전기술,052690
2020-04-06,15850.0,상승  750,15100.0,15950.0,15100.0,154002.0,한전기술,052690
2020-04-07,17000.0,"상승  1,150",16100.0,17150.0,15900.0,240575.0,한전기술,052690
2020-04-08,17000.0,보합0,16750.0,17500.0,16650.0,133122.0,한전기술,052690
2020-04-09,17300.0,상승  300,17300.0,17600.0,16900.0,142281.0,한전기술,052690
2020-04-10,17300.0,보합0,17250.0,17300.0,16750.0,125524.0,한전기술,052690
2020-04-13,17600.0,상승  300,17300.0,17850.0,17150.0,129059.0,한전기술,052690
2020-04-14,17750.0,상승  150,17500.0,17750.0,17350.0,147261.0,한전기술,052690
2020-04-16,16750.0,"하락  1,000",16500.0,16950.0,16250.0,262008.0,한전기술,052690
2020-04-17,16800.0,상승  50,17200.0,17200.0,16700.0,193346.0,한전기술,052690
2020-04-20,16850.0,상승  50,16800.0,17100.0,16450.0,165291.0,한전기술,052690
2020-04-21,16650.0,하락  200,16850.0,17000.0,16000.0,221865.0,한전기술,052690
2020-04-22,16550.0,하락  100,16500.0,16600.0,16100.0,80398.0,한전기술,052690
2020-04-23,16850.0,상승  300,16550.0,16850.0,16450.0,89912.0,한전기술,052690
2020-04-24,16600.0,하락  250,16800.0,16950.0,16400.0,91413.0,한전기술,052690
2020-04-27,16950.0,상승  350,16650.0,17100.0,16500.0,112303.0,한전기술,052690
2020-04-28,16900.0,하락  50,16950.0,17200.0,16600.0,87951.0,한전기술,052690
2020-04-29,17000.0,상승  100,17000.0,17150.0,16900.0,96270.0,한전기술,052690
2020-05-04,16550.0,하락  450,16800.0,16850.0,16550.0,102522.0,한전기술,052690
2020-05-06,16700.0,상승  150,16700.0,16850.0,16600.0,65211.0,한전기술,052690
2020-05-07,16850.0,상승  150,16650.0,16900.0,16550.0,64350.0,한전기술,052690
2020-05-08,16900.0,상승  50,16950.0,17150.0,16750.0,92757.0,한전기술,052690
2020-05-11,16650.0,하락  250,16800.0,16800.0,16450.0,100908.0,한전기술,052690
2020-05-12,16250.0,하락  400,16650.0,16700.0,16250.0,97103.0,한전기술,052690
2020-05-13,16250.0,보합0,15850.0,16350.0,15850.0,84345.0,한전기술,052690
2020-05-14,16150.0,하락  100,16150.0,16450.0,16050.0,50088.0,한전기술,052690
2020-05-15,16500.0,상승  350,16200.0,16500.0,16100.0,63970.0,한전기술,052690
2020-05-18,16200.0,하락  300,16350.0,16600.0,16100.0,64399.0,한전기술,052690
2020-05-19,16700.0,상승  500,16450.0,16700.0,16350.0,72263.0,한전기술,052690
2020-05-20,16900.0,상승  200,16500.0,16950.0,16500.0,69806.0,한전기술,052690
2020-05-21,16800.0,하락  100,16950.0,16950.0,16700.0,57699.0,한전기술,052690
2020-05-22,16450.0,하락  350,16900.0,16950.0,16300.0,61155.0,한전기술,052690
2020-05-25,16500.0,상승  50,16400.0,16650.0,16250.0,40953.0,한전기술,052690
2020-05-26,16650.0,상승  150,16500.0,16800.0,16450.0,64438.0,한전기술,052690
