날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,57500.0,"하락  2,800",58200.0,60400.0,51900.0,2724014.0,한진칼,180640
2020-03-16,58700.0,"상승  1,200",58000.0,63400.0,55800.0,2820078.0,한진칼,180640
2020-03-17,52300.0,"하락  6,400",56200.0,59900.0,52300.0,1544437.0,한진칼,180640
2020-03-18,42650.0,"하락  9,650",52100.0,56000.0,42650.0,2400703.0,한진칼,180640
2020-03-19,41050.0,"하락  1,600",42700.0,44950.0,38900.0,3440801.0,한진칼,180640
2020-03-20,53300.0,"상한가  12,250",41050.0,53300.0,40350.0,6293980.0,한진칼,180640
2020-03-23,58300.0,"상승  5,000",53300.0,66000.0,53300.0,6514432.0,한진칼,180640
2020-03-24,42600.0,"하락  15,700",61200.0,63600.0,41350.0,9170002.0,한진칼,180640
2020-03-25,45300.0,"상승  2,700",46250.0,49500.0,44000.0,3690263.0,한진칼,180640
2020-03-26,44050.0,"하락  1,250",45300.0,49800.0,43000.0,4472294.0,한진칼,180640
2020-03-27,57200.0,"상한가  13,150",45000.0,57200.0,44850.0,10585018.0,한진칼,180640
2020-03-30,74300.0,"상한가  17,100",62200.0,74300.0,61600.0,6733285.0,한진칼,180640
2020-03-31,74300.0,보합0,78800.0,91700.0,71000.0,8095939.0,한진칼,180640
2020-04-01,81000.0,"상승  6,700",79500.0,89000.0,74300.0,7791191.0,한진칼,180640
2020-04-02,72400.0,"하락  8,600",85200.0,86800.0,71400.0,2788795.0,한진칼,180640
2020-04-03,68400.0,"하락  4,000",72500.0,77700.0,66300.0,1790590.0,한진칼,180640
2020-04-06,69900.0,"상승  1,500",68400.0,73900.0,67300.0,1894645.0,한진칼,180640
2020-04-07,86100.0,"상승  16,200",70600.0,87300.0,70600.0,8186102.0,한진칼,180640
2020-04-08,79700.0,"하락  6,400",89000.0,90900.0,78100.0,3804445.0,한진칼,180640
2020-04-09,83700.0,"상승  4,000",81600.0,91000.0,81100.0,6732369.0,한진칼,180640
2020-04-10,85500.0,"상승  1,800",83900.0,88300.0,82400.0,3794064.0,한진칼,180640
2020-04-13,84500.0,"하락  1,000",85800.0,89400.0,82000.0,2053518.0,한진칼,180640
2020-04-14,84300.0,하락  200,84400.0,88300.0,83800.0,2018396.0,한진칼,180640
2020-04-16,85000.0,상승  700,85500.0,87000.0,84000.0,892682.0,한진칼,180640
2020-04-17,109500.0,"상승  24,500",86300.0,110500.0,84900.0,13623107.0,한진칼,180640
2020-04-20,81000.0,"하락  28,500",109500.0,111000.0,77400.0,6522949.0,한진칼,180640
2020-04-21,81500.0,상승  500,80400.0,91200.0,75600.0,6713434.0,한진칼,180640
2020-04-22,83000.0,"상승  1,500",81500.0,87600.0,81200.0,3532972.0,한진칼,180640
2020-04-23,85200.0,"상승  2,200",85000.0,86500.0,84200.0,1299906.0,한진칼,180640
2020-04-24,93000.0,"상승  7,800",85800.0,102000.0,84600.0,9390503.0,한진칼,180640
2020-04-27,90500.0,"하락  2,500",94200.0,96500.0,88600.0,3105448.0,한진칼,180640
2020-04-28,88200.0,"하락  2,300",90800.0,95900.0,86300.0,3346028.0,한진칼,180640
