날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,3000.0,하락  230,2910.0,3025.0,2625.0,7608262.0,한창제지,009460
2020-03-16,2450.0,하락  550,3000.0,3105.0,2450.0,11103163.0,한창제지,009460
2020-03-17,2420.0,하락  30,2100.0,2475.0,2100.0,11945191.0,한창제지,009460
2020-03-18,2050.0,하락  370,2445.0,2540.0,1990.0,11792792.0,한창제지,009460
2020-03-19,1655.0,하락  395,2125.0,2145.0,1630.0,12099856.0,한창제지,009460
2020-03-20,1895.0,상승  240,1730.0,1945.0,1670.0,15187440.0,한창제지,009460
2020-03-23,1885.0,하락  10,1745.0,2045.0,1730.0,12442990.0,한창제지,009460
2020-03-24,2050.0,상승  165,1980.0,2065.0,1950.0,8801566.0,한창제지,009460
2020-03-25,2145.0,상승  95,2130.0,2210.0,2040.0,8542638.0,한창제지,009460
2020-03-26,2345.0,상승  200,2175.0,2520.0,2095.0,17538353.0,한창제지,009460
2020-03-27,2640.0,상승  295,2495.0,2660.0,2250.0,17073857.0,한창제지,009460
2020-03-30,3430.0,상한가  790,2700.0,3430.0,2660.0,24285994.0,한창제지,009460
2020-03-31,3710.0,상승  280,3720.0,3995.0,3430.0,27361442.0,한창제지,009460
2020-04-01,3615.0,하락  95,3715.0,3835.0,3530.0,10499195.0,한창제지,009460
2020-04-02,3465.0,하락  150,3650.0,3695.0,3275.0,10420094.0,한창제지,009460
2020-04-03,3570.0,상승  105,3510.0,3775.0,3370.0,30344704.0,한창제지,009460
2020-04-06,3575.0,상승  5,3680.0,3960.0,3525.0,30787806.0,한창제지,009460
2020-04-07,3400.0,하락  175,3685.0,3685.0,3230.0,11661954.0,한창제지,009460
2020-04-08,2970.0,하락  430,3400.0,3420.0,2970.0,17491398.0,한창제지,009460
2020-04-09,2970.0,보합0,3030.0,3165.0,2820.0,16517910.0,한창제지,009460
2020-04-10,2730.0,하락  240,2960.0,2960.0,2480.0,11179138.0,한창제지,009460
2020-04-13,2305.0,하락  425,2590.0,2635.0,2300.0,12647336.0,한창제지,009460
2020-04-14,2345.0,상승  40,2370.0,2465.0,2300.0,12676679.0,한창제지,009460
2020-04-16,2080.0,하락  265,1920.0,2085.0,1920.0,17665696.0,한창제지,009460
2020-04-17,2090.0,상승  10,2100.0,2135.0,2060.0,7032039.0,한창제지,009460
2020-04-20,2205.0,상승  115,2120.0,2220.0,2100.0,7597656.0,한창제지,009460
2020-04-21,2255.0,상승  50,2225.0,2350.0,2015.0,12713230.0,한창제지,009460
2020-04-22,2235.0,하락  20,2205.0,2250.0,2180.0,3325582.0,한창제지,009460
2020-04-23,2230.0,하락  5,2275.0,2280.0,2220.0,2633085.0,한창제지,009460
2020-04-24,2140.0,하락  90,2205.0,2240.0,2110.0,3099941.0,한창제지,009460
2020-04-27,2165.0,상승  25,2175.0,2210.0,2140.0,2516362.0,한창제지,009460
2020-04-28,2210.0,상승  45,2190.0,2230.0,2170.0,2636546.0,한창제지,009460
2020-04-29,2180.0,하락  30,2210.0,2210.0,2170.0,1951275.0,한창제지,009460
2020-05-04,2225.0,상승  45,2165.0,2285.0,2100.0,4546860.0,한창제지,009460
2020-05-06,2240.0,상승  15,2255.0,2270.0,2225.0,1994113.0,한창제지,009460
2020-05-07,2305.0,상승  65,2255.0,2340.0,2240.0,4542110.0,한창제지,009460
2020-05-08,2320.0,상승  15,2345.0,2360.0,2310.0,3465776.0,한창제지,009460
2020-05-11,2285.0,하락  35,2330.0,2340.0,2240.0,2795280.0,한창제지,009460
2020-05-12,2240.0,하락  45,2285.0,2305.0,2210.0,1929327.0,한창제지,009460
2020-05-13,2305.0,상승  65,2215.0,2325.0,2200.0,2825944.0,한창제지,009460
2020-05-14,2220.0,하락  85,2320.0,2340.0,2215.0,2619548.0,한창제지,009460
2020-05-15,2250.0,상승  30,2245.0,2265.0,2210.0,1700190.0,한창제지,009460
2020-05-18,2240.0,하락  10,2285.0,2300.0,2225.0,1548561.0,한창제지,009460
2020-05-19,2250.0,상승  10,2270.0,2290.0,2230.0,1789107.0,한창제지,009460
2020-05-20,2285.0,상승  35,2250.0,2330.0,2240.0,3980114.0,한창제지,009460
