날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,1125.0,하락  35,1175.0,1240.0,1125.0,5554828.0,한화생명,088350
2020-03-17,1035.0,하락  90,1020.0,1115.0,1015.0,8088146.0,한화생명,088350
2020-03-18,970.0,하락  65,1050.0,1075.0,970.0,6189787.0,한화생명,088350
2020-03-19,917.0,하락  53,970.0,1015.0,899.0,7519295.0,한화생명,088350
2020-03-20,958.0,상승  41,920.0,977.0,905.0,8514019.0,한화생명,088350
2020-03-23,895.0,하락  63,913.0,925.0,881.0,7377202.0,한화생명,088350
2020-03-24,982.0,상승  87,908.0,998.0,900.0,9443067.0,한화생명,088350
2020-03-25,1275.0,상한가  293,1045.0,1275.0,1030.0,19697553.0,한화생명,088350
2020-03-26,1510.0,상승  235,1365.0,1595.0,1310.0,33525362.0,한화생명,088350
2020-03-27,1425.0,하락  85,1625.0,1625.0,1325.0,18146210.0,한화생명,088350
2020-03-30,1425.0,보합0,1370.0,1445.0,1340.0,9048886.0,한화생명,088350
2020-03-31,1390.0,하락  35,1460.0,1480.0,1380.0,8912101.0,한화생명,088350
2020-04-01,1320.0,하락  70,1390.0,1405.0,1290.0,6519043.0,한화생명,088350
2020-04-02,1360.0,상승  40,1320.0,1380.0,1250.0,6098181.0,한화생명,088350
2020-04-03,1340.0,하락  20,1365.0,1380.0,1305.0,5057449.0,한화생명,088350
2020-04-06,1370.0,상승  30,1360.0,1380.0,1330.0,5305717.0,한화생명,088350
2020-04-07,1370.0,보합0,1415.0,1435.0,1350.0,9088904.0,한화생명,088350
2020-04-08,1375.0,상승  5,1370.0,1425.0,1345.0,10199663.0,한화생명,088350
2020-04-09,1415.0,상승  40,1400.0,1455.0,1390.0,12763066.0,한화생명,088350
2020-04-10,1720.0,상승  305,1430.0,1805.0,1425.0,93431281.0,한화생명,088350
2020-04-13,1720.0,보합0,1740.0,1935.0,1665.0,45947152.0,한화생명,088350
2020-04-14,1735.0,상승  15,1775.0,1835.0,1725.0,12415486.0,한화생명,088350
2020-04-16,1650.0,하락  85,1735.0,1740.0,1640.0,10398894.0,한화생명,088350
2020-04-17,1815.0,상승  165,1660.0,1955.0,1660.0,82203632.0,한화생명,088350
2020-04-20,1775.0,하락  40,1845.0,1885.0,1770.0,13119939.0,한화생명,088350
2020-04-21,1745.0,하락  30,1755.0,1830.0,1610.0,14351453.0,한화생명,088350
2020-04-22,1725.0,하락  20,1685.0,1750.0,1685.0,7008818.0,한화생명,088350
2020-04-23,1740.0,상승  15,1760.0,1815.0,1735.0,11676071.0,한화생명,088350
2020-04-24,1685.0,하락  55,1700.0,1750.0,1685.0,6107079.0,한화생명,088350
2020-04-27,1750.0,상승  65,1715.0,1770.0,1710.0,7544910.0,한화생명,088350
2020-04-28,1765.0,상승  15,1775.0,1790.0,1735.0,8299187.0,한화생명,088350
2020-04-29,1800.0,상승  35,1775.0,1815.0,1770.0,9149125.0,한화생명,088350
2020-05-04,1715.0,하락  85,1765.0,1765.0,1715.0,6242386.0,한화생명,088350
2020-05-06,1730.0,상승  15,1745.0,1760.0,1730.0,4164187.0,한화생명,088350
2020-05-07,1715.0,하락  15,1730.0,1735.0,1710.0,4137774.0,한화생명,088350
2020-05-08,1700.0,하락  15,1725.0,1740.0,1685.0,5246734.0,한화생명,088350
2020-05-11,1700.0,보합0,1710.0,1725.0,1670.0,6157140.0,한화생명,088350
2020-05-12,1635.0,하락  65,1685.0,1690.0,1635.0,5714546.0,한화생명,088350
2020-05-13,1620.0,하락  15,1605.0,1625.0,1580.0,6508111.0,한화생명,088350
2020-05-14,1685.0,상승  65,1590.0,1710.0,1565.0,14694317.0,한화생명,088350
2020-05-15,1640.0,하락  45,1705.0,1710.0,1640.0,4987521.0,한화생명,088350
2020-05-18,1615.0,하락  25,1640.0,1655.0,1610.0,3211156.0,한화생명,088350
2020-05-19,1645.0,상승  30,1650.0,1710.0,1635.0,10239666.0,한화생명,088350
2020-05-20,1670.0,상승  25,1630.0,1685.0,1625.0,6568719.0,한화생명,088350
2020-05-21,1650.0,하락  20,1670.0,1675.0,1650.0,3585930.0,한화생명,088350
