날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,13200.0,"하락  1,400",13050.0,13450.0,12100.0,3519200.0,한화솔루션,009830
2020-03-16,12750.0,하락  450,13300.0,13800.0,12750.0,1406528.0,한화솔루션,009830
2020-03-17,13000.0,상승  250,11850.0,13200.0,11800.0,1414741.0,한화솔루션,009830
2020-03-18,11700.0,"하락  1,300",13050.0,13200.0,11700.0,1453345.0,한화솔루션,009830
2020-03-19,9500.0,"하락  2,200",11950.0,12250.0,9500.0,3460681.0,한화솔루션,009830
2020-03-20,10500.0,"상승  1,000",9840.0,10500.0,9370.0,2408986.0,한화솔루션,009830
2020-03-23,9410.0,"하락  1,090",9510.0,10000.0,9410.0,1982452.0,한화솔루션,009830
2020-03-24,10350.0,상승  940,9750.0,10350.0,9430.0,1439012.0,한화솔루션,009830
2020-03-25,12300.0,"상승  1,950",10950.0,12400.0,10750.0,2653737.0,한화솔루션,009830
2020-03-26,12700.0,상승  400,12450.0,13700.0,12000.0,2589373.0,한화솔루션,009830
2020-03-27,13200.0,상승  500,13550.0,13650.0,12550.0,1431993.0,한화솔루션,009830
2020-03-30,13150.0,하락  50,12600.0,13250.0,12450.0,1203521.0,한화솔루션,009830
2020-03-31,13400.0,상승  250,13600.0,13650.0,13000.0,1093704.0,한화솔루션,009830
2020-04-01,12750.0,하락  650,13300.0,13750.0,12700.0,1139918.0,한화솔루션,009830
2020-04-02,13200.0,상승  450,12750.0,13300.0,12400.0,1103172.0,한화솔루션,009830
2020-04-03,12800.0,하락  400,13450.0,13500.0,12650.0,1200913.0,한화솔루션,009830
2020-04-06,13100.0,상승  300,12950.0,13200.0,12850.0,885681.0,한화솔루션,009830
2020-04-07,13350.0,상승  250,13500.0,13600.0,13100.0,1213131.0,한화솔루션,009830
2020-04-08,13050.0,하락  300,13300.0,13350.0,13050.0,1097255.0,한화솔루션,009830
2020-04-09,13450.0,상승  400,13350.0,13450.0,13100.0,1066864.0,한화솔루션,009830
2020-04-10,14100.0,상승  650,13350.0,14400.0,13300.0,1957413.0,한화솔루션,009830
2020-04-13,13550.0,하락  550,13950.0,14000.0,13550.0,892035.0,한화솔루션,009830
2020-04-14,13950.0,상승  400,13650.0,14200.0,13550.0,1194003.0,한화솔루션,009830
2020-04-16,13700.0,하락  250,13700.0,13950.0,13550.0,802025.0,한화솔루션,009830
2020-04-17,14400.0,상승  700,14100.0,14800.0,14000.0,1425705.0,한화솔루션,009830
2020-04-20,14500.0,상승  100,14550.0,14950.0,14500.0,1179381.0,한화솔루션,009830
2020-04-21,14400.0,하락  100,14500.0,14700.0,13850.0,1276960.0,한화솔루션,009830
2020-04-22,13950.0,하락  450,14100.0,14100.0,13600.0,1335363.0,한화솔루션,009830
2020-04-23,13900.0,하락  50,14050.0,14150.0,13750.0,1083696.0,한화솔루션,009830
2020-04-24,14000.0,상승  100,13850.0,14250.0,13700.0,1073926.0,한화솔루션,009830
2020-04-27,14500.0,상승  500,14300.0,14700.0,14150.0,1126195.0,한화솔루션,009830
2020-04-28,14250.0,하락  250,14600.0,14700.0,14200.0,818315.0,한화솔루션,009830
2020-04-29,14550.0,상승  300,14350.0,14650.0,14250.0,825078.0,한화솔루션,009830
2020-05-04,13800.0,하락  750,14100.0,14150.0,13750.0,1355893.0,한화솔루션,009830
2020-05-06,14000.0,상승  200,14050.0,14200.0,13900.0,739328.0,한화솔루션,009830
2020-05-07,14300.0,상승  300,13850.0,14450.0,13800.0,1043515.0,한화솔루션,009830
2020-05-08,14300.0,보합0,14400.0,14700.0,14250.0,702891.0,한화솔루션,009830
2020-05-11,14950.0,상승  650,15600.0,17150.0,14900.0,7973700.0,한화솔루션,009830
2020-05-12,15550.0,상승  600,15250.0,16650.0,14700.0,7961875.0,한화솔루션,009830
2020-05-13,15450.0,하락  100,15600.0,15800.0,15250.0,2076653.0,한화솔루션,009830
2020-05-14,15650.0,상승  200,15400.0,15850.0,15300.0,1804338.0,한화솔루션,009830
2020-05-15,15200.0,하락  450,15800.0,15850.0,15100.0,1190400.0,한화솔루션,009830
2020-05-18,14850.0,하락  350,15350.0,15450.0,14750.0,1088542.0,한화솔루션,009830
2020-05-19,15750.0,상승  900,15350.0,15850.0,15200.0,1987485.0,한화솔루션,009830
2020-05-20,15750.0,보합0,15800.0,16200.0,15450.0,1688259.0,한화솔루션,009830
2020-05-21,16500.0,상승  750,16250.0,17000.0,16050.0,4338602.0,한화솔루션,009830
2020-05-22,15950.0,하락  550,16700.0,16700.0,15700.0,2025928.0,한화솔루션,009830
2020-05-25,16100.0,상승  150,16050.0,16300.0,15850.0,1315967.0,한화솔루션,009830
2020-05-26,17000.0,상승  900,16300.0,17000.0,16250.0,2319656.0,한화솔루션,009830
2020-05-27,16750.0,하락  250,17250.0,17700.0,16700.0,3023030.0,한화솔루션,009830
2020-05-28,16300.0,하락  450,16900.0,16950.0,16150.0,1505361.0,한화솔루션,009830
2020-05-29,16150.0,하락  150,16200.0,16400.0,15800.0,1345224.0,한화솔루션,009830
2020-06-01,16800.0,상승  650,16800.0,17100.0,16600.0,1397120.0,한화솔루션,009830
2020-06-02,17000.0,상승  200,16950.0,17200.0,16700.0,1486526.0,한화솔루션,009830
2020-06-03,17250.0,상승  250,17200.0,17500.0,17050.0,1660543.0,한화솔루션,009830
2020-06-04,17000.0,하락  250,17500.0,17700.0,16800.0,1342572.0,한화솔루션,009830
2020-06-05,16900.0,하락  100,17000.0,17050.0,16600.0,1031064.0,한화솔루션,009830
2020-06-08,17200.0,상승  300,17400.0,17400.0,16850.0,1341055.0,한화솔루션,009830
