날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,22050.0,"하락  1,800",21150.0,22600.0,20450.0,797717.0,한화에어로스페이스,012450
2020-03-16,21000.0,"하락  1,050",22250.0,22900.0,21000.0,326383.0,한화에어로스페이스,012450
2020-03-17,20200.0,하락  800,19350.0,21150.0,19350.0,378303.0,한화에어로스페이스,012450
2020-03-18,18450.0,"하락  1,750",20150.0,20500.0,18450.0,369689.0,한화에어로스페이스,012450
2020-03-19,15700.0,"하락  2,750",18500.0,18950.0,15450.0,706180.0,한화에어로스페이스,012450
2020-03-20,16750.0,"상승  1,050",15700.0,16750.0,15050.0,717128.0,한화에어로스페이스,012450
2020-03-23,15000.0,"하락  1,750",15100.0,15600.0,14850.0,462930.0,한화에어로스페이스,012450
2020-03-24,16650.0,"상승  1,650",15300.0,16650.0,15100.0,465924.0,한화에어로스페이스,012450
2020-03-25,18200.0,"상승  1,550",17850.0,19100.0,17550.0,654279.0,한화에어로스페이스,012450
2020-03-26,19250.0,"상승  1,050",18750.0,19900.0,18000.0,662070.0,한화에어로스페이스,012450
2020-03-27,19800.0,상승  550,20500.0,20800.0,18800.0,536289.0,한화에어로스페이스,012450
2020-03-30,20150.0,상승  350,18800.0,20150.0,18650.0,339888.0,한화에어로스페이스,012450
2020-03-31,20550.0,상승  400,20500.0,21050.0,20200.0,367761.0,한화에어로스페이스,012450
2020-04-01,19950.0,하락  600,20150.0,20800.0,19700.0,356431.0,한화에어로스페이스,012450
2020-04-02,19950.0,보합0,19600.0,20050.0,19250.0,297199.0,한화에어로스페이스,012450
2020-04-03,19500.0,하락  450,19900.0,19900.0,19250.0,289842.0,한화에어로스페이스,012450
2020-04-06,20150.0,상승  650,19600.0,20200.0,19400.0,259943.0,한화에어로스페이스,012450
2020-04-07,22300.0,"상승  2,150",21150.0,23500.0,20800.0,837639.0,한화에어로스페이스,012450
2020-04-08,22950.0,상승  650,22250.0,23750.0,21600.0,504879.0,한화에어로스페이스,012450
2020-04-09,23350.0,상승  400,23500.0,24050.0,23000.0,370615.0,한화에어로스페이스,012450
2020-04-10,23250.0,하락  100,23400.0,23700.0,22900.0,262357.0,한화에어로스페이스,012450
2020-04-13,21950.0,"하락  1,300",23250.0,23400.0,21950.0,299188.0,한화에어로스페이스,012450
2020-04-14,22950.0,"상승  1,000",22150.0,22950.0,22100.0,317221.0,한화에어로스페이스,012450
2020-04-16,22550.0,하락  400,22250.0,22600.0,21850.0,268872.0,한화에어로스페이스,012450
2020-04-17,23150.0,상승  600,22950.0,23450.0,22750.0,302962.0,한화에어로스페이스,012450
2020-04-20,23400.0,상승  250,23350.0,24100.0,23050.0,312201.0,한화에어로스페이스,012450
2020-04-21,24650.0,"상승  1,250",23400.0,29500.0,22500.0,5908661.0,한화에어로스페이스,012450
2020-04-22,24150.0,하락  500,24200.0,24750.0,23400.0,1206783.0,한화에어로스페이스,012450
2020-04-23,24250.0,상승  100,24150.0,24500.0,24000.0,607632.0,한화에어로스페이스,012450
2020-04-24,25700.0,"상승  1,450",24650.0,27100.0,24600.0,2860903.0,한화에어로스페이스,012450
2020-04-27,26050.0,상승  350,25400.0,26500.0,25200.0,969445.0,한화에어로스페이스,012450
2020-04-28,27400.0,"상승  1,350",26150.0,28450.0,25650.0,2733936.0,한화에어로스페이스,012450
2020-04-29,26900.0,하락  500,27250.0,27900.0,26550.0,803064.0,한화에어로스페이스,012450
