날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,5000.0,하락  380,4600.0,5030.0,4580.0,88029.0,해태제과식품,101530
2020-03-16,4755.0,하락  245,4750.0,5150.0,4750.0,77986.0,해태제과식품,101530
2020-03-17,4615.0,하락  140,4500.0,4730.0,4400.0,70307.0,해태제과식품,101530
2020-03-18,4420.0,하락  195,4720.0,4720.0,4360.0,64332.0,해태제과식품,101530
2020-03-19,3500.0,하락  920,4420.0,4470.0,3465.0,139770.0,해태제과식품,101530
2020-03-20,4000.0,상승  500,3325.0,4000.0,3325.0,94541.0,해태제과식품,101530
2020-03-23,4080.0,상승  80,3800.0,4260.0,3750.0,63960.0,해태제과식품,101530
2020-03-24,4550.0,상승  470,4040.0,4550.0,4000.0,70506.0,해태제과식품,101530
2020-03-25,5050.0,상승  500,4650.0,5050.0,4650.0,82619.0,해태제과식품,101530
2020-03-26,5410.0,상승  360,5100.0,5440.0,5100.0,52333.0,해태제과식품,101530
2020-03-27,5770.0,상승  360,5640.0,6450.0,5510.0,123775.0,해태제과식품,101530
2020-03-30,6180.0,상승  410,5770.0,6190.0,5450.0,45238.0,해태제과식품,101530
2020-03-31,7170.0,상승  990,6240.0,7200.0,6240.0,266270.0,해태제과식품,101530
2020-04-01,9320.0,"상한가  2,150",9300.0,9320.0,8380.0,1902614.0,해태제과식품,101530
2020-04-02,7440.0,"하락  1,880",9450.0,11500.0,7040.0,3323636.0,해태제과식품,101530
2020-04-03,7140.0,하락  300,7500.0,7740.0,6930.0,428801.0,해태제과식품,101530
2020-04-06,7180.0,상승  40,7160.0,7360.0,7060.0,293212.0,해태제과식품,101530
2020-04-07,7100.0,하락  80,7270.0,7330.0,7030.0,140195.0,해태제과식품,101530
2020-04-08,6980.0,하락  120,7060.0,7100.0,6950.0,102260.0,해태제과식품,101530
2020-04-09,6980.0,보합0,7060.0,7090.0,6920.0,74183.0,해태제과식품,101530
2020-04-10,6860.0,하락  120,7100.0,7100.0,6720.0,104365.0,해태제과식품,101530
2020-04-13,6580.0,하락  280,6780.0,6790.0,6540.0,72867.0,해태제과식품,101530
2020-04-14,6620.0,상승  40,6510.0,6620.0,6510.0,41149.0,해태제과식품,101530
2020-04-16,6680.0,상승  60,6630.0,6680.0,6510.0,29173.0,해태제과식품,101530
2020-04-17,6770.0,상승  90,6680.0,6840.0,6680.0,60968.0,해태제과식품,101530
2020-04-20,7010.0,상승  240,6780.0,7140.0,6780.0,131882.0,해태제과식품,101530
2020-04-21,6890.0,하락  120,7050.0,7100.0,6600.0,81307.0,해태제과식품,101530
2020-04-22,6940.0,상승  50,6840.0,6950.0,6740.0,31139.0,해태제과식품,101530
2020-04-23,7010.0,상승  70,7140.0,7140.0,6950.0,39874.0,해태제과식품,101530
2020-04-24,6970.0,하락  40,7020.0,7030.0,6870.0,38112.0,해태제과식품,101530
2020-04-27,7010.0,상승  40,6960.0,7050.0,6620.0,59038.0,해태제과식품,101530
2020-04-28,6990.0,하락  20,7010.0,7060.0,6930.0,29256.0,해태제과식품,101530
2020-04-29,7070.0,상승  80,7050.0,7100.0,6930.0,53563.0,해태제과식품,101530
2020-05-04,7060.0,하락  10,7000.0,7190.0,6870.0,90090.0,해태제과식품,101530
2020-05-06,7490.0,상승  430,7170.0,7500.0,7100.0,137768.0,해태제과식품,101530
2020-05-07,7640.0,상승  150,7560.0,7740.0,7410.0,79919.0,해태제과식품,101530
2020-05-08,7610.0,하락  30,7850.0,7850.0,7560.0,61009.0,해태제과식품,101530
2020-05-11,7520.0,하락  90,7680.0,7700.0,7380.0,43702.0,해태제과식품,101530
2020-05-12,7430.0,하락  90,7520.0,7540.0,7320.0,26077.0,해태제과식품,101530
2020-05-13,7600.0,상승  170,7430.0,7600.0,7300.0,47227.0,해태제과식품,101530
2020-05-14,7480.0,하락  120,7600.0,7600.0,7410.0,28482.0,해태제과식품,101530
2020-05-15,7570.0,상승  90,7470.0,7700.0,7460.0,62291.0,해태제과식품,101530
2020-05-18,8040.0,상승  470,7750.0,9240.0,7710.0,1135468.0,해태제과식품,101530
2020-05-19,8000.0,하락  40,8300.0,8300.0,7870.0,151223.0,해태제과식품,101530
2020-05-20,7980.0,하락  20,7980.0,8110.0,7920.0,76601.0,해태제과식품,101530
2020-05-21,7960.0,하락  20,7980.0,8020.0,7900.0,59366.0,해태제과식품,101530
2020-05-22,8010.0,상승  50,7960.0,8100.0,7870.0,55127.0,해태제과식품,101530
2020-05-25,8080.0,상승  70,8090.0,8150.0,7960.0,74865.0,해태제과식품,101530
2020-05-26,8030.0,하락  50,8100.0,8130.0,7990.0,37935.0,해태제과식품,101530
2020-05-27,8060.0,상승  30,8040.0,8140.0,8000.0,38089.0,해태제과식품,101530
2020-05-28,7850.0,하락  210,8080.0,8100.0,7810.0,64558.0,해태제과식품,101530
2020-05-29,7870.0,상승  20,7830.0,7920.0,7800.0,22430.0,해태제과식품,101530
2020-06-01,8010.0,상승  140,7870.0,8050.0,7800.0,33798.0,해태제과식품,101530
2020-06-02,8020.0,상승  10,8020.0,8070.0,7960.0,29933.0,해태제과식품,101530
2020-06-03,7960.0,하락  60,7990.0,8070.0,7930.0,51228.0,해태제과식품,101530
2020-06-04,7900.0,하락  60,8000.0,8000.0,7890.0,34127.0,해태제과식품,101530
2020-06-05,7880.0,하락  20,8000.0,8000.0,7820.0,35482.0,해태제과식품,101530
2020-06-08,7910.0,상승  30,7980.0,7980.0,7720.0,53745.0,해태제과식품,101530
2020-06-09,7950.0,상승  40,7990.0,7990.0,7900.0,31021.0,해태제과식품,101530
2020-06-10,8110.0,상승  160,8000.0,8230.0,7870.0,80898.0,해태제과식품,101530
2020-06-11,8000.0,하락  110,8250.0,8440.0,7990.0,93897.0,해태제과식품,101530
2020-06-12,7980.0,하락  20,7740.0,8090.0,7550.0,67377.0,해태제과식품,101530
2020-06-15,7840.0,하락  140,7960.0,8280.0,7800.0,96420.0,해태제과식품,101530
2020-06-16,8090.0,상승  250,7900.0,8500.0,7840.0,175348.0,해태제과식품,101530
2020-06-17,8110.0,상승  20,8080.0,8270.0,7930.0,80100.0,해태제과식품,101530
2020-06-18,9100.0,상승  990,8110.0,9200.0,8110.0,766018.0,해태제과식품,101530
2020-06-19,8900.0,하락  200,9400.0,9400.0,8730.0,318866.0,해태제과식품,101530
2020-06-22,8890.0,하락  10,8920.0,9210.0,8800.0,167727.0,해태제과식품,101530
2020-06-23,8820.0,하락  70,8930.0,9000.0,8540.0,109424.0,해태제과식품,101530
2020-06-24,9340.0,상승  520,8870.0,9370.0,8870.0,294186.0,해태제과식품,101530
2020-06-25,9210.0,하락  130,9200.0,10400.0,9120.0,594169.0,해태제과식품,101530
2020-06-26,8920.0,하락  290,9230.0,9310.0,8920.0,99566.0,해태제과식품,101530
2020-06-29,8560.0,하락  360,8920.0,8960.0,8450.0,81471.0,해태제과식품,101530
2020-06-30,8610.0,상승  50,8610.0,8780.0,8550.0,51070.0,해태제과식품,101530
2020-07-01,8390.0,하락  220,8660.0,8730.0,8380.0,62424.0,해태제과식품,101530
2020-07-02,8510.0,상승  120,8360.0,8600.0,8360.0,36699.0,해태제과식품,101530
2020-07-03,8450.0,하락  60,8570.0,8600.0,8420.0,34459.0,해태제과식품,101530
2020-07-06,8530.0,상승  80,8500.0,8530.0,8400.0,34072.0,해태제과식품,101530
2020-07-07,8420.0,하락  110,8650.0,8650.0,8400.0,38685.0,해태제과식품,101530
2020-07-08,8420.0,보합0,8480.0,8500.0,8360.0,20406.0,해태제과식품,101530
2020-07-09,8430.0,상승  10,8530.0,8530.0,8310.0,35540.0,해태제과식품,101530
2020-07-10,8300.0,하락  130,8430.0,8470.0,8200.0,56322.0,해태제과식품,101530
2020-07-13,8270.0,하락  30,8300.0,8430.0,8190.0,30195.0,해태제과식품,101530
2020-07-14,8200.0,하락  70,8330.0,8330.0,8150.0,33025.0,해태제과식품,101530
2020-07-15,8210.0,상승  10,8290.0,8290.0,8110.0,34110.0,해태제과식품,101530
2020-07-16,8220.0,상승  10,8280.0,8280.0,8090.0,22003.0,해태제과식품,101530
2020-07-17,8190.0,하락  30,8270.0,8270.0,8120.0,12529.0,해태제과식품,101530
2020-07-20,8160.0,하락  30,8190.0,8250.0,8100.0,26502.0,해태제과식품,101530
2020-07-21,8170.0,상승  10,8160.0,8220.0,8110.0,25172.0,해태제과식품,101530
2020-07-22,8210.0,상승  40,8220.0,8230.0,8120.0,24921.0,해태제과식품,101530
2020-07-23,8220.0,상승  10,8220.0,8270.0,8100.0,22396.0,해태제과식품,101530
2020-07-24,8190.0,하락  30,8220.0,8270.0,8110.0,46428.0,해태제과식품,101530
2020-07-27,8300.0,상승  110,8190.0,8300.0,8120.0,40495.0,해태제과식품,101530
2020-07-28,8580.0,상승  280,8340.0,8900.0,8250.0,99200.0,해태제과식품,101530
2020-07-29,8640.0,상승  60,8670.0,8730.0,8490.0,49199.0,해태제과식품,101530
2020-07-30,8600.0,하락  40,8710.0,8720.0,8500.0,45532.0,해태제과식품,101530
2020-07-31,8370.0,하락  230,8520.0,8620.0,8370.0,28266.0,해태제과식품,101530
2020-08-03,8290.0,하락  80,8540.0,8540.0,8250.0,28231.0,해태제과식품,101530
2020-08-04,8300.0,상승  10,8280.0,8360.0,8250.0,20511.0,해태제과식품,101530
2020-08-05,8180.0,하락  120,8250.0,8280.0,8180.0,36019.0,해태제과식품,101530
2020-08-06,8190.0,상승  10,8220.0,8220.0,8150.0,26145.0,해태제과식품,101530
2020-08-07,8140.0,하락  50,8250.0,8250.0,8090.0,27676.0,해태제과식품,101530
2020-08-10,8250.0,상승  110,8150.0,8250.0,8050.0,32252.0,해태제과식품,101530
2020-08-11,8340.0,상승  90,8500.0,8500.0,8250.0,71998.0,해태제과식품,101530
2020-08-12,8480.0,상승  140,8380.0,8660.0,8360.0,72418.0,해태제과식품,101530
2020-08-13,8790.0,상승  310,8490.0,9040.0,8480.0,200894.0,해태제과식품,101530
2020-08-14,8600.0,하락  190,8740.0,8890.0,8530.0,63028.0,해태제과식품,101530
2020-08-18,8190.0,하락  410,8680.0,8680.0,8050.0,52462.0,해태제과식품,101530
2020-08-19,8240.0,상승  50,8280.0,8280.0,8080.0,57599.0,해태제과식품,101530
2020-08-20,8130.0,하락  110,8150.0,8240.0,8050.0,46454.0,해태제과식품,101530
2020-08-21,8110.0,하락  20,8130.0,8190.0,8000.0,35334.0,해태제과식품,101530
2020-08-24,8130.0,상승  20,8230.0,8230.0,7920.0,41304.0,해태제과식품,101530
2020-08-25,8130.0,보합0,8100.0,8180.0,8010.0,25938.0,해태제과식품,101530
2020-08-26,8130.0,보합0,8150.0,8160.0,8040.0,24494.0,해태제과식품,101530
2020-08-27,7970.0,하락  160,8130.0,8130.0,7960.0,33086.0,해태제과식품,101530
2020-08-28,8920.0,상승  950,8100.0,9570.0,8050.0,853759.0,해태제과식품,101530
2020-08-31,9540.0,상승  620,9200.0,10100.0,9120.0,768511.0,해태제과식품,101530
2020-09-01,9410.0,하락  130,9600.0,9690.0,9200.0,190436.0,해태제과식품,101530
2020-09-02,9210.0,하락  200,9430.0,9540.0,9210.0,111734.0,해태제과식품,101530
2020-09-03,9380.0,상승  170,9150.0,9560.0,9150.0,103265.0,해태제과식품,101530
2020-09-04,9590.0,상승  210,9180.0,9600.0,9000.0,152123.0,해태제과식품,101530
2020-09-07,9360.0,하락  230,9700.0,9700.0,9340.0,126989.0,해태제과식품,101530
2020-09-08,9220.0,하락  140,9310.0,9450.0,9210.0,84933.0,해태제과식품,101530
2020-09-09,9070.0,하락  150,9090.0,9300.0,9070.0,47772.0,해태제과식품,101530
2020-09-10,9200.0,상승  130,9100.0,9260.0,9070.0,32820.0,해태제과식품,101530
2020-09-11,9200.0,보합0,9150.0,9320.0,9100.0,30832.0,해태제과식품,101530
2020-09-14,9400.0,상승  200,9380.0,9440.0,9240.0,54944.0,해태제과식품,101530
2020-09-15,9310.0,하락  90,9490.0,9490.0,9160.0,42228.0,해태제과식품,101530
2020-09-16,9180.0,하락  130,9320.0,9350.0,9120.0,48552.0,해태제과식품,101530
2020-09-17,9050.0,하락  130,9100.0,9180.0,9020.0,39002.0,해태제과식품,101530
2020-09-18,8910.0,하락  140,9060.0,9150.0,8750.0,45695.0,해태제과식품,101530
2020-09-21,8680.0,하락  230,8910.0,8940.0,8640.0,45765.0,해태제과식품,101530
2020-09-22,8300.0,하락  380,8560.0,8700.0,8210.0,53410.0,해태제과식품,101530
2020-09-23,8390.0,상승  90,8420.0,8460.0,8100.0,30981.0,해태제과식품,101530
2020-09-24,8200.0,하락  190,8310.0,8400.0,8100.0,35766.0,해태제과식품,101530
2020-09-25,8500.0,상승  300,8200.0,8790.0,8200.0,35298.0,해태제과식품,101530
2020-09-28,9490.0,상승  990,8710.0,9650.0,8710.0,325871.0,해태제과식품,101530
2020-09-29,8900.0,하락  590,9640.0,10600.0,8850.0,1205787.0,해태제과식품,101530
2020-10-05,8890.0,하락  10,8970.0,9000.0,8760.0,69095.0,해태제과식품,101530
2020-10-06,8780.0,하락  110,8890.0,8930.0,8770.0,42773.0,해태제과식품,101530
2020-10-07,8640.0,하락  140,8620.0,8740.0,8540.0,63528.0,해태제과식품,101530
2020-10-08,8830.0,상승  190,8650.0,8840.0,8610.0,57540.0,해태제과식품,101530
2020-10-12,8840.0,상승  10,8850.0,9030.0,8700.0,46099.0,해태제과식품,101530
2020-10-13,8830.0,하락  10,8930.0,8930.0,8770.0,27265.0,해태제과식품,101530
2020-10-14,8710.0,하락  120,8830.0,8900.0,8650.0,36814.0,해태제과식품,101530
2020-10-15,8650.0,하락  60,8870.0,8870.0,8550.0,22569.0,해태제과식품,101530
2020-10-16,8500.0,하락  150,8650.0,8720.0,8360.0,39887.0,해태제과식품,101530
2020-10-19,8480.0,하락  20,8570.0,8580.0,8360.0,18567.0,해태제과식품,101530
2020-10-20,8420.0,하락  60,8480.0,8530.0,8330.0,14852.0,해태제과식품,101530
2020-10-21,8590.0,상승  170,8390.0,8600.0,8380.0,30208.0,해태제과식품,101530
2020-10-22,8500.0,하락  90,8590.0,8590.0,8490.0,17549.0,해태제과식품,101530
2020-10-23,8530.0,상승  30,8640.0,8690.0,8490.0,23981.0,해태제과식품,101530
2020-10-26,8470.0,하락  60,8530.0,8600.0,8430.0,20767.0,해태제과식품,101530
2020-10-27,8290.0,하락  180,8430.0,8440.0,8230.0,36185.0,해태제과식품,101530
2020-10-28,8260.0,하락  30,8320.0,8400.0,8260.0,13409.0,해태제과식품,101530
2020-10-29,8280.0,상승  20,8100.0,8290.0,8100.0,18621.0,해태제과식품,101530
2020-10-30,8280.0,보합0,8310.0,8350.0,8200.0,15548.0,해태제과식품,101530
2020-11-02,8280.0,보합0,8300.0,8300.0,8020.0,16283.0,해태제과식품,101530
2020-11-03,8300.0,상승  20,8280.0,8590.0,8240.0,19868.0,해태제과식품,101530
2020-11-04,8300.0,보합0,8300.0,8410.0,8210.0,20332.0,해태제과식품,101530
2020-11-05,8360.0,상승  60,8370.0,8380.0,8280.0,29093.0,해태제과식품,101530
2020-11-06,8370.0,상승  10,8350.0,8380.0,8280.0,12323.0,해태제과식품,101530
2020-11-09,8380.0,상승  10,8400.0,8440.0,8340.0,19728.0,해태제과식품,101530
2020-11-10,8350.0,하락  30,8400.0,8400.0,8270.0,23591.0,해태제과식품,101530
2020-11-11,8440.0,상승  90,8350.0,8500.0,8290.0,20570.0,해태제과식품,101530
2020-11-12,8360.0,하락  80,8550.0,8600.0,8360.0,24300.0,해태제과식품,101530
2020-11-13,8370.0,상승  10,8400.0,8440.0,8320.0,16638.0,해태제과식품,101530
2020-11-16,8430.0,상승  60,8420.0,8460.0,8380.0,29521.0,해태제과식품,101530
2020-11-17,8400.0,하락  30,8460.0,8510.0,8360.0,32364.0,해태제과식품,101530
2020-11-18,8340.0,하락  60,8380.0,8420.0,8290.0,41890.0,해태제과식품,101530
2020-11-19,8290.0,하락  50,8380.0,8380.0,8250.0,31625.0,해태제과식품,101530
2020-11-20,8310.0,상승  20,8340.0,8380.0,8290.0,17137.0,해태제과식품,101530
2020-11-23,8280.0,하락  30,8270.0,8320.0,8260.0,27082.0,해태제과식품,101530
2020-11-24,8290.0,상승  10,8330.0,8330.0,8260.0,21264.0,해태제과식품,101530
2020-11-25,8240.0,하락  50,8330.0,8330.0,8200.0,54901.0,해태제과식품,101530
