날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,5920.0,하락  320,6130.0,6130.0,5490.0,33300.0,핸즈코퍼레이션,143210
2020-03-16,5800.0,하락  120,5910.0,6230.0,5700.0,31999.0,핸즈코퍼레이션,143210
2020-03-17,5730.0,하락  70,5680.0,5800.0,5540.0,22200.0,핸즈코퍼레이션,143210
2020-03-18,5430.0,하락  300,5660.0,6020.0,5430.0,25168.0,핸즈코퍼레이션,143210
2020-03-19,5350.0,하락  80,5420.0,5480.0,4415.0,39408.0,핸즈코퍼레이션,143210
2020-03-20,5450.0,상승  100,5350.0,5500.0,5010.0,43304.0,핸즈코퍼레이션,143210
2020-03-23,4900.0,하락  550,5360.0,5360.0,4475.0,63765.0,핸즈코퍼레이션,143210
2020-03-24,5160.0,상승  260,4835.0,5520.0,4760.0,46843.0,핸즈코퍼레이션,143210
2020-03-25,5370.0,상승  210,5190.0,5520.0,5120.0,28341.0,핸즈코퍼레이션,143210
2020-03-26,5230.0,하락  140,5490.0,5690.0,5200.0,44936.0,핸즈코퍼레이션,143210
2020-03-27,5610.0,상승  380,5400.0,6390.0,5290.0,24501.0,핸즈코퍼레이션,143210
2020-03-30,5660.0,상승  50,5610.0,5690.0,5330.0,8533.0,핸즈코퍼레이션,143210
2020-03-31,5910.0,상승  250,5920.0,6000.0,5670.0,7119.0,핸즈코퍼레이션,143210
2020-04-01,5800.0,하락  110,5900.0,5990.0,5800.0,13207.0,핸즈코퍼레이션,143210
2020-04-02,5850.0,상승  50,5790.0,5930.0,5640.0,6217.0,핸즈코퍼레이션,143210
2020-04-03,5680.0,하락  170,5850.0,5950.0,5610.0,12307.0,핸즈코퍼레이션,143210
2020-04-06,5940.0,상승  260,5700.0,6180.0,5690.0,16819.0,핸즈코퍼레이션,143210
2020-04-07,6060.0,상승  120,6080.0,6100.0,5850.0,16770.0,핸즈코퍼레이션,143210
2020-04-08,6050.0,하락  10,6100.0,6110.0,5910.0,7608.0,핸즈코퍼레이션,143210
2020-04-09,6150.0,상승  100,6070.0,6240.0,6030.0,10143.0,핸즈코퍼레이션,143210
