날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,32250.0,"하락  2,250",30550.0,33050.0,29500.0,124362.0,현대오토에버,307950
2020-03-16,30000.0,"하락  2,250",32300.0,33900.0,29950.0,58836.0,현대오토에버,307950
2020-03-17,28450.0,"하락  1,550",27100.0,29250.0,26950.0,98806.0,현대오토에버,307950
2020-03-18,25300.0,"하락  3,150",28450.0,28750.0,25300.0,74083.0,현대오토에버,307950
2020-03-19,21800.0,"하락  3,500",25250.0,26000.0,21350.0,99529.0,현대오토에버,307950
2020-03-20,24350.0,"상승  2,550",21800.0,24500.0,21600.0,66240.0,현대오토에버,307950
2020-03-23,22600.0,"하락  1,750",22500.0,23100.0,22150.0,41596.0,현대오토에버,307950
2020-03-24,24350.0,"상승  1,750",23000.0,24350.0,22650.0,37164.0,현대오토에버,307950
2020-03-25,28000.0,"상승  3,650",25250.0,28200.0,25250.0,117102.0,현대오토에버,307950
2020-03-26,29100.0,"상승  1,100",28500.0,30600.0,27100.0,108871.0,현대오토에버,307950
2020-03-27,30950.0,"상승  1,850",30500.0,32550.0,29800.0,103747.0,현대오토에버,307950
2020-03-30,30800.0,하락  150,29550.0,31450.0,29400.0,43131.0,현대오토에버,307950
2020-03-31,31450.0,상승  650,32300.0,32550.0,31000.0,69859.0,현대오토에버,307950
2020-04-01,31800.0,상승  350,31400.0,33300.0,31000.0,65339.0,현대오토에버,307950
2020-04-02,32700.0,상승  900,31800.0,33100.0,31050.0,35434.0,현대오토에버,307950
2020-04-03,32900.0,상승  200,34000.0,34000.0,32350.0,27913.0,현대오토에버,307950
2020-04-06,33850.0,상승  950,32900.0,33850.0,32400.0,31481.0,현대오토에버,307950
2020-04-07,34450.0,상승  600,34750.0,35000.0,33550.0,34483.0,현대오토에버,307950
2020-04-08,35850.0,"상승  1,400",34450.0,35900.0,34000.0,48003.0,현대오토에버,307950
2020-04-09,38650.0,"상승  2,800",36100.0,38650.0,36050.0,74720.0,현대오토에버,307950
2020-04-10,38850.0,상승  200,39400.0,39450.0,37500.0,54846.0,현대오토에버,307950
2020-04-13,36450.0,"하락  2,400",38800.0,38800.0,36250.0,58870.0,현대오토에버,307950
2020-04-14,38000.0,"상승  1,550",36450.0,38450.0,36450.0,39708.0,현대오토에버,307950
2020-04-16,38200.0,상승  200,37300.0,38250.0,36850.0,21878.0,현대오토에버,307950
2020-04-17,38450.0,상승  250,38800.0,38850.0,38000.0,71240.0,현대오토에버,307950
2020-04-20,39000.0,상승  550,38600.0,40150.0,38500.0,42524.0,현대오토에버,307950
2020-04-21,38400.0,하락  600,39000.0,39350.0,36750.0,260591.0,현대오토에버,307950
2020-04-22,38800.0,상승  400,37350.0,39050.0,36950.0,40257.0,현대오토에버,307950
2020-04-23,39250.0,상승  450,40550.0,40550.0,38950.0,39602.0,현대오토에버,307950
2020-04-24,37750.0,"하락  1,500",39000.0,39450.0,37750.0,28062.0,현대오토에버,307950
2020-04-27,38650.0,상승  900,37750.0,38650.0,37750.0,18137.0,현대오토에버,307950
2020-04-28,39150.0,상승  500,38650.0,39750.0,37950.0,65208.0,현대오토에버,307950
2020-04-29,39450.0,상승  300,39200.0,39550.0,38650.0,37349.0,현대오토에버,307950
2020-05-04,39450.0,보합0,38650.0,40200.0,38450.0,41354.0,현대오토에버,307950
2020-05-06,40750.0,"상승  1,300",40000.0,41250.0,39700.0,49569.0,현대오토에버,307950
2020-05-07,42200.0,"상승  1,450",40850.0,42550.0,40850.0,77969.0,현대오토에버,307950
2020-05-08,42750.0,상승  550,42300.0,42950.0,41350.0,41567.0,현대오토에버,307950
2020-05-11,44600.0,"상승  1,850",42750.0,45100.0,42700.0,91691.0,현대오토에버,307950
2020-05-12,44900.0,상승  300,45200.0,45550.0,43700.0,47832.0,현대오토에버,307950
2020-05-13,45200.0,상승  300,44000.0,45650.0,43950.0,44534.0,현대오토에버,307950
2020-05-14,45450.0,상승  250,45150.0,45800.0,44800.0,38358.0,현대오토에버,307950
