날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,27400.0,"하락  1,100",29100.0,29500.0,27150.0,269435.0,현대위아,011210
2020-03-17,27000.0,하락  400,25050.0,27300.0,25050.0,212295.0,현대위아,011210
2020-03-18,24550.0,"하락  2,450",26650.0,27350.0,24450.0,306466.0,현대위아,011210
2020-03-19,20450.0,"하락  4,100",24550.0,25450.0,19850.0,461642.0,현대위아,011210
2020-03-20,23500.0,"상승  3,050",20700.0,23500.0,19850.0,369544.0,현대위아,011210
2020-03-23,20500.0,"하락  3,000",21200.0,21850.0,20100.0,264304.0,현대위아,011210
2020-03-24,23000.0,"상승  2,500",21150.0,23000.0,20750.0,252348.0,현대위아,011210
2020-03-25,26050.0,"상승  3,050",24850.0,26300.0,24150.0,414878.0,현대위아,011210
2020-03-26,25300.0,하락  750,26500.0,26950.0,24800.0,381149.0,현대위아,011210
2020-03-27,25550.0,상승  250,27000.0,27300.0,24700.0,269558.0,현대위아,011210
2020-03-30,25600.0,상승  50,24550.0,25600.0,24200.0,158540.0,현대위아,011210
2020-03-31,26800.0,"상승  1,200",26350.0,26800.0,25350.0,239403.0,현대위아,011210
2020-04-01,26250.0,하락  550,26550.0,27650.0,25600.0,293732.0,현대위아,011210
2020-04-02,26600.0,상승  350,25950.0,26750.0,25300.0,186124.0,현대위아,011210
2020-04-03,26400.0,하락  200,26650.0,26850.0,26000.0,116952.0,현대위아,011210
2020-04-06,28650.0,"상승  2,250",26600.0,29100.0,26200.0,330070.0,현대위아,011210
2020-04-07,30600.0,"상승  1,950",29250.0,30800.0,29000.0,344802.0,현대위아,011210
2020-04-08,30500.0,하락  100,30800.0,31700.0,29750.0,211955.0,현대위아,011210
2020-04-09,34750.0,"상승  4,250",31500.0,34750.0,31100.0,644704.0,현대위아,011210
2020-04-10,34900.0,상승  150,35400.0,36750.0,34150.0,534976.0,현대위아,011210
2020-04-13,32950.0,"하락  1,950",34000.0,34300.0,32900.0,266801.0,현대위아,011210
2020-04-14,34150.0,"상승  1,200",32950.0,34450.0,32950.0,281722.0,현대위아,011210
2020-04-16,34850.0,상승  700,33400.0,34850.0,33200.0,187172.0,현대위아,011210
2020-04-17,35150.0,상승  300,35500.0,36000.0,35000.0,196409.0,현대위아,011210
2020-04-20,34100.0,"하락  1,050",35150.0,35450.0,34050.0,216680.0,현대위아,011210
2020-04-21,33300.0,하락  800,33700.0,33750.0,32050.0,263790.0,현대위아,011210
2020-04-22,32700.0,하락  600,32950.0,32950.0,31550.0,202504.0,현대위아,011210
2020-04-23,32900.0,상승  200,32850.0,33550.0,32550.0,129274.0,현대위아,011210
2020-04-24,31700.0,"하락  1,200",32600.0,33700.0,31700.0,241074.0,현대위아,011210
2020-04-27,32000.0,상승  300,31650.0,32200.0,31450.0,221704.0,현대위아,011210
2020-04-28,32100.0,상승  100,32000.0,32850.0,31850.0,151039.0,현대위아,011210
2020-04-29,32850.0,상승  750,32050.0,32850.0,31850.0,148591.0,현대위아,011210
2020-05-04,31700.0,"하락  1,150",31850.0,32350.0,31550.0,155700.0,현대위아,011210
2020-05-06,32150.0,상승  450,32400.0,32450.0,31700.0,105112.0,현대위아,011210
2020-05-07,31950.0,하락  200,31650.0,32300.0,31600.0,93369.0,현대위아,011210
2020-05-08,34100.0,"상승  2,150",32200.0,34400.0,32200.0,341473.0,현대위아,011210
2020-05-11,33800.0,하락  300,34150.0,34800.0,33800.0,190366.0,현대위아,011210
2020-05-12,32600.0,"하락  1,200",33900.0,33950.0,32200.0,166449.0,현대위아,011210
2020-05-13,32750.0,상승  150,31850.0,33200.0,31850.0,112980.0,현대위아,011210
2020-05-14,32850.0,상승  100,32300.0,32900.0,32100.0,125051.0,현대위아,011210
2020-05-15,32500.0,하락  350,33300.0,33300.0,32100.0,79711.0,현대위아,011210
2020-05-18,32200.0,하락  300,32900.0,32900.0,31950.0,68466.0,현대위아,011210
2020-05-19,36900.0,"상승  4,700",33150.0,37300.0,33050.0,1058186.0,현대위아,011210
2020-05-20,36750.0,하락  150,36900.0,37350.0,36150.0,356767.0,현대위아,011210
2020-05-21,36750.0,보합0,37050.0,38200.0,36750.0,223670.0,현대위아,011210
2020-05-22,35200.0,"하락  1,550",36800.0,37000.0,34600.0,223346.0,현대위아,011210
2020-05-25,35850.0,상승  650,35200.0,35850.0,34800.0,136451.0,현대위아,011210
2020-05-26,36700.0,상승  850,36150.0,37600.0,35750.0,287417.0,현대위아,011210
2020-05-27,36300.0,하락  400,36850.0,37100.0,36200.0,134833.0,현대위아,011210
2020-05-28,36150.0,하락  150,37050.0,37100.0,35200.0,163110.0,현대위아,011210
2020-05-29,37400.0,"상승  1,250",36150.0,38100.0,35750.0,328907.0,현대위아,011210
2020-06-01,37950.0,상승  550,37500.0,39000.0,37450.0,283350.0,현대위아,011210
2020-06-02,38400.0,상승  450,37900.0,38550.0,37350.0,201904.0,현대위아,011210
2020-06-03,39850.0,"상승  1,450",39300.0,40150.0,39050.0,428533.0,현대위아,011210
2020-06-04,39050.0,하락  800,40300.0,40800.0,38950.0,210980.0,현대위아,011210
2020-06-05,40850.0,"상승  1,800",39200.0,41400.0,38600.0,321145.0,현대위아,011210
2020-06-08,40250.0,하락  600,41450.0,41550.0,40000.0,224284.0,현대위아,011210
2020-06-09,39650.0,하락  600,40250.0,41250.0,39300.0,205004.0,현대위아,011210
2020-06-10,39200.0,하락  450,39800.0,39900.0,38950.0,109455.0,현대위아,011210
2020-06-11,38250.0,하락  950,38750.0,39350.0,38150.0,197426.0,현대위아,011210
2020-06-12,37550.0,하락  700,35700.0,37650.0,35700.0,180808.0,현대위아,011210
2020-06-15,34200.0,"하락  3,350",37000.0,37000.0,33500.0,261868.0,현대위아,011210
2020-06-16,36900.0,"상승  2,700",35000.0,36950.0,34950.0,153133.0,현대위아,011210
2020-06-17,36600.0,하락  300,36900.0,37100.0,35600.0,135431.0,현대위아,011210
2020-06-18,36200.0,하락  400,36050.0,37000.0,35900.0,85453.0,현대위아,011210
2020-06-19,35650.0,하락  550,36400.0,36550.0,35650.0,113428.0,현대위아,011210
2020-06-22,34900.0,하락  750,35250.0,35700.0,34750.0,103828.0,현대위아,011210
2020-06-23,36000.0,"상승  1,100",34900.0,36250.0,34500.0,144318.0,현대위아,011210
2020-06-24,36600.0,상승  600,36000.0,37400.0,36000.0,137718.0,현대위아,011210
2020-06-25,35150.0,"하락  1,450",35600.0,36150.0,35150.0,106907.0,현대위아,011210
2020-06-26,35650.0,상승  500,35500.0,35800.0,35250.0,77878.0,현대위아,011210
2020-06-29,34650.0,"하락  1,000",35000.0,35400.0,34450.0,60394.0,현대위아,011210
2020-06-30,34550.0,하락  100,34900.0,35300.0,34550.0,72226.0,현대위아,011210
2020-07-01,34500.0,하락  50,35600.0,35600.0,34500.0,63673.0,현대위아,011210
2020-07-02,34600.0,상승  100,34500.0,35000.0,34300.0,71823.0,현대위아,011210
2020-07-03,34600.0,보합0,35000.0,35600.0,34450.0,49017.0,현대위아,011210
2020-07-06,36850.0,"상승  2,250",34950.0,37050.0,34700.0,189470.0,현대위아,011210
2020-07-07,35900.0,하락  950,37650.0,37750.0,35900.0,162683.0,현대위아,011210
2020-07-08,36050.0,상승  150,35700.0,36700.0,35450.0,107692.0,현대위아,011210
2020-07-09,36900.0,상승  850,36600.0,37200.0,36000.0,169519.0,현대위아,011210
2020-07-10,35700.0,"하락  1,200",36550.0,36600.0,35600.0,101527.0,현대위아,011210
2020-07-13,40300.0,"상승  4,600",36250.0,40650.0,35500.0,670976.0,현대위아,011210
2020-07-14,39900.0,하락  400,40300.0,40550.0,39050.0,330488.0,현대위아,011210
2020-07-15,40900.0,"상승  1,000",41100.0,43000.0,40100.0,561768.0,현대위아,011210
2020-07-16,40150.0,하락  750,41500.0,42300.0,39900.0,269636.0,현대위아,011210
2020-07-17,40600.0,상승  450,40200.0,41350.0,40150.0,167122.0,현대위아,011210
2020-07-20,40300.0,하락  300,40600.0,41600.0,40150.0,190964.0,현대위아,011210
2020-07-21,39100.0,"하락  1,200",40700.0,40700.0,39000.0,335340.0,현대위아,011210
2020-07-22,37950.0,"하락  1,150",39050.0,39350.0,37900.0,210777.0,현대위아,011210
2020-07-23,38800.0,상승  850,37700.0,39350.0,37400.0,224722.0,현대위아,011210
2020-07-24,38150.0,하락  650,38400.0,39350.0,37850.0,138886.0,현대위아,011210
2020-07-27,37900.0,하락  250,37300.0,38450.0,37300.0,126117.0,현대위아,011210
2020-07-28,37200.0,하락  700,37650.0,38050.0,37100.0,158549.0,현대위아,011210
2020-07-29,37850.0,상승  650,37150.0,37900.0,36550.0,139720.0,현대위아,011210
2020-07-30,39050.0,"상승  1,200",38000.0,39400.0,37850.0,262063.0,현대위아,011210
2020-07-31,38000.0,"하락  1,050",39050.0,39100.0,37800.0,167262.0,현대위아,011210
2020-08-03,37300.0,하락  700,38000.0,38100.0,37000.0,121201.0,현대위아,011210
2020-08-04,38450.0,"상승  1,150",37350.0,38850.0,37350.0,148491.0,현대위아,011210
2020-08-05,38000.0,하락  450,38350.0,38650.0,37750.0,133111.0,현대위아,011210
2020-08-06,39600.0,"상승  1,600",38000.0,40700.0,38000.0,520257.0,현대위아,011210
2020-08-07,38950.0,하락  650,39600.0,40650.0,38550.0,286461.0,현대위아,011210
2020-08-10,42550.0,"상승  3,600",39500.0,44200.0,39200.0,1214628.0,현대위아,011210
2020-08-11,43700.0,"상승  1,150",43850.0,44400.0,42150.0,887216.0,현대위아,011210
2020-08-12,46700.0,"상승  3,000",45000.0,48650.0,43800.0,1877843.0,현대위아,011210
2020-08-13,46150.0,하락  550,47600.0,48500.0,45000.0,738044.0,현대위아,011210
2020-08-14,44500.0,"하락  1,650",46150.0,46150.0,42900.0,634926.0,현대위아,011210
2020-08-18,40750.0,"하락  3,750",43200.0,44200.0,40400.0,495363.0,현대위아,011210
2020-08-19,41850.0,"상승  1,100",41000.0,42150.0,40700.0,291128.0,현대위아,011210
2020-08-20,39150.0,"하락  2,700",41250.0,41800.0,39000.0,388556.0,현대위아,011210
2020-08-21,39250.0,상승  100,39550.0,40200.0,38650.0,250286.0,현대위아,011210
2020-08-24,40100.0,상승  850,38900.0,40350.0,38150.0,231332.0,현대위아,011210
2020-08-25,41450.0,"상승  1,350",40800.0,42800.0,40750.0,355586.0,현대위아,011210
2020-08-26,42100.0,상승  650,41900.0,42700.0,40600.0,306034.0,현대위아,011210
2020-08-27,40800.0,"하락  1,300",42250.0,42350.0,40650.0,230928.0,현대위아,011210
2020-08-28,41700.0,상승  900,40900.0,42750.0,40850.0,339128.0,현대위아,011210
2020-08-31,41650.0,하락  50,42400.0,43500.0,41550.0,367711.0,현대위아,011210
2020-09-01,42900.0,"상승  1,250",41750.0,42900.0,41550.0,244398.0,현대위아,011210
2020-09-02,42700.0,하락  200,43100.0,43100.0,42000.0,180965.0,현대위아,011210
2020-09-03,41950.0,하락  750,42900.0,42950.0,41800.0,221752.0,현대위아,011210
2020-09-04,40650.0,"하락  1,300",39100.0,41100.0,39100.0,307962.0,현대위아,011210
2020-09-07,41000.0,상승  350,40700.0,41200.0,39950.0,195482.0,현대위아,011210
2020-09-08,41000.0,보합0,41300.0,42200.0,40800.0,189567.0,현대위아,011210
2020-09-09,40400.0,하락  600,40400.0,40950.0,40250.0,116429.0,현대위아,011210
2020-09-10,40750.0,상승  350,41000.0,41050.0,40300.0,182661.0,현대위아,011210
2020-09-11,40500.0,하락  250,40750.0,40850.0,40300.0,98165.0,현대위아,011210
2020-09-14,42750.0,"상승  2,250",40950.0,42900.0,40700.0,344917.0,현대위아,011210
2020-09-15,42650.0,하락  100,43350.0,43350.0,42200.0,246206.0,현대위아,011210
2020-09-16,43650.0,"상승  1,000",43150.0,45000.0,42450.0,545681.0,현대위아,011210
