날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,87200.0,"하락  7,800",86500.0,90200.0,83500.0,4835445.0,현대자동차,005380
2020-03-16,82900.0,"하락  4,300",88300.0,89500.0,82900.0,2674557.0,현대자동차,005380
2020-03-17,80100.0,"하락  2,800",78100.0,83400.0,78100.0,2492208.0,현대자동차,005380
2020-03-18,73500.0,"하락  6,600",80500.0,81200.0,73500.0,2679420.0,현대자동차,005380
2020-03-19,65900.0,"하락  7,600",75000.0,75900.0,65100.0,3138004.0,현대자동차,005380
2020-03-20,71100.0,"상승  5,200",67500.0,72400.0,65000.0,3349914.0,현대자동차,005380
2020-03-23,68900.0,"하락  2,200",67200.0,71000.0,66200.0,2391540.0,현대자동차,005380
2020-03-24,74800.0,"상승  5,900",71500.0,75800.0,69800.0,2856282.0,현대자동차,005380
2020-03-25,84500.0,"상승  9,700",79800.0,85600.0,78800.0,4604452.0,현대자동차,005380
2020-03-26,84900.0,상승  400,85800.0,90200.0,82300.0,3787074.0,현대자동차,005380
2020-03-27,86400.0,"상승  1,500",89700.0,90000.0,84500.0,2513938.0,현대자동차,005380
2020-03-30,85400.0,"하락  1,000",82800.0,86400.0,82100.0,1743720.0,현대자동차,005380
2020-03-31,88700.0,"상승  3,300",87700.0,88700.0,86000.0,2138183.0,현대자동차,005380
2020-04-01,85400.0,"하락  3,300",88500.0,90100.0,85300.0,2139848.0,현대자동차,005380
2020-04-02,86600.0,"상승  1,200",85300.0,86800.0,83000.0,1487243.0,현대자동차,005380
2020-04-03,86300.0,하락  300,86600.0,87000.0,85600.0,1170052.0,현대자동차,005380
2020-04-06,88800.0,"상승  2,500",86500.0,88800.0,85900.0,1688599.0,현대자동차,005380
2020-04-07,90400.0,"상승  1,600",92100.0,92500.0,88600.0,2601711.0,현대자동차,005380
2020-04-08,90000.0,하락  400,89800.0,91900.0,88900.0,1785939.0,현대자동차,005380
2020-04-09,97100.0,"상승  7,100",92300.0,97900.0,91100.0,3787201.0,현대자동차,005380
2020-04-10,99700.0,"상승  2,600",97400.0,101500.0,96200.0,2806785.0,현대자동차,005380
2020-04-13,97800.0,"하락  1,900",98800.0,99000.0,97400.0,1339638.0,현대자동차,005380
2020-04-14,100000.0,"상승  2,200",98600.0,101500.0,97700.0,1582587.0,현대자동차,005380
2020-04-16,99100.0,하락  900,98900.0,100500.0,98300.0,1341452.0,현대자동차,005380
2020-04-17,100500.0,"상승  1,400",101000.0,103500.0,100000.0,1487879.0,현대자동차,005380
2020-04-20,97600.0,"하락  2,900",100000.0,100500.0,97100.0,2142176.0,현대자동차,005380
2020-04-21,93500.0,"하락  4,100",96100.0,96500.0,91300.0,3634142.0,현대자동차,005380
2020-04-22,92600.0,하락  900,90800.0,95200.0,89400.0,3115871.0,현대자동차,005380
2020-04-23,92400.0,하락  200,93700.0,95100.0,92100.0,3196313.0,현대자동차,005380
2020-04-24,90100.0,"하락  2,300",91300.0,92300.0,90100.0,2135488.0,현대자동차,005380
2020-04-27,91600.0,"상승  1,500",90300.0,92500.0,90200.0,1219677.0,현대자동차,005380
2020-04-28,93200.0,"상승  1,600",92500.0,94400.0,92200.0,1448692.0,현대자동차,005380
2020-04-29,93600.0,상승  400,93500.0,94000.0,92400.0,1193284.0,현대자동차,005380
2020-05-04,91500.0,"하락  2,100",91100.0,92900.0,90700.0,1264378.0,현대자동차,005380
2020-05-06,93200.0,"상승  1,700",93300.0,94200.0,92600.0,1039600.0,현대자동차,005380
2020-05-07,92600.0,하락  600,92800.0,93000.0,91800.0,826239.0,현대자동차,005380
2020-05-08,94500.0,"상승  1,900",93000.0,95400.0,93000.0,1749677.0,현대자동차,005380
2020-05-11,93700.0,하락  800,95800.0,96500.0,93500.0,1889278.0,현대자동차,005380
2020-05-12,91900.0,"하락  1,800",93200.0,93800.0,91100.0,1259874.0,현대자동차,005380
2020-05-13,93100.0,"상승  1,200",90500.0,93100.0,90500.0,966892.0,현대자동차,005380
2020-05-14,92300.0,하락  800,92600.0,92900.0,91500.0,982612.0,현대자동차,005380
2020-05-15,92300.0,보합0,92000.0,92700.0,91200.0,822472.0,현대자동차,005380
2020-05-18,91900.0,하락  400,92100.0,92200.0,91000.0,741214.0,현대자동차,005380
2020-05-19,99100.0,"상승  7,200",95000.0,99400.0,94700.0,4564370.0,현대자동차,005380
2020-05-20,97300.0,"하락  1,800",98000.0,98300.0,96300.0,1828158.0,현대자동차,005380
2020-05-21,97200.0,하락  100,98600.0,98700.0,96600.0,1471917.0,현대자동차,005380
2020-05-22,94500.0,"하락  2,700",97100.0,97200.0,94000.0,1619476.0,현대자동차,005380
2020-05-25,96000.0,"상승  1,500",94900.0,96200.0,94000.0,1185541.0,현대자동차,005380
