날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,7000.0,하락  540,7100.0,7100.0,6600.0,581419.0,현대지에프홀딩스,005440
2020-03-16,6950.0,하락  50,7140.0,7250.0,6720.0,318403.0,현대지에프홀딩스,005440
2020-03-17,6590.0,하락  360,6630.0,6850.0,6500.0,311565.0,현대지에프홀딩스,005440
2020-03-18,6190.0,하락  400,6650.0,6650.0,6190.0,392904.0,현대지에프홀딩스,005440
2020-03-19,5020.0,"하락  1,170",6170.0,6330.0,5020.0,631829.0,현대지에프홀딩스,005440
2020-03-20,5250.0,상승  230,5050.0,5270.0,4815.0,675369.0,현대지에프홀딩스,005440
2020-03-23,5070.0,하락  180,4890.0,5170.0,4860.0,407072.0,현대지에프홀딩스,005440
2020-03-24,5500.0,상승  430,5100.0,5500.0,5060.0,353861.0,현대지에프홀딩스,005440
2020-03-25,6050.0,상승  550,5650.0,6050.0,5600.0,540194.0,현대지에프홀딩스,005440
2020-03-26,6270.0,상승  220,6050.0,6520.0,5950.0,512678.0,현대지에프홀딩스,005440
2020-03-27,6590.0,상승  320,6560.0,6630.0,6290.0,429920.0,현대지에프홀딩스,005440
2020-03-30,6550.0,하락  40,6550.0,6600.0,6310.0,217919.0,현대지에프홀딩스,005440
2020-03-31,6580.0,상승  30,6660.0,6790.0,6530.0,322800.0,현대지에프홀딩스,005440
2020-04-01,6720.0,상승  140,6530.0,7390.0,6350.0,575800.0,현대지에프홀딩스,005440
2020-04-02,6900.0,상승  180,6760.0,7000.0,6600.0,305692.0,현대지에프홀딩스,005440
2020-04-03,6970.0,상승  70,6840.0,6970.0,6720.0,237918.0,현대지에프홀딩스,005440
2020-04-06,7320.0,상승  350,7210.0,7370.0,6990.0,340975.0,현대지에프홀딩스,005440
2020-04-07,7460.0,상승  140,7410.0,7700.0,7300.0,416431.0,현대지에프홀딩스,005440
2020-04-08,7330.0,하락  130,7350.0,7500.0,7150.0,340768.0,현대지에프홀딩스,005440
2020-04-09,7350.0,상승  20,7420.0,7460.0,7300.0,265112.0,현대지에프홀딩스,005440
2020-04-10,7370.0,상승  20,7310.0,7400.0,7210.0,344062.0,현대지에프홀딩스,005440
2020-04-13,7260.0,하락  110,7280.0,7460.0,7190.0,308063.0,현대지에프홀딩스,005440
2020-04-14,7380.0,상승  120,7290.0,7470.0,7270.0,243273.0,현대지에프홀딩스,005440
2020-04-16,7270.0,하락  110,7240.0,7350.0,7110.0,395062.0,현대지에프홀딩스,005440
2020-04-17,7400.0,상승  130,7270.0,7440.0,7270.0,402478.0,현대지에프홀딩스,005440
2020-04-20,7480.0,상승  80,7400.0,7660.0,7350.0,449425.0,현대지에프홀딩스,005440
2020-04-21,7340.0,하락  140,7470.0,7520.0,7110.0,450514.0,현대지에프홀딩스,005440
2020-04-22,7260.0,하락  80,7290.0,7300.0,7100.0,273555.0,현대지에프홀딩스,005440
2020-04-23,7560.0,상승  300,7310.0,7650.0,7260.0,473050.0,현대지에프홀딩스,005440
2020-04-24,7430.0,하락  130,7550.0,7560.0,7330.0,310792.0,현대지에프홀딩스,005440
2020-04-27,7970.0,상승  540,7450.0,8070.0,7430.0,656410.0,현대지에프홀딩스,005440
2020-04-28,8170.0,상승  200,8020.0,8330.0,7940.0,502601.0,현대지에프홀딩스,005440
2020-04-29,8190.0,상승  20,8310.0,8370.0,8090.0,447746.0,현대지에프홀딩스,005440
2020-05-04,8040.0,하락  150,8190.0,8270.0,8000.0,479758.0,현대지에프홀딩스,005440
