날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,6850.0,하락  740,6960.0,7240.0,6570.0,315474.0,현대차증권,001500
2020-03-16,6700.0,하락  150,7000.0,7180.0,6690.0,386821.0,현대차증권,001500
2020-03-17,6500.0,하락  200,6520.0,6750.0,6430.0,203950.0,현대차증권,001500
2020-03-18,6060.0,하락  440,6510.0,6590.0,6060.0,292611.0,현대차증권,001500
2020-03-19,5090.0,하락  970,6090.0,6100.0,5060.0,421467.0,현대차증권,001500
2020-03-20,5710.0,상승  620,5150.0,5770.0,5100.0,234279.0,현대차증권,001500
2020-03-23,5340.0,하락  370,5330.0,5550.0,5300.0,182294.0,현대차증권,001500
2020-03-24,5830.0,상승  490,5490.0,5830.0,5390.0,146906.0,현대차증권,001500
2020-03-25,6600.0,상승  770,6130.0,6610.0,6080.0,250369.0,현대차증권,001500
2020-03-26,6700.0,상승  100,6800.0,7040.0,6490.0,242871.0,현대차증권,001500
2020-03-27,6800.0,상승  100,7020.0,7050.0,6620.0,179511.0,현대차증권,001500
2020-03-30,6850.0,상승  50,6510.0,6900.0,6500.0,156341.0,현대차증권,001500
2020-03-31,7010.0,상승  160,7060.0,7170.0,6850.0,157796.0,현대차증권,001500
2020-04-01,6710.0,하락  300,6990.0,7070.0,6710.0,165902.0,현대차증권,001500
2020-04-02,6830.0,상승  120,6700.0,6860.0,6590.0,164531.0,현대차증권,001500
2020-04-03,6720.0,하락  110,6850.0,6940.0,6630.0,83493.0,현대차증권,001500
2020-04-06,6980.0,상승  260,6790.0,6980.0,6690.0,174294.0,현대차증권,001500
2020-04-07,7080.0,상승  100,7200.0,7330.0,6970.0,236991.0,현대차증권,001500
2020-04-08,7040.0,하락  40,7060.0,7180.0,6970.0,136656.0,현대차증권,001500
2020-04-09,7140.0,상승  100,7140.0,7200.0,7050.0,137577.0,현대차증권,001500
2020-04-10,7490.0,상승  350,7160.0,7490.0,7110.0,207071.0,현대차증권,001500
2020-04-13,7310.0,하락  180,7550.0,7550.0,7310.0,163582.0,현대차증권,001500
2020-04-14,7430.0,상승  120,7330.0,7450.0,7310.0,84341.0,현대차증권,001500
2020-04-16,7350.0,하락  80,7390.0,7420.0,7190.0,72134.0,현대차증권,001500
2020-04-17,7650.0,상승  300,7450.0,7770.0,7410.0,158834.0,현대차증권,001500
2020-04-20,7650.0,보합0,7780.0,7800.0,7600.0,118631.0,현대차증권,001500
2020-04-21,7520.0,하락  130,7560.0,7640.0,7310.0,144285.0,현대차증권,001500
2020-04-22,7560.0,상승  40,7300.0,7560.0,7200.0,125839.0,현대차증권,001500
2020-04-23,8110.0,상승  550,7680.0,8170.0,7410.0,292804.0,현대차증권,001500
2020-04-24,8040.0,하락  70,8170.0,8210.0,7940.0,207836.0,현대차증권,001500
2020-04-27,8400.0,상승  360,8070.0,8410.0,8060.0,137747.0,현대차증권,001500
2020-04-28,8490.0,상승  90,8400.0,8670.0,8300.0,136516.0,현대차증권,001500
2020-04-29,8800.0,상승  310,8490.0,8960.0,8460.0,220986.0,현대차증권,001500
2020-05-04,8770.0,하락  30,8540.0,8880.0,8480.0,147408.0,현대차증권,001500
2020-05-06,9090.0,상승  320,8970.0,9280.0,8950.0,181868.0,현대차증권,001500
2020-05-07,9070.0,하락  20,9040.0,9100.0,8950.0,83251.0,현대차증권,001500
2020-05-08,9080.0,상승  10,9160.0,9200.0,9030.0,87080.0,현대차증권,001500
2020-05-11,9030.0,하락  50,9100.0,9220.0,8990.0,105829.0,현대차증권,001500
2020-05-12,8820.0,하락  210,9000.0,9000.0,8720.0,170555.0,현대차증권,001500
2020-05-13,8770.0,하락  50,8750.0,8780.0,8590.0,59579.0,현대차증권,001500
2020-05-14,8620.0,하락  150,8700.0,8710.0,8500.0,117799.0,현대차증권,001500
2020-05-15,8640.0,상승  20,8720.0,8820.0,8580.0,139890.0,현대차증권,001500
2020-05-18,8600.0,하락  40,8670.0,8700.0,8530.0,99741.0,현대차증권,001500
2020-05-19,8880.0,상승  280,8800.0,8960.0,8740.0,180230.0,현대차증권,001500
2020-05-20,8840.0,하락  40,8800.0,8930.0,8790.0,70894.0,현대차증권,001500
2020-05-21,8820.0,하락  20,8930.0,8930.0,8780.0,77538.0,현대차증권,001500
2020-05-22,8500.0,하락  320,8830.0,8860.0,8490.0,139625.0,현대차증권,001500
2020-05-25,8500.0,보합0,8510.0,8570.0,8390.0,106989.0,현대차증권,001500
2020-05-26,8670.0,상승  170,8540.0,8730.0,8500.0,106676.0,현대차증권,001500
2020-05-27,8740.0,상승  70,8750.0,8770.0,8650.0,81785.0,현대차증권,001500
2020-05-28,8850.0,상승  110,8830.0,9100.0,8700.0,175523.0,현대차증권,001500
2020-05-29,8880.0,상승  30,8800.0,8890.0,8740.0,63437.0,현대차증권,001500
2020-06-01,8970.0,상승  90,8900.0,9050.0,8860.0,86761.0,현대차증권,001500
2020-06-02,9080.0,상승  110,9010.0,9100.0,8960.0,130480.0,현대차증권,001500
2020-06-03,9420.0,상승  340,9140.0,9470.0,9140.0,306556.0,현대차증권,001500
2020-06-04,9230.0,하락  190,9620.0,9620.0,9120.0,156758.0,현대차증권,001500
2020-06-05,9370.0,상승  140,9260.0,9390.0,9210.0,66245.0,현대차증권,001500
2020-06-08,9360.0,하락  10,9640.0,9640.0,9290.0,103304.0,현대차증권,001500
2020-06-09,9290.0,하락  70,9360.0,9410.0,9170.0,105763.0,현대차증권,001500
2020-06-10,9180.0,하락  110,9200.0,9240.0,9140.0,86262.0,현대차증권,001500
2020-06-11,8980.0,하락  200,9170.0,9170.0,8870.0,129187.0,현대차증권,001500
2020-06-12,8730.0,하락  250,8390.0,8770.0,8390.0,220848.0,현대차증권,001500
2020-06-15,8350.0,하락  380,8730.0,8910.0,8330.0,166011.0,현대차증권,001500
2020-06-16,8730.0,상승  380,8450.0,8750.0,8450.0,84880.0,현대차증권,001500
2020-06-17,8710.0,하락  20,8690.0,8830.0,8540.0,55325.0,현대차증권,001500
2020-06-18,8820.0,상승  110,8640.0,8940.0,8630.0,65819.0,현대차증권,001500
2020-06-19,8800.0,하락  20,8850.0,8910.0,8690.0,52033.0,현대차증권,001500
2020-06-22,8730.0,하락  70,8790.0,8850.0,8690.0,59604.0,현대차증권,001500
2020-06-23,8560.0,하락  170,8740.0,8860.0,8530.0,82540.0,현대차증권,001500
2020-06-24,8650.0,상승  90,8560.0,8760.0,8560.0,47044.0,현대차증권,001500
2020-06-25,8490.0,하락  160,8600.0,8600.0,8420.0,56034.0,현대차증권,001500
2020-06-26,8480.0,하락  10,8550.0,8620.0,8420.0,32321.0,현대차증권,001500
2020-06-29,8230.0,하락  250,8470.0,8470.0,8190.0,86610.0,현대차증권,001500
2020-06-30,8280.0,상승  50,8390.0,8390.0,8280.0,36115.0,현대차증권,001500
2020-07-01,8330.0,상승  50,8310.0,8460.0,8240.0,54696.0,현대차증권,001500
2020-07-02,8400.0,상승  70,8400.0,8440.0,8330.0,26021.0,현대차증권,001500
2020-07-03,8440.0,상승  40,8440.0,8450.0,8350.0,32464.0,현대차증권,001500
2020-07-06,8560.0,상승  120,8410.0,8560.0,8340.0,75174.0,현대차증권,001500
2020-07-07,8550.0,하락  10,8620.0,8720.0,8510.0,54228.0,현대차증권,001500
2020-07-08,8530.0,하락  20,8650.0,8650.0,8500.0,19655.0,현대차증권,001500
2020-07-09,8650.0,상승  120,8630.0,8680.0,8530.0,34424.0,현대차증권,001500
2020-07-10,8510.0,하락  140,8700.0,8710.0,8490.0,52280.0,현대차증권,001500
2020-07-13,8710.0,상승  200,8620.0,8780.0,8530.0,79697.0,현대차증권,001500
2020-07-14,8710.0,보합0,8710.0,8740.0,8600.0,25135.0,현대차증권,001500
2020-07-15,8820.0,상승  110,8820.0,8890.0,8730.0,53703.0,현대차증권,001500
2020-07-16,8990.0,상승  170,8900.0,9120.0,8880.0,198256.0,현대차증권,001500
2020-07-17,9190.0,상승  200,9100.0,9210.0,9000.0,173018.0,현대차증권,001500
2020-07-20,9190.0,보합0,9280.0,9330.0,9070.0,87878.0,현대차증권,001500
2020-07-21,9210.0,상승  20,9220.0,9280.0,9130.0,120749.0,현대차증권,001500
2020-07-22,9300.0,상승  90,9260.0,9430.0,9220.0,134632.0,현대차증권,001500
2020-07-23,9200.0,하락  100,9310.0,9310.0,9050.0,110012.0,현대차증권,001500
2020-07-24,9150.0,하락  50,9200.0,9270.0,9090.0,132174.0,현대차증권,001500
2020-07-27,9320.0,상승  170,9150.0,9400.0,9120.0,94417.0,현대차증권,001500
2020-07-28,9350.0,상승  30,9400.0,9420.0,9300.0,78212.0,현대차증권,001500
2020-07-29,9310.0,하락  40,9350.0,9350.0,9250.0,59592.0,현대차증권,001500
2020-07-30,9350.0,상승  40,9300.0,9370.0,9250.0,82850.0,현대차증권,001500
2020-07-31,9320.0,하락  30,9350.0,9350.0,9260.0,45829.0,현대차증권,001500
2020-08-03,9310.0,하락  10,9340.0,9420.0,9260.0,107831.0,현대차증권,001500
2020-08-04,9860.0,상승  550,9400.0,9860.0,9330.0,304068.0,현대차증권,001500
2020-08-05,10150.0,상승  290,10200.0,10350.0,10000.0,287160.0,현대차증권,001500
2020-08-06,10250.0,상승  100,10150.0,10500.0,10050.0,187929.0,현대차증권,001500
2020-08-07,10150.0,하락  100,10350.0,10400.0,10000.0,147339.0,현대차증권,001500
2020-08-10,10700.0,상승  550,10250.0,10700.0,10150.0,296307.0,현대차증권,001500
2020-08-11,10500.0,하락  200,10800.0,10950.0,10350.0,218284.0,현대차증권,001500
