날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,10250.0,"하락  1,150",10050.0,10750.0,9470.0,325883.0,현대코퍼레이션,011760
2020-03-16,9750.0,하락  500,10250.0,10650.0,9750.0,183265.0,현대코퍼레이션,011760
2020-03-17,9390.0,하락  360,9000.0,9740.0,8950.0,174883.0,현대코퍼레이션,011760
2020-03-18,8700.0,하락  690,9420.0,9630.0,8700.0,113379.0,현대코퍼레이션,011760
2020-03-19,7060.0,"하락  1,640",8800.0,9000.0,6950.0,231455.0,현대코퍼레이션,011760
2020-03-20,7670.0,상승  610,7060.0,7760.0,7050.0,199804.0,현대코퍼레이션,011760
2020-03-23,7200.0,하락  470,7110.0,7590.0,7110.0,152290.0,현대코퍼레이션,011760
2020-03-24,7740.0,상승  540,7360.0,7810.0,7300.0,75793.0,현대코퍼레이션,011760
2020-03-25,8820.0,"상승  1,080",8490.0,8820.0,8110.0,197115.0,현대코퍼레이션,011760
2020-03-26,9290.0,상승  470,9010.0,9480.0,8670.0,159995.0,현대코퍼레이션,011760
2020-03-27,9600.0,상승  310,9530.0,9840.0,9180.0,134413.0,현대코퍼레이션,011760
2020-03-30,9570.0,하락  30,9300.0,9570.0,9120.0,55124.0,현대코퍼레이션,011760
2020-03-31,10700.0,"상승  1,130",9700.0,11700.0,9660.0,262543.0,현대코퍼레이션,011760
2020-04-01,10500.0,하락  200,10650.0,11200.0,10300.0,117170.0,현대코퍼레이션,011760
2020-04-02,10750.0,상승  250,10500.0,10850.0,10050.0,91486.0,현대코퍼레이션,011760
2020-04-03,10900.0,상승  150,10900.0,11000.0,10550.0,82591.0,현대코퍼레이션,011760
2020-04-06,11900.0,"상승  1,000",11150.0,12000.0,10900.0,145189.0,현대코퍼레이션,011760
2020-04-07,12200.0,상승  300,12150.0,12850.0,11850.0,237884.0,현대코퍼레이션,011760
2020-04-08,12250.0,상승  50,12200.0,12350.0,11850.0,75739.0,현대코퍼레이션,011760
2020-04-09,12450.0,상승  200,12600.0,12600.0,12200.0,62253.0,현대코퍼레이션,011760
2020-04-10,12250.0,하락  200,12600.0,12600.0,11950.0,85852.0,현대코퍼레이션,011760
2020-04-13,12000.0,하락  250,12250.0,12300.0,11900.0,43686.0,현대코퍼레이션,011760
2020-04-14,12500.0,상승  500,12200.0,12550.0,12000.0,100762.0,현대코퍼레이션,011760
2020-04-16,13950.0,"상승  1,450",12600.0,14500.0,12300.0,261067.0,현대코퍼레이션,011760
2020-04-17,13800.0,하락  150,13750.0,14100.0,13450.0,108572.0,현대코퍼레이션,011760
2020-04-20,15250.0,"상승  1,450",14350.0,16100.0,14050.0,509622.0,현대코퍼레이션,011760
2020-04-21,14400.0,하락  850,15400.0,16100.0,13000.0,443644.0,현대코퍼레이션,011760
2020-04-22,14700.0,상승  300,14450.0,14750.0,13550.0,164016.0,현대코퍼레이션,011760
2020-04-23,14750.0,상승  50,14750.0,15250.0,14400.0,99903.0,현대코퍼레이션,011760
2020-04-24,14200.0,하락  550,14850.0,14850.0,14050.0,114001.0,현대코퍼레이션,011760
2020-04-27,14150.0,하락  50,14250.0,14500.0,14000.0,137582.0,현대코퍼레이션,011760
2020-04-28,14150.0,보합0,14300.0,14350.0,13900.0,96177.0,현대코퍼레이션,011760
2020-04-29,14650.0,상승  500,14250.0,14800.0,14100.0,118178.0,현대코퍼레이션,011760
2020-05-04,14650.0,보합0,15150.0,15150.0,14550.0,120330.0,현대코퍼레이션,011760
2020-05-06,15250.0,상승  600,15150.0,15250.0,14900.0,78375.0,현대코퍼레이션,011760
