날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,7370.0,하락  400,7800.0,8150.0,7370.0,54093.0,현대코퍼레이션홀딩스,227840
2020-03-17,7290.0,하락  80,6810.0,7330.0,6810.0,60777.0,현대코퍼레이션홀딩스,227840
2020-03-18,7170.0,하락  120,7280.0,7600.0,7160.0,51285.0,현대코퍼레이션홀딩스,227840
2020-03-19,5830.0,"하락  1,340",7110.0,7300.0,5740.0,196160.0,현대코퍼레이션홀딩스,227840
2020-03-20,6290.0,상승  460,5820.0,6290.0,5820.0,69984.0,현대코퍼레이션홀딩스,227840
2020-03-23,6170.0,하락  120,5800.0,6250.0,5800.0,39769.0,현대코퍼레이션홀딩스,227840
2020-03-24,6480.0,상승  310,6480.0,6550.0,6250.0,30028.0,현대코퍼레이션홀딩스,227840
2020-03-25,6860.0,상승  380,6830.0,6880.0,6610.0,41852.0,현대코퍼레이션홀딩스,227840
2020-03-26,7210.0,상승  350,6880.0,7400.0,6800.0,60918.0,현대코퍼레이션홀딩스,227840
2020-03-27,7210.0,보합0,7400.0,7470.0,7030.0,50546.0,현대코퍼레이션홀딩스,227840
2020-03-30,7190.0,하락  20,7090.0,7200.0,6880.0,41253.0,현대코퍼레이션홀딩스,227840
2020-03-31,7700.0,상승  510,7270.0,8190.0,7270.0,93450.0,현대코퍼레이션홀딩스,227840
2020-04-01,7710.0,상승  10,7780.0,8490.0,7600.0,146685.0,현대코퍼레이션홀딩스,227840
2020-04-02,7800.0,상승  90,7600.0,7850.0,7460.0,58125.0,현대코퍼레이션홀딩스,227840
2020-04-03,7760.0,하락  40,7820.0,7960.0,7690.0,30314.0,현대코퍼레이션홀딩스,227840
2020-04-06,8150.0,상승  390,7750.0,8150.0,7750.0,55165.0,현대코퍼레이션홀딩스,227840
2020-04-07,8280.0,상승  130,8240.0,8490.0,8170.0,66979.0,현대코퍼레이션홀딩스,227840
2020-04-08,8300.0,상승  20,8210.0,8390.0,8170.0,24285.0,현대코퍼레이션홀딩스,227840
2020-04-09,8370.0,상승  70,8340.0,8440.0,8230.0,44182.0,현대코퍼레이션홀딩스,227840
2020-04-10,8400.0,상승  30,8340.0,8470.0,8060.0,60431.0,현대코퍼레이션홀딩스,227840
2020-04-13,8190.0,하락  210,8400.0,8490.0,8190.0,30303.0,현대코퍼레이션홀딩스,227840
2020-04-14,8550.0,상승  360,8300.0,8620.0,8230.0,33340.0,현대코퍼레이션홀딩스,227840
2020-04-16,9100.0,상승  550,8430.0,9170.0,8430.0,78723.0,현대코퍼레이션홀딩스,227840
2020-04-17,9350.0,상승  250,9100.0,9500.0,9100.0,51432.0,현대코퍼레이션홀딩스,227840
2020-04-20,9850.0,상승  500,9400.0,10100.0,9330.0,140279.0,현대코퍼레이션홀딩스,227840
2020-04-21,9470.0,하락  380,9850.0,10100.0,9180.0,113691.0,현대코퍼레이션홀딩스,227840
2020-04-22,9250.0,하락  220,9330.0,9330.0,9000.0,63636.0,현대코퍼레이션홀딩스,227840
2020-04-23,9430.0,상승  180,9380.0,9450.0,9180.0,24927.0,현대코퍼레이션홀딩스,227840
2020-04-24,9360.0,하락  70,9480.0,9480.0,9160.0,38475.0,현대코퍼레이션홀딩스,227840
2020-04-27,9500.0,상승  140,9360.0,9550.0,9330.0,35564.0,현대코퍼레이션홀딩스,227840
2020-04-28,9550.0,상승  50,9680.0,9690.0,9400.0,25192.0,현대코퍼레이션홀딩스,227840
2020-04-29,9660.0,상승  110,9530.0,9770.0,9530.0,26338.0,현대코퍼레이션홀딩스,227840
2020-05-04,9650.0,하락  10,9660.0,9700.0,9540.0,20207.0,현대코퍼레이션홀딩스,227840
2020-05-06,9980.0,상승  330,9660.0,9980.0,9660.0,58471.0,현대코퍼레이션홀딩스,227840
2020-05-07,9980.0,보합0,9990.0,10100.0,9820.0,27624.0,현대코퍼레이션홀딩스,227840
2020-05-08,9970.0,하락  10,9980.0,10100.0,9890.0,40418.0,현대코퍼레이션홀딩스,227840
2020-05-11,9800.0,하락  170,9970.0,10050.0,9760.0,35880.0,현대코퍼레이션홀딩스,227840
2020-05-12,9600.0,하락  200,9890.0,9900.0,9450.0,49749.0,현대코퍼레이션홀딩스,227840
2020-05-13,9530.0,하락  70,9580.0,9730.0,9490.0,24183.0,현대코퍼레이션홀딩스,227840
2020-05-14,9430.0,하락  100,9450.0,9640.0,9310.0,29185.0,현대코퍼레이션홀딩스,227840
2020-05-15,9540.0,상승  110,9540.0,9630.0,9340.0,34088.0,현대코퍼레이션홀딩스,227840
2020-05-18,9600.0,상승  60,9650.0,9800.0,9470.0,28368.0,현대코퍼레이션홀딩스,227840
2020-05-19,10000.0,상승  400,9630.0,10350.0,9630.0,97918.0,현대코퍼레이션홀딩스,227840
2020-05-20,10050.0,상승  50,10000.0,10150.0,9990.0,55891.0,현대코퍼레이션홀딩스,227840
2020-05-21,10050.0,보합0,10150.0,10200.0,9950.0,34164.0,현대코퍼레이션홀딩스,227840
2020-05-22,9790.0,하락  260,10050.0,10050.0,9750.0,34827.0,현대코퍼레이션홀딩스,227840
2020-05-25,10050.0,상승  260,10000.0,10050.0,9810.0,27533.0,현대코퍼레이션홀딩스,227840
2020-05-26,10050.0,보합0,10050.0,10100.0,9900.0,27228.0,현대코퍼레이션홀딩스,227840
2020-05-27,10050.0,보합0,10100.0,10250.0,9950.0,66429.0,현대코퍼레이션홀딩스,227840
2020-05-28,10050.0,보합0,10200.0,10400.0,9800.0,89158.0,현대코퍼레이션홀딩스,227840
2020-05-29,9990.0,하락  60,10000.0,10100.0,9890.0,41232.0,현대코퍼레이션홀딩스,227840
2020-06-01,10050.0,상승  60,9970.0,10100.0,9960.0,27946.0,현대코퍼레이션홀딩스,227840
2020-06-02,10200.0,상승  150,10100.0,10500.0,10050.0,38011.0,현대코퍼레이션홀딩스,227840
2020-06-03,10450.0,상승  250,10350.0,10550.0,10250.0,70096.0,현대코퍼레이션홀딩스,227840
2020-06-04,10600.0,상승  150,10600.0,10600.0,10250.0,47922.0,현대코퍼레이션홀딩스,227840
2020-06-05,10600.0,보합0,10950.0,11100.0,10500.0,102328.0,현대코퍼레이션홀딩스,227840
2020-06-08,10450.0,하락  150,10700.0,10750.0,10350.0,43499.0,현대코퍼레이션홀딩스,227840
2020-06-09,10450.0,보합0,10450.0,10550.0,10000.0,74080.0,현대코퍼레이션홀딩스,227840
2020-06-10,10300.0,하락  150,10450.0,10450.0,10150.0,30341.0,현대코퍼레이션홀딩스,227840
2020-06-11,10100.0,하락  200,10150.0,10300.0,9990.0,98486.0,현대코퍼레이션홀딩스,227840
2020-06-12,10000.0,하락  100,9700.0,10000.0,9600.0,96126.0,현대코퍼레이션홀딩스,227840
2020-06-15,9430.0,하락  570,9900.0,9980.0,9400.0,79406.0,현대코퍼레이션홀딩스,227840
2020-06-16,9680.0,상승  250,9540.0,9740.0,9540.0,47875.0,현대코퍼레이션홀딩스,227840
2020-06-17,9520.0,하락  160,9650.0,9650.0,9320.0,46622.0,현대코퍼레이션홀딩스,227840
2020-06-18,9590.0,상승  70,9510.0,9640.0,9350.0,31293.0,현대코퍼레이션홀딩스,227840
2020-06-19,9670.0,상승  80,9550.0,9750.0,9470.0,18887.0,현대코퍼레이션홀딩스,227840
2020-06-22,9600.0,하락  70,9750.0,9760.0,9530.0,18310.0,현대코퍼레이션홀딩스,227840
2020-06-23,9550.0,하락  50,9520.0,9680.0,9400.0,30970.0,현대코퍼레이션홀딩스,227840
2020-06-24,9620.0,상승  70,9590.0,9730.0,9550.0,25542.0,현대코퍼레이션홀딩스,227840
2020-06-25,9570.0,하락  50,9620.0,9630.0,9200.0,35833.0,현대코퍼레이션홀딩스,227840
2020-06-26,9480.0,하락  90,9600.0,9640.0,9400.0,21905.0,현대코퍼레이션홀딩스,227840
2020-06-29,9430.0,하락  50,9470.0,9470.0,9280.0,21999.0,현대코퍼레이션홀딩스,227840
2020-06-30,9520.0,상승  90,9430.0,9640.0,9430.0,24486.0,현대코퍼레이션홀딩스,227840
2020-07-01,9450.0,하락  70,9520.0,9600.0,9450.0,16244.0,현대코퍼레이션홀딩스,227840
2020-07-02,9560.0,상승  110,9590.0,9590.0,9330.0,12771.0,현대코퍼레이션홀딩스,227840
2020-07-03,9580.0,상승  20,9600.0,9610.0,9440.0,22207.0,현대코퍼레이션홀딩스,227840
2020-07-06,9510.0,하락  70,9660.0,9660.0,9380.0,43177.0,현대코퍼레이션홀딩스,227840
2020-07-07,9520.0,상승  10,9530.0,9620.0,9420.0,32598.0,현대코퍼레이션홀딩스,227840
2020-07-08,9530.0,상승  10,9630.0,9630.0,9490.0,31644.0,현대코퍼레이션홀딩스,227840
2020-07-09,9650.0,상승  120,9500.0,9660.0,9500.0,41123.0,현대코퍼레이션홀딩스,227840
2020-07-10,9560.0,하락  90,9650.0,9700.0,9480.0,27664.0,현대코퍼레이션홀딩스,227840
2020-07-13,9620.0,상승  60,9530.0,9680.0,9480.0,57965.0,현대코퍼레이션홀딩스,227840
2020-07-14,9610.0,하락  10,9640.0,9650.0,9480.0,30886.0,현대코퍼레이션홀딩스,227840
2020-07-15,9770.0,상승  160,9610.0,9930.0,9610.0,39471.0,현대코퍼레이션홀딩스,227840
2020-07-16,9770.0,보합0,9840.0,9890.0,9700.0,16300.0,현대코퍼레이션홀딩스,227840
2020-07-17,9770.0,보합0,9740.0,9850.0,9700.0,24744.0,현대코퍼레이션홀딩스,227840
2020-07-20,9730.0,하락  40,9740.0,9880.0,9720.0,14472.0,현대코퍼레이션홀딩스,227840
2020-07-21,10100.0,상승  370,9740.0,10100.0,9730.0,59706.0,현대코퍼레이션홀딩스,227840
2020-07-22,9960.0,하락  140,10000.0,10150.0,9950.0,37108.0,현대코퍼레이션홀딩스,227840
2020-07-23,9970.0,상승  10,10000.0,10000.0,9880.0,18021.0,현대코퍼레이션홀딩스,227840
2020-07-24,9860.0,하락  110,9850.0,9970.0,9780.0,29418.0,현대코퍼레이션홀딩스,227840
2020-07-27,10100.0,상승  240,9860.0,10150.0,9800.0,40697.0,현대코퍼레이션홀딩스,227840
2020-07-28,9990.0,하락  110,10200.0,10200.0,9950.0,22944.0,현대코퍼레이션홀딩스,227840
2020-07-29,10000.0,상승  10,9990.0,10050.0,9870.0,20629.0,현대코퍼레이션홀딩스,227840
