날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,18150.0,하락  700,16700.0,18950.0,16700.0,670337.0,현대해상,001450
2020-03-16,19100.0,상승  950,18000.0,19100.0,17550.0,392252.0,현대해상,001450
2020-03-17,18550.0,하락  550,18000.0,18850.0,17750.0,464671.0,현대해상,001450
2020-03-18,18600.0,상승  50,18150.0,19950.0,18100.0,483643.0,현대해상,001450
2020-03-19,17700.0,하락  900,19000.0,19600.0,16600.0,677705.0,현대해상,001450
2020-03-20,18450.0,상승  750,17600.0,18450.0,16950.0,616369.0,현대해상,001450
2020-03-23,18300.0,하락  150,17350.0,19050.0,17350.0,477783.0,현대해상,001450
2020-03-24,18550.0,상승  250,18200.0,19000.0,17900.0,402886.0,현대해상,001450
2020-03-25,20150.0,"상승  1,600",18850.0,20150.0,18800.0,524855.0,현대해상,001450
2020-03-26,20000.0,하락  150,19950.0,20900.0,19850.0,458907.0,현대해상,001450
2020-03-27,21100.0,"상승  1,100",20900.0,21250.0,20300.0,379625.0,현대해상,001450
2020-03-30,21250.0,상승  150,20800.0,21800.0,20200.0,290312.0,현대해상,001450
2020-03-31,22650.0,"상승  1,400",21250.0,22650.0,21250.0,373747.0,현대해상,001450
2020-04-01,21100.0,"하락  1,550",22400.0,22900.0,21100.0,288423.0,현대해상,001450
2020-04-02,23100.0,"상승  2,000",21150.0,23200.0,21150.0,401701.0,현대해상,001450
2020-04-03,22600.0,하락  500,22400.0,23300.0,22300.0,297419.0,현대해상,001450
2020-04-06,22400.0,하락  200,22950.0,23500.0,22400.0,245259.0,현대해상,001450
2020-04-07,23000.0,상승  600,22700.0,23000.0,22350.0,317877.0,현대해상,001450
2020-04-08,22500.0,하락  500,22950.0,23150.0,22450.0,436846.0,현대해상,001450
2020-04-09,22950.0,상승  450,22650.0,23100.0,22400.0,370016.0,현대해상,001450
2020-04-10,24000.0,"상승  1,050",22750.0,24450.0,22550.0,470861.0,현대해상,001450
2020-04-13,23700.0,하락  300,23600.0,24450.0,23500.0,252590.0,현대해상,001450
2020-04-14,24000.0,상승  300,23750.0,24200.0,23600.0,197118.0,현대해상,001450
2020-04-16,24400.0,상승  400,24000.0,24650.0,23750.0,280315.0,현대해상,001450
2020-04-17,24550.0,상승  150,23900.0,25100.0,23900.0,252481.0,현대해상,001450
2020-04-20,24550.0,보합0,24450.0,24750.0,24150.0,286489.0,현대해상,001450
2020-04-21,24400.0,하락  150,24400.0,24750.0,23650.0,354356.0,현대해상,001450
2020-04-22,24350.0,하락  50,24500.0,24500.0,23750.0,1097431.0,현대해상,001450
2020-04-23,25400.0,"상승  1,050",24050.0,25700.0,23950.0,591687.0,현대해상,001450
2020-04-24,25400.0,보합0,25200.0,26200.0,25100.0,403463.0,현대해상,001450
2020-04-27,25950.0,상승  550,25550.0,26400.0,25450.0,305875.0,현대해상,001450
2020-04-28,26450.0,상승  500,25950.0,26500.0,25600.0,258552.0,현대해상,001450
2020-04-29,26100.0,하락  350,26350.0,26700.0,26100.0,275525.0,현대해상,001450
2020-05-04,24750.0,"하락  1,350",25150.0,25250.0,24650.0,441855.0,현대해상,001450
2020-05-06,25100.0,상승  350,25050.0,25250.0,24600.0,302945.0,현대해상,001450
2020-05-07,25150.0,상승  50,24800.0,25300.0,24750.0,177132.0,현대해상,001450
2020-05-08,26200.0,"상승  1,050",25500.0,26350.0,25250.0,280146.0,현대해상,001450
2020-05-11,25750.0,하락  450,26200.0,27000.0,25750.0,246792.0,현대해상,001450
2020-05-12,25700.0,하락  50,25650.0,26350.0,25250.0,220655.0,현대해상,001450
2020-05-13,26700.0,"상승  1,000",25600.0,26750.0,25550.0,371824.0,현대해상,001450
2020-05-14,26150.0,하락  550,26800.0,26800.0,26000.0,415251.0,현대해상,001450
2020-05-15,26700.0,상승  550,26800.0,27000.0,26400.0,500026.0,현대해상,001450
2020-05-18,25500.0,"하락  1,200",26900.0,26900.0,25500.0,487550.0,현대해상,001450
2020-05-19,24950.0,하락  550,26000.0,26500.0,24850.0,590088.0,현대해상,001450
2020-05-20,25000.0,상승  50,25300.0,25450.0,24950.0,233303.0,현대해상,001450
2020-05-21,24650.0,하락  350,25000.0,25050.0,24350.0,360700.0,현대해상,001450
2020-05-22,24550.0,하락  100,24750.0,24850.0,24200.0,240803.0,현대해상,001450
2020-05-25,24500.0,하락  50,24600.0,24700.0,24350.0,124733.0,현대해상,001450
2020-05-26,24500.0,보합0,24150.0,24800.0,24150.0,214202.0,현대해상,001450
2020-05-27,24150.0,하락  350,24300.0,24500.0,24150.0,281710.0,현대해상,001450
2020-05-28,23800.0,하락  350,24150.0,24300.0,23700.0,324593.0,현대해상,001450
2020-05-29,24250.0,상승  450,23800.0,24250.0,23400.0,409714.0,현대해상,001450
2020-06-01,24400.0,상승  150,24250.0,24450.0,24000.0,232802.0,현대해상,001450
2020-06-02,25200.0,상승  800,24200.0,25450.0,24100.0,477156.0,현대해상,001450
2020-06-03,26000.0,상승  800,25450.0,26050.0,25350.0,465518.0,현대해상,001450
2020-06-04,25650.0,하락  350,26500.0,26600.0,25550.0,369471.0,현대해상,001450
2020-06-05,25850.0,상승  200,25500.0,25950.0,25400.0,202297.0,현대해상,001450
2020-06-08,26000.0,상승  150,26450.0,26450.0,25600.0,300325.0,현대해상,001450
