날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,2925.0,하락  290,2800.0,3095.0,2760.0,374731.0,혜인,003010
2020-03-16,2805.0,하락  120,2870.0,3025.0,2805.0,284581.0,혜인,003010
2020-03-17,2870.0,상승  65,2700.0,2990.0,2550.0,261644.0,혜인,003010
2020-03-18,3075.0,상승  205,2880.0,3340.0,2870.0,455234.0,혜인,003010
2020-03-19,2805.0,하락  270,3100.0,3120.0,2805.0,312564.0,혜인,003010
2020-03-20,2975.0,상승  170,2780.0,3050.0,2735.0,218016.0,혜인,003010
2020-03-23,2820.0,하락  155,2840.0,2910.0,2800.0,113950.0,혜인,003010
2020-03-24,3070.0,상승  250,2830.0,3095.0,2830.0,115570.0,혜인,003010
2020-03-25,3280.0,상승  210,3230.0,3335.0,3100.0,213888.0,혜인,003010
2020-03-26,3255.0,하락  25,3295.0,3380.0,3200.0,155440.0,혜인,003010
2020-03-27,3185.0,하락  70,3305.0,3390.0,3060.0,174244.0,혜인,003010
2020-03-30,3240.0,상승  55,3060.0,3260.0,2990.0,166621.0,혜인,003010
2020-03-31,3485.0,상승  245,3300.0,3830.0,3250.0,608947.0,혜인,003010
2020-04-01,3470.0,하락  15,3485.0,3645.0,3410.0,242634.0,혜인,003010
2020-04-02,3500.0,상승  30,3525.0,3565.0,3370.0,136617.0,혜인,003010
2020-04-03,3505.0,상승  5,3605.0,3610.0,3445.0,67203.0,혜인,003010
2020-04-06,3600.0,상승  95,3505.0,3615.0,3465.0,97695.0,혜인,003010
2020-04-07,3640.0,상승  40,3660.0,3730.0,3560.0,171921.0,혜인,003010
2020-04-08,3660.0,상승  20,3660.0,3770.0,3590.0,107449.0,혜인,003010
2020-04-09,3760.0,상승  100,3750.0,3795.0,3700.0,113894.0,혜인,003010
2020-04-10,3910.0,상승  150,3770.0,3980.0,3600.0,250548.0,혜인,003010
2020-04-13,3920.0,상승  10,3920.0,3965.0,3805.0,124895.0,혜인,003010
2020-04-14,4050.0,상승  130,3910.0,4165.0,3890.0,307333.0,혜인,003010
2020-04-16,4315.0,상승  265,4070.0,4340.0,3955.0,605192.0,혜인,003010
