날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,75100.0,"하락  3,900",72000.0,76500.0,70200.0,1613653.0,호텔신라,008770
2020-03-16,70600.0,"하락  4,500",76400.0,77400.0,70600.0,755600.0,호텔신라,008770
2020-03-17,74000.0,"상승  3,400",67600.0,75400.0,67500.0,923565.0,호텔신라,008770
2020-03-18,69700.0,"하락  4,300",74100.0,77500.0,69700.0,1270816.0,호텔신라,008770
2020-03-19,63000.0,"하락  6,700",72400.0,73100.0,60700.0,1094365.0,호텔신라,008770
2020-03-20,67700.0,"상승  4,700",65000.0,67800.0,63200.0,835080.0,호텔신라,008770
2020-03-23,61800.0,"하락  5,900",61300.0,64300.0,61300.0,735001.0,호텔신라,008770
2020-03-24,64800.0,"상승  3,000",63900.0,65000.0,62200.0,885966.0,호텔신라,008770
2020-03-25,71400.0,"상승  6,600",67000.0,72300.0,66900.0,1246474.0,호텔신라,008770
2020-03-26,71000.0,하락  400,72800.0,75200.0,70700.0,904978.0,호텔신라,008770
2020-03-27,70900.0,하락  100,74500.0,74600.0,68600.0,1064237.0,호텔신라,008770
2020-03-30,68500.0,"하락  2,400",68300.0,68600.0,66500.0,997649.0,호텔신라,008770
2020-03-31,70500.0,"상승  2,000",70000.0,70500.0,67700.0,1091119.0,호텔신라,008770
2020-04-01,67600.0,"하락  2,900",69500.0,70300.0,67600.0,718939.0,호텔신라,008770
2020-04-02,67800.0,상승  200,67900.0,68500.0,65800.0,761774.0,호텔신라,008770
2020-04-03,67000.0,하락  800,67500.0,68400.0,66100.0,494459.0,호텔신라,008770
2020-04-06,70300.0,"상승  3,300",67000.0,70400.0,66800.0,805194.0,호텔신라,008770
2020-04-07,73500.0,"상승  3,200",73000.0,74000.0,71100.0,1121802.0,호텔신라,008770
2020-04-08,73800.0,상승  300,73700.0,76400.0,72200.0,999500.0,호텔신라,008770
2020-04-09,75300.0,"상승  1,500",75500.0,75800.0,74000.0,658059.0,호텔신라,008770
2020-04-10,74900.0,하락  400,74400.0,75100.0,73000.0,588620.0,호텔신라,008770
2020-04-13,72600.0,"하락  2,300",74900.0,75000.0,72500.0,474553.0,호텔신라,008770
2020-04-14,73500.0,상승  900,73100.0,73700.0,72000.0,460165.0,호텔신라,008770
2020-04-16,74100.0,상승  600,72700.0,74300.0,72400.0,516018.0,호텔신라,008770
2020-04-17,77700.0,"상승  3,600",80000.0,80700.0,77100.0,1671138.0,호텔신라,008770
2020-04-20,79400.0,"상승  1,700",78300.0,81900.0,78000.0,1105161.0,호텔신라,008770
2020-04-21,77900.0,"하락  1,500",78500.0,79600.0,75800.0,812738.0,호텔신라,008770
2020-04-22,77600.0,하락  300,76600.0,77700.0,75400.0,551808.0,호텔신라,008770
2020-04-23,77800.0,상승  200,77700.0,78900.0,77100.0,479602.0,호텔신라,008770
2020-04-24,76900.0,하락  900,77200.0,77900.0,76000.0,486126.0,호텔신라,008770
2020-04-27,78200.0,"상승  1,300",76500.0,78900.0,76100.0,660048.0,호텔신라,008770
2020-04-28,82000.0,"상승  3,800",78700.0,82300.0,78400.0,1661552.0,호텔신라,008770
2020-04-29,85200.0,"상승  3,200",82300.0,86400.0,81300.0,2042454.0,호텔신라,008770
2020-05-04,83500.0,"하락  1,700",82700.0,85700.0,82700.0,883340.0,호텔신라,008770
2020-05-06,84800.0,"상승  1,300",85200.0,85200.0,83000.0,603409.0,호텔신라,008770
2020-05-07,82500.0,"하락  2,300",84300.0,84400.0,82200.0,738443.0,호텔신라,008770
2020-05-08,82300.0,하락  200,82700.0,83600.0,82100.0,615633.0,호텔신라,008770
2020-05-11,79800.0,"하락  2,500",81600.0,81700.0,79500.0,884533.0,호텔신라,008770
2020-05-12,80700.0,상승  900,80300.0,81400.0,79300.0,548910.0,호텔신라,008770
2020-05-13,80300.0,하락  400,79200.0,80300.0,79200.0,396098.0,호텔신라,008770
2020-05-14,80800.0,상승  500,80100.0,81400.0,79100.0,453644.0,호텔신라,008770
2020-05-15,79500.0,"하락  1,300",80700.0,80800.0,79300.0,315438.0,호텔신라,008770
2020-05-18,79900.0,상승  400,79200.0,80100.0,78300.0,315189.0,호텔신라,008770
2020-05-19,83700.0,"상승  3,800",83600.0,84100.0,82800.0,1320419.0,호텔신라,008770
2020-05-20,82700.0,"하락  1,000",82800.0,82900.0,81700.0,532736.0,호텔신라,008770
2020-05-21,82000.0,하락  700,83500.0,83500.0,81700.0,404973.0,호텔신라,008770
2020-05-22,80100.0,"하락  1,900",81700.0,82400.0,79700.0,567533.0,호텔신라,008770
2020-05-25,79300.0,하락  800,80200.0,80300.0,78500.0,495237.0,호텔신라,008770
2020-05-26,81500.0,"상승  2,200",79100.0,81500.0,79100.0,565480.0,호텔신라,008770
2020-05-27,80200.0,"하락  1,300",82200.0,82300.0,80100.0,574447.0,호텔신라,008770
2020-05-28,79200.0,"하락  1,000",81000.0,81100.0,78900.0,570188.0,호텔신라,008770
2020-05-29,79200.0,보합0,78900.0,79700.0,78300.0,517238.0,호텔신라,008770
2020-06-01,80400.0,"상승  1,200",79100.0,80500.0,78600.0,454997.0,호텔신라,008770
2020-06-02,81700.0,"상승  1,300",81100.0,82300.0,80300.0,757354.0,호텔신라,008770
2020-06-03,82200.0,상승  500,82300.0,83100.0,81400.0,996801.0,호텔신라,008770
2020-06-04,81900.0,하락  300,83600.0,84600.0,81800.0,1351798.0,호텔신라,008770
2020-06-05,83200.0,"상승  1,300",83500.0,83500.0,82200.0,610885.0,호텔신라,008770
