날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,1735.0,하락  335,1800.0,1900.0,1565.0,1651678.0,화천기계,010660
2020-03-16,1700.0,하락  35,1745.0,1900.0,1700.0,969711.0,화천기계,010660
2020-03-17,1815.0,상승  115,1560.0,1870.0,1560.0,1112733.0,화천기계,010660
2020-03-18,1730.0,하락  85,1815.0,1875.0,1730.0,586541.0,화천기계,010660
2020-03-19,1465.0,하락  265,1760.0,1835.0,1460.0,823539.0,화천기계,010660
2020-03-20,1540.0,상승  75,1465.0,1590.0,1465.0,892363.0,화천기계,010660
2020-03-23,1475.0,하락  65,1450.0,1520.0,1390.0,641407.0,화천기계,010660
2020-03-24,1545.0,상승  70,1500.0,1585.0,1490.0,416045.0,화천기계,010660
2020-03-25,1655.0,상승  110,1605.0,1680.0,1600.0,457464.0,화천기계,010660
2020-03-26,1770.0,상승  115,1680.0,1850.0,1655.0,672611.0,화천기계,010660
2020-03-27,1785.0,상승  15,1825.0,1920.0,1695.0,782720.0,화천기계,010660
2020-03-30,2020.0,상승  235,1745.0,2070.0,1715.0,1331708.0,화천기계,010660
2020-03-31,2050.0,상승  30,2130.0,2135.0,2010.0,967631.0,화천기계,010660
2020-04-01,1985.0,하락  65,2060.0,2150.0,1965.0,735910.0,화천기계,010660
2020-04-02,2055.0,상승  70,1960.0,2055.0,1915.0,420322.0,화천기계,010660
2020-04-03,2075.0,상승  20,2105.0,2130.0,2030.0,373272.0,화천기계,010660
2020-04-06,2385.0,상승  310,2100.0,2530.0,2070.0,5794977.0,화천기계,010660
2020-04-07,2350.0,하락  35,2450.0,2455.0,2275.0,1385233.0,화천기계,010660
2020-04-08,2320.0,하락  30,2340.0,2375.0,2255.0,806660.0,화천기계,010660
2020-04-09,2340.0,상승  20,2355.0,2390.0,2315.0,486827.0,화천기계,010660
2020-04-10,2310.0,하락  30,2355.0,2355.0,2170.0,462065.0,화천기계,010660
2020-04-13,3000.0,상한가  690,2355.0,3000.0,2355.0,20437559.0,화천기계,010660
2020-04-14,3065.0,상승  65,2940.0,3350.0,2860.0,30491203.0,화천기계,010660
2020-04-16,2855.0,하락  210,3075.0,3210.0,2830.0,6124942.0,화천기계,010660
2020-04-17,2940.0,상승  85,2815.0,2940.0,2700.0,3658243.0,화천기계,010660
2020-04-20,2830.0,하락  110,2895.0,2960.0,2820.0,2620426.0,화천기계,010660
2020-04-21,2680.0,하락  150,2815.0,2840.0,2535.0,2059787.0,화천기계,010660
2020-04-22,2730.0,상승  50,2660.0,2910.0,2650.0,4887682.0,화천기계,010660
2020-04-23,2775.0,상승  45,2735.0,2845.0,2730.0,1496196.0,화천기계,010660
2020-04-24,2850.0,상승  75,2850.0,3240.0,2745.0,23688229.0,화천기계,010660
2020-04-27,2950.0,상승  100,2860.0,3065.0,2780.0,7180393.0,화천기계,010660
2020-04-28,2865.0,하락  85,2945.0,3110.0,2860.0,4013223.0,화천기계,010660
2020-04-29,2870.0,상승  5,2865.0,2955.0,2855.0,1564332.0,화천기계,010660
2020-05-04,3020.0,상승  150,2865.0,3290.0,2735.0,12126193.0,화천기계,010660
2020-05-06,3130.0,상승  110,3010.0,3190.0,3005.0,5740193.0,화천기계,010660
2020-05-07,3320.0,상승  190,3120.0,3455.0,3115.0,21076496.0,화천기계,010660
2020-05-08,3995.0,상승  675,3280.0,4245.0,3200.0,48679620.0,화천기계,010660
2020-05-11,3600.0,하락  395,3915.0,4015.0,3590.0,9128942.0,화천기계,010660
2020-05-12,3625.0,상승  25,3580.0,3910.0,3560.0,12032983.0,화천기계,010660
2020-05-13,3615.0,하락  10,3545.0,3645.0,3520.0,1875658.0,화천기계,010660
2020-05-14,3625.0,상승  10,3690.0,4050.0,3600.0,18590930.0,화천기계,010660
2020-05-15,3635.0,상승  10,3625.0,3715.0,3550.0,3708848.0,화천기계,010660
2020-05-18,3590.0,하락  45,3620.0,3705.0,3590.0,1537412.0,화천기계,010660
2020-05-19,3610.0,상승  20,3595.0,3680.0,3580.0,1346715.0,화천기계,010660
2020-05-20,3740.0,상승  130,3625.0,3800.0,3620.0,3143177.0,화천기계,010660
2020-05-21,3690.0,하락  50,3750.0,4100.0,3670.0,10806478.0,화천기계,010660
2020-05-22,3735.0,상승  45,3705.0,3845.0,3660.0,2089770.0,화천기계,010660
2020-05-25,3755.0,상승  20,3750.0,3810.0,3720.0,1320204.0,화천기계,010660
2020-05-26,3680.0,하락  75,3745.0,3790.0,3670.0,1247874.0,화천기계,010660
2020-05-27,3730.0,상승  50,3710.0,3780.0,3680.0,1132612.0,화천기계,010660
2020-05-28,3630.0,하락  100,3735.0,3890.0,3595.0,2554079.0,화천기계,010660
2020-05-29,3730.0,상승  100,3600.0,3850.0,3570.0,3189442.0,화천기계,010660
2020-06-01,3790.0,상승  60,3735.0,3850.0,3735.0,1479504.0,화천기계,010660
2020-06-02,3825.0,상승  35,3790.0,4040.0,3760.0,7506650.0,화천기계,010660
2020-06-03,3870.0,상승  45,3810.0,3990.0,3745.0,5104712.0,화천기계,010660
2020-06-04,4170.0,상승  300,3900.0,4195.0,3855.0,16590653.0,화천기계,010660
2020-06-05,3920.0,하락  250,4020.0,4150.0,3905.0,5598592.0,화천기계,010660
2020-06-08,3790.0,하락  130,3920.0,3920.0,3790.0,1701454.0,화천기계,010660
2020-06-09,3780.0,하락  10,3800.0,3845.0,3765.0,1121601.0,화천기계,010660
2020-06-10,3670.0,하락  110,3780.0,3790.0,3640.0,1333713.0,화천기계,010660
2020-06-11,3610.0,하락  60,3695.0,3720.0,3585.0,1025777.0,화천기계,010660
2020-06-12,3400.0,하락  210,3350.0,3540.0,3335.0,920561.0,화천기계,010660
2020-06-15,3140.0,하락  260,3370.0,3410.0,3080.0,1310710.0,화천기계,010660
2020-06-16,3285.0,상승  145,3160.0,3360.0,3160.0,1127541.0,화천기계,010660
2020-06-17,3230.0,하락  55,3270.0,3440.0,3120.0,794149.0,화천기계,010660
2020-06-18,3315.0,상승  85,3230.0,3545.0,3210.0,1663537.0,화천기계,010660
2020-06-19,3400.0,상승  85,3360.0,3585.0,3300.0,1757500.0,화천기계,010660
2020-06-22,3385.0,하락  15,3315.0,3520.0,3315.0,831748.0,화천기계,010660
2020-06-23,3400.0,상승  15,3440.0,3555.0,3385.0,799607.0,화천기계,010660
2020-06-24,3435.0,상승  35,3495.0,3560.0,3415.0,794115.0,화천기계,010660
2020-06-25,3400.0,하락  35,3420.0,3490.0,3340.0,601278.0,화천기계,010660
2020-06-26,3415.0,상승  15,3435.0,3460.0,3360.0,408413.0,화천기계,010660
2020-06-29,3310.0,하락  105,3400.0,3415.0,3300.0,340353.0,화천기계,010660
2020-06-30,3450.0,상승  140,3330.0,3780.0,3320.0,6676959.0,화천기계,010660
2020-07-01,3410.0,하락  40,3640.0,3695.0,3400.0,2109028.0,화천기계,010660
2020-07-02,3605.0,상승  195,3440.0,3745.0,3415.0,5027204.0,화천기계,010660
2020-07-03,3580.0,하락  25,3570.0,3680.0,3520.0,1233704.0,화천기계,010660
2020-07-06,3710.0,상승  130,3615.0,3780.0,3555.0,3166839.0,화천기계,010660
2020-07-07,3675.0,하락  35,3715.0,3775.0,3660.0,1052038.0,화천기계,010660
2020-07-08,3720.0,상승  45,3650.0,3775.0,3645.0,886903.0,화천기계,010660
2020-07-09,3650.0,하락  70,3785.0,3845.0,3640.0,1317567.0,화천기계,010660
2020-07-10,3635.0,하락  15,3800.0,3805.0,3520.0,1356486.0,화천기계,010660
2020-07-13,3780.0,상승  145,3590.0,3830.0,3590.0,1666634.0,화천기계,010660
2020-07-14,3725.0,하락  55,3775.0,3810.0,3705.0,872268.0,화천기계,010660
2020-07-15,3790.0,상승  65,3765.0,3845.0,3730.0,840178.0,화천기계,010660
2020-07-16,3710.0,하락  80,3800.0,3970.0,3705.0,3334051.0,화천기계,010660
2020-07-17,3655.0,하락  55,3725.0,3725.0,3630.0,623789.0,화천기계,010660
2020-07-20,3695.0,상승  40,3690.0,3765.0,3590.0,966619.0,화천기계,010660
2020-07-21,3780.0,상승  85,3730.0,3850.0,3710.0,1395564.0,화천기계,010660
2020-07-22,3805.0,상승  25,3805.0,3895.0,3775.0,1352664.0,화천기계,010660
2020-07-23,3705.0,하락  100,3825.0,3860.0,3670.0,1236569.0,화천기계,010660
2020-07-24,3460.0,하락  245,3720.0,3820.0,3445.0,2945312.0,화천기계,010660
2020-07-27,3475.0,상승  15,3430.0,3535.0,3410.0,642638.0,화천기계,010660
2020-07-28,3415.0,하락  60,3480.0,3500.0,3355.0,537554.0,화천기계,010660
2020-07-29,3480.0,상승  65,3415.0,3755.0,3390.0,2692467.0,화천기계,010660
2020-07-30,3480.0,보합0,3480.0,3540.0,3430.0,548917.0,화천기계,010660
2020-07-31,3465.0,하락  15,3480.0,3500.0,3430.0,425425.0,화천기계,010660
2020-08-03,3430.0,하락  35,3450.0,3480.0,3425.0,291958.0,화천기계,010660
2020-08-04,3525.0,상승  95,3425.0,3560.0,3415.0,622429.0,화천기계,010660
2020-08-05,3700.0,상승  175,3570.0,3750.0,3540.0,1755463.0,화천기계,010660
2020-08-06,3700.0,보합0,3750.0,3830.0,3670.0,972605.0,화천기계,010660
2020-08-07,3740.0,상승  40,3665.0,3835.0,3665.0,1257099.0,화천기계,010660
2020-08-10,3705.0,하락  35,3745.0,3790.0,3680.0,637322.0,화천기계,010660
2020-08-11,3700.0,하락  5,3695.0,3760.0,3665.0,502914.0,화천기계,010660
2020-08-12,3825.0,상승  125,3685.0,3920.0,3610.0,2101432.0,화천기계,010660
2020-08-13,3720.0,하락  105,3810.0,3880.0,3680.0,1780510.0,화천기계,010660
2020-08-14,3510.0,하락  210,3690.0,3720.0,3475.0,1330624.0,화천기계,010660
2020-08-18,3220.0,하락  290,3440.0,3460.0,3190.0,1049312.0,화천기계,010660
2020-08-19,3245.0,상승  25,3160.0,3310.0,3160.0,553972.0,화천기계,010660
2020-08-20,2970.0,하락  275,3240.0,3240.0,2900.0,1068208.0,화천기계,010660
2020-08-21,3000.0,상승  30,2970.0,3060.0,2915.0,344323.0,화천기계,010660
2020-08-24,3000.0,보합0,3060.0,3060.0,2905.0,526053.0,화천기계,010660
2020-08-25,3280.0,상승  280,3060.0,3310.0,3005.0,947697.0,화천기계,010660
2020-08-26,3195.0,하락  85,3250.0,3295.0,3180.0,473536.0,화천기계,010660
2020-08-27,3100.0,하락  95,3185.0,3225.0,3080.0,430775.0,화천기계,010660
2020-08-28,3080.0,하락  20,3105.0,3240.0,3005.0,746832.0,화천기계,010660
2020-08-31,3150.0,상승  70,3140.0,3245.0,3105.0,570971.0,화천기계,010660
2020-09-01,3205.0,상승  55,3170.0,3225.0,3165.0,254752.0,화천기계,010660
2020-09-02,3220.0,상승  15,3220.0,3290.0,3180.0,362419.0,화천기계,010660
2020-09-03,3220.0,보합0,3255.0,3275.0,3175.0,438220.0,화천기계,010660
2020-09-04,3105.0,하락  115,3000.0,3295.0,2950.0,836935.0,화천기계,010660
2020-09-07,3125.0,상승  20,3125.0,3265.0,3015.0,801690.0,화천기계,010660
2020-09-08,3130.0,상승  5,3105.0,3180.0,3105.0,318477.0,화천기계,010660
2020-09-09,3090.0,하락  40,3035.0,3115.0,3035.0,241384.0,화천기계,010660
2020-09-10,3135.0,상승  45,3105.0,3150.0,3055.0,229032.0,화천기계,010660
2020-09-11,3095.0,하락  40,3120.0,3165.0,3080.0,242294.0,화천기계,010660
2020-09-14,3160.0,상승  65,3130.0,3170.0,3100.0,307831.0,화천기계,010660
2020-09-15,3140.0,하락  20,3175.0,3230.0,3110.0,235821.0,화천기계,010660
2020-09-16,3095.0,하락  45,3165.0,3170.0,3075.0,328473.0,화천기계,010660
2020-09-17,3035.0,하락  60,3095.0,3105.0,3015.0,365792.0,화천기계,010660
2020-09-18,3010.0,하락  25,3055.0,3060.0,2985.0,237866.0,화천기계,010660
2020-09-21,3010.0,보합0,2995.0,3050.0,2960.0,250884.0,화천기계,010660
2020-09-22,3015.0,상승  5,3085.0,3255.0,3005.0,2365507.0,화천기계,010660
2020-09-23,2945.0,하락  70,3020.0,3060.0,2920.0,414673.0,화천기계,010660
2020-09-24,2665.0,하락  280,2850.0,2895.0,2665.0,733475.0,화천기계,010660
2020-09-25,2700.0,상승  35,2690.0,2735.0,2595.0,206009.0,화천기계,010660
2020-09-28,2785.0,상승  85,2680.0,2800.0,2680.0,142831.0,화천기계,010660
2020-09-29,2885.0,상승  100,2775.0,2905.0,2775.0,218602.0,화천기계,010660
2020-10-05,2960.0,상승  75,2865.0,2970.0,2845.0,149149.0,화천기계,010660
2020-10-06,2980.0,상승  20,2980.0,2985.0,2940.0,175750.0,화천기계,010660
2020-10-07,2985.0,상승  5,2950.0,3000.0,2940.0,162547.0,화천기계,010660
2020-10-08,3020.0,상승  35,2985.0,3025.0,2965.0,148383.0,화천기계,010660
2020-10-12,3000.0,하락  20,3020.0,3025.0,2960.0,104491.0,화천기계,010660
2020-10-13,3115.0,상승  115,2995.0,3140.0,2980.0,382759.0,화천기계,010660
2020-10-14,3040.0,하락  75,3130.0,3150.0,3015.0,304847.0,화천기계,010660
2020-10-15,2995.0,하락  45,3040.0,3060.0,2950.0,198101.0,화천기계,010660
2020-10-16,2910.0,하락  85,2965.0,3015.0,2850.0,210401.0,화천기계,010660
2020-10-19,2895.0,하락  15,2940.0,2950.0,2895.0,73900.0,화천기계,010660
2020-10-20,2830.0,하락  65,2850.0,2925.0,2730.0,184761.0,화천기계,010660
2020-10-21,2870.0,상승  40,2815.0,2885.0,2810.0,146438.0,화천기계,010660
2020-10-22,2790.0,하락  80,2860.0,2880.0,2765.0,79545.0,화천기계,010660
2020-10-23,2760.0,하락  30,2835.0,2835.0,2750.0,60706.0,화천기계,010660
2020-10-26,2680.0,하락  80,2745.0,2785.0,2650.0,162548.0,화천기계,010660
2020-10-27,2610.0,하락  70,2635.0,2685.0,2595.0,201884.0,화천기계,010660
2020-10-28,2680.0,상승  70,2570.0,2685.0,2570.0,139922.0,화천기계,010660
2020-10-29,2645.0,하락  35,2665.0,2670.0,2590.0,89238.0,화천기계,010660
2020-10-30,2630.0,하락  15,2645.0,2675.0,2590.0,80294.0,화천기계,010660
2020-11-02,2860.0,상승  230,2630.0,3100.0,2610.0,2141735.0,화천기계,010660
2020-11-03,2930.0,상승  70,2880.0,3025.0,2860.0,843110.0,화천기계,010660
2020-11-04,2875.0,하락  55,2960.0,2960.0,2815.0,286953.0,화천기계,010660
2020-11-05,2905.0,상승  30,2835.0,2935.0,2830.0,247788.0,화천기계,010660
2020-11-06,2840.0,하락  65,2900.0,2900.0,2795.0,243568.0,화천기계,010660
2020-11-09,2830.0,하락  10,2840.0,2870.0,2810.0,178399.0,화천기계,010660
2020-11-10,2850.0,상승  20,2835.0,2890.0,2820.0,158936.0,화천기계,010660
2020-11-11,2830.0,하락  20,2855.0,2890.0,2800.0,207133.0,화천기계,010660
2020-11-12,2900.0,상승  70,2830.0,2900.0,2815.0,224075.0,화천기계,010660
2020-11-13,2850.0,하락  50,2880.0,2915.0,2825.0,125132.0,화천기계,010660
2020-11-16,2885.0,상승  35,2850.0,2890.0,2840.0,134776.0,화천기계,010660
2020-11-17,2840.0,하락  45,2920.0,2975.0,2830.0,233688.0,화천기계,010660
2020-11-18,2975.0,상승  135,2885.0,3040.0,2840.0,653786.0,화천기계,010660
2020-11-19,2950.0,하락  25,2995.0,2995.0,2905.0,209770.0,화천기계,010660
2020-11-20,2980.0,상승  30,2975.0,3035.0,2940.0,273110.0,화천기계,010660
2020-11-23,2965.0,하락  15,2965.0,2980.0,2910.0,205336.0,화천기계,010660
2020-11-24,3070.0,상승  105,2990.0,3090.0,2955.0,582812.0,화천기계,010660
2020-11-25,3040.0,하락  30,3150.0,3220.0,2960.0,897591.0,화천기계,010660
2020-11-26,3020.0,하락  20,3040.0,3055.0,2990.0,141977.0,화천기계,010660
2020-11-27,3040.0,상승  20,3015.0,3080.0,2990.0,163831.0,화천기계,010660
2020-11-30,3145.0,상승  105,3075.0,3160.0,3020.0,347521.0,화천기계,010660
2020-12-01,3270.0,상승  125,3150.0,3300.0,3100.0,1408198.0,화천기계,010660
2020-12-02,3165.0,하락  105,3200.0,3260.0,3125.0,555563.0,화천기계,010660
2020-12-03,3170.0,상승  5,3180.0,3180.0,3035.0,445139.0,화천기계,010660
2020-12-04,3060.0,하락  110,3160.0,3160.0,3035.0,310973.0,화천기계,010660
