날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,28200.0,"하락  2,050",28000.0,28750.0,27100.0,13296.0,화천기공,000850
2020-03-16,27100.0,"하락  1,100",28250.0,28800.0,27100.0,10785.0,화천기공,000850
2020-03-17,26900.0,하락  200,25800.0,26950.0,25250.0,5475.0,화천기공,000850
2020-03-18,26850.0,하락  50,26650.0,28200.0,26650.0,6044.0,화천기공,000850
2020-03-19,24700.0,"하락  2,150",26850.0,27150.0,24150.0,7432.0,화천기공,000850
2020-03-20,25700.0,"상승  1,000",24600.0,25850.0,24600.0,6034.0,화천기공,000850
2020-03-23,23950.0,"하락  1,750",24000.0,24650.0,23600.0,5760.0,화천기공,000850
2020-03-24,24800.0,상승  850,24550.0,25000.0,24100.0,3908.0,화천기공,000850
2020-03-25,26350.0,"상승  1,550",25350.0,26700.0,25300.0,5047.0,화천기공,000850
2020-03-26,27000.0,상승  650,26400.0,27600.0,26050.0,3993.0,화천기공,000850
2020-03-27,27700.0,상승  700,27300.0,28400.0,27300.0,6503.0,화천기공,000850
2020-03-30,28050.0,상승  350,27600.0,28200.0,27000.0,2249.0,화천기공,000850
2020-03-31,29150.0,"상승  1,100",28500.0,31800.0,28150.0,5927.0,화천기공,000850
2020-04-01,28350.0,하락  800,30000.0,30000.0,28100.0,6515.0,화천기공,000850
2020-04-02,28600.0,상승  250,28250.0,28600.0,27700.0,3333.0,화천기공,000850
2020-04-03,28550.0,하락  50,28400.0,28900.0,28300.0,1524.0,화천기공,000850
2020-04-06,29650.0,"상승  1,100",28500.0,29800.0,28500.0,8977.0,화천기공,000850
2020-04-07,29550.0,하락  100,30050.0,30450.0,29200.0,7548.0,화천기공,000850
2020-04-08,29750.0,상승  200,29800.0,29950.0,29300.0,2556.0,화천기공,000850
2020-04-09,29850.0,상승  100,29750.0,30100.0,29600.0,4958.0,화천기공,000850
2020-04-10,29800.0,하락  50,29650.0,30250.0,29650.0,5960.0,화천기공,000850
2020-04-13,30000.0,상승  200,29800.0,30300.0,29300.0,9500.0,화천기공,000850
2020-04-14,30200.0,상승  200,30500.0,30500.0,29350.0,6438.0,화천기공,000850
2020-04-16,30000.0,하락  200,30200.0,30300.0,29350.0,7123.0,화천기공,000850
2020-04-17,30550.0,상승  550,30050.0,30750.0,29900.0,4237.0,화천기공,000850
2020-04-20,30650.0,상승  100,30900.0,30900.0,30400.0,3413.0,화천기공,000850
2020-04-21,29800.0,하락  850,30800.0,30800.0,29550.0,5901.0,화천기공,000850
2020-04-22,29700.0,하락  100,29600.0,29900.0,29150.0,2814.0,화천기공,000850
2020-04-23,30600.0,상승  900,29700.0,30600.0,29700.0,3131.0,화천기공,000850
2020-04-24,30050.0,하락  550,30550.0,30700.0,29900.0,2378.0,화천기공,000850
2020-04-27,30550.0,상승  500,30000.0,30700.0,29950.0,3860.0,화천기공,000850
2020-04-28,30500.0,하락  50,30650.0,31000.0,30300.0,2061.0,화천기공,000850
