날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,13200.0,하락  300,13000.0,14400.0,11700.0,186555.0,효성 ITX,094280
2020-03-16,12400.0,하락  800,13500.0,13700.0,12150.0,98511.0,효성 ITX,094280
2020-03-17,12150.0,하락  250,11950.0,12550.0,11750.0,60919.0,효성 ITX,094280
2020-03-18,11600.0,하락  550,12250.0,12550.0,11600.0,50432.0,효성 ITX,094280
2020-03-19,11300.0,하락  300,11700.0,11900.0,10000.0,129366.0,효성 ITX,094280
2020-03-20,12050.0,상승  750,11850.0,12500.0,11550.0,72182.0,효성 ITX,094280
2020-03-23,12150.0,상승  100,11650.0,12350.0,11450.0,60932.0,효성 ITX,094280
2020-03-24,12550.0,상승  400,12500.0,12950.0,12100.0,57556.0,효성 ITX,094280
2020-03-25,12700.0,상승  150,13100.0,13100.0,12250.0,116712.0,효성 ITX,094280
2020-03-26,12300.0,하락  400,12700.0,12800.0,12300.0,69561.0,효성 ITX,094280
2020-03-27,12600.0,상승  300,12600.0,13000.0,12450.0,85524.0,효성 ITX,094280
2020-03-30,12800.0,상승  200,12350.0,13200.0,12250.0,72859.0,효성 ITX,094280
2020-03-31,12850.0,상승  50,13000.0,13150.0,12650.0,85570.0,효성 ITX,094280
2020-04-01,12500.0,하락  350,12900.0,12900.0,12400.0,117295.0,효성 ITX,094280
2020-04-02,12700.0,상승  200,12400.0,12700.0,12200.0,22120.0,효성 ITX,094280
2020-04-03,12800.0,상승  100,12800.0,12800.0,12350.0,40633.0,효성 ITX,094280
2020-04-06,13300.0,상승  500,12800.0,13500.0,12750.0,145031.0,효성 ITX,094280
2020-04-07,13150.0,하락  150,13450.0,14000.0,12950.0,115482.0,효성 ITX,094280
2020-04-08,13250.0,상승  100,13150.0,13450.0,13000.0,41472.0,효성 ITX,094280
2020-04-09,13900.0,상승  650,13500.0,14000.0,13250.0,99514.0,효성 ITX,094280
2020-04-10,14550.0,상승  650,13900.0,14650.0,13500.0,144771.0,효성 ITX,094280
2020-04-13,16150.0,"상승  1,600",14650.0,16650.0,14400.0,523618.0,효성 ITX,094280
2020-04-14,15900.0,하락  250,16250.0,16450.0,15900.0,113919.0,효성 ITX,094280
2020-04-16,16250.0,상승  350,15900.0,16500.0,15600.0,85409.0,효성 ITX,094280
2020-04-17,15750.0,하락  500,16250.0,16350.0,15750.0,90417.0,효성 ITX,094280
2020-04-20,15650.0,하락  100,15900.0,15900.0,15400.0,75841.0,효성 ITX,094280
2020-04-21,16400.0,상승  750,15650.0,16900.0,15400.0,375492.0,효성 ITX,094280
2020-04-22,16550.0,상승  150,16300.0,16750.0,16150.0,123220.0,효성 ITX,094280
2020-04-23,17400.0,상승  850,16900.0,17850.0,16600.0,282648.0,효성 ITX,094280
2020-04-24,17150.0,하락  250,17350.0,17400.0,16900.0,69170.0,효성 ITX,094280
2020-04-27,17000.0,하락  150,17700.0,17800.0,16800.0,89090.0,효성 ITX,094280
2020-04-28,16400.0,하락  600,17000.0,17000.0,16100.0,117488.0,효성 ITX,094280
2020-04-29,16350.0,하락  50,16400.0,16650.0,16150.0,59103.0,효성 ITX,094280
2020-05-04,16450.0,상승  100,16250.0,16900.0,15800.0,60656.0,효성 ITX,094280
2020-05-06,17000.0,상승  550,16600.0,17150.0,16600.0,67221.0,효성 ITX,094280
2020-05-07,16950.0,하락  50,16800.0,17200.0,16750.0,44735.0,효성 ITX,094280
2020-05-08,16700.0,하락  250,17200.0,17250.0,16300.0,84834.0,효성 ITX,094280
2020-05-11,17250.0,상승  550,16750.0,17700.0,16450.0,91997.0,효성 ITX,094280
2020-05-12,17200.0,하락  50,17250.0,17400.0,16650.0,59825.0,효성 ITX,094280
2020-05-13,18800.0,"상승  1,600",16800.0,19450.0,16800.0,621232.0,효성 ITX,094280
2020-05-14,18700.0,하락  100,18600.0,19100.0,18000.0,207586.0,효성 ITX,094280
2020-05-15,18600.0,하락  100,19000.0,19000.0,18200.0,86091.0,효성 ITX,094280
2020-05-18,18450.0,하락  150,18500.0,18550.0,17850.0,104344.0,효성 ITX,094280
2020-05-19,18000.0,하락  450,18300.0,18450.0,17400.0,179216.0,효성 ITX,094280
2020-05-20,18200.0,상승  200,18100.0,18550.0,17800.0,99607.0,효성 ITX,094280
2020-05-21,18050.0,하락  150,18550.0,18550.0,17800.0,104677.0,효성 ITX,094280
2020-05-22,18650.0,상승  600,18150.0,18750.0,17800.0,149795.0,효성 ITX,094280
2020-05-25,20400.0,"상승  1,750",18750.0,20550.0,18500.0,302934.0,효성 ITX,094280
2020-05-26,19800.0,하락  600,20450.0,20500.0,19450.0,166917.0,효성 ITX,094280
2020-05-27,19200.0,하락  600,19650.0,19700.0,19150.0,86759.0,효성 ITX,094280
2020-05-28,19100.0,하락  100,19250.0,19600.0,18500.0,104718.0,효성 ITX,094280
2020-05-29,19850.0,상승  750,19050.0,20000.0,19050.0,120226.0,효성 ITX,094280
2020-06-01,19350.0,하락  500,19900.0,19900.0,19200.0,81777.0,효성 ITX,094280
2020-06-02,19600.0,상승  250,19400.0,20200.0,19250.0,78080.0,효성 ITX,094280
2020-06-03,19700.0,상승  100,19800.0,19900.0,19250.0,69832.0,효성 ITX,094280
2020-06-04,19650.0,하락  50,19700.0,20000.0,19450.0,52384.0,효성 ITX,094280
2020-06-05,19500.0,하락  150,19500.0,19800.0,19300.0,46296.0,효성 ITX,094280
2020-06-08,19150.0,하락  350,19550.0,19600.0,18950.0,68745.0,효성 ITX,094280
2020-06-09,19400.0,상승  250,19350.0,19450.0,18800.0,49896.0,효성 ITX,094280
2020-06-10,20500.0,"상승  1,100",19400.0,20700.0,19150.0,140546.0,효성 ITX,094280
2020-06-11,20200.0,하락  300,20350.0,21150.0,19900.0,82317.0,효성 ITX,094280
2020-06-12,19000.0,"하락  1,200",19300.0,19600.0,18900.0,166122.0,효성 ITX,094280
2020-06-15,18000.0,"하락  1,000",19000.0,19500.0,17950.0,92603.0,효성 ITX,094280
2020-06-16,18800.0,상승  800,18350.0,19100.0,18350.0,50538.0,효성 ITX,094280
2020-06-17,18950.0,상승  150,18800.0,19450.0,18750.0,48489.0,효성 ITX,094280
2020-06-18,18950.0,보합0,19150.0,19300.0,18800.0,24936.0,효성 ITX,094280
2020-06-19,18700.0,하락  250,18950.0,19000.0,18600.0,26540.0,효성 ITX,094280
2020-06-22,18850.0,상승  150,18750.0,19350.0,18650.0,41526.0,효성 ITX,094280
2020-06-23,18500.0,하락  350,19000.0,19200.0,18400.0,29430.0,효성 ITX,094280
2020-06-24,18550.0,상승  50,18500.0,18700.0,18050.0,55202.0,효성 ITX,094280
2020-06-25,19300.0,상승  750,18150.0,19300.0,18150.0,75144.0,효성 ITX,094280
2020-06-26,19300.0,보합0,19250.0,19600.0,18850.0,51316.0,효성 ITX,094280
2020-06-29,19550.0,상승  250,18900.0,19850.0,18900.0,72976.0,효성 ITX,094280
2020-06-30,19650.0,상승  100,19700.0,19800.0,19250.0,35556.0,효성 ITX,094280
2020-07-01,18900.0,하락  750,19650.0,19700.0,18750.0,72091.0,효성 ITX,094280
2020-07-02,19350.0,상승  450,18900.0,19500.0,18850.0,43430.0,효성 ITX,094280
2020-07-03,19400.0,상승  50,19400.0,19550.0,19100.0,26054.0,효성 ITX,094280
2020-07-06,19250.0,하락  150,19500.0,19550.0,19050.0,27592.0,효성 ITX,094280
2020-07-07,19300.0,상승  50,19350.0,19600.0,19150.0,43116.0,효성 ITX,094280
2020-07-08,19800.0,상승  500,19500.0,20100.0,19250.0,78993.0,효성 ITX,094280
2020-07-09,20350.0,상승  550,19800.0,20350.0,19650.0,62571.0,효성 ITX,094280
2020-07-10,22000.0,"상승  1,650",20500.0,22300.0,20200.0,250280.0,효성 ITX,094280
2020-07-13,22400.0,상승  400,22250.0,23150.0,22000.0,142363.0,효성 ITX,094280
2020-07-14,22400.0,보합0,22250.0,22950.0,21850.0,80143.0,효성 ITX,094280
2020-07-15,22550.0,상승  150,22750.0,22750.0,21650.0,60613.0,효성 ITX,094280
2020-07-16,22100.0,하락  450,22800.0,22850.0,21950.0,38445.0,효성 ITX,094280
2020-07-17,23200.0,"상승  1,100",21850.0,23200.0,21600.0,96722.0,효성 ITX,094280
2020-07-20,23400.0,상승  200,23550.0,23900.0,22550.0,114176.0,효성 ITX,094280
2020-07-21,24450.0,"상승  1,050",23600.0,24650.0,23100.0,90689.0,효성 ITX,094280
2020-07-22,25050.0,상승  600,24700.0,25100.0,24300.0,70891.0,효성 ITX,094280
2020-07-23,26200.0,"상승  1,150",24650.0,26700.0,24350.0,93675.0,효성 ITX,094280
2020-07-24,25400.0,하락  800,26050.0,26750.0,25400.0,74132.0,효성 ITX,094280
2020-07-27,26300.0,상승  900,25400.0,26300.0,24900.0,64536.0,효성 ITX,094280
2020-07-28,25750.0,하락  550,26550.0,26550.0,25100.0,64109.0,효성 ITX,094280
2020-07-29,25600.0,하락  150,25750.0,26300.0,25250.0,54700.0,효성 ITX,094280
2020-07-30,25600.0,보합0,25350.0,25950.0,24900.0,64413.0,효성 ITX,094280
2020-07-31,27300.0,"상승  1,700",25600.0,28150.0,25600.0,178015.0,효성 ITX,094280
2020-08-03,28400.0,"상승  1,100",27000.0,29100.0,26750.0,86627.0,효성 ITX,094280
2020-08-04,29400.0,"상승  1,000",28500.0,30250.0,28500.0,115085.0,효성 ITX,094280
2020-08-05,29800.0,상승  400,29600.0,30550.0,29300.0,58732.0,효성 ITX,094280
2020-08-06,29800.0,보합0,29900.0,30000.0,29000.0,70807.0,효성 ITX,094280
2020-08-07,29800.0,보합0,29950.0,30650.0,29350.0,41519.0,효성 ITX,094280
2020-08-10,29250.0,하락  550,29450.0,29950.0,29100.0,41933.0,효성 ITX,094280
2020-08-11,28800.0,하락  450,29450.0,29450.0,28450.0,41753.0,효성 ITX,094280
2020-08-12,28100.0,하락  700,28800.0,29050.0,27700.0,46351.0,효성 ITX,094280
2020-08-13,28700.0,상승  600,28050.0,28950.0,28000.0,30468.0,효성 ITX,094280
2020-08-14,27100.0,"하락  1,600",29200.0,29200.0,26550.0,76082.0,효성 ITX,094280
2020-08-18,26100.0,"하락  1,000",26550.0,27000.0,25500.0,61683.0,효성 ITX,094280
2020-08-19,26100.0,보합0,25800.0,26750.0,25800.0,31726.0,효성 ITX,094280
2020-08-20,25000.0,"하락  1,100",26100.0,26350.0,24650.0,61485.0,효성 ITX,094280
2020-08-21,26200.0,"상승  1,200",25050.0,26250.0,24600.0,56285.0,효성 ITX,094280
2020-08-24,26750.0,상승  550,26250.0,28350.0,26250.0,103607.0,효성 ITX,094280
2020-08-25,27000.0,상승  250,27100.0,27200.0,26300.0,33135.0,효성 ITX,094280
2020-08-26,26900.0,하락  100,27000.0,27150.0,26300.0,28259.0,효성 ITX,094280
2020-08-27,27650.0,상승  750,26950.0,28600.0,26500.0,154755.0,효성 ITX,094280
2020-08-28,27950.0,상승  300,28000.0,28150.0,27000.0,68004.0,효성 ITX,094280
2020-08-31,27700.0,하락  250,27950.0,27950.0,26900.0,74463.0,효성 ITX,094280
2020-09-01,26750.0,하락  950,28200.0,28200.0,25950.0,44291.0,효성 ITX,094280
2020-09-02,28000.0,"상승  1,250",26900.0,33500.0,26450.0,389973.0,효성 ITX,094280
2020-09-03,28000.0,보합0,28150.0,28200.0,27300.0,60082.0,효성 ITX,094280
2020-09-04,28100.0,상승  100,27000.0,29200.0,26600.0,122241.0,효성 ITX,094280
2020-09-07,28150.0,상승  50,28400.0,28900.0,27700.0,68126.0,효성 ITX,094280
2020-09-08,28550.0,상승  400,28900.0,31150.0,28300.0,427113.0,효성 ITX,094280
2020-09-09,29600.0,"상승  1,050",27500.0,29600.0,27250.0,131557.0,효성 ITX,094280
2020-09-10,29700.0,상승  100,30900.0,30900.0,29550.0,114560.0,효성 ITX,094280
2020-09-11,29050.0,하락  650,29400.0,30550.0,29000.0,76033.0,효성 ITX,094280
2020-09-14,28650.0,하락  400,29200.0,29400.0,28000.0,53552.0,효성 ITX,094280
2020-09-15,28850.0,상승  200,28450.0,29950.0,27950.0,151519.0,효성 ITX,094280
2020-09-16,28250.0,하락  600,28700.0,29250.0,28200.0,40721.0,효성 ITX,094280
2020-09-17,27450.0,하락  800,28250.0,28350.0,27000.0,49276.0,효성 ITX,094280
2020-09-18,27800.0,상승  350,27300.0,27800.0,27200.0,21752.0,효성 ITX,094280
